Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:57.0,Offensive rebound by P. Tucker,6-6, ,,1,6,6,0,303.0
6:52.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Lowry),8-6, ,Lead change,1,8,6,2,308.0
6:37.0, ,8-6,Turnover by L. Ball (bad pass; steal by J. Butler),,1,8,6,2,323.0
6:24.0,B. Adebayo makes 2-pt dunk at rim,10-6, ,,1,10,6,4,336.0
6:24.0, ,10-6,Chicago full timeout,,1,10,6,4,336.0
6:24.0, ,10-6,A. Caruso enters the game for L. Ball,,1,10,6,4,336.0
6:24.0, ,10-6,C. White enters the game for D. DeRozan,,1,10,6,4,336.0
6:07.0, ,10-8,A. Caruso makes 2-pt dunk from 1 ft (assist by N. Vučević),,1,10,8,2,353.0
6:07.0, ,10-8,Shooting foul by P. Tucker (drawn by A. Caruso),,1,10,8,2,353.0
6:07.0,C. Martin enters the game for P. Tucker,10-8, ,,1,10,8,2,353.0
6:07.0, ,10-9,A. Caruso makes free throw 1 of 1,,1,10,9,1,353.0
5:52.0,B. Adebayo makes 2-pt jump shot from 12 ft,12-9, ,,1,12,9,3,368.0
5:28.0, ,12-11,N. Vučević makes 2-pt hook shot from 6 ft (assist by J. Green),,1,12,11,1,392.0
5:14.0,D. Robinson makes 3-pt jump shot from 26 ft,15-11, ,,1,15,11,4,406.0
4:58.0, ,15-11,Shooting foul by B. Adebayo (drawn by N. Vučević),,1,15,11,4,422.0
4:58.0, ,15-11,N. Vučević misses free throw 1 of 2,,1,15,11,4,422.0
4:58.0, ,15-11,Offensive rebound by Team,,1,15,11,4,422.0
4:58.0,G. Vincent enters the game for K. Lowry,15-11, ,,1,15,11,4,422.0
4:58.0, ,15-11,A. Dosunmu enters the game for J. Green,,1,15,11,4,422.0
4:58.0, ,15-12,N. Vučević makes free throw 2 of 2,,1,15,12,3,422.0
4:39.0,J. Butler makes 2-pt jump shot from 12 ft,17-12, ,,1,17,12,5,441.0
4:26.0, ,17-12,Turnover by C. White (bad pass; steal by G. Vincent),,1,17,12,5,454.0
4:18.0,C. Martin misses 2-pt jump shot from 20 ft,17-12, ,,1,17,12,5,462.0
4:16.0, ,17-12,Defensive rebound by N. Vučević,,1,17,12,5,464.0
4:01.0, ,17-12,C. White misses 3-pt jump shot from 26 ft,,1,17,12,5,479.0
3:58.0,Defensive rebound by G. Vincent,17-12, ,,1,17,12,5,482.0
3:50.0,C. Martin makes 2-pt layup from 2 ft (assist by J. Butler),19-12, ,,1,19,12,7,490.0
3:40.0, ,19-12,Z. LaVine misses 3-pt jump shot from 27 ft,,1,19,12,7,500.0
3:37.0, ,19-12,Offensive rebound by N. Vučević,,1,19,12,7,503.0
3:26.0, ,19-14,N. Vučević makes 2-pt jump shot from 10 ft,,1,19,14,5,514.0
3:19.0,Miami full timeout,19-14, ,,1,19,14,5,521.0
3:19.0,D. Dedmon enters the game for B. Adebayo,19-14, ,,1,19,14,5,521.0
3:19.0, ,19-14,D. DeRozan enters the game for Z. LaVine,,1,19,14,5,521.0
3:19.0, ,19-14,D. Jones enters the game for N. Vučević,,1,19,14,5,521.0
3:03.0,Turnover by D. Dedmon (3 sec),19-14, ,,1,19,14,5,537.0
2:40.0, ,19-16,C. White makes 2-pt jump shot from 4 ft,,1,19,16,3,560.0
2:20.0,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),22-16, ,,1,22,16,6,580.0
