Time,Minnesota,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Towns vs. B. Adebayo (M. Beasley gains possession),0-0,,,1,0,0,0,0.0
11:47.0,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Edwards),3-0, ,,1,0,3,-3,13.0
11:33.0, ,3-0,Turnover by G. Vincent (bad pass; steal by A. Edwards),,1,0,3,-3,27.0
11:28.0,A. Edwards makes 2-pt dunk from 1 ft,5-0, ,,1,0,5,-5,32.0
11:11.0, ,5-0,P. Tucker misses 2-pt hook shot from 10 ft,,1,0,5,-5,49.0
11:08.0,Defensive rebound by D. Russell,5-0, ,,1,0,5,-5,52.0
11:02.0,Shooting foul by P. Tucker (drawn by K. Towns),5-0, ,,1,0,5,-5,58.0
11:02.0,K. Towns makes free throw 1 of 2,6-0, ,,1,0,6,-6,58.0
11:02.0,K. Towns makes free throw 2 of 2,7-0, ,,1,0,7,-7,58.0
10:47.0, ,7-0,K. Lowry misses 3-pt jump shot from 26 ft,,1,0,7,-7,73.0
10:43.0,Defensive rebound by J. McDaniels,7-0, ,,1,0,7,-7,77.0
10:34.0,D. Russell misses 2-pt jump shot from 16 ft,7-0, ,,1,0,7,-7,86.0
10:31.0, ,7-0,Defensive rebound by K. Lowry,,1,0,7,-7,89.0
10:18.0, ,7-0,B. Adebayo misses 2-pt layup from 7 ft,,1,0,7,-7,102.0
10:14.0,Defensive rebound by K. Towns,7-0, ,,1,0,7,-7,106.0
10:01.0,K. Towns makes 2-pt layup from 5 ft (assist by D. Russell),9-0, ,,1,0,9,-9,119.0
9:47.0, ,9-2,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),,1,2,9,-7,133.0
9:42.0,Shooting foul by D. Robinson (drawn by K. Towns),9-2, ,,1,2,9,-7,138.0
9:42.0,K. Towns makes free throw 1 of 2,10-2, ,,1,2,10,-8,138.0
9:42.0,Violation by Team (delay of game),10-2, ,,1,2,10,-8,138.0
9:42.0,K. Towns makes free throw 2 of 2,11-2, ,,1,2,11,-9,138.0
9:35.0, ,11-2,G. Vincent misses 3-pt jump shot from 26 ft,,1,2,11,-9,145.0
9:31.0, ,11-2,Offensive rebound by P. Tucker,,1,2,11,-9,149.0
9:30.0, ,11-4,P. Tucker makes 2-pt layup from 3 ft,,1,4,11,-7,150.0
9:15.0,D. Russell makes 2-pt jump shot from 8 ft,13-4, ,,1,4,13,-9,165.0
9:15.0,Shooting foul by G. Vincent (drawn by D. Russell),13-4, ,,1,4,13,-9,165.0
9:15.0,D. Russell makes free throw 1 of 1,14-4, ,,1,4,14,-10,165.0
9:06.0, ,14-4,D. Robinson misses 3-pt jump shot from 26 ft,,1,4,14,-10,174.0
9:02.0,Defensive rebound by K. Towns,14-4, ,,1,4,14,-10,178.0
8:59.0,Turnover by J. McDaniels (step out of bounds),14-4, ,,1,4,14,-10,181.0
