Time,Phoenix,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Ayton vs. B. Adebayo (C. Payne gains possession),0-0,,,1,0,0,0,0.0
11:45.0,Turnover by C. Payne (bad pass; steal by B. Adebayo),0-0, ,,1,0,0,0,15.0
11:38.0, ,0-0,P. Tucker misses 3-pt jump shot from 23 ft,,1,0,0,0,22.0
11:35.0,Defensive rebound by J. Crowder,0-0, ,,1,0,0,0,25.0
11:35.0,Turnover by J. Crowder (bad pass),0-0, ,,1,0,0,0,25.0
11:23.0, ,0-3,D. Robinson makes 3-pt jump shot from 26 ft (assist by G. Vincent),,1,3,0,3,37.0
11:10.0,J. Crowder misses 3-pt jump shot from 26 ft,0-3, ,,1,3,0,3,50.0
11:07.0, ,0-3,Defensive rebound by B. Adebayo,,1,3,0,3,53.0
11:02.0, ,0-3,D. Robinson misses 2-pt jump shot from 5 ft,,1,3,0,3,58.0
10:59.0,Defensive rebound by M. Bridges,0-3, ,,1,3,0,3,61.0
10:42.0,D. Ayton makes 2-pt layup from 4 ft (assist by D. Booker),2-3, ,,1,3,2,1,78.0
10:35.0, ,2-3,Turnover by K. Lowry (bad pass),,1,3,2,1,85.0
10:23.0,D. Ayton misses 2-pt jump shot from 14 ft,2-3, ,,1,3,2,1,97.0
10:19.0, ,2-3,Defensive rebound by K. Lowry,,1,3,2,1,101.0
10:18.0, ,2-6,K. Lowry makes 3-pt jump shot from 27 ft,,1,6,2,4,102.0
10:06.0,J. Crowder misses 2-pt layup from 2 ft,2-6, ,,1,6,2,4,114.0
10:06.0, ,2-6,Defensive rebound by D. Robinson,,1,6,2,4,114.0
9:48.0, ,2-6,D. Robinson misses 2-pt layup from 6 ft,,1,6,2,4,132.0
9:47.0,Defensive rebound by M. Bridges,2-6, ,,1,6,2,4,133.0
9:41.0,C. Payne misses 2-pt layup from 4 ft,2-6, ,,1,6,2,4,139.0
9:38.0, ,2-6,Defensive rebound by K. Lowry,,1,6,2,4,142.0
9:32.0, ,2-9,D. Robinson makes 3-pt jump shot from 27 ft (assist by K. Lowry),,1,9,2,7,148.0
9:17.0,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),4-9, ,,1,9,4,5,163.0
9:17.0,Shooting foul by P. Tucker (drawn by D. Ayton),4-9, ,,1,9,4,5,163.0
9:17.0,D. Ayton makes free throw 1 of 1,5-9, ,,1,9,5,4,163.0
9:04.0, ,5-12,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Lowry),,1,12,5,7,176.0
8:48.0,C. Payne makes 2-pt jump shot from 14 ft,7-12, ,,1,12,7,5,192.0
8:39.0, ,7-12,Shooting foul by D. Booker (drawn by B. Adebayo),,1,12,7,5,201.0
8:39.0, ,7-13,B. Adebayo makes free throw 1 of 2,,1,13,7,6,201.0
8:39.0, ,7-14,B. Adebayo makes free throw 2 of 2,,1,14,7,7,201.0
8:26.0,J. Crowder misses 3-pt jump shot from 25 ft,7-14, ,,1,14,7,7,214.0
8:22.0, ,7-14,Defensive rebound by K. Lowry,,1,14,7,7,218.0
8:14.0, ,7-16,B. Adebayo makes 2-pt jump shot from 13 ft (assist by K. Lowry),,1,16,7,9,226.0
8:06.0,D. Booker makes 3-pt jump shot from 26 ft,10-16, ,,1,16,10,6,234.0
7:51.0, ,10-18,P. Tucker makes 2-pt layup from 2 ft (assist by K. Lowry),,1,18,10,8,249.0
7:45.0,Personal foul by D. Robinson (drawn by J. Crowder),10-18, ,,1,18,10,8,255.0
7:38.0,C. Payne misses 3-pt jump shot from 26 ft,10-18, ,,1,18,10,8,262.0
7:35.0, ,10-18,Defensive rebound by K. Lowry,,1,18,10,8,265.0
7:33.0, ,10-20,G. Vincent makes 2-pt layup from 2 ft (assist by K. Lowry),,1,20,10,10,267.0
7:33.0,Phoenix full timeout,10-20, ,,1,20,10,10,267.0
7:24.0,Turnover by C. Payne (lost ball; steal by P. Tucker),10-20, ,,1,20,10,10,276.0
7:20.0, ,10-20,Turnover by K. Lowry (out of bounds lost ball),,1,20,10,10,280.0
7:00.0,D. Booker misses 3-pt jump shot from 24 ft,10-20, ,,1,20,10,10,300.0
6:57.0,Offensive rebound by M. Bridges,10-20, ,,1,20,10,10,303.0
6:55.0,M. Bridges makes 2-pt layup from 2 ft,12-20, ,,1,20,12,8,305.0
6:34.0, ,12-23,D. Robinson makes 3-pt jump shot from 26 ft (assist by P. Tucker),,1,23,12,11,326.0
6:18.0,D. Ayton makes 2-pt jump shot from 12 ft (assist by M. Bridges),14-23, ,,1,23,14,9,342.0
6:06.0, ,14-25,B. Adebayo makes 2-pt dunk from 2 ft (assist by K. Lowry),,1,25,14,11,354.0
5:53.0,M. Bridges misses 3-pt jump shot from 24 ft,14-25, ,,1,25,14,11,367.0
5:53.0, ,14-25,Defensive rebound by P. Tucker,,1,25,14,11,367.0
5:40.0, ,14-25,D. Robinson misses 3-pt jump shot from 23 ft,,1,25,14,11,380.0
5:37.0,Defensive rebound by J. Crowder,14-25, ,,1,25,14,11,383.0
5:23.0,J. Crowder makes 2-pt jump shot from 4 ft (assist by C. Payne),16-25, ,,1,25,16,9,397.0
5:01.0, ,16-25,Turnover by D. Robinson (bad pass; steal by J. Crowder),,1,25,16,9,419.0
4:59.0,Turnover by D. Booker (step out of bounds),16-25, ,,1,25,16,9,421.0
4:59.0,A. Holiday enters the game for C. Payne,16-25, ,,1,25,16,9,421.0
4:59.0, ,16-25,T. Herro enters the game for K. Lowry,,1,25,16,9,421.0
4:45.0, ,16-25,Personal foul by J. Crowder (drawn by B. Adebayo),,1,25,16,9,435.0
4:36.0, ,16-25,G. Vincent misses 3-pt jump shot from 23 ft,,1,25,16,9,444.0
4:30.0, ,16-25,Offensive rebound by P. Tucker,,1,25,16,9,450.0
4:30.0, ,16-25,P. Tucker misses 2-pt layup at rim,,1,25,16,9,450.0
4:29.0,Defensive rebound by D. Ayton,16-25, ,,1,25,16,9,451.0
4:29.0,Shooting foul by G. Vincent (drawn by M. Bridges),16-25, ,,1,25,16,9,451.0
4:29.0,M. Bridges makes free throw 1 of 2,17-25, ,,1,25,17,8,451.0
4:29.0,L. Shamet enters the game for J. Crowder,17-25, ,,1,25,17,8,451.0
4:29.0,M. Bridges makes free throw 2 of 2,18-25, ,,1,25,18,7,451.0
4:13.0, ,18-25,Turnover by B. Adebayo (bad pass),,1,25,18,7,467.0
4:13.0, ,18-25,D. Dedmon enters the game for B. Adebayo,,1,25,18,7,467.0
3:55.0,A. Holiday makes 3-pt jump shot from 26 ft,21-25, ,,1,25,21,4,485.0
3:36.0, ,21-25,T. Herro misses 3-pt jump shot from 26 ft,,1,25,21,4,504.0
3:32.0,Defensive rebound by M. Bridges,21-25, ,,1,25,21,4,508.0
3:24.0,L. Shamet misses 3-pt jump shot from 27 ft,21-25, ,,1,25,21,4,516.0
3:24.0,Offensive rebound by D. Booker,21-25, ,,1,25,21,4,516.0
3:18.0,D. Booker misses 2-pt jump shot from 9 ft,21-25, ,,1,25,21,4,522.0
3:18.0,Offensive rebound by D. Ayton,21-25, ,,1,25,21,4,522.0
3:17.0,D. Ayton makes 2-pt layup from 6 ft,23-25, ,,1,25,23,2,523.0
3:17.0, ,23-25,Miami full timeout,,1,25,23,2,523.0
3:17.0,J. McGee enters the game for D. Ayton,23-25, ,,1,25,23,2,523.0
3:17.0, ,23-25,C. Martin enters the game for P. Tucker,,1,25,23,2,523.0
2:52.0, ,23-25,C. Martin misses 2-pt jump shot from 15 ft,,1,25,23,2,548.0
2:46.0,Defensive rebound by J. McGee,23-25, ,,1,25,23,2,554.0
2:40.0,M. Bridges makes 2-pt jump shot from 16 ft (assist by D. Booker),25-25, ,Tie,1,25,25,0,560.0
2:23.0, ,25-25,G. Vincent misses 2-pt jump shot from 19 ft,,1,25,25,0,577.0
2:23.0,Defensive rebound by M. Bridges,25-25, ,,1,25,25,0,577.0
2:11.0,J. McGee makes 2-pt layup from 2 ft (assist by D. Booker),27-25, ,Lead change,1,25,27,-2,589.0
2:00.0, ,27-27,T. Herro makes 2-pt jump shot from 10 ft,Tie,1,27,27,0,600.0
1:36.0,Turnover by J. McGee (lost ball; steal by T. Herro),27-27, ,,1,27,27,0,624.0
1:30.0, ,27-27,C. Martin misses 2-pt jump shot from 7 ft,,1,27,27,0,630.0
1:28.0,Defensive rebound by J. McGee,27-27, ,,1,27,27,0,632.0
1:24.0,Turnover by J. McGee (bad pass; steal by G. Vincent),27-27, ,,1,27,27,0,636.0
1:24.0, ,27-27,D. Robinson misses 3-pt jump shot from 26 ft,,1,27,27,0,636.0
1:24.0,Defensive rebound by Team,27-27, ,,1,27,27,0,636.0
1:24.0, ,27-27,Loose ball foul by G. Vincent (drawn by J. McGee),,1,27,27,0,636.0
1:24.0,T. Craig enters the game for M. Bridges,27-27, ,,1,27,27,0,636.0
1:24.0, ,27-27,K. Lowry enters the game for D. Robinson,,1,27,27,0,636.0
1:24.0, ,27-27,V. Oladipo enters the game for G. Vincent,,1,27,27,0,636.0
0:59.0,Turnover by Team (shot clock),27-27, ,,1,27,27,0,661.0
0:44.0, ,27-27,D. Dedmon misses 3-pt jump shot from 27 ft,,1,27,27,0,676.0
0:40.0,Defensive rebound by A. Holiday,27-27, ,,1,27,27,0,680.0
0:30.0,A. Holiday makes 2-pt jump shot from 11 ft,29-27, ,,1,27,29,-2,690.0
