Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Embiid vs. O. Yurtseven (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-0,Turnover by P. Tucker (bad pass; steal by J. Embiid),,1,0,0,0,18.0
11:36.0,F. Korkmaz makes 2-pt layup from 2 ft (assist by S. Curry),2-0, ,,1,0,2,-2,24.0
11:27.0, ,2-0,M. Strus misses 3-pt jump shot from 26 ft,,1,0,2,-2,33.0
11:23.0,Defensive rebound by T. Maxey,2-0, ,,1,0,2,-2,37.0
11:09.0,J. Embiid misses 2-pt jump shot from 14 ft,2-0, ,,1,0,2,-2,51.0
11:06.0, ,2-0,Defensive rebound by P. Tucker,,1,0,2,-2,54.0
10:52.0, ,2-0,M. Strus misses 3-pt jump shot from 26 ft,,1,0,2,-2,68.0
10:47.0,Defensive rebound by J. Embiid,2-0, ,,1,0,2,-2,73.0
10:35.0,T. Maxey misses 3-pt jump shot from 26 ft,2-0, ,,1,0,2,-2,85.0
10:32.0, ,2-0,Defensive rebound by O. Yurtseven,,1,0,2,-2,88.0
10:26.0, ,2-2,M. Strus makes 2-pt layup from 2 ft (assist by J. Butler),Tie,1,2,2,0,94.0
10:08.0,F. Korkmaz misses 2-pt jump shot from 6 ft,2-2, ,,1,2,2,0,112.0
10:05.0, ,2-2,Defensive rebound by O. Yurtseven,,1,2,2,0,115.0
9:58.0, ,2-2,K. Lowry misses 3-pt jump shot from 25 ft,,1,2,2,0,122.0
9:54.0, ,2-2,Offensive rebound by P. Tucker,,1,2,2,0,126.0
9:52.0, ,2-2,Turnover by P. Tucker (bad pass; steal by S. Curry),,1,2,2,0,128.0
9:47.0,S. Curry misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,133.0
9:44.0, ,2-2,Defensive rebound by M. Strus,,1,2,2,0,136.0
9:29.0, ,2-4,O. Yurtseven makes 2-pt dunk from 3 ft (assist by K. Lowry),Lead change,1,4,2,2,151.0
9:17.0,S. Curry makes 3-pt jump shot from 25 ft (assist by J. Embiid),5-4, ,Lead change,1,4,5,-1,163.0
9:04.0, ,5-4,J. Butler misses 2-pt layup from 6 ft,,1,4,5,-1,176.0
9:02.0, ,5-4,Offensive rebound by O. Yurtseven,,1,4,5,-1,178.0
8:58.0, ,5-6,O. Yurtseven makes 2-pt dunk from 2 ft,Lead change,1,6,5,1,182.0
8:45.0,T. Harris makes 3-pt jump shot from 24 ft (assist by J. Embiid),8-6, ,Lead change,1,6,8,-2,195.0
8:33.0, ,8-6,M. Strus misses 2-pt layup from 3 ft (block by J. Embiid),,1,6,8,-2,207.0
8:29.0,Defensive rebound by S. Curry,8-6, ,,1,6,8,-2,211.0
8:23.0,T. Harris makes 2-pt layup from 4 ft,10-6, ,,1,6,10,-4,217.0
8:17.0, ,10-6,Personal foul by T. Maxey (drawn by K. Lowry),,1,6,10,-4,223.0
8:12.0, ,10-6,Turnover by O. Yurtseven (bad pass; steal by S. Curry),,1,6,10,-4,228.0
8:00.0,J. Embiid misses 2-pt layup from 4 ft (block by O. Yurtseven),10-6, ,,1,6,10,-4,240.0
7:56.0,Offensive rebound by J. Embiid,10-6, ,,1,6,10,-4,244.0
7:53.0,J. Embiid misses 2-pt jump shot from 4 ft,10-6, ,,1,6,10,-4,247.0
7:53.0, ,10-6,Defensive rebound by K. Lowry,,1,6,10,-4,247.0
7:36.0, ,10-8,J. Butler makes 2-pt jump shot from 4 ft,,1,8,10,-2,264.0
7:36.0, ,10-8,Shooting foul by F. Korkmaz (drawn by J. Butler),,1,8,10,-2,264.0
7:36.0, ,10-9,J. Butler makes free throw 1 of 1,,1,9,10,-1,264.0
7:20.0,J. Embiid makes 2-pt jump shot from 12 ft (assist by S. Curry),12-9, ,,1,9,12,-3,280.0
7:20.0,Shooting foul by K. Lowry (drawn by J. Embiid),12-9, ,,1,9,12,-3,280.0
7:20.0,J. Embiid misses free throw 1 of 1,12-9, ,,1,9,12,-3,280.0
7:18.0, ,12-9,Defensive rebound by P. Tucker,,1,9,12,-3,282.0
7:09.0, ,12-11,O. Yurtseven makes 2-pt jump shot from 11 ft (assist by K. Lowry),,1,11,12,-1,291.0
7:07.0, ,12-11,Violation by Team (delay of game),,1,11,12,-1,293.0
6:54.0,T. Maxey makes 2-pt layup from 3 ft,14-11, ,,1,11,14,-3,306.0
6:38.0, ,14-11,M. Strus misses 2-pt layup from 4 ft,,1,11,14,-3,322.0
6:34.0, ,14-11,Offensive rebound by O. Yurtseven,,1,11,14,-3,326.0
6:34.0, ,14-11,O. Yurtseven misses 2-pt layup at rim,,1,11,14,-3,326.0
6:31.0, ,14-13,O. Yurtseven makes 2-pt dunk from 2 ft,,1,13,14,-1,329.0
6:14.0,S. Curry makes 3-pt jump shot from 25 ft (assist by J. Embiid),17-13, ,,1,13,17,-4,346.0
5:56.0, ,17-13,K. Lowry misses 2-pt jump shot from 11 ft,,1,13,17,-4,364.0
5:53.0,Defensive rebound by J. Embiid,17-13, ,,1,13,17,-4,367.0
5:44.0,J. Embiid misses 2-pt layup from 2 ft,17-13, ,,1,13,17,-4,376.0
5:40.0, ,17-13,Defensive rebound by M. Strus,,1,13,17,-4,380.0
5:33.0, ,17-15,O. Yurtseven makes 2-pt dunk from 1 ft (assist by J. Butler),,1,15,17,-2,387.0
5:19.0,Shooting foul by O. Yurtseven (drawn by J. Embiid),17-15, ,,1,15,17,-2,401.0
5:19.0, ,17-15,Miami full timeout,,1,15,17,-2,401.0
5:19.0,G. Niang enters the game for F. Korkmaz,17-15, ,,1,15,17,-2,401.0
