Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. J. Embiid (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:42.0,Turnover by K. Lowry (bad pass; steal by M. Thybulle),0-0, ,,1,0,0,0,18.0
11:20.0, ,0-0,T. Harris misses 2-pt jump shot from 7 ft,,1,0,0,0,40.0
11:17.0, ,0-0,Offensive rebound by J. Embiid,,1,0,0,0,43.0
11:15.0, ,0-2,J. Embiid makes 2-pt layup at rim,,1,0,2,-2,45.0
11:00.0,G. Vincent misses 2-pt jump shot from 13 ft (block by M. Thybulle),0-2, ,,1,0,2,-2,60.0
11:00.0,Offensive rebound by Team,0-2, ,,1,0,2,-2,60.0
10:52.0,D. Dedmon makes 2-pt jump shot from 12 ft (assist by K. Lowry),2-2, ,Tie,1,2,2,0,68.0
10:38.0, ,2-2,Offensive foul by M. Thybulle (drawn by D. Dedmon),,1,2,2,0,82.0
10:38.0, ,2-2,Turnover by M. Thybulle (offensive foul),,1,2,2,0,82.0
10:21.0,K. Lowry misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,99.0
10:19.0, ,2-2,Defensive rebound by T. Harris,,1,2,2,0,101.0
10:10.0, ,2-4,T. Harris makes 2-pt hook shot from 2 ft (assist by J. Embiid),,1,2,4,-2,110.0
9:59.0,G. Vincent misses 3-pt jump shot from 26 ft,2-4, ,,1,2,4,-2,121.0
9:57.0,Offensive rebound by P. Tucker,2-4, ,,1,2,4,-2,123.0
9:53.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by P. Tucker),5-4, ,Lead change,1,5,4,1,127.0
9:41.0, ,5-4,Shooting foul by G. Vincent (drawn by J. Embiid),,1,5,4,1,139.0
9:41.0, ,5-5,J. Embiid makes free throw 1 of 2,Tie,1,5,5,0,139.0
9:41.0, ,5-6,J. Embiid makes free throw 2 of 2,Lead change,1,5,6,-1,139.0
9:30.0,Shooting foul by S. Curry (drawn by G. Vincent),5-6, ,,1,5,6,-1,150.0
9:30.0,G. Vincent makes free throw 1 of 2,6-6, ,Tie,1,6,6,0,150.0
9:30.0,G. Vincent misses free throw 2 of 2,6-6, ,,1,6,6,0,150.0
9:28.0, ,6-6,Defensive rebound by J. Embiid,,1,6,6,0,152.0
9:11.0, ,6-9,T. Harris makes 3-pt jump shot from 25 ft (assist by S. Curry),,1,6,9,-3,169.0
9:00.0,D. Robinson misses 3-pt jump shot from 25 ft,6-9, ,,1,6,9,-3,180.0
8:58.0, ,6-9,Defensive rebound by J. Embiid,,1,6,9,-3,182.0
8:53.0, ,6-9,J. Embiid misses 3-pt jump shot from 25 ft,,1,6,9,-3,187.0
8:50.0,Defensive rebound by K. Lowry,6-9, ,,1,6,9,-3,190.0
8:45.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),9-9, ,Tie,1,9,9,0,195.0
8:31.0, ,9-9,T. Maxey misses 3-pt jump shot from 28 ft,,1,9,9,0,209.0
8:29.0,Defensive rebound by D. Dedmon,9-9, ,,1,9,9,0,211.0
8:11.0,D. Dedmon misses 2-pt jump shot from 13 ft,9-9, ,,1,9,9,0,229.0
8:09.0,Offensive rebound by D. Robinson,9-9, ,,1,9,9,0,231.0
8:07.0,D. Robinson misses 2-pt jump shot from 18 ft,9-9, ,,1,9,9,0,233.0
8:07.0, ,9-9,Defensive rebound by J. Embiid,,1,9,9,0,233.0
7:59.0, ,9-9,T. Harris misses 2-pt jump shot from 3 ft,,1,9,9,0,241.0
7:57.0,Defensive rebound by P. Tucker,9-9, ,,1,9,9,0,243.0
7:44.0,G. Vincent misses 2-pt jump shot from 6 ft,9-9, ,,1,9,9,0,256.0
7:44.0, ,9-9,Defensive rebound by J. Embiid,,1,9,9,0,256.0
7:44.0, ,9-9,Personal foul by D. Dedmon (drawn by J. Embiid),,1,9,9,0,256.0
7:44.0,K. Okpala enters the game for P. Tucker,9-9, ,,1,9,9,0,256.0
7:28.0, ,9-9,J. Embiid misses 2-pt layup from 1 ft (block by K. Okpala),,1,9,9,0,272.0
7:26.0,Defensive rebound by G. Vincent,9-9, ,,1,9,9,0,274.0
7:18.0,K. Lowry makes 2-pt jump shot from 20 ft (assist by D. Dedmon),11-9, ,Lead change,1,11,9,2,282.0
6:51.0, ,11-9,J. Embiid misses 3-pt jump shot from 24 ft,,1,11,9,2,309.0
6:50.0,Defensive rebound by Team,11-9, ,,1,11,9,2,310.0
6:50.0, ,11-9,Philadelphia full timeout,,1,11,9,2,310.0
6:29.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by D. Dedmon),14-9, ,,1,14,9,5,331.0
6:13.0, ,14-9,Def 3 sec tech foul by Team,,1,14,9,5,347.0
6:13.0, ,14-9,S. Curry misses technical free throw,,1,14,9,5,347.0
6:13.0, ,14-9,Offensive rebound by Team,,1,14,9,5,347.0
6:13.0, ,14-9,S. Milton enters the game for T. Maxey,,1,14,9,5,347.0
6:00.0, ,14-11,J. Embiid makes 2-pt jump shot from 15 ft,,1,14,11,3,360.0
5:47.0,D. Dedmon makes 2-pt hook shot from 4 ft (assist by K. Lowry),16-11, ,,1,16,11,5,373.0
5:32.0, ,16-11,M. Thybulle misses 3-pt jump shot from 23 ft,,1,16,11,5,388.0
5:29.0,Defensive rebound by K. Okpala,16-11, ,,1,16,11,5,391.0
5:21.0,Shooting foul by M. Thybulle (drawn by D. Robinson),16-11, ,,1,16,11,5,399.0
5:21.0,D. Robinson makes free throw 1 of 2,17-11, ,,1,17,11,6,399.0
5:21.0,M. Strus enters the game for G. Vincent,17-11, ,,1,17,11,6,399.0
5:21.0, ,17-11,D. Green enters the game for M. Thybulle,,1,17,11,6,399.0
5:21.0,D. Robinson makes free throw 2 of 2,18-11, ,,1,18,11,7,399.0
5:03.0, ,18-11,D. Green misses 3-pt jump shot from 22 ft,,1,18,11,7,417.0
