Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. A. Drummond (S. Curry gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,K. Durant misses 3-pt jump shot from 26 ft,,1,0,0,0,19.0
11:37.0,Defensive rebound by O. Yurtseven,0-0, ,,1,0,0,0,23.0
11:34.0,Turnover by G. Vincent (bad pass),0-0, ,,1,0,0,0,26.0
11:26.0, ,0-0,G. Dragić misses 2-pt layup from 3 ft,,1,0,0,0,34.0
11:24.0,Defensive rebound by O. Yurtseven,0-0, ,,1,0,0,0,36.0
11:17.0,G. Vincent misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,43.0
11:13.0, ,0-0,Defensive rebound by A. Drummond,,1,0,0,0,47.0
10:55.0, ,0-3,G. Dragić makes 3-pt jump shot from 24 ft (assist by S. Curry),,1,0,3,-3,65.0
10:28.0,B. Adebayo misses 2-pt jump shot from 18 ft,0-3, ,,1,0,3,-3,92.0
10:25.0, ,0-3,Defensive rebound by B. Brown,,1,0,3,-3,95.0
10:21.0, ,0-5,B. Brown makes 2-pt layup from 2 ft,,1,0,5,-5,99.0
10:00.0,Personal foul by B. Brown (drawn by D. Robinson),0-5, ,,1,0,5,-5,120.0
9:56.0,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),3-5, ,,1,3,5,-2,124.0
9:44.0, ,3-5,A. Drummond misses 2-pt layup from 2 ft (block by O. Yurtseven),,1,3,5,-2,136.0
9:44.0, ,3-5,Offensive rebound by Team,,1,3,5,-2,136.0
9:35.0, ,3-7,B. Brown makes 2-pt layup from 2 ft (assist by S. Curry),,1,3,7,-4,145.0
9:35.0, ,3-7,Shooting foul by O. Yurtseven (drawn by B. Brown),,1,3,7,-4,145.0
9:35.0, ,3-7,B. Brown misses free throw 1 of 1,,1,3,7,-4,145.0
9:33.0,Defensive rebound by B. Adebayo,3-7, ,,1,3,7,-4,147.0
9:21.0,B. Adebayo makes 2-pt hook shot from 10 ft (assist by G. Vincent),5-7, ,,1,5,7,-2,159.0
9:12.0, ,5-7,G. Dragić misses 2-pt layup from 5 ft,,1,5,7,-2,168.0
9:10.0, ,5-7,Offensive rebound by B. Brown,,1,5,7,-2,170.0
9:07.0, ,5-7,Personal foul by D. Robinson (drawn by K. Durant),,1,5,7,-2,173.0
9:03.0, ,5-7,K. Durant misses 3-pt jump shot from 25 ft,,1,5,7,-2,177.0
9:01.0,Defensive rebound by O. Yurtseven,5-7, ,,1,5,7,-2,179.0
8:44.0,Personal foul by A. Drummond (drawn by B. Adebayo),5-7, ,,1,5,7,-2,196.0
8:37.0,B. Adebayo misses 2-pt jump shot from 11 ft,5-7, ,,1,5,7,-2,203.0
8:33.0,Offensive rebound by M. Strus,5-7, ,,1,5,7,-2,207.0
8:31.0,O. Yurtseven makes 2-pt jump shot from 5 ft (assist by D. Robinson),7-7, ,Tie,1,7,7,0,209.0
8:15.0, ,7-9,K. Durant makes 2-pt jump shot from 21 ft,,1,7,9,-2,225.0
8:04.0,M. Strus misses 3-pt jump shot from 25 ft,7-9, ,,1,7,9,-2,236.0
8:04.0, ,7-9,Defensive rebound by Team,,1,7,9,-2,236.0
7:55.0,Technical foul by M. Strus,7-9, ,,1,7,9,-2,245.0
7:55.0, ,7-10,K. Durant makes technical free throw,,1,7,10,-3,245.0
7:46.0, ,7-12,K. Durant makes 2-pt jump shot from 17 ft (assist by G. Dragić),,1,7,12,-5,254.0
7:29.0,G. Vincent misses 2-pt layup from 2 ft (block by K. Durant),7-12, ,,1,7,12,-5,271.0
7:29.0, ,7-12,Defensive rebound by G. Dragić,,1,7,12,-5,271.0
7:23.0, ,7-15,S. Curry makes 3-pt jump shot from 25 ft (assist by G. Dragić),,1,7,15,-8,277.0
7:22.0,Miami full timeout,7-15, ,,1,7,15,-8,278.0
7:02.0,Turnover by M. Strus (bad pass; steal by G. Dragić),7-15, ,,1,7,15,-8,298.0
6:54.0, ,7-17,A. Drummond makes 2-pt dunk at rim (assist by G. Dragić),,1,7,17,-10,306.0
6:43.0,Shooting foul by G. Dragić (drawn by G. Vincent),7-17, ,,1,7,17,-10,317.0
6:43.0,G. Vincent misses free throw 1 of 2,7-17, ,,1,7,17,-10,317.0
6:43.0,Offensive rebound by Team,7-17, ,,1,7,17,-10,317.0
6:43.0,G. Vincent makes free throw 2 of 2,8-17, ,,1,8,17,-9,317.0
6:43.0, ,8-17,C. Thomas enters the game for S. Curry,,1,8,17,-9,317.0
6:28.0, ,8-19,K. Durant makes 2-pt jump shot from 8 ft (assist by G. Dragić),,1,8,19,-11,332.0
6:11.0,O. Yurtseven misses 2-pt layup from 3 ft,8-19, ,,1,8,19,-11,349.0
6:09.0, ,8-19,Defensive rebound by C. Thomas,,1,8,19,-11,351.0
6:07.0, ,8-19,Personal foul by O. Yurtseven (drawn by K. Durant),,1,8,19,-11,353.0
6:03.0,Violation by Team (kicked ball),8-19, ,,1,8,19,-11,357.0
6:03.0,T. Herro enters the game for G. Vincent,8-19, ,,1,8,19,-11,357.0
6:03.0,C. Martin enters the game for O. Yurtseven,8-19, ,,1,8,19,-11,357.0
5:49.0, ,8-19,C. Thomas misses 3-pt jump shot from 26 ft,,1,8,19,-11,371.0
5:42.0,Defensive rebound by B. Adebayo,8-19, ,,1,8,19,-11,378.0
5:34.0,B. Adebayo makes 2-pt jump shot from 10 ft,10-19, ,,1,10,19,-9,386.0
5:34.0,Shooting foul by A. Drummond (drawn by B. Adebayo),10-19, ,,1,10,19,-9,386.0
5:34.0, ,10-19,L. Aldridge enters the game for B. Brown,,1,10,19,-9,386.0
5:34.0, ,10-19,J. Johnson enters the game for G. Dragić,,1,10,19,-9,386.0
5:34.0, ,10-19,P. Mills enters the game for A. Drummond,,1,10,19,-9,386.0
5:34.0,B. Adebayo makes free throw 1 of 1,11-19, ,,1,11,19,-8,386.0
