Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. D. Dedmon (L. Ball gains possession),0-0,,,1,0,0,0,0.0
11:43.0,N. Vučević misses 2-pt hook shot from 5 ft,0-0, ,,1,0,0,0,17.0
11:39.0, ,0-0,Defensive rebound by D. Dedmon,,1,0,0,0,21.0
11:36.0, ,0-3,D. Dedmon makes 3-pt jump shot from 26 ft (assist by K. Lowry),,1,3,0,3,24.0
11:19.0,A. Caruso misses 3-pt jump shot from 25 ft,0-3, ,,1,3,0,3,41.0
11:15.0,Offensive rebound by T. Brown,0-3, ,,1,3,0,3,45.0
11:14.0,T. Brown misses 2-pt layup from 2 ft (block by D. Dedmon),0-3, ,,1,3,0,3,46.0
11:14.0, ,0-3,Defensive rebound by D. Dedmon,,1,3,0,3,46.0
10:58.0, ,0-3,K. Lowry misses 2-pt jump shot from 11 ft,,1,3,0,3,62.0
10:53.0,Defensive rebound by N. Vučević,0-3, ,,1,3,0,3,67.0
10:44.0,L. Ball makes 3-pt jump shot from 26 ft (assist by A. Caruso),3-3, ,Tie,1,3,3,0,76.0
10:11.0, ,3-3,Turnover by Team (shot clock),,1,3,3,0,109.0
10:03.0,T. Brown misses 3-pt jump shot from 24 ft,3-3, ,,1,3,3,0,117.0
10:00.0,Offensive rebound by L. Ball,3-3, ,,1,3,3,0,120.0
9:53.0,L. Ball misses 3-pt jump shot from 27 ft,3-3, ,,1,3,3,0,127.0
9:48.0, ,3-3,Defensive rebound by G. Vincent,,1,3,3,0,132.0
9:38.0, ,3-3,P. Tucker misses 3-pt jump shot from 23 ft,,1,3,3,0,142.0
9:35.0, ,3-3,Offensive rebound by K. Lowry,,1,3,3,0,145.0
9:34.0, ,3-3,G. Vincent misses 3-pt jump shot from 26 ft,,1,3,3,0,146.0
9:32.0,Defensive rebound by Team,3-3, ,,1,3,3,0,148.0
9:23.0,Turnover by A. Caruso (out of bounds lost ball),3-3, ,,1,3,3,0,157.0
9:05.0, ,3-3,P. Tucker misses 2-pt layup from 3 ft,,1,3,3,0,175.0
9:03.0,Defensive rebound by N. Vučević,3-3, ,,1,3,3,0,177.0
8:48.0,A. Caruso misses 2-pt layup from 3 ft (block by P. Tucker),3-3, ,,1,3,3,0,192.0
8:48.0,Offensive rebound by Team,3-3, ,,1,3,3,0,192.0
8:46.0,N. Vučević misses 3-pt jump shot from 26 ft,3-3, ,,1,3,3,0,194.0
8:42.0, ,3-3,Defensive rebound by D. Dedmon,,1,3,3,0,198.0
8:36.0, ,3-6,K. Lowry makes 3-pt jump shot from 27 ft (assist by G. Vincent),,1,6,3,3,204.0
8:18.0,T. Brown misses 2-pt layup from 4 ft,3-6, ,,1,6,3,3,222.0
8:18.0, ,3-6,Defensive rebound by Team,,1,6,3,3,222.0
8:18.0,Loose ball foul by N. Vučević (drawn by P. Tucker),3-6, ,,1,6,3,3,222.0
8:02.0, ,3-8,D. Robinson makes 2-pt jump shot from 18 ft (assist by K. Lowry),,1,8,3,5,238.0
7:43.0,L. Ball makes 3-pt jump shot from 22 ft (assist by A. Caruso),6-8, ,,1,8,6,2,257.0
7:28.0, ,6-10,G. Vincent makes 2-pt jump shot from 17 ft,,1,10,6,4,272.0
7:27.0,Chicago full timeout,6-10, ,,1,10,6,4,273.0
7:27.0,A. McKinnie enters the game for A. Caruso,6-10, ,,1,10,6,4,273.0
7:14.0,Turnover by Z. LaVine (bad pass; steal by G. Vincent),6-10, ,,1,10,6,4,286.0
7:10.0, ,6-10,G. Vincent misses 2-pt layup from 3 ft,,1,10,6,4,290.0
7:08.0, ,6-10,Offensive rebound by K. Lowry,,1,10,6,4,292.0
7:06.0, ,6-13,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Lowry),,1,13,6,7,294.0
6:50.0,Z. LaVine misses 2-pt jump shot from 18 ft,6-13, ,,1,13,6,7,310.0
6:45.0, ,6-13,Defensive rebound by D. Dedmon,,1,13,6,7,315.0
6:37.0, ,6-15,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Lowry),,1,15,6,9,323.0
6:19.0,L. Ball misses 2-pt layup from 2 ft,6-15, ,,1,15,6,9,341.0
6:15.0, ,6-15,Defensive rebound by P. Tucker,,1,15,6,9,345.0
6:14.0, ,6-18,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),,1,18,6,12,346.0
6:14.0, ,6-18,T. Herro enters the game for G. Vincent,,1,18,6,12,346.0
5:55.0,T. Brown makes 2-pt jump shot from 3 ft (assist by L. Ball),8-18, ,,1,18,8,10,365.0
5:37.0, ,8-18,D. Robinson misses 3-pt jump shot from 28 ft,,1,18,8,10,383.0
5:31.0,Defensive rebound by N. Vučević,8-18, ,,1,18,8,10,389.0
5:30.0,L. Ball makes 2-pt layup from 1 ft,10-18, ,,1,18,10,8,390.0
5:30.0,Shooting foul by K. Lowry (drawn by L. Ball),10-18, ,,1,18,10,8,390.0
5:30.0,L. Ball makes free throw 1 of 1,11-18, ,,1,18,11,7,390.0
5:09.0, ,11-21,T. Herro makes 3-pt jump shot from 23 ft (assist by P. Tucker),,1,21,11,10,411.0
4:48.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by T. Brown),14-21, ,,1,21,14,7,432.0
4:31.0, ,14-23,T. Herro makes 2-pt layup from 2 ft,,1,23,14,9,449.0
4:21.0,Personal foul by T. Herro (drawn by Z. LaVine),14-23, ,,1,23,14,9,459.0
4:21.0,D. Dotson enters the game for L. Ball,14-23, ,,1,23,14,9,459.0
4:21.0, ,14-23,K. Okpala enters the game for D. Dedmon,,1,23,14,9,459.0
4:14.0,Z. LaVine makes 3-pt jump shot from 25 ft,17-23, ,,1,23,17,6,466.0
3:58.0, ,17-23,P. Tucker misses 2-pt layup from 3 ft (block by A. McKinnie),,1,23,17,6,482.0
3:57.0,Defensive rebound by Team,17-23, ,,1,23,17,6,483.0
3:45.0,Turnover by Z. LaVine (lost ball; steal by K. Lowry),17-23, ,,1,23,17,6,495.0
