Time,New York,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Robinson vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,J. Butler misses 3-pt jump shot from 24 ft,,1,0,0,0,22.0
11:34.0,Defensive rebound by J. Randle,0-0, ,,1,0,0,0,26.0
11:12.0,Turnover by K. Walker (bad pass),0-0, ,,1,0,0,0,48.0
10:56.0, ,0-0,Turnover by G. Vincent (bad pass; steal by E. Fournier),,1,0,0,0,64.0
10:48.0,K. Walker misses 2-pt jump shot from 15 ft,0-0, ,,1,0,0,0,72.0
10:43.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,77.0
10:37.0, ,0-3,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,3,0,3,83.0
10:24.0,Personal foul by J. Butler (drawn by M. Robinson),0-3, ,,1,3,0,3,96.0
10:11.0,J. Randle misses 3-pt jump shot from 23 ft,0-3, ,,1,3,0,3,109.0
10:07.0, ,0-3,Defensive rebound by B. Adebayo,,1,3,0,3,113.0
9:58.0, ,0-6,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,6,0,6,122.0
9:33.0,K. Walker misses 3-pt jump shot from 25 ft,0-6, ,,1,6,0,6,147.0
9:28.0, ,0-6,Defensive rebound by J. Butler,,1,6,0,6,152.0
9:23.0, ,0-9,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,9,0,9,157.0
9:07.0,J. Randle makes 2-pt jump shot from 10 ft,2-9, ,,1,9,2,7,173.0
8:56.0, ,2-9,B. Adebayo misses 2-pt layup from 3 ft,,1,9,2,7,184.0
8:54.0, ,2-9,Offensive rebound by J. Butler,,1,9,2,7,186.0
8:52.0, ,2-11,J. Butler makes 2-pt layup from 4 ft,,1,11,2,9,188.0
8:42.0,Turnover by J. Randle (traveling),2-11, ,,1,11,2,9,198.0
8:23.0, ,2-11,B. Adebayo misses 2-pt hook shot from 11 ft,,1,11,2,9,217.0
8:20.0,Defensive rebound by M. Robinson,2-11, ,,1,11,2,9,220.0
8:12.0,R. Barrett misses 2-pt layup from 3 ft (block by B. Adebayo),2-11, ,,1,11,2,9,228.0
8:10.0,Offensive rebound by M. Robinson,2-11, ,,1,11,2,9,230.0
8:09.0,Turnover by M. Robinson (lost ball; steal by B. Adebayo),2-11, ,,1,11,2,9,231.0
8:06.0, ,2-13,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),,1,13,2,11,234.0
7:57.0,New York full timeout,2-13, ,,1,13,2,11,243.0
7:39.0,K. Walker makes 3-pt jump shot from 25 ft,5-13, ,,1,13,5,8,261.0
7:14.0, ,5-15,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Vincent),,1,15,5,10,286.0
6:57.0,R. Barrett makes 3-pt jump shot from 23 ft (assist by J. Randle),8-15, ,,1,15,8,7,303.0
6:40.0, ,8-18,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,1,18,8,10,320.0
6:16.0,J. Randle misses 2-pt jump shot from 21 ft,8-18, ,,1,18,8,10,344.0
6:13.0, ,8-18,Defensive rebound by D. Robinson,,1,18,8,10,347.0
5:59.0, ,8-20,P. Tucker makes 2-pt layup from 3 ft (assist by B. Adebayo),,1,20,8,12,361.0
5:35.0,Offensive foul by E. Fournier (drawn by D. Robinson),8-20, ,,1,20,8,12,385.0
5:35.0,Turnover by E. Fournier (offensive foul),8-20, ,,1,20,8,12,385.0
5:35.0,A. Burks enters the game for K. Walker,8-20, ,,1,20,8,12,385.0
5:35.0, ,8-20,T. Herro enters the game for G. Vincent,,1,20,8,12,385.0
5:20.0, ,8-20,D. Robinson misses 3-pt jump shot from 25 ft,,1,20,8,12,400.0
5:16.0,Defensive rebound by J. Randle,8-20, ,,1,20,8,12,404.0
5:10.0,Personal foul by D. Robinson (drawn by A. Burks),8-20, ,,1,20,8,12,410.0
5:04.0,Personal foul by D. Robinson (drawn by M. Robinson),8-20, ,,1,20,8,12,416.0
5:04.0, ,8-20,M. Strus enters the game for D. Robinson,,1,20,8,12,416.0
4:59.0,A. Burks misses 3-pt jump shot from 26 ft,8-20, ,,1,20,8,12,421.0
4:56.0, ,8-20,Defensive rebound by J. Butler,,1,20,8,12,424.0
4:48.0, ,8-20,B. Adebayo misses 2-pt jump shot from 13 ft,,1,20,8,12,432.0
4:43.0,Defensive rebound by J. Randle,8-20, ,,1,20,8,12,437.0
4:39.0,R. Barrett misses 3-pt jump shot from 24 ft,8-20, ,,1,20,8,12,441.0
4:34.0, ,8-20,Defensive rebound by B. Adebayo,,1,20,8,12,446.0
4:31.0, ,8-20,M. Strus misses 3-pt jump shot from 25 ft,,1,20,8,12,449.0
4:27.0,Defensive rebound by E. Fournier,8-20, ,,1,20,8,12,453.0
4:12.0,Personal foul by B. Adebayo (drawn by R. Barrett),8-20, ,,1,20,8,12,468.0
4:12.0,T. Gibson enters the game for M. Robinson,8-20, ,,1,20,8,12,468.0
4:12.0, ,8-20,D. Dedmon enters the game for B. Adebayo,,1,20,8,12,468.0
4:06.0,R. Barrett makes 3-pt jump shot from 26 ft (assist by T. Gibson),11-20, ,,1,20,11,9,474.0
3:39.0, ,11-20,T. Herro misses 2-pt jump shot from 20 ft,,1,20,11,9,501.0
3:35.0,Defensive rebound by R. Barrett,11-20, ,,1,20,11,9,505.0
3:32.0,Shooting foul by M. Strus (drawn by R. Barrett),11-20, ,,1,20,11,9,508.0
3:32.0,R. Barrett misses free throw 1 of 2,11-20, ,,1,20,11,9,508.0
3:32.0,Offensive rebound by Team,11-20, ,,1,20,11,9,508.0
3:32.0,Q. Grimes enters the game for E. Fournier,11-20, ,,1,20,11,9,508.0
