Time,Miami,Score,Charlotte,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Plumlee (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:46.0,P. Tucker makes 2-pt hook shot from 3 ft (assist by B. Adebayo),2-0, ,,1,2,0,2,14.0
11:25.0, ,2-0,G. Hayward misses 2-pt jump shot from 13 ft,,1,2,0,2,35.0
11:23.0,Defensive rebound by B. Adebayo,2-0, ,,1,2,0,2,37.0
11:18.0,J. Butler misses 3-pt jump shot from 25 ft,2-0, ,,1,2,0,2,42.0
11:15.0, ,2-0,Defensive rebound by G. Hayward,,1,2,0,2,45.0
11:05.0, ,2-0,Personal foul by J. Butler (drawn by G. Hayward),,1,2,0,2,55.0
10:58.0, ,2-2,L. Ball makes 2-pt layup from 1 ft (assist by T. Rozier),Tie,1,2,2,0,62.0
10:48.0,D. Robinson misses 2-pt layup from 2 ft (block by M. Plumlee),2-2, ,,1,2,2,0,72.0
10:45.0,Offensive rebound by J. Butler,2-2, ,,1,2,2,0,75.0
10:43.0,D. Robinson misses 3-pt jump shot from 24 ft,2-2, ,,1,2,2,0,77.0
10:40.0, ,2-2,Defensive rebound by L. Ball,,1,2,2,0,80.0
10:35.0, ,2-2,T. Rozier misses 2-pt layup from 1 ft,,1,2,2,0,85.0
10:33.0, ,2-2,Offensive rebound by T. Rozier,,1,2,2,0,87.0
10:33.0, ,2-2,Shooting foul by P. Tucker (drawn by T. Rozier),,1,2,2,0,87.0
10:33.0, ,2-2,T. Rozier misses free throw 1 of 2,,1,2,2,0,87.0
10:33.0, ,2-2,Offensive rebound by Team,,1,2,2,0,87.0
10:33.0, ,2-3,T. Rozier makes free throw 2 of 2,Lead change,1,2,3,-1,87.0
10:21.0,P. Tucker misses 3-pt jump shot from 23 ft,2-3, ,,1,2,3,-1,99.0
10:18.0, ,2-3,Defensive rebound by M. Plumlee,,1,2,3,-1,102.0
10:08.0, ,2-3,G. Hayward misses 2-pt layup from 1 ft (block by J. Butler),,1,2,3,-1,112.0
10:06.0,Defensive rebound by J. Butler,2-3, ,,1,2,3,-1,114.0
10:04.0,Turnover by J. Butler (lost ball; steal by M. Plumlee),2-3, ,,1,2,3,-1,116.0
10:00.0, ,2-5,T. Rozier makes 2-pt layup from 2 ft (assist by M. Plumlee),,1,2,5,-3,120.0
9:43.0,B. Adebayo misses 2-pt layup from 3 ft,2-5, ,,1,2,5,-3,137.0
9:41.0,Offensive rebound by B. Adebayo,2-5, ,,1,2,5,-3,139.0
9:40.0,B. Adebayo misses 2-pt layup from 1 ft,2-5, ,,1,2,5,-3,140.0
9:39.0, ,2-5,Defensive rebound by M. Plumlee,,1,2,5,-3,141.0
9:36.0, ,2-5,Turnover by T. Rozier (out of bounds lost ball),,1,2,5,-3,144.0
9:19.0,J. Butler makes 2-pt jump shot from 5 ft (assist by B. Adebayo),4-5, ,,1,4,5,-1,161.0
9:00.0, ,4-5,M. Bridges misses 3-pt jump shot from 26 ft,,1,4,5,-1,180.0
8:58.0,Defensive rebound by J. Butler,4-5, ,,1,4,5,-1,182.0
8:52.0,Turnover by J. Butler (bad pass),4-5, ,,1,4,5,-1,188.0
8:37.0, ,4-5,Shooting foul by P. Tucker (drawn by M. Plumlee),,1,4,5,-1,203.0
8:37.0, ,4-6,M. Plumlee makes free throw 1 of 2,,1,4,6,-2,203.0
8:37.0, ,4-7,M. Plumlee makes free throw 2 of 2,,1,4,7,-3,203.0
8:30.0,Turnover by B. Adebayo (bad pass; steal by M. Plumlee),4-7, ,,1,4,7,-3,210.0
8:16.0, ,4-7,G. Hayward misses 3-pt jump shot from 26 ft,,1,4,7,-3,224.0
8:13.0,Defensive rebound by B. Adebayo,4-7, ,,1,4,7,-3,227.0
8:02.0,P. Tucker misses 3-pt jump shot from 23 ft,4-7, ,,1,4,7,-3,238.0
7:59.0, ,4-7,Defensive rebound by M. Bridges,,1,4,7,-3,241.0
7:51.0, ,4-7,Turnover by T. Rozier (bad pass),,1,4,7,-3,249.0
7:36.0,K. Lowry misses 3-pt jump shot from 23 ft,4-7, ,,1,4,7,-3,264.0
7:34.0, ,4-7,Defensive rebound by M. Bridges,,1,4,7,-3,266.0
7:23.0, ,4-9,L. Ball makes 2-pt layup from 1 ft (assist by M. Bridges),,1,4,9,-5,277.0
7:01.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),6-9, ,,1,6,9,-3,299.0
6:40.0, ,6-9,G. Hayward misses 2-pt jump shot from 12 ft,,1,6,9,-3,320.0
6:38.0,Defensive rebound by B. Adebayo,6-9, ,,1,6,9,-3,322.0
6:35.0,Turnover by B. Adebayo (out of bounds lost ball),6-9, ,,1,6,9,-3,325.0
6:35.0, ,6-9,Charlotte full timeout,,1,6,9,-3,325.0
6:35.0, ,6-9,K. Oubre enters the game for G. Hayward,,1,6,9,-3,325.0
6:25.0, ,6-11,M. Bridges makes 2-pt dunk from 2 ft (assist by L. Ball),,1,6,11,-5,335.0
6:11.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),8-11, ,,1,8,11,-3,349.0
5:56.0, ,8-11,M. Bridges misses 2-pt layup from 3 ft,,1,8,11,-3,364.0
5:54.0,Defensive rebound by B. Adebayo,8-11, ,,1,8,11,-3,366.0
5:48.0,J. Butler makes 2-pt layup from 1 ft,10-11, ,,1,10,11,-1,372.0
5:30.0, ,10-11,Shooting foul by K. Lowry (drawn by K. Oubre),,1,10,11,-1,390.0
5:30.0, ,10-12,K. Oubre makes free throw 1 of 3,,1,10,12,-2,390.0
5:30.0, ,10-12,K. Oubre misses free throw 2 of 3,,1,10,12,-2,390.0
5:30.0, ,10-12,Offensive rebound by Team,,1,10,12,-2,390.0
5:30.0,T. Herro enters the game for K. Lowry,10-12, ,,1,10,12,-2,390.0
5:30.0, ,10-12,C. Martin enters the game for T. Rozier,,1,10,12,-2,390.0
5:30.0, ,10-13,K. Oubre makes free throw 3 of 3,,1,10,13,-3,390.0
5:14.0,B. Adebayo misses 2-pt layup from 5 ft,10-13, ,,1,10,13,-3,406.0
5:12.0, ,10-13,Defensive rebound by L. Ball,,1,10,13,-3,408.0
5:02.0, ,10-13,M. Plumlee misses 2-pt hook shot from 3 ft,,1,10,13,-3,418.0
5:01.0,Defensive rebound by B. Adebayo,10-13, ,,1,10,13,-3,419.0
5:00.0,Shooting foul by M. Bridges (drawn by J. Butler),10-13, ,,1,10,13,-3,420.0
5:00.0,J. Butler makes free throw 1 of 2,11-13, ,,1,11,13,-2,420.0
5:00.0,C. Martin enters the game for P. Tucker,11-13, ,,1,11,13,-2,420.0
5:00.0, ,11-13,P. Washington enters the game for M. Plumlee,,1,11,13,-2,420.0
5:00.0,J. Butler makes free throw 2 of 2,12-13, ,,1,12,13,-1,420.0
4:41.0, ,12-13,L. Ball misses 2-pt layup from 4 ft,,1,12,13,-1,439.0
4:38.0, ,12-13,Offensive rebound by K. Oubre,,1,12,13,-1,442.0
4:38.0, ,12-13,K. Oubre misses 2-pt layup at rim,,1,12,13,-1,442.0
4:37.0,Defensive rebound by D. Robinson,12-13, ,,1,12,13,-1,443.0
4:35.0,C. Martin makes 2-pt jump shot from 21 ft (assist by D. Robinson),14-13, ,Lead change,1,14,13,1,445.0
4:35.0,Instant Replay (Request: Ruling Stands),14-13, ,,1,14,13,1,445.0
4:30.0, ,14-13,L. Ball misses 2-pt layup from 4 ft (block by T. Herro),,1,14,13,1,450.0
4:28.0,Defensive rebound by Team,14-13, ,,1,14,13,1,452.0
4:28.0, ,14-13,Loose ball foul by L. Ball (drawn by T. Herro),,1,14,13,1,452.0
4:19.0,Shooting foul by P. Washington (drawn by B. Adebayo),14-13, ,,1,14,13,1,461.0
4:19.0,B. Adebayo makes free throw 1 of 2,15-13, ,,1,15,13,2,461.0
4:19.0,B. Adebayo makes free throw 2 of 2,16-13, ,,1,16,13,3,461.0
4:09.0, ,16-16,L. Ball makes 3-pt jump shot from 26 ft,Tie,1,16,16,0,471.0
3:54.0,T. Herro misses 3-pt jump shot from 26 ft (block by M. Bridges),16-16, ,,1,16,16,0,486.0
3:52.0, ,16-16,Defensive rebound by L. Ball,,1,16,16,0,488.0
3:37.0, ,16-16,K. Oubre misses 3-pt jump shot from 28 ft,,1,16,16,0,503.0
3:33.0,Defensive rebound by T. Herro,16-16, ,,1,16,16,0,507.0
3:17.0,D. Robinson misses 3-pt jump shot from 26 ft,16-16, ,,1,16,16,0,523.0
3:14.0, ,16-16,Defensive rebound by P. Washington,,1,16,16,0,526.0
3:03.0, ,16-18,C. Martin makes 2-pt layup from 2 ft (assist by K. Oubre),Lead change,1,16,18,-2,537.0
3:03.0,Miami full timeout,16-18, ,,1,16,18,-2,537.0
3:03.0,G. Vincent enters the game for D. Robinson,16-18, ,,1,16,18,-2,537.0
3:03.0, ,16-18,G. Hayward enters the game for M. Bridges,,1,16,18,-2,537.0
2:50.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Butler),18-18, ,Tie,1,18,18,0,550.0
2:50.0,Shooting foul by P. Washington (drawn by B. Adebayo),18-18, ,,1,18,18,0,550.0
2:50.0,B. Adebayo makes free throw 1 of 1,19-18, ,Lead change,1,19,18,1,550.0
2:38.0, ,19-18,Turnover by K. Oubre (lost ball; steal by B. Adebayo),,1,19,18,1,562.0
2:34.0,B. Adebayo makes 2-pt dunk from 1 ft,21-18, ,,1,21,18,3,566.0
2:05.0, ,21-18,Turnover by C. Martin (bad pass; steal by C. Martin),,1,21,18,3,595.0
2:03.0,C. Martin makes 2-pt layup from 1 ft,23-18, ,,1,23,18,5,597.0
1:56.0, ,23-18,Turnover by P. Washington (bad pass; steal by T. Herro),,1,23,18,5,604.0
1:55.0,Personal take foul by G. Hayward (drawn by J. Butler),23-18, ,,1,23,18,5,605.0
1:55.0,J. Butler makes free throw 1 of 2,24-18, ,,1,24,18,6,605.0
1:55.0, ,24-18,T. Rozier enters the game for L. Ball,,1,24,18,6,605.0
1:55.0,J. Butler makes free throw 2 of 2,25-18, ,,1,25,18,7,605.0
1:31.0, ,25-21,T. Rozier makes 3-pt jump shot from 27 ft (assist by P. Washington),,1,25,21,4,629.0
1:22.0,T. Herro makes 3-pt jump shot from 27 ft (assist by G. Vincent),28-21, ,,1,28,21,7,638.0
1:00.0, ,28-21,K. Oubre misses 2-pt jump shot from 10 ft,,1,28,21,7,660.0
0:59.0,Defensive rebound by C. Martin,28-21, ,,1,28,21,7,661.0
0:45.0,Shooting foul by P. Washington (drawn by B. Adebayo),28-21, ,,1,28,21,7,675.0
0:45.0,B. Adebayo makes free throw 1 of 2,29-21, ,,1,29,21,8,675.0
0:45.0,K. Lowry enters the game for J. Butler,29-21, ,,1,29,21,8,675.0
0:45.0, ,29-21,M. Plumlee enters the game for P. Washington,,1,29,21,8,675.0
0:45.0,B. Adebayo misses free throw 2 of 2,29-21, ,,1,29,21,8,675.0
