Time,Miami,Score,Denver,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0, ,0-0,Violation by Team (jump ball),,1,0,0,0,0.0
11:46.0,D. Robinson misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,14.0
11:43.0, ,0-0,Defensive rebound by A. Gordon,,1,0,0,0,17.0
11:27.0, ,0-3,W. Barton makes 3-pt jump shot from 25 ft (assist by M. Morris),,1,0,3,-3,33.0
11:11.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),3-3, ,Tie,1,3,3,0,49.0
10:58.0,Violation by Team (kicked ball),3-3, ,,1,3,3,0,62.0
10:52.0, ,3-3,J. Green misses 2-pt hook shot from 5 ft,,1,3,3,0,68.0
10:50.0,Defensive rebound by K. Lowry,3-3, ,,1,3,3,0,70.0
10:34.0,K. Lowry misses 2-pt layup from 8 ft,3-3, ,,1,3,3,0,86.0
10:31.0, ,3-3,Defensive rebound by A. Gordon,,1,3,3,0,89.0
10:27.0, ,3-5,M. Morris makes 2-pt jump shot from 16 ft,,1,3,5,-2,93.0
10:14.0,B. Adebayo misses 2-pt jump shot from 18 ft,3-5, ,,1,3,5,-2,106.0
10:12.0, ,3-5,Defensive rebound by A. Gordon,,1,3,5,-2,108.0
9:51.0, ,3-5,J. Green misses 2-pt jump shot from 12 ft,,1,3,5,-2,129.0
9:47.0,Defensive rebound by J. Butler,3-5, ,,1,3,5,-2,133.0
9:44.0,Personal foul by W. Barton (drawn by B. Adebayo),3-5, ,,1,3,5,-2,136.0
9:40.0,K. Lowry misses 3-pt jump shot from 25 ft,3-5, ,,1,3,5,-2,140.0
9:38.0, ,3-5,Defensive rebound by Team,,1,3,5,-2,142.0
9:20.0, ,3-5,J. Green misses 3-pt jump shot from 22 ft,,1,3,5,-2,160.0
9:17.0,Defensive rebound by B. Adebayo,3-5, ,,1,3,5,-2,163.0
9:13.0,Turnover by K. Lowry (bad pass; steal by W. Barton),3-5, ,,1,3,5,-2,167.0
9:09.0, ,3-7,J. Green makes 2-pt layup from 3 ft (assist by W. Barton),,1,3,7,-4,171.0
8:48.0,J. Butler misses 2-pt jump shot from 8 ft,3-7, ,,1,3,7,-4,192.0
8:46.0,Offensive rebound by P. Tucker,3-7, ,,1,3,7,-4,194.0
8:44.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by P. Tucker),6-7, ,,1,6,7,-1,196.0
8:34.0, ,6-7,Shooting foul by P. Tucker (drawn by A. Gordon),,1,6,7,-1,206.0
8:34.0, ,6-8,A. Gordon makes free throw 1 of 2,,1,6,8,-2,206.0
8:34.0, ,6-9,A. Gordon makes free throw 2 of 2,,1,6,9,-3,206.0
8:25.0,Def 3 sec tech foul by Team,6-9, ,,1,6,9,-3,215.0
8:25.0,J. Butler makes technical free throw,7-9, ,,1,7,9,-2,215.0
8:18.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Butler),10-9, ,Lead change,1,10,9,1,222.0
8:02.0, ,10-11,M. Morris makes 2-pt jump shot from 11 ft (assist by N. Jokić),Lead change,1,10,11,-1,238.0
7:54.0,J. Butler makes 2-pt layup from 3 ft (assist by K. Lowry),12-11, ,Lead change,1,12,11,1,246.0
7:41.0, ,12-13,N. Jokić makes 2-pt layup from 3 ft (assist by M. Morris),Lead change,1,12,13,-1,259.0
7:23.0,D. Robinson misses 3-pt jump shot from 23 ft,12-13, ,,1,12,13,-1,277.0
7:21.0, ,12-13,Defensive rebound by N. Jokić,,1,12,13,-1,279.0
7:17.0, ,12-16,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Gordon),,1,12,16,-4,283.0
7:06.0,Turnover by J. Butler (bad pass; steal by N. Jokić),12-16, ,,1,12,16,-4,294.0
7:01.0, ,12-18,N. Jokić makes 2-pt layup from 2 ft,,1,12,18,-6,299.0
6:54.0,Miami full timeout,12-18, ,,1,12,18,-6,306.0
6:45.0,Turnover by B. Adebayo (bad pass; steal by N. Jokić),12-18, ,,1,12,18,-6,315.0
6:32.0, ,12-21,M. Morris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,1,12,21,-9,328.0
6:16.0,B. Adebayo misses 2-pt jump shot from 6 ft,12-21, ,,1,12,21,-9,344.0
6:12.0, ,12-21,Defensive rebound by N. Jokić,,1,12,21,-9,348.0
5:49.0, ,12-21,W. Barton misses 2-pt jump shot from 19 ft,,1,12,21,-9,371.0
5:45.0,Defensive rebound by B. Adebayo,12-21, ,,1,12,21,-9,375.0
5:38.0,Shooting foul by A. Gordon (drawn by J. Butler),12-21, ,,1,12,21,-9,382.0
5:38.0,J. Butler makes free throw 1 of 2,13-21, ,,1,13,21,-8,382.0
5:38.0,T. Herro enters the game for K. Lowry,13-21, ,,1,13,21,-8,382.0
5:38.0, ,13-21,P. Dozier enters the game for W. Barton,,1,13,21,-8,382.0
5:38.0,J. Butler makes free throw 2 of 2,14-21, ,,1,14,21,-7,382.0
5:26.0, ,14-21,Personal foul by D. Robinson (drawn by N. Jokić),,1,14,21,-7,394.0
5:26.0, ,14-21,J. Green enters the game for J. Green,,1,14,21,-7,394.0
5:17.0, ,14-21,A. Gordon misses 3-pt jump shot from 25 ft,,1,14,21,-7,403.0
5:11.0, ,14-21,Offensive rebound by J. Green,,1,14,21,-7,409.0
5:11.0, ,14-23,J. Green makes 2-pt layup at rim,,1,14,23,-9,409.0
4:58.0,T. Herro misses 3-pt jump shot from 23 ft,14-23, ,,1,14,23,-9,422.0
4:56.0, ,14-23,Defensive rebound by Team,,1,14,23,-9,424.0
4:56.0, ,14-23,B. Hyland enters the game for M. Morris,,1,14,23,-9,424.0
4:44.0, ,14-23,B. Hyland misses 3-pt jump shot from 24 ft,,1,14,23,-9,436.0
4:41.0,Defensive rebound by P. Tucker,14-23, ,,1,14,23,-9,439.0
4:31.0,B. Adebayo misses 2-pt jump shot from 11 ft,14-23, ,,1,14,23,-9,449.0
4:27.0, ,14-23,Defensive rebound by J. Green,,1,14,23,-9,453.0
4:19.0, ,14-23,P. Dozier misses 3-pt jump shot from 23 ft,,1,14,23,-9,461.0
4:15.0,Defensive rebound by B. Adebayo,14-23, ,,1,14,23,-9,465.0
4:13.0,J. Butler makes 2-pt layup from 6 ft (assist by B. Adebayo),16-23, ,,1,16,23,-7,467.0
4:13.0,Shooting foul by B. Hyland (drawn by J. Butler),16-23, ,,1,16,23,-7,467.0
4:13.0,D. Dedmon enters the game for B. Adebayo,16-23, ,,1,16,23,-7,467.0
4:13.0,J. Butler makes free throw 1 of 1,17-23, ,,1,17,23,-6,467.0
3:58.0, ,17-23,Personal foul by D. Robinson (drawn by N. Jokić),,1,17,23,-6,482.0
3:58.0,C. Martin enters the game for D. Robinson,17-23, ,,1,17,23,-6,482.0
3:54.0, ,17-23,P. Dozier misses 2-pt jump shot from 21 ft,,1,17,23,-6,486.0
3:49.0,Defensive rebound by P. Tucker,17-23, ,,1,17,23,-6,491.0
3:42.0,J. Butler makes 2-pt jump shot from 4 ft,19-23, ,,1,19,23,-4,498.0
3:27.0, ,19-23,Turnover by B. Hyland (traveling),,1,19,23,-4,513.0
3:15.0,T. Herro makes 2-pt jump shot from 11 ft,21-23, ,,1,21,23,-2,525.0
3:03.0, ,21-23,Shooting foul by D. Dedmon (drawn by P. Dozier),,1,21,23,-2,537.0
3:03.0, ,21-24,P. Dozier makes free throw 1 of 2,,1,21,24,-3,537.0
3:03.0, ,21-25,P. Dozier makes free throw 2 of 2,,1,21,25,-4,537.0
2:57.0,Personal foul by P. Dozier (drawn by J. Butler),21-25, ,,1,21,25,-4,543.0
2:57.0, ,21-25,Denver full timeout,,1,21,25,-4,543.0
2:50.0,P. Tucker misses 3-pt jump shot from 23 ft,21-25, ,,1,21,25,-4,550.0
2:47.0, ,21-25,Defensive rebound by N. Jokić,,1,21,25,-4,553.0
2:37.0, ,21-25,A. Gordon misses 3-pt jump shot from 25 ft,,1,21,25,-4,563.0
2:34.0,Defensive rebound by Team,21-25, ,,1,21,25,-4,566.0
2:17.0,T. Herro misses 3-pt jump shot from 26 ft,21-25, ,,1,21,25,-4,583.0
2:15.0,Offensive rebound by Team,21-25, ,,1,21,25,-4,585.0
2:15.0,K. Lowry enters the game for J. Butler,21-25, ,,1,21,25,-4,585.0
2:15.0,M. Morris enters the game for P. Tucker,21-25, ,,1,21,25,-4,585.0
2:15.0, ,21-25,W. Barton enters the game for A. Gordon,,1,21,25,-4,585.0
2:15.0, ,21-25,A. Rivers enters the game for N. Jokić,,1,21,25,-4,585.0
2:15.0,Turnover by M. Morris (step out of bounds),21-25, ,,1,21,25,-4,585.0
2:05.0, ,21-25,J. Green misses 3-pt jump shot from 26 ft,,1,21,25,-4,595.0
2:01.0,Defensive rebound by C. Martin,21-25, ,,1,21,25,-4,599.0
1:49.0,M. Morris makes 2-pt layup from 4 ft,23-25, ,,1,23,25,-2,611.0
1:44.0, ,23-25,B. Hyland misses 3-pt jump shot from 25 ft,,1,23,25,-2,616.0
1:40.0,Defensive rebound by D. Dedmon,23-25, ,,1,23,25,-2,620.0
1:34.0,Turnover by T. Herro (bad pass; steal by B. Hyland),23-25, ,,1,23,25,-2,626.0
1:29.0, ,23-27,W. Barton makes 2-pt layup from 3 ft (assist by B. Hyland),,1,23,27,-4,631.0
1:07.0,Shooting foul by J. Green (drawn by D. Dedmon),23-27, ,,1,23,27,-4,653.0
1:07.0,D. Dedmon makes free throw 1 of 2,24-27, ,,1,24,27,-3,653.0
1:07.0,D. Dedmon makes free throw 2 of 2,25-27, ,,1,25,27,-2,653.0
0:56.0, ,25-29,J. Green makes 2-pt dunk from 1 ft (assist by W. Barton),,1,25,29,-4,664.0
0:47.0,C. Martin misses 3-pt jump shot from 26 ft,25-29, ,,1,25,29,-4,673.0
0:45.0, ,25-29,Defensive rebound by W. Barton,,1,25,29,-4,675.0
0:40.0, ,25-29,Personal foul by C. Martin (drawn by J. Green),,1,25,29,-4,680.0
0:40.0, ,25-29,J. Green misses free throw 1 of 2,,1,25,29,-4,680.0
0:40.0, ,25-29,Offensive rebound by Team,,1,25,29,-4,680.0
0:40.0, ,25-30,J. Green makes free throw 2 of 2,,1,25,30,-5,680.0
0:33.0,K. Lowry misses 3-pt jump shot from 25 ft (block by B. Hyland),25-30, ,,1,25,30,-5,687.0
0:30.0,Offensive rebound by K. Lowry,25-30, ,,1,25,30,-5,690.0
0:29.0,K. Lowry misses 2-pt jump shot from 17 ft,25-30, ,,1,25,30,-5,691.0
0:28.0, ,25-30,Defensive rebound by J. Green,,1,25,30,-5,692.0
0:03.0, ,25-30,P. Dozier misses 2-pt jump shot from 9 ft,,1,25,30,-5,717.0
0:01.0, ,25-30,Offensive rebound by A. Rivers,,1,25,30,-5,719.0
0:01.0, ,25-30,A. Rivers misses 3-pt jump shot from 25 ft,,1,25,30,-5,719.0
0:01.0, ,25-30,Offensive rebound by Team,,1,25,30,-5,719.0
0:00.0,End of 1st quarter,25-30,,,1,25,30,-5,720.0
12:00.0,Start of 2nd quarter,25-30,,,2,25,30,-5,720.0
11:45.0, ,25-33,P. Dozier makes 3-pt jump shot from 24 ft (assist by W. Barton),,2,25,33,-8,735.0
11:22.0,M. Morris misses 2-pt jump shot from 7 ft,25-33, ,,2,25,33,-8,758.0
