Time,Charlotte,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Plumlee vs. B. Adebayo (M. Bridges gains possession),0-0,,,1,0,0,0,0.0
11:36.0,G. Hayward misses 2-pt jump shot from 10 ft,0-0, ,,1,0,0,0,24.0
11:32.0, ,0-0,Defensive rebound by D. Robinson,,1,0,0,0,28.0
11:28.0, ,0-0,Personal foul by G. Hayward (drawn by D. Robinson),,1,0,0,0,32.0
11:16.0, ,0-0,K. Lowry misses 2-pt jump shot from 21 ft,,1,0,0,0,44.0
11:12.0,Defensive rebound by L. Ball,0-0, ,,1,0,0,0,48.0
11:04.0,L. Ball misses 2-pt jump shot from 12 ft,0-0, ,,1,0,0,0,56.0
11:00.0, ,0-0,Defensive rebound by K. Lowry,,1,0,0,0,60.0
10:58.0, ,0-0,D. Robinson misses 3-pt jump shot from 26 ft,,1,0,0,0,62.0
10:56.0,Defensive rebound by M. Bridges,0-0, ,,1,0,0,0,64.0
10:45.0,Personal foul by P. Tucker (drawn by M. Plumlee),0-0, ,,1,0,0,0,75.0
10:42.0,Personal foul by D. Robinson (drawn by K. Oubre),0-0, ,,1,0,0,0,78.0
10:32.0,K. Oubre makes 2-pt layup from 3 ft (assist by L. Ball),2-0, ,,1,0,2,-2,88.0
10:12.0, ,2-0,D. Robinson misses 2-pt layup from 3 ft (block by G. Hayward),,1,0,2,-2,108.0
10:09.0,Defensive rebound by G. Hayward,2-0, ,,1,0,2,-2,111.0
10:05.0,M. Bridges misses 3-pt jump shot from 24 ft,2-0, ,,1,0,2,-2,115.0
10:01.0, ,2-0,Defensive rebound by B. Adebayo,,1,0,2,-2,119.0
9:52.0, ,2-0,J. Butler misses 2-pt layup from 7 ft,,1,0,2,-2,128.0
9:47.0, ,2-0,Offensive rebound by J. Butler,,1,0,2,-2,133.0
9:46.0, ,2-2,J. Butler makes 2-pt layup from 2 ft,Tie,1,2,2,0,134.0
9:36.0,M. Bridges makes 2-pt layup from 7 ft,4-2, ,,1,2,4,-2,144.0
9:27.0, ,4-2,B. Adebayo misses 2-pt jump shot from 19 ft,,1,2,4,-2,153.0
9:27.0,Defensive rebound by G. Hayward,4-2, ,,1,2,4,-2,153.0
9:15.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by G. Hayward),7-2, ,,1,2,7,-5,165.0
9:02.0, ,7-4,D. Robinson makes 2-pt layup from 2 ft (assist by K. Lowry),,1,4,7,-3,178.0
8:50.0,K. Oubre misses 2-pt jump shot from 10 ft,7-4, ,,1,4,7,-3,190.0
8:48.0,Offensive rebound by K. Oubre,7-4, ,,1,4,7,-3,192.0
8:43.0,Turnover by L. Ball (bad pass; steal by B. Adebayo),7-4, ,,1,4,7,-3,197.0
8:38.0, ,7-4,Turnover by B. Adebayo (lost ball),,1,4,7,-3,202.0
8:11.0,L. Ball misses 3-pt jump shot from 27 ft,7-4, ,,1,4,7,-3,229.0
8:09.0,Offensive rebound by M. Plumlee,7-4, ,,1,4,7,-3,231.0
8:07.0,G. Hayward misses 3-pt jump shot from 25 ft,7-4, ,,1,4,7,-3,233.0
8:02.0, ,7-4,Defensive rebound by D. Robinson,,1,4,7,-3,238.0
7:58.0, ,7-4,P. Tucker misses 3-pt jump shot from 23 ft,,1,4,7,-3,242.0
7:52.0, ,7-4,Offensive rebound by J. Butler,,1,4,7,-3,248.0
7:52.0, ,7-6,J. Butler makes 2-pt layup at rim,,1,6,7,-1,248.0
7:39.0,Turnover by M. Bridges (lost ball; steal by K. Lowry),7-6, ,,1,6,7,-1,261.0
