Time,Miami,Score,Dallas,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Powell (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:43.0,K. Lowry misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,17.0
11:40.0, ,0-0,Defensive rebound by T. Hardaway,,1,0,0,0,20.0
11:18.0, ,0-0,Turnover by Team (shot clock),,1,0,0,0,42.0
10:56.0,J. Butler makes 2-pt jump shot from 11 ft,2-0, ,,1,2,0,2,64.0
10:42.0, ,2-0,Shooting foul by B. Adebayo (drawn by L. Dončić),,1,2,0,2,78.0
10:42.0, ,2-0,L. Dončić misses free throw 1 of 2,,1,2,0,2,78.0
10:42.0, ,2-0,Offensive rebound by Team,,1,2,0,2,78.0
10:42.0, ,2-1,L. Dončić makes free throw 2 of 2,,1,2,1,1,78.0
10:29.0,J. Butler misses 2-pt jump shot from 14 ft,2-1, ,,1,2,1,1,91.0
10:26.0, ,2-1,Defensive rebound by D. Finney-Smith,,1,2,1,1,94.0
10:22.0, ,2-1,D. Finney-Smith misses 3-pt jump shot from 25 ft,,1,2,1,1,98.0
10:20.0,Defensive rebound by J. Butler,2-1, ,,1,2,1,1,100.0
10:08.0,B. Adebayo misses 2-pt jump shot from 11 ft,2-1, ,,1,2,1,1,112.0
10:06.0, ,2-1,Defensive rebound by J. Brunson,,1,2,1,1,114.0
9:57.0, ,2-4,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),Lead change,1,2,4,-2,123.0
9:43.0,Turnover by B. Adebayo (lost ball; steal by D. Powell),2-4, ,,1,2,4,-2,137.0
9:30.0, ,2-4,L. Dončić misses 2-pt jump shot from 9 ft,,1,2,4,-2,150.0
9:28.0,Defensive rebound by K. Lowry,2-4, ,,1,2,4,-2,152.0
9:23.0,D. Robinson misses 2-pt jump shot from 22 ft,2-4, ,,1,2,4,-2,157.0
9:21.0, ,2-4,Defensive rebound by J. Brunson,,1,2,4,-2,159.0
9:13.0, ,2-4,T. Hardaway misses 3-pt jump shot from 24 ft,,1,2,4,-2,167.0
9:10.0,Defensive rebound by K. Lowry,2-4, ,,1,2,4,-2,170.0
9:08.0,J. Butler makes 2-pt layup from 1 ft (assist by K. Lowry),4-4, ,Tie,1,4,4,0,172.0
8:46.0, ,4-6,D. Finney-Smith makes 2-pt layup at rim (assist by D. Powell),,1,4,6,-2,194.0
8:38.0,Shooting foul by D. Powell (drawn by B. Adebayo),4-6, ,,1,4,6,-2,202.0
8:38.0,B. Adebayo makes free throw 1 of 2,5-6, ,,1,5,6,-1,202.0
8:38.0,B. Adebayo misses free throw 2 of 2,5-6, ,,1,5,6,-1,202.0
8:36.0, ,5-6,Defensive rebound by T. Hardaway,,1,5,6,-1,204.0
8:15.0, ,5-9,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,1,5,9,-4,225.0
7:54.0,P. Tucker misses 3-pt jump shot from 24 ft,5-9, ,,1,5,9,-4,246.0
7:52.0, ,5-9,Defensive rebound by J. Brunson,,1,5,9,-4,248.0
7:46.0, ,5-12,L. Dončić makes 3-pt jump shot from 30 ft (assist by T. Hardaway),,1,5,12,-7,254.0
7:34.0,Shooting foul by D. Powell (drawn by J. Butler),5-12, ,,1,5,12,-7,266.0
7:34.0,J. Butler makes free throw 1 of 2,6-12, ,,1,6,12,-6,266.0
7:34.0, ,6-12,W. Cauley-Stein enters the game for D. Powell,,1,6,12,-6,266.0
7:34.0,J. Butler makes free throw 2 of 2,7-12, ,,1,7,12,-5,266.0
7:19.0, ,7-14,L. Dončić makes 2-pt jump shot from 5 ft,,1,7,14,-7,281.0
7:06.0,J. Butler misses 2-pt jump shot from 10 ft,7-14, ,,1,7,14,-7,294.0
7:03.0, ,7-14,Defensive rebound by J. Brunson,,1,7,14,-7,297.0
6:54.0, ,7-17,T. Hardaway makes 3-pt jump shot from 23 ft (assist by J. Brunson),,1,7,17,-10,306.0
6:53.0,Miami full timeout,7-17, ,,1,7,17,-10,307.0
6:35.0,J. Butler makes 2-pt layup from 2 ft (assist by P. Tucker),9-17, ,,1,9,17,-8,325.0
6:19.0, ,9-17,T. Hardaway misses 3-pt jump shot from 23 ft,,1,9,17,-8,341.0
6:17.0,Defensive rebound by Team,9-17, ,,1,9,17,-8,343.0
6:17.0, ,9-17,R. Bullock enters the game for J. Brunson,,1,9,17,-8,343.0
6:01.0,B. Adebayo misses 2-pt layup from 2 ft,9-17, ,,1,9,17,-8,359.0
5:58.0, ,9-17,Defensive rebound by D. Finney-Smith,,1,9,17,-8,362.0
5:43.0, ,9-17,L. Dončić misses 3-pt jump shot from 25 ft,,1,9,17,-8,377.0
5:42.0, ,9-17,Offensive rebound by Team,,1,9,17,-8,378.0
5:42.0,Loose ball foul by K. Lowry (drawn by W. Cauley-Stein),9-17, ,,1,9,17,-8,378.0
5:42.0,T. Herro enters the game for K. Lowry,9-17, ,,1,9,17,-8,378.0
5:42.0, ,9-17,F. Ntilikina enters the game for T. Hardaway,,1,9,17,-8,378.0
5:34.0, ,9-17,F. Ntilikina misses 3-pt jump shot from 23 ft,,1,9,17,-8,386.0
5:30.0,Defensive rebound by B. Adebayo,9-17, ,,1,9,17,-8,390.0
5:22.0,T. Herro misses 3-pt jump shot from 23 ft,9-17, ,,1,9,17,-8,398.0
5:20.0, ,9-17,Defensive rebound by R. Bullock,,1,9,17,-8,400.0
5:03.0, ,9-17,Personal foul by J. Butler (drawn by R. Bullock),,1,9,17,-8,417.0
5:03.0,D. Dedmon enters the game for B. Adebayo,9-17, ,,1,9,17,-8,417.0
4:56.0, ,9-20,R. Bullock makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),,1,9,20,-11,424.0
4:39.0,Shooting foul by F. Ntilikina (drawn by J. Butler),9-20, ,,1,9,20,-11,441.0
4:39.0,J. Butler makes free throw 1 of 2,10-20, ,,1,10,20,-10,441.0
4:39.0,J. Butler makes free throw 2 of 2,11-20, ,,1,11,20,-9,441.0
4:27.0, ,11-20,Offensive foul by W. Cauley-Stein (drawn by P. Tucker),,1,11,20,-9,453.0
4:27.0, ,11-20,Turnover by W. Cauley-Stein (offensive foul),,1,11,20,-9,453.0
4:06.0,D. Dedmon makes 2-pt hook shot from 7 ft (assist by T. Herro),13-20, ,,1,13,20,-7,474.0
3:52.0, ,13-20,Turnover by L. Dončić (lost ball; steal by J. Butler),,1,13,20,-7,488.0
3:46.0,T. Herro misses 2-pt layup from 6 ft (block by D. Finney-Smith),13-20, ,,1,13,20,-7,494.0
3:46.0,Offensive rebound by J. Butler,13-20, ,,1,13,20,-7,494.0
3:46.0,Shooting foul by R. Bullock (drawn by J. Butler),13-20, ,,1,13,20,-7,494.0
3:46.0, ,13-20,Dallas full timeout,,1,13,20,-7,494.0
3:46.0,J. Butler makes free throw 1 of 2,14-20, ,,1,14,20,-6,494.0
3:46.0,J. Butler makes free throw 2 of 2,15-20, ,,1,15,20,-5,494.0
3:25.0, ,15-22,F. Ntilikina makes 2-pt jump shot from 19 ft (assist by R. Bullock),,1,15,22,-7,515.0
3:10.0,Turnover by J. Butler (bad pass),15-22, ,,1,15,22,-7,530.0
3:10.0, ,15-22,S. Brown enters the game for D. Finney-Smith,,1,15,22,-7,530.0
2:59.0, ,15-22,F. Ntilikina misses 3-pt jump shot from 23 ft,,1,15,22,-7,541.0
2:53.0,Defensive rebound by D. Dedmon,15-22, ,,1,15,22,-7,547.0
2:49.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by T. Herro),18-22, ,,1,18,22,-4,551.0
2:40.0, ,18-22,Personal foul by P. Tucker (drawn by L. Dončić),,1,18,22,-4,560.0
2:28.0, ,18-22,L. Dončić misses 2-pt jump shot from 12 ft,,1,18,22,-4,572.0
2:25.0, ,18-22,Offensive rebound by L. Dončić,,1,18,22,-4,575.0
2:25.0, ,18-22,W. Cauley-Stein misses 2-pt layup from 2 ft (block by D. Dedmon),,1,18,22,-4,575.0
2:25.0, ,18-22,Offensive rebound by Team,,1,18,22,-4,575.0
2:21.0, ,18-22,Shooting foul by J. Butler (drawn by L. Dončić),,1,18,22,-4,579.0
2:21.0, ,18-23,L. Dončić makes free throw 1 of 2,,1,18,23,-5,579.0
2:21.0,K. Lowry enters the game for J. Butler,18-23, ,,1,18,23,-5,579.0
2:21.0, ,18-23,T. Hardaway enters the game for W. Cauley-Stein,,1,18,23,-5,579.0
2:21.0, ,18-23,B. Marjanović enters the game for F. Ntilikina,,1,18,23,-5,579.0
2:21.0, ,18-24,L. Dončić makes free throw 2 of 2,,1,18,24,-6,579.0
2:13.0,Turnover by K. Lowry (bad pass),18-24, ,,1,18,24,-6,587.0
2:13.0, ,18-24,J. Brunson enters the game for L. Dončić,,1,18,24,-6,587.0
2:03.0, ,18-24,Turnover by B. Marjanović (traveling),,1,18,24,-6,597.0
2:03.0,C. Martin enters the game for P. Tucker,18-24, ,,1,18,24,-6,597.0
1:50.0,D. Dedmon misses 2-pt layup from 1 ft,18-24, ,,1,18,24,-6,610.0
1:48.0, ,18-24,Defensive rebound by B. Marjanović,,1,18,24,-6,612.0
1:40.0, ,18-24,B. Marjanović misses 2-pt hook shot from 8 ft,,1,18,24,-6,620.0
1:38.0,Defensive rebound by D. Dedmon,18-24, ,,1,18,24,-6,622.0
1:33.0,Personal foul by J. Brunson (drawn by K. Lowry),18-24, ,,1,18,24,-6,627.0
1:33.0,K. Lowry makes free throw 1 of 2,19-24, ,,1,19,24,-5,627.0
1:33.0,M. Morris enters the game for D. Robinson,19-24, ,,1,19,24,-5,627.0
1:33.0,K. Lowry makes free throw 2 of 2,20-24, ,,1,20,24,-4,627.0
