Time,New York,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Sims vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-2,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),,1,2,0,2,18.0
11:23.0,Turnover by R. Barrett (bad pass),0-2, ,,1,2,0,2,37.0
11:12.0, ,0-4,J. Butler makes 2-pt jump shot from 7 ft (assist by K. Lowry),,1,4,0,4,48.0
10:48.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by R. Barrett),3-4, ,,1,4,3,1,72.0
10:33.0, ,3-4,K. Lowry misses 3-pt jump shot from 26 ft,,1,4,3,1,87.0
10:29.0,Defensive rebound by R. Barrett,3-4, ,,1,4,3,1,91.0
10:20.0,J. Sims makes 2-pt layup from 6 ft (assist by R. Barrett),5-4, ,Lead change,1,4,5,-1,100.0
9:59.0, ,5-6,P. Tucker makes 2-pt hook shot from 7 ft (assist by D. Robinson),Lead change,1,6,5,1,121.0
9:38.0,E. Fournier misses 3-pt jump shot from 27 ft,5-6, ,,1,6,5,1,142.0
9:34.0, ,5-6,Defensive rebound by P. Tucker,,1,6,5,1,146.0
9:17.0, ,5-6,Def 3 sec tech foul by Team,,1,6,5,1,163.0
9:17.0, ,5-7,J. Butler makes technical free throw,,1,7,5,2,163.0
9:04.0, ,5-9,B. Adebayo makes 2-pt hook shot from 5 ft (assist by J. Butler),,1,9,5,4,176.0
8:56.0,Turnover by A. Burks (bad pass; steal by D. Robinson),5-9, ,,1,9,5,4,184.0
8:52.0, ,5-9,Shooting foul by O. Toppin (drawn by B. Adebayo),,1,9,5,4,188.0
8:52.0, ,5-9,B. Adebayo misses free throw 1 of 2,,1,9,5,4,188.0
8:52.0, ,5-9,Offensive rebound by Team,,1,9,5,4,188.0
8:52.0, ,5-10,B. Adebayo makes free throw 2 of 2,,1,10,5,5,188.0
8:35.0,A. Burks makes 3-pt jump shot from 27 ft (assist by R. Barrett),8-10, ,,1,10,8,2,205.0
8:25.0, ,8-10,K. Lowry misses 3-pt jump shot from 26 ft,,1,10,8,2,215.0
8:23.0,Defensive rebound by E. Fournier,8-10, ,,1,10,8,2,217.0
8:19.0,R. Barrett makes 3-pt jump shot from 26 ft (assist by E. Fournier),11-10, ,Lead change,1,10,11,-1,221.0
