Time,Miami,Score,Portland,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. J. Nurkić (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:42.0,Turnover by P. Tucker (bad pass; steal by J. Nurkić),0-0, ,,1,0,0,0,18.0
11:30.0, ,0-0,A. Simons misses 2-pt jump shot from 20 ft,,1,0,0,0,30.0
11:28.0,Defensive rebound by M. Strus,0-0, ,,1,0,0,0,32.0
11:20.0,O. Yurtseven misses 2-pt layup from 2 ft (block by N. Powell),0-0, ,,1,0,0,0,40.0
11:18.0, ,0-0,Defensive rebound by J. Nurkić,,1,0,0,0,42.0
11:11.0, ,0-2,N. Powell makes 2-pt jump shot from 22 ft,,1,0,2,-2,49.0
11:00.0,M. Strus makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),3-2, ,Lead change,1,3,2,1,60.0
10:32.0, ,3-5,A. Simons makes 3-pt jump shot from 25 ft (assist by N. Little),Lead change,1,3,5,-2,88.0
10:16.0,Shooting foul by N. Little (drawn by K. Lowry),3-5, ,,1,3,5,-2,104.0
10:16.0,K. Lowry makes free throw 1 of 2,4-5, ,,1,4,5,-1,104.0
10:16.0,K. Lowry makes free throw 2 of 2,5-5, ,Tie,1,5,5,0,104.0
9:56.0, ,5-5,N. Powell misses 2-pt jump shot from 3 ft,,1,5,5,0,124.0
9:55.0,Defensive rebound by O. Yurtseven,5-5, ,,1,5,5,0,125.0
9:47.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by K. Lowry),8-5, ,Lead change,1,8,5,3,133.0
9:27.0, ,8-5,Turnover by J. Nurkić (lost ball; steal by P. Tucker),,1,8,5,3,153.0
9:22.0,M. Strus makes 2-pt layup from 1 ft (assist by P. Tucker),10-5, ,,1,10,5,5,158.0
9:02.0, ,10-5,N. Little misses 3-pt jump shot from 25 ft,,1,10,5,5,178.0
9:01.0, ,10-5,Offensive rebound by L. Nance,,1,10,5,5,179.0
9:01.0, ,10-5,Shooting foul by O. Yurtseven (drawn by L. Nance),,1,10,5,5,179.0
9:01.0, ,10-6,L. Nance makes free throw 1 of 2,,1,10,6,4,179.0
9:01.0, ,10-7,L. Nance makes free throw 2 of 2,,1,10,7,3,179.0
8:50.0,M. Strus misses 2-pt layup at rim,10-7, ,,1,10,7,3,190.0
8:49.0, ,10-7,Defensive rebound by Team,,1,10,7,3,191.0
8:35.0, ,10-7,A. Simons misses 3-pt jump shot from 25 ft,,1,10,7,3,205.0
8:32.0,Defensive rebound by K. Lowry,10-7, ,,1,10,7,3,208.0
8:29.0,C. Martin makes 2-pt dunk from 1 ft (assist by K. Lowry),12-7, ,,1,12,7,5,211.0
8:08.0, ,12-7,N. Little misses 3-pt jump shot from 25 ft,,1,12,7,5,232.0
8:05.0,Defensive rebound by M. Strus,12-7, ,,1,12,7,5,235.0
7:52.0,P. Tucker misses 2-pt layup from 2 ft (block by N. Little),12-7, ,,1,12,7,5,248.0
7:50.0,Offensive rebound by P. Tucker,12-7, ,,1,12,7,5,250.0
7:49.0,P. Tucker misses 2-pt layup from 2 ft (block by J. Nurkić),12-7, ,,1,12,7,5,251.0
7:49.0,Offensive rebound by P. Tucker,12-7, ,,1,12,7,5,251.0
7:45.0,M. Strus misses 3-pt jump shot from 25 ft,12-7, ,,1,12,7,5,255.0
7:45.0, ,12-7,Defensive rebound by J. Nurkić,,1,12,7,5,255.0
7:31.0, ,12-10,L. Nance makes 3-pt jump shot from 23 ft (assist by N. Little),,1,12,10,2,269.0
7:09.0,O. Yurtseven makes 2-pt hook shot from 2 ft (assist by K. Lowry),14-10, ,,1,14,10,4,291.0
6:56.0, ,14-10,J. Nurkić misses 3-pt jump shot from 26 ft,,1,14,10,4,304.0
6:51.0,Defensive rebound by P. Tucker,14-10, ,,1,14,10,4,309.0
6:49.0,K. Lowry misses 3-pt jump shot from 30 ft,14-10, ,,1,14,10,4,311.0
6:48.0, ,14-10,Defensive rebound by Team,,1,14,10,4,312.0
6:48.0, ,14-10,Portland full timeout,,1,14,10,4,312.0
6:36.0, ,14-10,N. Powell misses 3-pt jump shot from 25 ft,,1,14,10,4,324.0
6:32.0,Defensive rebound by M. Strus,14-10, ,,1,14,10,4,328.0
6:27.0,M. Strus makes 3-pt jump shot from 25 ft (assist by K. Lowry),17-10, ,,1,17,10,7,333.0
6:16.0, ,17-10,Personal foul by O. Yurtseven (drawn by N. Powell),,1,17,10,7,344.0
6:16.0,C. Silva enters the game for O. Yurtseven,17-10, ,,1,17,10,7,344.0
6:00.0, ,17-10,N. Powell misses 2-pt jump shot from 20 ft,,1,17,10,7,360.0
5:57.0,Defensive rebound by K. Lowry,17-10, ,,1,17,10,7,363.0
5:46.0,C. Silva makes 2-pt layup from 1 ft (assist by K. Lowry),19-10, ,,1,19,10,9,374.0
