Time,Miami,Score,Golden State,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. K. Looney (K. Looney gains possession),0-0,,,1,0,0,0,0.0
11:36.0, ,0-0,Turnover by K. Looney (off goaltending),,1,0,0,0,24.0
11:22.0,K. Lowry misses 2-pt jump shot from 10 ft,0-0, ,,1,0,0,0,38.0
11:20.0,Offensive rebound by C. Martin,0-0, ,,1,0,0,0,40.0
11:19.0,C. Martin makes 2-pt layup at rim,2-0, ,,1,2,0,2,41.0
10:58.0, ,2-0,S. Curry misses 3-pt jump shot from 28 ft,,1,2,0,2,62.0
10:55.0,Defensive rebound by C. Martin,2-0, ,,1,2,0,2,65.0
10:38.0,O. Yurtseven misses 2-pt jump shot from 13 ft,2-0, ,,1,2,0,2,82.0
10:35.0, ,2-0,Defensive rebound by G. Payton,,1,2,0,2,85.0
10:28.0, ,2-3,A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Green),Lead change,1,2,3,-1,92.0
10:12.0,Turnover by T. Herro (lost ball; steal by G. Payton),2-3, ,,1,2,3,-1,108.0
10:07.0, ,2-6,A. Wiggins makes 3-pt jump shot from 24 ft (assist by S. Curry),,1,2,6,-4,113.0
9:44.0,Shooting foul by S. Curry (drawn by J. Butler),2-6, ,,1,2,6,-4,136.0
9:44.0,C. Silva enters the game for O. Yurtseven,2-6, ,,1,2,6,-4,136.0
9:44.0,J. Butler makes free throw 1 of 2,3-6, ,,1,3,6,-3,136.0
9:44.0,J. Butler makes free throw 2 of 2,4-6, ,,1,4,6,-2,136.0
9:31.0, ,4-6,Shooting foul by K. Lowry (drawn by A. Wiggins),,1,4,6,-2,149.0
9:31.0, ,4-7,A. Wiggins makes free throw 1 of 2,,1,4,7,-3,149.0
9:31.0, ,4-8,A. Wiggins makes free throw 2 of 2,,1,4,8,-4,149.0
9:18.0,Personal foul by S. Curry (drawn by C. Martin),4-8, ,,1,4,8,-4,162.0
9:18.0, ,4-8,J. Poole enters the game for S. Curry,,1,4,8,-4,162.0
9:04.0,C. Martin misses 2-pt jump shot from 20 ft,4-8, ,,1,4,8,-4,176.0
9:02.0, ,4-8,Defensive rebound by A. Wiggins,,1,4,8,-4,178.0
8:49.0, ,4-8,D. Green misses 3-pt jump shot from 26 ft,,1,4,8,-4,191.0
8:47.0,Defensive rebound by C. Silva,4-8, ,,1,4,8,-4,193.0
8:35.0,K. Lowry misses 3-pt jump shot from 26 ft,4-8, ,,1,4,8,-4,205.0
8:33.0, ,4-8,Defensive rebound by K. Looney,,1,4,8,-4,207.0
8:15.0, ,4-11,J. Poole makes 3-pt jump shot from 28 ft (assist by K. Looney),,1,4,11,-7,225.0
7:53.0,C. Silva makes 2-pt dunk from 4 ft (assist by K. Lowry),6-11, ,,1,6,11,-5,247.0
7:38.0, ,6-13,A. Wiggins makes 2-pt layup from 4 ft (assist by D. Green),,1,6,13,-7,262.0
7:19.0,T. Herro makes 2-pt layup from 6 ft,8-13, ,,1,8,13,-5,281.0
7:08.0, ,8-16,J. Poole makes 3-pt jump shot from 29 ft (assist by A. Wiggins),,1,8,16,-8,292.0
6:51.0,T. Herro misses 3-pt jump shot from 27 ft,8-16, ,,1,8,16,-8,309.0
6:46.0,Offensive rebound by Team,8-16, ,,1,8,16,-8,314.0
6:46.0, ,8-16,Golden State full timeout,,1,8,16,-8,314.0
6:46.0,K. Guy enters the game for T. Herro,8-16, ,,1,8,16,-8,314.0
6:44.0,J. Butler misses 2-pt jump shot from 15 ft,8-16, ,,1,8,16,-8,316.0
6:42.0, ,8-16,Defensive rebound by K. Looney,,1,8,16,-8,318.0
6:29.0, ,8-18,G. Payton makes 2-pt layup from 3 ft (assist by D. Green),,1,8,18,-10,331.0
6:16.0,J. Butler misses 2-pt jump shot from 14 ft,8-18, ,,1,8,18,-10,344.0
6:14.0,Offensive rebound by C. Silva,8-18, ,,1,8,18,-10,346.0
6:12.0,C. Silva makes 2-pt layup at rim,10-18, ,,1,10,18,-8,348.0
5:59.0, ,10-18,J. Poole misses 3-pt jump shot from 27 ft,,1,10,18,-8,361.0
5:57.0,Defensive rebound by J. Butler,10-18, ,,1,10,18,-8,363.0
5:48.0,Offensive foul by C. Silva (drawn by A. Wiggins),10-18, ,,1,10,18,-8,372.0
