Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
5:58.0, ,13-16,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,16,13,3,362.0
5:34.0,B. Griffin misses 2-pt jump shot from 17 ft,13-16, ,,1,16,13,3,386.0
5:31.0, ,13-16,Defensive rebound by P. Tucker,,1,16,13,3,389.0
5:24.0, ,13-16,Turnover by K. Lowry (bad pass; steal by B. Brown),,1,16,13,3,396.0
5:17.0,Personal foul by D. Robinson (drawn by P. Mills),13-16, ,,1,16,13,3,403.0
5:17.0,J. Johnson enters the game for K. Edwards,13-16, ,,1,16,13,3,403.0
5:17.0, ,13-16,T. Herro enters the game for K. Lowry,,1,16,13,3,403.0
5:17.0, ,13-16,M. Strus enters the game for D. Robinson,,1,16,13,3,403.0
5:05.0,K. Irving makes 2-pt jump shot from 12 ft,15-16, ,,1,16,15,1,415.0
4:45.0, ,15-16,Personal foul by B. Brown (drawn by J. Butler),,1,16,15,1,435.0
4:45.0,D. Duke enters the game for B. Griffin,15-16, ,,1,16,15,1,435.0
4:45.0,D. Sharpe enters the game for P. Mills,15-16, ,,1,16,15,1,435.0
4:40.0, ,15-16,Personal foul by D. Sharpe (drawn by B. Adebayo),,1,16,15,1,440.0
4:33.0, ,15-16,J. Butler misses 2-pt jump shot from 11 ft,,1,16,15,1,447.0
4:28.0,Defensive rebound by K. Irving,15-16, ,,1,16,15,1,452.0
4:20.0,K. Irving makes 2-pt jump shot from 8 ft,17-16, ,Lead change,1,16,17,-1,460.0
4:11.0, ,17-16,Shooting foul by J. Johnson (drawn by T. Herro),,1,16,17,-1,469.0
4:11.0, ,17-17,T. Herro makes free throw 1 of 2,Tie,1,17,17,0,469.0
4:11.0,C. Thomas enters the game for B. Brown,17-17, ,,1,17,17,0,469.0
4:11.0, ,17-18,T. Herro makes free throw 2 of 2,Lead change,1,18,17,1,469.0
