Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. P. Millsap (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:43.0,Turnover by K. Lowry (bad pass; steal by P. Millsap),0-0, ,,1,0,0,0,17.0
11:29.0, ,0-2,T. Harris makes 2-pt layup from 3 ft,,1,0,2,-2,31.0
11:05.0,J. Butler misses 3-pt jump shot from 28 ft,0-2, ,,1,0,2,-2,55.0
11:01.0, ,0-2,Defensive rebound by P. Millsap,,1,0,2,-2,59.0
10:57.0, ,0-2,T. Maxey misses 3-pt jump shot from 28 ft,,1,0,2,-2,63.0
10:54.0,Defensive rebound by D. Robinson,0-2, ,,1,0,2,-2,66.0
10:48.0,K. Lowry makes 2-pt layup from 2 ft,2-2, ,Tie,1,2,2,0,72.0
10:29.0, ,2-2,Offensive foul by P. Millsap (drawn by D. Robinson),,1,2,2,0,91.0
10:29.0, ,2-2,Turnover by P. Millsap (offensive foul),,1,2,2,0,91.0
10:17.0,D. Robinson misses 3-pt jump shot from 28 ft,2-2, ,,1,2,2,0,103.0
10:13.0,Offensive rebound by B. Adebayo,2-2, ,,1,2,2,0,107.0
10:12.0,B. Adebayo misses 2-pt hook shot from 8 ft,2-2, ,,1,2,2,0,108.0
10:10.0, ,2-2,Defensive rebound by T. Harris,,1,2,2,0,110.0
10:06.0, ,2-4,T. Maxey makes 2-pt layup from 2 ft (assist by T. Harris),,1,2,4,-2,114.0
9:55.0,J. Butler makes 2-pt jump shot from 8 ft,4-4, ,Tie,1,4,4,0,125.0
9:48.0, ,4-4,T. Maxey misses 3-pt jump shot from 29 ft,,1,4,4,0,132.0
9:45.0,Defensive rebound by J. Butler,4-4, ,,1,4,4,0,135.0
9:37.0,Def 3 sec tech foul by Team,4-4, ,,1,4,4,0,143.0
9:37.0,J. Butler makes technical free throw,5-4, ,Lead change,1,5,4,1,143.0
9:33.0,Personal foul by M. Thybulle (drawn by B. Adebayo),5-4, ,,1,5,4,1,147.0
9:23.0,K. Lowry misses 3-pt jump shot from 25 ft,5-4, ,,1,5,4,1,157.0
9:21.0, ,5-4,Defensive rebound by T. Harris,,1,5,4,1,159.0
9:10.0, ,5-7,G. Niang makes 3-pt jump shot from 25 ft (assist by T. Maxey),Lead change,1,5,7,-2,170.0
9:00.0,Shooting foul by T. Maxey (drawn by J. Butler),5-7, ,,1,5,7,-2,180.0
9:00.0,J. Butler makes free throw 1 of 2,6-7, ,,1,6,7,-1,180.0
9:00.0,J. Butler makes free throw 2 of 2,7-7, ,Tie,1,7,7,0,180.0
8:48.0, ,7-7,T. Harris misses 3-pt jump shot from 26 ft,,1,7,7,0,192.0
8:45.0,Defensive rebound by K. Lowry,7-7, ,,1,7,7,0,195.0
8:30.0,Turnover by B. Adebayo (out of bounds lost ball),7-7, ,,1,7,7,0,210.0
8:13.0, ,7-7,T. Harris misses 2-pt jump shot from 5 ft,,1,7,7,0,227.0
8:10.0,Defensive rebound by K. Lowry,7-7, ,,1,7,7,0,230.0
8:03.0,J. Butler misses 2-pt layup from 10 ft (block by P. Millsap),7-7, ,,1,7,7,0,237.0
8:00.0, ,7-7,Defensive rebound by P. Millsap,,1,7,7,0,240.0
7:43.0, ,7-7,T. Maxey misses 2-pt jump shot from 20 ft,,1,7,7,0,257.0
7:40.0,Defensive rebound by J. Butler,7-7, ,,1,7,7,0,260.0
7:34.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),10-7, ,Lead change,1,10,7,3,266.0
7:22.0, ,10-7,Personal foul by K. Lowry (drawn by G. Niang),,1,10,7,3,278.0
7:08.0, ,10-7,P. Millsap misses 2-pt layup from 2 ft,,1,10,7,3,292.0
7:06.0,Defensive rebound by B. Adebayo,10-7, ,,1,10,7,3,294.0
6:49.0,B. Adebayo makes 2-pt jump shot from 7 ft (assist by K. Lowry),12-7, ,,1,12,7,5,311.0
6:36.0, ,12-7,T. Harris misses 2-pt layup from 1 ft (block by B. Adebayo),,1,12,7,5,324.0
6:31.0, ,12-7,Offensive rebound by M. Thybulle,,1,12,7,5,329.0
6:30.0, ,12-9,T. Maxey makes 2-pt layup from 4 ft (assist by M. Thybulle),,1,12,9,3,330.0
6:14.0,K. Lowry makes 3-pt jump shot from 27 ft,15-9, ,,1,15,9,6,346.0
5:57.0, ,15-11,G. Niang makes 2-pt hook shot from 4 ft,,1,15,11,4,363.0
5:36.0,B. Adebayo makes 2-pt layup from 8 ft (assist by D. Robinson),17-11, ,,1,17,11,6,384.0
5:31.0, ,17-11,Shooting foul by K. Lowry (drawn by T. Maxey),,1,17,11,6,389.0
5:31.0, ,17-11,Philadelphia full timeout,,1,17,11,6,389.0
5:31.0,T. Herro enters the game for K. Lowry,17-11, ,,1,17,11,6,389.0
5:31.0, ,17-11,D. Jordan enters the game for P. Millsap,,1,17,11,6,389.0
5:31.0, ,17-11,S. Milton enters the game for G. Niang,,1,17,11,6,389.0
