Time,Washington,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Gafford vs. O. Yurtseven (D. Robinson gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,D. Robinson misses 3-pt jump shot from 26 ft,,1,0,0,0,15.0
11:43.0,Defensive rebound by K. Kuzma,0-0, ,,1,0,0,0,17.0
11:22.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by C. Kispert),2-0, ,,1,0,2,-2,38.0
11:06.0, ,2-3,D. Robinson makes 3-pt jump shot from 26 ft (assist by O. Yurtseven),Lead change,1,3,2,1,54.0
10:53.0,Turnover by D. Avdija (lost ball; steal by G. Vincent),2-3, ,,1,3,2,1,67.0
10:45.0, ,2-3,D. Robinson misses 3-pt jump shot from 26 ft,,1,3,2,1,75.0
10:41.0,Defensive rebound by K. Kuzma,2-3, ,,1,3,2,1,79.0
10:35.0,Shooting foul by O. Yurtseven (drawn by D. Avdija),2-3, ,,1,3,2,1,85.0
10:35.0,D. Avdija misses free throw 1 of 2,2-3, ,,1,3,2,1,85.0
10:35.0,Offensive rebound by Team,2-3, ,,1,3,2,1,85.0
10:35.0,D. Avdija makes free throw 2 of 2,3-3, ,Tie,1,3,3,0,85.0
10:18.0, ,3-3,C. Martin misses 3-pt jump shot from 26 ft,,1,3,3,0,102.0
10:14.0,Defensive rebound by S. Dinwiddie,3-3, ,,1,3,3,0,106.0
10:11.0,K. Kuzma makes 2-pt layup from 1 ft,5-3, ,Lead change,1,3,5,-2,109.0
10:11.0,Shooting foul by D. Robinson (drawn by K. Kuzma),5-3, ,,1,3,5,-2,109.0
10:11.0,K. Kuzma makes free throw 1 of 1,6-3, ,,1,3,6,-3,109.0
9:54.0, ,6-3,D. Robinson misses 3-pt jump shot from 23 ft,,1,3,6,-3,126.0
9:51.0,Defensive rebound by S. Dinwiddie,6-3, ,,1,3,6,-3,129.0
9:49.0,Offensive foul by D. Avdija (drawn by C. Martin),6-3, ,,1,3,6,-3,131.0
9:49.0,Turnover by D. Avdija (offensive foul),6-3, ,,1,3,6,-3,131.0
9:34.0, ,6-6,G. Vincent makes 3-pt jump shot from 27 ft (assist by J. Butler),Tie,1,6,6,0,146.0
9:13.0,C. Kispert misses 2-pt jump shot from 19 ft,6-6, ,,1,6,6,0,167.0
9:11.0, ,6-6,Defensive rebound by J. Butler,,1,6,6,0,169.0
9:05.0, ,6-6,J. Butler misses 2-pt jump shot from 7 ft,,1,6,6,0,175.0
9:05.0,Defensive rebound by C. Kispert,6-6, ,,1,6,6,0,175.0
8:50.0,K. Kuzma misses 2-pt jump shot from 9 ft,6-6, ,,1,6,6,0,190.0
8:48.0, ,6-6,Defensive rebound by O. Yurtseven,,1,6,6,0,192.0
8:38.0, ,6-8,O. Yurtseven makes 2-pt dunk from 1 ft (assist by D. Robinson),Lead change,1,8,6,2,202.0
8:21.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by D. Gafford),9-8, ,Lead change,1,8,9,-1,219.0
8:10.0, ,9-8,Shooting foul by D. Gafford (drawn by J. Butler),,1,8,9,-1,230.0
8:10.0, ,9-9,J. Butler makes free throw 1 of 2,Tie,1,9,9,0,230.0
8:10.0, ,9-10,J. Butler makes free throw 2 of 2,Lead change,1,10,9,1,230.0
7:58.0,C. Kispert makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie),12-10, ,Lead change,1,10,12,-2,242.0
7:36.0, ,12-13,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),Lead change,1,13,12,1,264.0
7:18.0,C. Kispert misses 3-pt jump shot from 24 ft,12-13, ,,1,13,12,1,282.0
7:15.0, ,12-13,Defensive rebound by J. Butler,,1,13,12,1,285.0
6:56.0, ,12-13,C. Martin misses 2-pt layup from 4 ft,,1,13,12,1,304.0
6:53.0,Defensive rebound by D. Avdija,12-13, ,,1,13,12,1,307.0
6:48.0,K. Kuzma misses 2-pt jump shot from 9 ft,12-13, ,,1,13,12,1,312.0
6:45.0, ,12-13,Defensive rebound by O. Yurtseven,,1,13,12,1,315.0
6:38.0, ,12-13,Miami full timeout,,1,13,12,1,322.0
6:27.0, ,12-15,C. Martin makes 2-pt layup from 2 ft,,1,15,12,3,333.0
6:13.0,Turnover by D. Avdija (bad pass; steal by O. Yurtseven),12-15, ,,1,15,12,3,347.0
6:03.0, ,12-15,G. Vincent misses 3-pt jump shot from 25 ft,,1,15,12,3,357.0
6:00.0, ,12-15,Offensive rebound by O. Yurtseven,,1,15,12,3,360.0
5:58.0, ,12-15,O. Yurtseven misses 2-pt dunk from 1 ft (block by C. Kispert),,1,15,12,3,362.0
5:54.0,Defensive rebound by D. Gafford,12-15, ,,1,15,12,3,366.0
5:42.0,D. Gafford makes 2-pt jump shot from 5 ft (assist by S. Dinwiddie),14-15, ,,1,15,14,1,378.0
5:35.0, ,14-15,Personal foul by C. Kispert (drawn by G. Vincent),,1,15,14,1,385.0
5:35.0,D. Bertāns enters the game for K. Kuzma,14-15, ,,1,15,14,1,385.0
5:35.0, ,14-15,T. Herro enters the game for G. Vincent,,1,15,14,1,385.0
5:30.0, ,14-15,J. Butler misses 2-pt layup from 2 ft,,1,15,14,1,390.0
5:28.0,Defensive rebound by D. Avdija,14-15, ,,1,15,14,1,392.0
5:19.0,C. Kispert makes 2-pt jump shot from 15 ft,16-15, ,Lead change,1,15,16,-1,401.0
5:04.0, ,16-17,J. Butler makes 2-pt layup from 2 ft (assist by C. Martin),Lead change,1,17,16,1,416.0
4:54.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),19-17, ,Lead change,1,17,19,-2,426.0
4:44.0, ,19-20,T. Herro makes 3-pt jump shot from 24 ft (assist by J. Butler),Lead change,1,20,19,1,436.0
4:27.0,D. Gafford makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),21-20, ,Lead change,1,20,21,-1,453.0
4:15.0, ,21-22,J. Butler makes 2-pt layup from 1 ft,Lead change,1,22,21,1,465.0
4:15.0, ,21-22,Shooting foul by D. Avdija (drawn by J. Butler),,1,22,21,1,465.0
4:15.0,I. Todd enters the game for D. Gafford,21-22, ,,1,22,21,1,465.0
4:15.0, ,21-22,K. Okpala enters the game for O. Yurtseven,,1,22,21,1,465.0
4:15.0, ,21-23,J. Butler makes free throw 1 of 1,,1,23,21,2,465.0
3:54.0,C. Kispert misses 3-pt jump shot from 24 ft,21-23, ,,1,23,21,2,486.0
3:50.0, ,21-23,Defensive rebound by T. Herro,,1,23,21,2,490.0
3:41.0, ,21-25,J. Butler makes 2-pt layup from 6 ft,,1,25,21,4,499.0
3:41.0, ,21-25,Shooting foul by D. Bertāns (drawn by J. Butler),,1,25,21,4,499.0
3:41.0,K. Kuzma enters the game for D. Avdija,21-25, ,,1,25,21,4,499.0
3:41.0, ,21-25,M. Garrett enters the game for C. Martin,,1,25,21,4,499.0
3:41.0, ,21-26,J. Butler makes free throw 1 of 1,,1,26,21,5,499.0
