Time,Miami,Score,Charlotte,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Plumlee (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:36.0,J. Butler misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,24.0
11:33.0, ,0-0,Defensive rebound by M. Plumlee,,1,0,0,0,27.0
11:12.0, ,0-0,M. Bridges misses 3-pt jump shot from 26 ft,,1,0,0,0,48.0
11:09.0,Defensive rebound by K. Lowry,0-0, ,,1,0,0,0,51.0
10:55.0,B. Adebayo misses 2-pt jump shot from 20 ft,0-0, ,,1,0,0,0,65.0
10:51.0,Offensive rebound by K. Lowry,0-0, ,,1,0,0,0,69.0
10:45.0,Turnover by K. Lowry (bad pass; steal by T. Rozier),0-0, ,,1,0,0,0,75.0
10:41.0, ,0-2,M. Bridges makes 2-pt dunk from 1 ft (assist by L. Ball),,1,0,2,-2,79.0
10:26.0,Shooting foul by M. Plumlee (drawn by B. Adebayo),0-2, ,,1,0,2,-2,94.0
10:26.0,B. Adebayo makes free throw 1 of 2,1-2, ,,1,1,2,-1,94.0
10:26.0,B. Adebayo misses free throw 2 of 2,1-2, ,,1,1,2,-1,94.0
10:23.0, ,1-2,Defensive rebound by M. Bridges,,1,1,2,-1,97.0
10:10.0,Violation by Team (kicked ball),1-2, ,,1,1,2,-1,110.0
10:04.0, ,1-2,Turnover by L. Ball (bad pass),,1,1,2,-1,116.0
9:53.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),4-2, ,Lead change,1,4,2,2,127.0
9:40.0, ,4-4,M. Bridges makes 2-pt layup from 3 ft (assist by P. Washington),Tie,1,4,4,0,140.0
9:22.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by P. Tucker),6-4, ,,1,6,4,2,158.0
9:07.0, ,6-4,L. Ball misses 3-pt jump shot from 26 ft,,1,6,4,2,173.0
9:04.0,Defensive rebound by P. Tucker,6-4, ,,1,6,4,2,176.0
8:53.0,D. Robinson misses 3-pt jump shot from 23 ft,6-4, ,,1,6,4,2,187.0
8:51.0, ,6-4,Defensive rebound by P. Washington,,1,6,4,2,189.0
8:47.0, ,6-4,T. Rozier misses 3-pt jump shot from 26 ft,,1,6,4,2,193.0
8:45.0,Defensive rebound by K. Lowry,6-4, ,,1,6,4,2,195.0
8:35.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by B. Adebayo),9-4, ,,1,9,4,5,205.0
8:12.0, ,9-7,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Rozier),,1,9,7,2,228.0
7:54.0,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Robinson),11-7, ,,1,11,7,4,246.0
7:39.0, ,11-10,T. Rozier makes 3-pt jump shot from 22 ft (assist by M. Plumlee),,1,11,10,1,261.0
7:22.0,Shooting foul by L. Ball (drawn by P. Tucker),11-10, ,,1,11,10,1,278.0
7:22.0,P. Tucker makes free throw 1 of 2,12-10, ,,1,12,10,2,278.0
7:22.0,P. Tucker makes free throw 2 of 2,13-10, ,,1,13,10,3,278.0
7:13.0, ,13-10,M. Bridges misses 3-pt jump shot from 26 ft,,1,13,10,3,287.0
7:09.0,Defensive rebound by B. Adebayo,13-10, ,,1,13,10,3,291.0
6:58.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by B. Adebayo),16-10, ,,1,16,10,6,302.0
6:42.0, ,16-10,Charlotte full timeout,,1,16,10,6,318.0
6:42.0, ,16-10,J. Thor enters the game for P. Washington,,1,16,10,6,318.0
6:38.0, ,16-10,L. Ball misses 3-pt jump shot from 25 ft,,1,16,10,6,322.0
6:34.0,Defensive rebound by J. Butler,16-10, ,,1,16,10,6,326.0
6:31.0,P. Tucker makes 2-pt dunk from 1 ft (assist by K. Lowry),18-10, ,,1,18,10,8,329.0
6:10.0, ,18-10,T. Rozier misses 3-pt jump shot from 23 ft (block by J. Butler),,1,18,10,8,350.0
6:07.0,Defensive rebound by K. Lowry,18-10, ,,1,18,10,8,353.0
6:01.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),21-10, ,,1,21,10,11,359.0
5:39.0, ,21-12,M. Bridges makes 2-pt layup from 2 ft (assist by L. Ball),,1,21,12,9,381.0
5:39.0,G. Vincent enters the game for B. Adebayo,21-12, ,,1,21,12,9,381.0
5:39.0,O. Yurtseven enters the game for K. Lowry,21-12, ,,1,21,12,9,381.0
5:39.0, ,21-12,M. Harrell enters the game for L. Ball,,1,21,12,9,381.0
5:39.0, ,21-12,K. Oubre enters the game for M. Plumlee,,1,21,12,9,381.0
5:19.0,D. Robinson misses 3-pt jump shot from 25 ft,21-12, ,,1,21,12,9,401.0
5:17.0, ,21-12,Defensive rebound by M. Bridges,,1,21,12,9,403.0
5:00.0, ,21-14,M. Bridges makes 2-pt layup from 2 ft,,1,21,14,7,420.0
4:47.0,O. Yurtseven makes 2-pt jump shot from 8 ft (assist by G. Vincent),23-14, ,,1,23,14,9,433.0
4:37.0, ,23-14,T. Rozier misses 2-pt jump shot from 7 ft,,1,23,14,9,443.0
4:36.0,Defensive rebound by O. Yurtseven,23-14, ,,1,23,14,9,444.0
4:19.0,P. Tucker makes 2-pt layup from 1 ft (assist by O. Yurtseven),25-14, ,,1,25,14,11,461.0
4:19.0, ,25-14,Charlotte full timeout,,1,25,14,11,461.0
4:19.0, ,25-14,L. Ball enters the game for T. Rozier,,1,25,14,11,461.0
4:03.0, ,25-14,J. Thor misses 2-pt layup from 3 ft,,1,25,14,11,477.0
