Time,Orlando,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bamba vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-2,B. Adebayo makes 2-pt jump shot from 18 ft (assist by D. Robinson),,1,2,0,2,17.0
11:18.0,J. Suggs misses 2-pt hook shot from 7 ft,0-2, ,,1,2,0,2,42.0
11:17.0, ,0-2,Defensive rebound by Team,,1,2,0,2,43.0
11:08.0, ,0-2,B. Adebayo misses 2-pt jump shot from 13 ft,,1,2,0,2,52.0
11:03.0,Defensive rebound by W. Carter,0-2, ,,1,2,0,2,57.0
10:56.0,C. Anthony makes 2-pt jump shot from 16 ft (assist by W. Carter),2-2, ,Tie,1,2,2,0,64.0
10:40.0, ,2-2,P. Tucker misses 3-pt jump shot from 24 ft,,1,2,2,0,80.0
10:40.0,Defensive rebound by J. Suggs,2-2, ,,1,2,2,0,80.0
10:26.0,W. Carter misses 3-pt jump shot from 26 ft,2-2, ,,1,2,2,0,94.0
10:25.0, ,2-2,Defensive rebound by Team,,1,2,2,0,95.0
10:16.0, ,2-2,D. Robinson misses 3-pt jump shot from 26 ft,,1,2,2,0,104.0
10:13.0,Defensive rebound by C. Anthony,2-2, ,,1,2,2,0,107.0
9:55.0,F. Wagner makes 2-pt jump shot from 8 ft,4-2, ,Lead change,1,2,4,-2,125.0
9:45.0, ,4-2,Personal foul by W. Carter (drawn by B. Adebayo),,1,2,4,-2,135.0
9:42.0, ,4-4,J. Butler makes 2-pt dunk from 2 ft (assist by K. Lowry),Tie,1,4,4,0,138.0
9:30.0,J. Suggs misses 3-pt jump shot from 25 ft,4-4, ,,1,4,4,0,150.0
9:26.0, ,4-4,Defensive rebound by D. Robinson,,1,4,4,0,154.0
9:11.0, ,4-4,Turnover by K. Lowry (bad pass; steal by C. Anthony),,1,4,4,0,169.0
9:07.0,F. Wagner makes 3-pt jump shot from 27 ft (assist by C. Anthony),7-4, ,,1,4,7,-3,173.0
8:45.0, ,7-4,P. Tucker misses 2-pt layup from 3 ft (block by M. Bamba),,1,4,7,-3,195.0
8:41.0, ,7-4,Offensive rebound by B. Adebayo,,1,4,7,-3,199.0
8:41.0, ,7-4,D. Robinson misses 3-pt jump shot from 24 ft,,1,4,7,-3,199.0
8:41.0,Defensive rebound by Team,7-4, ,,1,4,7,-3,199.0
8:31.0,Turnover by J. Suggs (bad pass; steal by J. Butler),7-4, ,,1,4,7,-3,209.0
8:26.0, ,7-4,K. Lowry misses 3-pt jump shot from 24 ft,,1,4,7,-3,214.0
8:21.0,Defensive rebound by J. Suggs,7-4, ,,1,4,7,-3,219.0
8:07.0,C. Anthony misses 3-pt jump shot from 24 ft,7-4, ,,1,4,7,-3,233.0
8:04.0, ,7-4,Defensive rebound by B. Adebayo,,1,4,7,-3,236.0
7:49.0, ,7-4,J. Butler misses 2-pt layup from 2 ft,,1,4,7,-3,251.0
7:45.0,Defensive rebound by C. Anthony,7-4, ,,1,4,7,-3,255.0
7:42.0,C. Anthony misses 2-pt jump shot from 6 ft,7-4, ,,1,4,7,-3,258.0
7:38.0, ,7-4,Defensive rebound by B. Adebayo,,1,4,7,-3,262.0
7:36.0, ,7-6,J. Butler makes 2-pt layup from 3 ft (assist by K. Lowry),,1,6,7,-1,264.0
7:13.0,W. Carter misses 3-pt jump shot from 23 ft,7-6, ,,1,6,7,-1,287.0
7:11.0, ,7-6,Defensive rebound by J. Butler,,1,6,7,-1,289.0
7:06.0, ,7-9,D. Robinson makes 3-pt jump shot from 27 ft (assist by K. Lowry),Lead change,1,9,7,2,294.0
7:05.0,Orlando full timeout,7-9, ,,1,9,7,2,295.0
7:05.0,G. Harris enters the game for C. Anthony,7-9, ,,1,9,7,2,295.0
7:05.0,T. Ross enters the game for F. Wagner,7-9, ,,1,9,7,2,295.0
6:51.0,M. Bamba misses 3-pt jump shot from 23 ft,7-9, ,,1,9,7,2,309.0
6:50.0,Offensive rebound by Team,7-9, ,,1,9,7,2,310.0
6:50.0, ,7-9,Loose ball foul by K. Lowry (drawn by W. Carter),,1,9,7,2,310.0
6:37.0,T. Ross misses 3-pt jump shot from 26 ft,7-9, ,,1,9,7,2,323.0
6:36.0,Offensive rebound by Team,7-9, ,,1,9,7,2,324.0
6:36.0,Turnover by Team (shot clock),7-9, ,,1,9,7,2,324.0
6:22.0, ,7-11,B. Adebayo makes 2-pt layup from 3 ft (assist by K. Lowry),,1,11,7,4,338.0
6:09.0,T. Ross misses 2-pt jump shot from 15 ft,7-11, ,,1,11,7,4,351.0
6:04.0,Offensive rebound by W. Carter,7-11, ,,1,11,7,4,356.0
6:04.0,W. Carter makes 2-pt dunk from 1 ft,9-11, ,,1,11,9,2,356.0
5:46.0, ,9-13,J. Butler makes 2-pt jump shot from 16 ft,,1,13,9,4,374.0
5:30.0,Turnover by J. Suggs (out of bounds lost ball),9-13, ,,1,13,9,4,390.0
5:30.0,M. Wagner enters the game for M. Bamba,9-13, ,,1,13,9,4,390.0
5:30.0, ,9-13,T. Herro enters the game for K. Lowry,,1,13,9,4,390.0
5:14.0, ,9-13,Turnover by D. Robinson (lost ball; steal by J. Suggs),,1,13,9,4,406.0
5:14.0,Personal take foul by D. Robinson (drawn by J. Suggs),9-13, ,,1,13,9,4,406.0
5:04.0,M. Wagner misses 3-pt jump shot from 27 ft,9-13, ,,1,13,9,4,416.0
5:00.0, ,9-13,Defensive rebound by B. Adebayo,,1,13,9,4,420.0
4:45.0, ,9-13,D. Robinson misses 3-pt jump shot from 27 ft,,1,13,9,4,435.0
4:44.0, ,9-13,Offensive rebound by Team,,1,13,9,4,436.0
4:44.0,Loose ball foul by J. Suggs (drawn by B. Adebayo),9-13, ,,1,13,9,4,436.0
4:44.0, ,9-13,D. Dedmon enters the game for B. Adebayo,,1,13,9,4,436.0
4:40.0, ,9-13,Turnover by D. Robinson (bad pass),,1,13,9,4,440.0
4:33.0,Offensive foul by W. Carter (drawn by T. Herro),9-13, ,,1,13,9,4,447.0
4:33.0,Turnover by W. Carter (offensive foul),9-13, ,,1,13,9,4,447.0
4:33.0,C. Anthony enters the game for W. Carter,9-13, ,,1,13,9,4,447.0
4:33.0,R. Lopez enters the game for J. Suggs,9-13, ,,1,13,9,4,447.0
4:21.0, ,9-15,J. Butler makes 2-pt jump shot from 12 ft,,1,15,9,6,459.0
4:08.0,M. Wagner misses 3-pt jump shot from 26 ft,9-15, ,,1,15,9,6,472.0
4:06.0, ,9-15,Defensive rebound by T. Herro,,1,15,9,6,474.0
