Time,Miami,Score,Atlanta,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. O. Okongwu (C. Martin gains possession),0-0,,,1,0,0,0,0.0
11:53.0,Turnover by C. Martin (traveling),0-0, ,,1,0,0,0,7.0
11:29.0, ,0-2,B. Bogdanović makes 2-pt jump shot from 16 ft,,1,0,2,-2,31.0
11:08.0,K. Lowry misses 3-pt jump shot from 23 ft,0-2, ,,1,0,2,-2,52.0
11:06.0, ,0-2,Defensive rebound by T. Young,,1,0,2,-2,54.0
11:00.0, ,0-2,T. Young misses 3-pt jump shot from 26 ft,,1,0,2,-2,60.0
10:57.0,Defensive rebound by P. Tucker,0-2, ,,1,0,2,-2,63.0
10:46.0,O. Yurtseven misses 2-pt layup from 5 ft (block by B. Bogdanović),0-2, ,,1,0,2,-2,74.0
10:41.0, ,0-2,Defensive rebound by J. Collins,,1,0,2,-2,79.0
10:38.0, ,0-2,Turnover by B. Bogdanović (bad pass; steal by P. Tucker),,1,0,2,-2,82.0
10:29.0,M. Strus misses 2-pt jump shot from 7 ft,0-2, ,,1,0,2,-2,91.0
10:25.0, ,0-2,Defensive rebound by J. Collins,,1,0,2,-2,95.0
10:22.0, ,0-2,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,0,2,-2,98.0
10:19.0,Defensive rebound by O. Yurtseven,0-2, ,,1,0,2,-2,101.0
10:10.0,O. Yurtseven misses 2-pt jump shot from 13 ft,0-2, ,,1,0,2,-2,110.0
10:07.0, ,0-2,Defensive rebound by O. Okongwu,,1,0,2,-2,113.0
10:00.0, ,0-2,Turnover by T. Young (bad pass; steal by P. Tucker),,1,0,2,-2,120.0
9:48.0,Turnover by C. Martin (bad pass; steal by J. Collins),0-2, ,,1,0,2,-2,132.0
9:44.0, ,0-4,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by T. Young),,1,0,4,-4,136.0
9:26.0,P. Tucker misses 3-pt jump shot from 23 ft,0-4, ,,1,0,4,-4,154.0
9:24.0, ,0-4,Defensive rebound by T. Young,,1,0,4,-4,156.0
9:19.0, ,0-6,T. Young makes 2-pt layup from 2 ft,,1,0,6,-6,161.0
8:58.0,M. Strus misses 3-pt jump shot from 25 ft,0-6, ,,1,0,6,-6,182.0
8:55.0, ,0-6,Defensive rebound by O. Okongwu,,1,0,6,-6,185.0
8:46.0, ,0-6,Shooting foul by P. Tucker (drawn by T. Luwawu-Cabarrot),,1,0,6,-6,194.0
8:46.0, ,0-7,T. Luwawu-Cabarrot makes free throw 1 of 2,,1,0,7,-7,194.0
8:46.0, ,0-8,T. Luwawu-Cabarrot makes free throw 2 of 2,,1,0,8,-8,194.0
8:30.0,C. Martin makes 2-pt jump shot from 20 ft (assist by O. Yurtseven),2-8, ,,1,2,8,-6,210.0
8:13.0, ,2-8,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,1,2,8,-6,227.0
8:08.0, ,2-8,Offensive rebound by O. Okongwu,,1,2,8,-6,232.0
8:08.0, ,2-10,O. Okongwu makes 2-pt layup at rim,,1,2,10,-8,232.0
7:59.0,C. Martin misses 2-pt jump shot from 5 ft,2-10, ,,1,2,10,-8,241.0
7:55.0, ,2-10,Defensive rebound by B. Bogdanović,,1,2,10,-8,245.0
7:49.0, ,2-10,Offensive foul by J. Collins (drawn by P. Tucker),,1,2,10,-8,251.0
7:49.0, ,2-10,Turnover by J. Collins (offensive foul),,1,2,10,-8,251.0
7:30.0,Turnover by O. Yurtseven (lost ball; steal by O. Okongwu),2-10, ,,1,2,10,-8,270.0
7:21.0, ,2-13,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),,1,2,13,-11,279.0
7:19.0,Miami full timeout,2-13, ,,1,2,13,-11,281.0
7:07.0,Shooting foul by O. Okongwu (drawn by K. Lowry),2-13, ,,1,2,13,-11,293.0
7:07.0,K. Lowry makes free throw 1 of 2,3-13, ,,1,3,13,-10,293.0
7:07.0,K. Lowry makes free throw 2 of 2,4-13, ,,1,4,13,-9,293.0
6:52.0, ,4-13,T. Young misses 3-pt jump shot from 23 ft,,1,4,13,-9,308.0
6:49.0,Defensive rebound by P. Tucker,4-13, ,,1,4,13,-9,311.0
6:33.0,C. Martin misses 3-pt jump shot from 23 ft,4-13, ,,1,4,13,-9,327.0
6:30.0, ,4-13,Defensive rebound by B. Bogdanović,,1,4,13,-9,330.0
6:24.0, ,4-13,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,4,13,-9,336.0
6:21.0,Defensive rebound by O. Yurtseven,4-13, ,,1,4,13,-9,339.0
6:18.0,Personal foul by T. Luwawu-Cabarrot (drawn by M. Strus),4-13, ,,1,4,13,-9,342.0
6:18.0,T. Herro enters the game for C. Martin,4-13, ,,1,4,13,-9,342.0
6:18.0, ,4-13,D. Gallinari enters the game for O. Okongwu,,1,4,13,-9,342.0
6:05.0,T. Herro makes 2-pt layup from 1 ft (assist by O. Yurtseven),6-13, ,,1,6,13,-7,355.0
5:50.0, ,6-16,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Luwawu-Cabarrot),,1,6,16,-10,370.0
5:39.0,Turnover by T. Herro (bad pass; steal by B. Bogdanović),6-16, ,,1,6,16,-10,381.0
5:23.0, ,6-16,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,,1,6,16,-10,397.0
5:20.0,Defensive rebound by K. Lowry,6-16, ,,1,6,16,-10,400.0
5:14.0,M. Strus makes 3-pt jump shot from 24 ft (assist by T. Herro),9-16, ,,1,9,16,-7,406.0
5:11.0, ,9-16,Atlanta full timeout,,1,9,16,-7,409.0
5:11.0,D. Dedmon enters the game for M. Strus,9-16, ,,1,9,16,-7,409.0
5:11.0,D. Robinson enters the game for O. Yurtseven,9-16, ,,1,9,16,-7,409.0
5:11.0, ,9-16,K. Huerter enters the game for T. Luwawu-Cabarrot,,1,9,16,-7,409.0
5:11.0, ,9-16,D. Wright enters the game for T. Young,,1,9,16,-7,409.0
5:00.0, ,9-16,Turnover by K. Huerter (traveling),,1,9,16,-7,420.0
4:41.0,P. Tucker makes 2-pt hook shot from 1 ft (assist by T. Herro),11-16, ,,1,11,16,-5,439.0
4:24.0, ,11-16,Personal foul by K. Lowry (drawn by J. Collins),,1,11,16,-5,456.0
4:14.0, ,11-18,J. Collins makes 2-pt jump shot from 11 ft (assist by B. Bogdanović),,1,11,18,-7,466.0
3:59.0,Personal foul by J. Collins (drawn by D. Dedmon),11-18, ,,1,11,18,-7,481.0
3:46.0,T. Herro misses 2-pt layup from 2 ft,11-18, ,,1,11,18,-7,494.0
3:42.0,Offensive rebound by D. Dedmon,11-18, ,,1,11,18,-7,498.0
3:42.0,D. Dedmon makes 2-pt layup at rim,13-18, ,,1,13,18,-5,498.0
3:21.0, ,13-20,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),,1,13,20,-7,519.0
3:11.0,Turnover by D. Robinson (lost ball; steal by K. Huerter),13-20, ,,1,13,20,-7,529.0
3:06.0, ,13-20,Turnover by J. Collins (traveling),,1,13,20,-7,534.0
3:06.0, ,13-20,D. Hunter enters the game for B. Bogdanović,,1,13,20,-7,534.0
3:06.0, ,13-20,O. Okongwu enters the game for J. Collins,,1,13,20,-7,534.0
3:06.0, ,13-20,T. Young enters the game for D. Wright,,1,13,20,-7,534.0
2:51.0,Turnover by K. Lowry (bad pass),13-20, ,,1,13,20,-7,549.0
2:51.0,C. Martin enters the game for P. Tucker,13-20, ,,1,13,20,-7,549.0
2:38.0, ,13-20,Shooting foul by D. Dedmon (drawn by O. Okongwu),,1,13,20,-7,562.0
2:38.0, ,13-20,O. Okongwu misses free throw 1 of 2,,1,13,20,-7,562.0
2:38.0, ,13-20,Offensive rebound by Team,,1,13,20,-7,562.0
2:38.0, ,13-20,O. Okongwu misses free throw 2 of 2,,1,13,20,-7,562.0
2:36.0,Defensive rebound by C. Martin,13-20, ,,1,13,20,-7,564.0
2:23.0,T. Herro makes 2-pt layup from 1 ft,15-20, ,,1,15,20,-5,577.0
2:09.0, ,15-20,T. Young misses 3-pt jump shot from 28 ft,,1,15,20,-5,591.0
2:05.0,Defensive rebound by D. Dedmon,15-20, ,,1,15,20,-5,595.0
1:54.0,T. Herro makes 2-pt layup from 1 ft,17-20, ,,1,17,20,-3,606.0
1:28.0, ,17-22,D. Gallinari makes 2-pt jump shot from 21 ft (assist by K. Huerter),,1,17,22,-5,632.0
1:15.0,T. Herro makes 2-pt jump shot from 12 ft,19-22, ,,1,19,22,-3,645.0
1:03.0, ,19-22,T. Young misses 2-pt jump shot from 15 ft,,1,19,22,-3,657.0
1:00.0,Defensive rebound by D. Dedmon,19-22, ,,1,19,22,-3,660.0
0:55.0,Turnover by K. Lowry (bad pass; steal by T. Young),19-22, ,,1,19,22,-3,665.0
0:52.0, ,19-24,T. Young makes 2-pt layup from 1 ft,,1,19,24,-5,668.0
0:30.0,C. Martin makes 2-pt layup from 2 ft (assist by T. Herro),21-24, ,,1,21,24,-3,690.0
