Time,Miami,Score,Sacramento,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:23.0,N. Stauskas misses 3-pt jump shot from 25 ft,99-99, ,,4,99,99,0,2377.0
8:20.0, ,99-99,Defensive rebound by B. Hield,,4,99,99,0,2380.0
7:58.0, ,99-99,B. Hield misses 2-pt jump shot from 14 ft,,4,99,99,0,2402.0
7:55.0,Defensive rebound by O. Yurtseven,99-99, ,,4,99,99,0,2405.0
7:40.0,N. Stauskas makes 2-pt jump shot from 14 ft (assist by K. Lowry),101-99, ,,4,101,99,2,2420.0
7:22.0, ,101-99,T. Haliburton misses 2-pt jump shot from 9 ft,,4,101,99,2,2438.0
7:22.0, ,101-99,Offensive rebound by Team,,4,101,99,2,2438.0
7:22.0,Loose ball foul by K. Guy (drawn by A. Len),101-99, ,,4,101,99,2,2438.0
7:22.0,J. Butler enters the game for K. Guy,101-99, ,,4,101,99,2,2438.0
7:22.0,T. Herro enters the game for N. Stauskas,101-99, ,,4,101,99,2,2438.0
7:22.0, ,101-99,H. Barnes enters the game for M. Harkless,,4,101,99,2,2438.0
7:22.0, ,101-99,D. Fox enters the game for A. Len,,4,101,99,2,2438.0
7:22.0, ,101-99,D. Jones enters the game for D. Mitchell,,4,101,99,2,2438.0
7:15.0, ,101-99,Shooting foul by O. Yurtseven (drawn by D. Fox),,4,101,99,2,2445.0
7:15.0, ,101-99,D. Fox misses free throw 1 of 2,,4,101,99,2,2445.0
7:15.0, ,101-99,Offensive rebound by Team,,4,101,99,2,2445.0
7:15.0, ,101-100,D. Fox makes free throw 2 of 2,,4,101,100,1,2445.0
6:53.0,J. Butler misses 2-pt jump shot from 19 ft,101-100, ,,4,101,100,1,2467.0
6:49.0,Offensive rebound by T. Herro,101-100, ,,4,101,100,1,2471.0
6:36.0,J. Butler makes 2-pt jump shot from 10 ft,103-100, ,,4,103,100,3,2484.0
6:18.0, ,103-100,B. Hield misses 2-pt layup from 3 ft,,4,103,100,3,2502.0
6:14.0, ,103-100,Offensive rebound by D. Jones,,4,103,100,3,2506.0
6:14.0, ,103-102,D. Jones makes 2-pt layup at rim,,4,103,102,1,2506.0
6:02.0,J. Butler misses 3-pt jump shot from 25 ft,103-102, ,,4,103,102,1,2518.0
5:58.0,Offensive rebound by O. Yurtseven,103-102, ,,4,103,102,1,2522.0
5:50.0,T. Herro misses 3-pt jump shot from 25 ft,103-102, ,,4,103,102,1,2530.0
5:46.0, ,103-102,Defensive rebound by T. Haliburton,,4,103,102,1,2534.0
5:41.0, ,103-104,D. Fox makes 2-pt jump shot from 11 ft (assist by T. Haliburton),Lead change,4,103,104,-1,2539.0
5:27.0,K. Lowry misses 3-pt jump shot from 26 ft,103-104, ,,4,103,104,-1,2553.0
5:27.0, ,103-104,Defensive rebound by Team,,4,103,104,-1,2553.0
5:13.0, ,103-106,D. Fox makes 2-pt jump shot from 10 ft (assist by D. Jones),,4,103,106,-3,2567.0
5:12.0,Miami full timeout,103-106, ,,4,103,106,-3,2568.0
4:48.0,T. Herro misses 2-pt layup from 4 ft,103-106, ,,4,103,106,-3,2592.0
4:45.0,Offensive rebound by O. Yurtseven,103-106, ,,4,103,106,-3,2595.0
4:45.0,O. Yurtseven misses 2-pt layup at rim,103-106, ,,4,103,106,-3,2595.0
4:44.0,Offensive rebound by O. Yurtseven,103-106, ,,4,103,106,-3,2596.0
4:44.0,O. Yurtseven misses 2-pt layup at rim,103-106, ,,4,103,106,-3,2596.0
4:42.0,Offensive rebound by T. Herro,103-106, ,,4,103,106,-3,2598.0
4:40.0,T. Herro makes 2-pt jump shot from 9 ft,105-106, ,,4,105,106,-1,2600.0
4:29.0, ,105-106,Personal foul by C. Martin (drawn by D. Fox),,4,105,106,-1,2611.0
4:16.0, ,105-106,Offensive foul by H. Barnes (drawn by K. Lowry),,4,105,106,-1,2624.0
4:16.0, ,105-106,Turnover by H. Barnes (offensive foul),,4,105,106,-1,2624.0
3:51.0,J. Butler misses 3-pt jump shot from 26 ft,105-106, ,,4,105,106,-1,2649.0
3:48.0, ,105-106,Defensive rebound by D. Fox,,4,105,106,-1,2652.0
3:46.0, ,105-106,Shooting foul by C. Martin (drawn by D. Fox),,4,105,106,-1,2654.0
3:46.0, ,105-107,D. Fox makes free throw 1 of 2,,4,105,107,-2,2654.0
3:46.0, ,105-108,D. Fox makes free throw 2 of 2,,4,105,108,-3,2654.0
3:31.0,J. Butler makes 2-pt dunk from 1 ft (assist by K. Lowry),107-108, ,,4,107,108,-1,2669.0
3:23.0, ,107-108,Sacramento full timeout,,4,107,108,-1,2677.0
3:05.0, ,107-108,Shooting foul by C. Martin (drawn by D. Fox),,4,107,108,-1,2695.0
3:05.0, ,107-109,D. Fox makes free throw 1 of 3,,4,107,109,-2,2695.0
3:05.0, ,107-110,D. Fox makes free throw 2 of 3,,4,107,110,-3,2695.0
3:05.0, ,107-111,D. Fox makes free throw 3 of 3,,4,107,111,-4,2695.0
2:43.0,J. Butler makes 2-pt jump shot from 9 ft (assist by C. Martin),109-111, ,,4,109,111,-2,2717.0
2:25.0, ,109-113,T. Haliburton makes 2-pt jump shot from 17 ft (assist by D. Jones),,4,109,113,-4,2735.0
2:06.0,J. Butler misses 2-pt jump shot from 11 ft,109-113, ,,4,109,113,-4,2754.0
2:03.0, ,109-113,Defensive rebound by D. Jones,,4,109,113,-4,2757.0
1:55.0, ,109-113,B. Hield misses 3-pt jump shot from 26 ft,,4,109,113,-4,2765.0
1:51.0,Defensive rebound by O. Yurtseven,109-113, ,,4,109,113,-4,2769.0
1:39.0,K. Lowry misses 3-pt jump shot from 25 ft,109-113, ,,4,109,113,-4,2781.0
1:34.0, ,109-113,Defensive rebound by H. Barnes,,4,109,113,-4,2786.0
1:21.0, ,109-113,H. Barnes misses 3-pt jump shot from 24 ft,,4,109,113,-4,2799.0
1:17.0,Defensive rebound by K. Lowry,109-113, ,,4,109,113,-4,2803.0
1:16.0,Personal foul by D. Fox (drawn by K. Lowry),109-113, ,,4,109,113,-4,2804.0
1:03.0,O. Yurtseven makes 2-pt jump shot from 15 ft (assist by J. Butler),111-113, ,,4,111,113,-2,2817.0
0:40.0, ,111-113,B. Hield misses 3-pt jump shot from 23 ft,,4,111,113,-2,2840.0
0:37.0,Defensive rebound by C. Martin,111-113, ,,4,111,113,-2,2843.0
0:26.0,J. Butler makes 2-pt jump shot from 7 ft,113-113, ,Tie,4,113,113,0,2854.0
0:26.0, ,113-113,Sacramento full timeout,,4,113,113,0,2854.0
0:06.0, ,113-113,Shooting foul by T. Herro (drawn by D. Fox),,4,113,113,0,2874.0
0:06.0, ,113-114,D. Fox makes free throw 1 of 2,,4,113,114,-1,2874.0
0:06.0, ,113-114,D. Mitchell enters the game for B. Hield,,4,113,114,-1,2874.0
0:06.0, ,113-115,D. Fox makes free throw 2 of 2,,4,113,115,-2,2874.0
0:06.0,Miami full timeout,113-115, ,,4,113,115,-2,2874.0
0:06.0,K. Guy enters the game for C. Martin,113-115, ,,4,113,115,-2,2874.0
0:06.0, ,113-115,C. Metu enters the game for T. Haliburton,,4,113,115,-2,2874.0
0:00.0,J. Butler misses 2-pt jump shot from 8 ft,113-115, ,,4,113,115,-2,2880.0
0:00.0,Offensive rebound by Team,113-115, ,,4,113,115,-2,2880.0
0:00.0,End of 4th quarter,113-115,,,4,113,115,-2,2880.0
