Time,Boston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: R. Williams vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-0,K. Lowry misses 3-pt jump shot from 25 ft,,1,0,0,0,20.0
11:35.0,Defensive rebound by R. Williams,0-0, ,,1,0,0,0,25.0
11:19.0,J. Brown misses 2-pt jump shot from 13 ft,0-0, ,,1,0,0,0,41.0
11:13.0, ,0-0,Defensive rebound by P. Tucker,,1,0,0,0,47.0
11:08.0, ,0-0,P. Tucker misses 2-pt hook shot from 4 ft,,1,0,0,0,52.0
11:06.0,Defensive rebound by J. Brown,0-0, ,,1,0,0,0,54.0
10:57.0,M. Smart misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,63.0
10:53.0, ,0-0,Defensive rebound by K. Lowry,,1,0,0,0,67.0
10:53.0, ,0-0,Personal foul by A. Horford (drawn by J. Butler),,1,0,0,0,67.0
10:45.0, ,0-0,P. Tucker misses 3-pt jump shot from 23 ft,,1,0,0,0,75.0
10:42.0,Defensive rebound by A. Horford,0-0, ,,1,0,0,0,78.0
10:26.0,Turnover by M. Smart (bad pass; steal by K. Lowry),0-0, ,,1,0,0,0,94.0
10:06.0, ,0-0,J. Butler misses 2-pt jump shot from 16 ft,,1,0,0,0,114.0
10:03.0,Defensive rebound by J. Tatum,0-0, ,,1,0,0,0,117.0
9:51.0,M. Smart misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,129.0
9:48.0, ,0-0,Defensive rebound by K. Lowry,,1,0,0,0,132.0
9:37.0, ,0-0,B. Adebayo misses 2-pt jump shot from 11 ft,,1,0,0,0,143.0
9:34.0, ,0-0,Offensive rebound by P. Tucker,,1,0,0,0,146.0
9:33.0, ,0-0,D. Robinson misses 3-pt jump shot from 26 ft,,1,0,0,0,147.0
9:28.0,Defensive rebound by A. Horford,0-0, ,,1,0,0,0,152.0
9:10.0,J. Tatum misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,170.0
9:07.0, ,0-0,Defensive rebound by D. Robinson,,1,0,0,0,173.0
9:04.0, ,0-0,Shooting foul by M. Smart (drawn by B. Adebayo),,1,0,0,0,176.0
9:04.0, ,0-1,B. Adebayo makes free throw 1 of 2,,1,1,0,1,176.0
9:04.0, ,0-2,B. Adebayo makes free throw 2 of 2,,1,2,0,2,176.0
8:51.0,A. Horford misses 3-pt jump shot from 23 ft,0-2, ,,1,2,0,2,189.0
8:48.0, ,0-2,Defensive rebound by D. Robinson,,1,2,0,2,192.0
8:41.0, ,0-5,D. Robinson makes 3-pt jump shot from 28 ft (assist by J. Butler),,1,5,0,5,199.0
8:27.0,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Tatum),3-5, ,,1,5,3,2,213.0
8:07.0, ,3-5,B. Adebayo misses 2-pt jump shot from 12 ft (block by A. Horford),,1,5,3,2,233.0
8:04.0,Defensive rebound by R. Williams,3-5, ,,1,5,3,2,236.0
7:58.0,A. Horford misses 2-pt hook shot from 8 ft,3-5, ,,1,5,3,2,242.0
7:55.0,Offensive rebound by R. Williams,3-5, ,,1,5,3,2,245.0
7:54.0,Shooting foul by K. Lowry (drawn by J. Brown),3-5, ,,1,5,3,2,246.0
7:54.0,J. Brown misses free throw 1 of 2,3-5, ,,1,5,3,2,246.0
7:54.0,Offensive rebound by Team,3-5, ,,1,5,3,2,246.0
7:54.0,J. Brown makes free throw 2 of 2,4-5, ,,1,5,4,1,246.0
7:44.0, ,4-5,Offensive foul by B. Adebayo (drawn by M. Smart),,1,5,4,1,256.0
7:44.0, ,4-5,Turnover by B. Adebayo (offensive foul),,1,5,4,1,256.0
7:27.0,J. Tatum misses 2-pt jump shot from 19 ft,4-5, ,,1,5,4,1,273.0
7:24.0, ,4-5,Defensive rebound by K. Lowry,,1,5,4,1,276.0
7:19.0, ,4-7,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),,1,7,4,3,281.0
7:05.0,A. Horford misses 3-pt jump shot from 26 ft,4-7, ,,1,7,4,3,295.0
7:02.0, ,4-7,Defensive rebound by K. Lowry,,1,7,4,3,298.0
6:57.0, ,4-7,J. Butler misses 3-pt jump shot from 23 ft,,1,7,4,3,303.0
6:54.0, ,4-7,Offensive rebound by P. Tucker,,1,7,4,3,306.0
6:49.0, ,4-7,K. Lowry misses 3-pt jump shot from 25 ft,,1,7,4,3,311.0
6:46.0, ,4-7,Offensive rebound by P. Tucker,,1,7,4,3,314.0
6:42.0, ,4-9,J. Butler makes 2-pt layup from 2 ft (assist by P. Tucker),,1,9,4,5,318.0
6:42.0,Boston full timeout,4-9, ,,1,9,4,5,318.0
6:42.0,G. Williams enters the game for A. Horford,4-9, ,,1,9,4,5,318.0
6:30.0,J. Brown misses 2-pt layup from 5 ft,4-9, ,,1,9,4,5,330.0
6:26.0, ,4-9,Defensive rebound by B. Adebayo,,1,9,4,5,334.0
6:19.0, ,4-12,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,12,4,8,341.0
6:01.0,G. Williams makes 3-pt jump shot from 23 ft (assist by R. Williams),7-12, ,,1,12,7,5,359.0
5:42.0, ,7-15,D. Robinson makes 3-pt jump shot from 28 ft (assist by J. Butler),,1,15,7,8,378.0
5:19.0,J. Brown makes 3-pt jump shot from 24 ft (assist by M. Smart),10-15, ,,1,15,10,5,401.0
4:58.0, ,10-15,B. Adebayo misses 2-pt jump shot from 12 ft,,1,15,10,5,422.0
4:55.0,Defensive rebound by J. Tatum,10-15, ,,1,15,10,5,425.0
4:50.0,M. Smart misses 3-pt jump shot from 27 ft,10-15, ,,1,15,10,5,430.0
4:45.0, ,10-15,Defensive rebound by D. Robinson,,1,15,10,5,435.0
4:31.0, ,10-18,P. Tucker makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,1,18,10,8,449.0
4:12.0,J. Brown makes 2-pt layup from 3 ft,12-18, ,,1,18,12,6,468.0
4:01.0, ,12-18,K. Lowry misses 3-pt jump shot from 24 ft,,1,18,12,6,479.0
3:58.0,Defensive rebound by J. Tatum,12-18, ,,1,18,12,6,482.0
3:43.0,J. Tatum misses 2-pt jump shot from 2 ft,12-18, ,,1,18,12,6,497.0
3:42.0,Offensive rebound by R. Williams,12-18, ,,1,18,12,6,498.0
3:42.0,R. Williams makes 2-pt layup at rim,14-18, ,,1,18,14,4,498.0
3:42.0, ,14-18,Miami full timeout,,1,18,14,4,498.0
3:42.0,R. Langford enters the game for M. Smart,14-18, ,,1,18,14,4,498.0
3:42.0,D. Schröder enters the game for J. Tatum,14-18, ,,1,18,14,4,498.0
3:42.0, ,14-18,D. Dedmon enters the game for B. Adebayo,,1,18,14,4,498.0
3:42.0, ,14-18,T. Herro enters the game for K. Lowry,,1,18,14,4,498.0
3:20.0, ,14-18,D. Robinson misses 3-pt jump shot from 24 ft,,1,18,14,4,520.0
3:19.0, ,14-18,Offensive rebound by Team,,1,18,14,4,521.0
3:08.0, ,14-18,Turnover by P. Tucker (bad pass),,1,18,14,4,532.0
2:54.0,Turnover by R. Williams (step out of bounds),14-18, ,,1,18,14,4,546.0
2:40.0, ,14-18,J. Butler misses 2-pt jump shot from 5 ft (block by J. Brown),,1,18,14,4,560.0
2:35.0, ,14-18,Offensive rebound by J. Butler,,1,18,14,4,565.0
2:27.0, ,14-18,J. Butler misses 3-pt jump shot from 23 ft,,1,18,14,4,573.0
2:23.0,Defensive rebound by R. Williams,14-18, ,,1,18,14,4,577.0
