Time,Miami,Score,Memphis,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. S. Adams (J. Jackson gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,D. Bane misses 2-pt jump shot from 6 ft,,1,0,0,0,14.0
11:42.0,Defensive rebound by D. Robinson,0-0, ,,1,0,0,0,18.0
11:22.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by D. Dedmon),3-0, ,,1,3,0,3,38.0
11:05.0, ,3-0,J. Morant misses 3-pt jump shot from 29 ft,,1,3,0,3,55.0
11:03.0,Defensive rebound by D. Dedmon,3-0, ,,1,3,0,3,57.0
10:53.0,Shooting foul by S. Adams (drawn by J. Butler),3-0, ,,1,3,0,3,67.0
10:53.0,J. Butler makes free throw 1 of 2,4-0, ,,1,4,0,4,67.0
10:53.0,J. Butler makes free throw 2 of 2,5-0, ,,1,5,0,5,67.0
10:33.0, ,5-0,J. Jackson misses 2-pt jump shot from 12 ft,,1,5,0,5,87.0
10:29.0,Defensive rebound by D. Robinson,5-0, ,,1,5,0,5,91.0
10:11.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),8-0, ,,1,8,0,8,109.0
9:55.0, ,8-0,Shooting foul by D. Dedmon (drawn by J. Morant),,1,8,0,8,125.0
9:55.0, ,8-1,J. Morant makes free throw 1 of 2,,1,8,1,7,125.0
9:55.0, ,8-2,J. Morant makes free throw 2 of 2,,1,8,2,6,125.0
9:42.0,Turnover by D. Dedmon (bad pass; steal by D. Melton),8-2, ,,1,8,2,6,138.0
9:33.0, ,8-2,Shooting foul by D. Dedmon (drawn by S. Adams),,1,8,2,6,147.0
9:33.0, ,8-3,S. Adams makes free throw 1 of 2,,1,8,3,5,147.0
9:33.0,M. Morris enters the game for D. Dedmon,8-3, ,,1,8,3,5,147.0
9:33.0, ,8-4,S. Adams makes free throw 2 of 2,,1,8,4,4,147.0
9:23.0,M. Morris misses 2-pt jump shot from 18 ft,8-4, ,,1,8,4,4,157.0
9:20.0, ,8-4,Defensive rebound by S. Adams,,1,8,4,4,160.0
9:12.0, ,8-6,J. Jackson makes 2-pt hook shot from 7 ft (assist by S. Adams),,1,8,6,2,168.0
9:01.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by J. Butler),11-6, ,,1,11,6,5,179.0
8:45.0, ,11-6,D. Melton misses 2-pt layup from 3 ft,,1,11,6,5,195.0
8:44.0,Defensive rebound by Team,11-6, ,,1,11,6,5,196.0
8:29.0,M. Morris makes 2-pt jump shot from 22 ft (assist by K. Lowry),13-6, ,,1,13,6,7,211.0
8:11.0, ,13-8,J. Morant makes 2-pt layup from 1 ft (assist by D. Melton),,1,13,8,5,229.0
7:56.0,J. Butler makes 2-pt layup at rim (assist by M. Morris),15-8, ,,1,15,8,7,244.0
7:43.0, ,15-8,J. Jackson misses 3-pt jump shot from 25 ft,,1,15,8,7,257.0
7:37.0,Defensive rebound by K. Lowry,15-8, ,,1,15,8,7,263.0
7:22.0,M. Morris makes 3-pt jump shot from 23 ft (assist by P. Tucker),18-8, ,,1,18,8,10,278.0
7:21.0, ,18-8,Memphis full timeout,,1,18,8,10,279.0
7:01.0, ,18-10,D. Melton makes 2-pt jump shot from 11 ft,,1,18,10,8,299.0
6:39.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Butler),21-10, ,,1,21,10,11,321.0
6:27.0, ,21-10,D. Melton misses 2-pt jump shot from 16 ft,,1,21,10,11,333.0
6:26.0, ,21-10,Offensive rebound by Team,,1,21,10,11,334.0
6:26.0, ,21-10,K. Anderson enters the game for D. Bane,,1,21,10,11,334.0
6:26.0, ,21-10,Z. Williams enters the game for J. Jackson,,1,21,10,11,334.0
6:14.0, ,21-10,J. Morant misses 2-pt layup from 3 ft,,1,21,10,11,346.0
6:11.0,Defensive rebound by J. Butler,21-10, ,,1,21,10,11,349.0
5:57.0,Turnover by M. Morris (bad pass; steal by Z. Williams),21-10, ,,1,21,10,11,363.0
5:52.0, ,21-13,D. Melton makes 3-pt jump shot from 23 ft (assist by J. Morant),,1,21,13,8,368.0
5:43.0,Shooting foul by Z. Williams (drawn by J. Butler),21-13, ,,1,21,13,8,377.0
5:43.0,J. Butler makes free throw 1 of 2,22-13, ,,1,22,13,9,377.0
5:43.0,T. Herro enters the game for K. Lowry,22-13, ,,1,22,13,9,377.0
5:43.0,J. Butler makes free throw 2 of 2,23-13, ,,1,23,13,10,377.0
5:22.0, ,23-15,S. Adams makes 2-pt dunk at rim (assist by J. Morant),,1,23,15,8,398.0
5:01.0,Shooting foul by Z. Williams (drawn by J. Butler),23-15, ,,1,23,15,8,419.0
5:01.0,J. Butler makes free throw 1 of 2,24-15, ,,1,24,15,9,419.0
5:01.0, ,24-15,X. Tillman enters the game for S. Adams,,1,24,15,9,419.0
5:01.0,J. Butler makes free throw 2 of 2,25-15, ,,1,25,15,10,419.0
4:42.0, ,25-18,K. Anderson makes 3-pt jump shot from 23 ft (assist by J. Morant),,1,25,18,7,438.0
4:15.0,D. Robinson misses 3-pt jump shot from 31 ft,25-18, ,,1,25,18,7,465.0
4:12.0, ,25-18,Defensive rebound by K. Anderson,,1,25,18,7,468.0
4:01.0, ,25-18,X. Tillman misses 2-pt jump shot from 10 ft,,1,25,18,7,479.0
3:59.0, ,25-18,Offensive rebound by X. Tillman,,1,25,18,7,481.0
3:57.0, ,25-20,Z. Williams makes 2-pt jump shot from 15 ft (assist by X. Tillman),,1,25,20,5,483.0
3:29.0,T. Herro makes 3-pt jump shot from 26 ft (assist by M. Morris),28-20, ,,1,28,20,8,511.0
3:13.0, ,28-20,Z. Williams misses 2-pt jump shot from 11 ft,,1,28,20,8,527.0
3:11.0,Defensive rebound by P. Tucker,28-20, ,,1,28,20,8,529.0
2:58.0,P. Tucker makes 2-pt layup from 1 ft (assist by M. Morris),30-20, ,,1,30,20,10,542.0
2:52.0, ,30-20,Memphis full timeout,,1,30,20,10,548.0
2:52.0,C. Martin enters the game for D. Robinson,30-20, ,,1,30,20,10,548.0
2:52.0,M. Strus enters the game for P. Tucker,30-20, ,,1,30,20,10,548.0
2:52.0, ,30-20,J. Konchar enters the game for D. Melton,,1,30,20,10,548.0
2:46.0, ,30-20,Turnover by J. Morant (lost ball; steal by J. Butler),,1,30,20,10,554.0
2:43.0,J. Butler makes 2-pt dunk from 2 ft,32-20, ,,1,32,20,12,557.0
2:23.0, ,32-22,J. Morant makes 2-pt layup from 5 ft,,1,32,22,10,577.0
1:57.0,T. Herro makes 2-pt jump shot from 4 ft,34-22, ,,1,34,22,12,603.0
1:31.0, ,34-22,Turnover by K. Anderson (bad pass; steal by J. Butler),,1,34,22,12,629.0
1:14.0,M. Strus makes 3-pt jump shot from 25 ft (assist by J. Butler),37-22, ,,1,37,22,15,646.0
0:54.0, ,37-22,Turnover by Z. Williams (bad pass; steal by M. Morris),,1,37,22,15,666.0
0:49.0,T. Herro misses 2-pt layup from 4 ft (block by J. Konchar),37-22, ,,1,37,22,15,671.0
0:49.0,Offensive rebound by Team,37-22, ,,1,37,22,15,671.0
0:49.0,K. Lowry enters the game for J. Butler,37-22, ,,1,37,22,15,671.0
0:49.0, ,37-22,D. Bane enters the game for K. Anderson,,1,37,22,15,671.0
0:49.0, ,37-22,J. Jackson enters the game for J. Morant,,1,37,22,15,671.0
0:49.0, ,37-22,T. Jones enters the game for Z. Williams,,1,37,22,15,671.0
0:48.0,Shooting foul by J. Konchar (drawn by M. Strus),37-22, ,,1,37,22,15,672.0
0:48.0,M. Strus misses free throw 1 of 2,37-22, ,,1,37,22,15,672.0
0:48.0,Offensive rebound by Team,37-22, ,,1,37,22,15,672.0
0:48.0,M. Strus makes free throw 2 of 2,38-22, ,,1,38,22,16,672.0
0:38.0, ,38-22,J. Jackson misses 3-pt jump shot from 26 ft,,1,38,22,16,682.0
