Time,Miami,Score,Orlando,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. R. Lopez (W. Carter gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Personal foul by D. Dedmon (drawn by R. Lopez),,1,0,0,0,15.0
11:41.0, ,0-2,G. Harris makes 2-pt layup from 4 ft (assist by R. Lopez),,1,0,2,-2,19.0
11:26.0,Personal foul by G. Harris (drawn by K. Lowry),0-2, ,,1,0,2,-2,34.0
11:18.0,D. Robinson misses 2-pt jump shot from 18 ft,0-2, ,,1,0,2,-2,42.0
11:17.0, ,0-2,Defensive rebound by Team,,1,0,2,-2,43.0
11:02.0, ,0-2,R. Lopez misses 2-pt hook shot from 8 ft,,1,0,2,-2,58.0
10:57.0,Defensive rebound by D. Dedmon,0-2, ,,1,0,2,-2,63.0
10:41.0,Shooting foul by G. Harris (drawn by P. Tucker),0-2, ,,1,0,2,-2,79.0
10:41.0,P. Tucker makes free throw 1 of 2,1-2, ,,1,1,2,-1,79.0
10:41.0,P. Tucker misses free throw 2 of 2,1-2, ,,1,1,2,-1,79.0
10:37.0, ,1-2,Defensive rebound by C. Okeke,,1,1,2,-1,83.0
10:28.0, ,1-4,F. Wagner makes 2-pt layup from 1 ft (assist by R. Lopez),,1,1,4,-3,92.0
10:16.0,G. Vincent misses 3-pt jump shot from 27 ft,1-4, ,,1,1,4,-3,104.0
10:13.0, ,1-4,Defensive rebound by W. Carter,,1,1,4,-3,107.0
10:05.0, ,1-4,W. Carter misses 3-pt jump shot from 25 ft,,1,1,4,-3,115.0
10:02.0,Defensive rebound by G. Vincent,1-4, ,,1,1,4,-3,118.0
9:54.0,P. Tucker misses 2-pt layup from 2 ft,1-4, ,,1,1,4,-3,126.0
9:47.0,Offensive rebound by D. Dedmon,1-4, ,,1,1,4,-3,133.0
9:47.0,D. Dedmon makes 2-pt dunk at rim,3-4, ,,1,3,4,-1,133.0
9:36.0, ,3-7,C. Okeke makes 3-pt jump shot from 25 ft (assist by W. Carter),,1,3,7,-4,144.0
9:15.0,D. Dedmon misses 3-pt jump shot from 22 ft,3-7, ,,1,3,7,-4,165.0
9:12.0, ,3-7,Defensive rebound by W. Carter,,1,3,7,-4,168.0
9:03.0, ,3-7,G. Harris misses 3-pt jump shot from 24 ft,,1,3,7,-4,177.0
9:00.0,Defensive rebound by D. Robinson,3-7, ,,1,3,7,-4,180.0
8:55.0,Personal foul by W. Carter (drawn by D. Dedmon),3-7, ,,1,3,7,-4,185.0
8:43.0,Turnover by D. Dedmon (bad pass; steal by C. Okeke),3-7, ,,1,3,7,-4,197.0
8:27.0, ,3-7,C. Okeke misses 3-pt jump shot from 25 ft,,1,3,7,-4,213.0
8:24.0,Defensive rebound by Team,3-7, ,,1,3,7,-4,216.0
8:15.0,D. Dedmon makes 3-pt jump shot from 27 ft (assist by K. Lowry),6-7, ,,1,6,7,-1,225.0
7:58.0, ,6-7,Personal foul by D. Robinson (drawn by W. Carter),,1,6,7,-1,242.0
7:45.0, ,6-9,R. Lopez makes 2-pt hook shot from 5 ft (assist by C. Okeke),,1,6,9,-3,255.0
7:33.0,Turnover by G. Vincent (traveling),6-9, ,,1,6,9,-3,267.0
7:21.0, ,6-11,R. Lopez makes 2-pt hook shot from 5 ft,,1,6,11,-5,279.0
7:14.0,G. Vincent makes 2-pt layup from 4 ft,8-11, ,,1,8,11,-3,286.0
6:51.0, ,8-11,W. Carter misses 2-pt layup from 3 ft (block by G. Vincent),,1,8,11,-3,309.0
6:51.0, ,8-11,Offensive rebound by Team,,1,8,11,-3,309.0
6:51.0, ,8-11,Orlando full timeout,,1,8,11,-3,309.0
6:51.0,K. Okpala enters the game for P. Tucker,8-11, ,,1,8,11,-3,309.0
6:47.0, ,8-13,F. Wagner makes 2-pt jump shot from 16 ft (assist by G. Harris),,1,8,13,-5,313.0
6:31.0,K. Okpala misses 2-pt layup from 3 ft,8-13, ,,1,8,13,-5,329.0
6:25.0,Offensive rebound by K. Okpala,8-13, ,,1,8,13,-5,335.0
6:25.0,K. Okpala misses 2-pt layup at rim,8-13, ,,1,8,13,-5,335.0
6:24.0, ,8-13,Defensive rebound by R. Lopez,,1,8,13,-5,336.0
6:21.0, ,8-13,F. Wagner misses 2-pt jump shot from 11 ft,,1,8,13,-5,339.0
6:21.0, ,8-13,Offensive rebound by F. Wagner,,1,8,13,-5,339.0
6:18.0, ,8-15,F. Wagner makes 2-pt layup from 1 ft,,1,8,15,-7,342.0
6:03.0,K. Okpala misses 2-pt jump shot from 14 ft,8-15, ,,1,8,15,-7,357.0
6:00.0, ,8-15,Defensive rebound by C. Okeke,,1,8,15,-7,360.0
5:49.0, ,8-18,G. Harris makes 3-pt jump shot from 25 ft (assist by C. Okeke),,1,8,18,-10,371.0
5:48.0,Miami full timeout,8-18, ,,1,8,18,-10,372.0
5:48.0,M. Strus enters the game for G. Vincent,8-18, ,,1,8,18,-10,372.0
5:48.0, ,8-18,M. Mulder enters the game for W. Carter,,1,8,18,-10,372.0
5:26.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Lowry),11-18, ,,1,11,18,-7,394.0
5:06.0, ,11-18,R. Lopez misses 2-pt hook shot from 9 ft,,1,11,18,-7,414.0
5:03.0,Defensive rebound by K. Lowry,11-18, ,,1,11,18,-7,417.0
4:59.0,K. Lowry makes 3-pt jump shot from 26 ft,14-18, ,,1,14,18,-4,421.0
4:46.0, ,14-18,F. Wagner misses 3-pt jump shot from 25 ft,,1,14,18,-4,434.0
4:42.0,Defensive rebound by M. Strus,14-18, ,,1,14,18,-4,438.0
4:30.0,D. Dedmon makes 2-pt layup from 2 ft (assist by K. Lowry),16-18, ,,1,16,18,-2,450.0
4:10.0, ,16-18,F. Wagner misses 2-pt jump shot from 12 ft,,1,16,18,-2,470.0
4:07.0,Defensive rebound by M. Strus,16-18, ,,1,16,18,-2,473.0
