Time,Washington,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Harrell vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,D. Robinson misses 3-pt jump shot from 23 ft,,1,0,0,0,19.0
11:38.0,Defensive rebound by K. Kuzma,0-0, ,,1,0,0,0,22.0
11:28.0,A. Holiday makes 2-pt layup from 2 ft (assist by K. Kuzma),2-0, ,,1,0,2,-2,32.0
11:16.0, ,2-2,B. Adebayo makes 2-pt jump shot from 12 ft,Tie,1,2,2,0,44.0
10:48.0,B. Beal makes 3-pt jump shot from 27 ft (assist by K. Kuzma),5-2, ,,1,2,5,-3,72.0
10:28.0, ,5-2,K. Lowry misses 3-pt jump shot from 27 ft,,1,2,5,-3,92.0
10:25.0,Defensive rebound by M. Harrell,5-2, ,,1,2,5,-3,95.0
10:09.0,Turnover by B. Beal (bad pass; steal by D. Robinson),5-2, ,,1,2,5,-3,111.0
10:01.0, ,5-2,B. Adebayo misses 2-pt layup from 1 ft,,1,2,5,-3,119.0
9:59.0,Defensive rebound by K. Kuzma,5-2, ,,1,2,5,-3,121.0
9:55.0,Turnover by K. Kuzma (bad pass; steal by D. Robinson),5-2, ,,1,2,5,-3,125.0
9:51.0, ,5-2,D. Robinson misses 3-pt jump shot from 26 ft,,1,2,5,-3,129.0
9:47.0,Defensive rebound by K. Caldwell-Pope,5-2, ,,1,2,5,-3,133.0
9:36.0,M. Harrell misses 2-pt jump shot from 11 ft,5-2, ,,1,2,5,-3,144.0
9:33.0, ,5-2,Defensive rebound by K. Lowry,,1,2,5,-3,147.0
9:29.0, ,5-2,Turnover by K. Lowry (lost ball; steal by A. Holiday),,1,2,5,-3,151.0
9:15.0,M. Harrell misses 2-pt layup from 1 ft,5-2, ,,1,2,5,-3,165.0
9:13.0,Offensive rebound by M. Harrell,5-2, ,,1,2,5,-3,167.0
9:12.0,M. Harrell makes 2-pt layup from 2 ft,7-2, ,,1,2,7,-5,168.0
9:00.0, ,7-2,B. Adebayo misses 2-pt jump shot from 12 ft,,1,2,7,-5,180.0
8:56.0,Defensive rebound by K. Kuzma,7-2, ,,1,2,7,-5,184.0
8:50.0,Turnover by K. Kuzma (lost ball; steal by J. Butler),7-2, ,,1,2,7,-5,190.0
8:44.0, ,7-4,J. Butler makes 2-pt layup from 3 ft (assist by K. Lowry),,1,4,7,-3,196.0
8:37.0,Personal foul by D. Robinson (drawn by K. Caldwell-Pope),7-4, ,,1,4,7,-3,203.0
8:29.0,A. Holiday misses 2-pt jump shot from 5 ft,7-4, ,,1,4,7,-3,211.0
8:27.0, ,7-4,Defensive rebound by P. Tucker,,1,4,7,-3,213.0
8:18.0, ,7-4,D. Robinson misses 3-pt jump shot from 27 ft,,1,4,7,-3,222.0
8:14.0,Defensive rebound by M. Harrell,7-4, ,,1,4,7,-3,226.0
8:06.0,Personal foul by B. Adebayo (drawn by B. Beal),7-4, ,,1,4,7,-3,234.0
7:58.0,M. Harrell makes 2-pt dunk from 1 ft (assist by B. Beal),9-4, ,,1,4,9,-5,242.0
7:39.0, ,9-6,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),,1,6,9,-3,261.0
7:25.0,B. Beal misses 3-pt jump shot from 25 ft,9-6, ,,1,6,9,-3,275.0
7:22.0, ,9-6,Defensive rebound by B. Adebayo,,1,6,9,-3,278.0
7:09.0, ,9-6,B. Adebayo misses 2-pt jump shot from 10 ft,,1,6,9,-3,291.0
7:06.0,Defensive rebound by B. Beal,9-6, ,,1,6,9,-3,294.0
7:03.0,Offensive foul by B. Beal (drawn by K. Lowry),9-6, ,,1,6,9,-3,297.0
7:03.0,Turnover by B. Beal (offensive foul),9-6, ,,1,6,9,-3,297.0
6:46.0, ,9-6,J. Butler misses 2-pt jump shot from 12 ft,,1,6,9,-3,314.0
6:43.0,Defensive rebound by M. Harrell,9-6, ,,1,6,9,-3,317.0
6:25.0,M. Harrell makes 2-pt jump shot from 9 ft,11-6, ,,1,6,11,-5,335.0
6:04.0, ,11-6,K. Lowry misses 2-pt jump shot from 22 ft,,1,6,11,-5,356.0
6:00.0,Defensive rebound by K. Kuzma,11-6, ,,1,6,11,-5,360.0
5:56.0,B. Beal makes 2-pt layup from 2 ft (assist by A. Holiday),13-6, ,,1,6,13,-7,364.0
5:56.0, ,13-6,Miami full timeout,,1,6,13,-7,364.0
5:56.0,R. Neto enters the game for A. Holiday,13-6, ,,1,6,13,-7,364.0
5:41.0, ,13-6,J. Butler misses 2-pt layup from 1 ft,,1,6,13,-7,379.0
5:39.0,Defensive rebound by M. Harrell,13-6, ,,1,6,13,-7,381.0
5:23.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,13-6, ,,1,6,13,-7,397.0
5:18.0, ,13-6,Defensive rebound by K. Lowry,,1,6,13,-7,402.0
5:14.0, ,13-8,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Lowry),,1,8,13,-5,406.0
4:55.0,M. Harrell makes 2-pt layup from 1 ft (assist by B. Beal),15-8, ,,1,8,15,-7,425.0
4:41.0, ,15-10,J. Butler makes 2-pt jump shot from 11 ft,,1,10,15,-5,439.0
4:29.0,Turnover by B. Beal (bad pass),15-10, ,,1,10,15,-5,451.0
4:29.0,D. Avdija enters the game for K. Caldwell-Pope,15-10, ,,1,10,15,-5,451.0
4:29.0,A. Gill enters the game for M. Harrell,15-10, ,,1,10,15,-5,451.0
4:29.0,C. Kispert enters the game for K. Kuzma,15-10, ,,1,10,15,-5,451.0
4:29.0, ,15-10,D. Dedmon enters the game for B. Adebayo,,1,10,15,-5,451.0
4:29.0, ,15-10,G. Vincent enters the game for K. Lowry,,1,10,15,-5,451.0
4:07.0, ,15-10,Turnover by J. Butler (bad pass; steal by B. Beal),,1,10,15,-5,473.0
4:02.0,B. Beal misses 3-pt jump shot from 25 ft,15-10, ,,1,10,15,-5,478.0
3:57.0,Offensive rebound by C. Kispert,15-10, ,,1,10,15,-5,483.0
3:56.0,C. Kispert misses 2-pt layup from 2 ft,15-10, ,,1,10,15,-5,484.0
3:53.0, ,15-10,Defensive rebound by J. Butler,,1,10,15,-5,487.0
3:47.0, ,15-10,J. Butler misses 2-pt layup from 9 ft (block by A. Gill),,1,10,15,-5,493.0
3:45.0, ,15-10,Offensive rebound by J. Butler,,1,10,15,-5,495.0
3:38.0, ,15-10,J. Butler misses 2-pt jump shot from 8 ft,,1,10,15,-5,502.0
3:36.0,Defensive rebound by B. Beal,15-10, ,,1,10,15,-5,504.0
3:28.0,A. Gill misses 2-pt layup from 1 ft,15-10, ,,1,10,15,-5,512.0
3:26.0, ,15-10,Defensive rebound by P. Tucker,,1,10,15,-5,514.0
3:18.0, ,15-12,P. Tucker makes 2-pt layup from 1 ft,,1,12,15,-3,522.0
3:05.0,Shooting foul by P. Tucker (drawn by B. Beal),15-12, ,,1,12,15,-3,535.0
3:05.0,B. Beal makes free throw 1 of 2,16-12, ,,1,12,16,-4,535.0
3:05.0, ,16-12,C. Martin enters the game for P. Tucker,,1,12,16,-4,535.0
3:05.0,B. Beal misses free throw 2 of 2,16-12, ,,1,12,16,-4,535.0
3:02.0, ,16-12,Defensive rebound by C. Martin,,1,12,16,-4,538.0
2:46.0, ,16-12,C. Martin misses 3-pt jump shot from 27 ft,,1,12,16,-4,554.0
2:42.0,Defensive rebound by C. Kispert,16-12, ,,1,12,16,-4,558.0
2:35.0,C. Kispert makes 3-pt jump shot from 24 ft (assist by A. Gill),19-12, ,,1,12,19,-7,565.0
2:13.0, ,19-14,J. Butler makes 2-pt layup from 2 ft,,1,14,19,-5,587.0
2:13.0,Washington full timeout,19-14, ,,1,14,19,-5,587.0
2:13.0,K. Kuzma enters the game for B. Beal,19-14, ,,1,14,19,-5,587.0
2:13.0, ,19-14,M. Strus enters the game for D. Robinson,,1,14,19,-5,587.0
1:56.0,D. Avdija misses 2-pt hook shot from 4 ft,19-14, ,,1,14,19,-5,604.0
1:52.0,Offensive rebound by A. Gill,19-14, ,,1,14,19,-5,608.0
1:52.0,A. Gill misses 2-pt layup at rim,19-14, ,,1,14,19,-5,608.0
1:52.0, ,19-14,Defensive rebound by M. Strus,,1,14,19,-5,608.0
1:52.0, ,19-14,Shooting foul by K. Kuzma (drawn by J. Butler),,1,14,19,-5,608.0
1:52.0, ,19-15,J. Butler makes free throw 1 of 2,,1,15,19,-4,608.0
1:52.0, ,19-16,J. Butler makes free throw 2 of 2,,1,16,19,-3,608.0
1:30.0,Shooting foul by D. Dedmon (drawn by R. Neto),19-16, ,,1,16,19,-3,630.0
1:30.0,R. Neto misses free throw 1 of 2,19-16, ,,1,16,19,-3,630.0
1:30.0,Offensive rebound by Team,19-16, ,,1,16,19,-3,630.0
1:30.0,M. Harrell enters the game for A. Gill,19-16, ,,1,16,19,-3,630.0
1:30.0,R. Neto misses free throw 2 of 2,19-16, ,,1,16,19,-3,630.0
1:27.0, ,19-16,Defensive rebound by D. Dedmon,,1,16,19,-3,633.0
1:05.0, ,19-18,J. Butler makes 2-pt jump shot from 19 ft (assist by D. Dedmon),,1,18,19,-1,655.0
0:44.0,Turnover by D. Avdija (bad pass; steal by M. Strus),19-18, ,,1,18,19,-1,676.0
0:41.0, ,19-18,Shooting foul by R. Neto (drawn by M. Strus),,1,18,19,-1,679.0
0:41.0, ,19-18,M. Strus misses free throw 1 of 2,,1,18,19,-1,679.0
0:41.0, ,19-18,Offensive rebound by Team,,1,18,19,-1,679.0
0:41.0, ,19-18,K. Lowry enters the game for J. Butler,,1,18,19,-1,679.0
0:41.0, ,19-19,M. Strus makes free throw 2 of 2,Tie,1,19,19,0,679.0
0:32.0,C. Kispert misses 3-pt jump shot from 28 ft,19-19, ,,1,19,19,0,688.0
0:28.0, ,19-19,Defensive rebound by D. Dedmon,,1,19,19,0,692.0
0:14.0, ,19-19,Personal foul by R. Neto (drawn by G. Vincent),,1,19,19,0,706.0
0:14.0, ,19-20,G. Vincent makes free throw 1 of 2,Lead change,1,20,19,1,706.0
0:14.0, ,19-21,G. Vincent makes free throw 2 of 2,,1,21,19,2,706.0
0:02.0,K. Kuzma misses 3-pt jump shot from 27 ft,19-21, ,,1,21,19,2,718.0
0:02.0, ,19-21,Defensive rebound by D. Dedmon,,1,21,19,2,718.0
0:00.0,End of 1st quarter,19-21,,,1,21,19,2,720.0
12:00.0,Start of 2nd quarter,19-21,,,2,21,19,2,720.0
