Time,Sacramento,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:21.0,Offensive foul by C. Metu (drawn by D. Robinson),70-93, ,,4,93,70,23,2199.0
11:21.0,Turnover by C. Metu (offensive foul),70-93, ,,4,93,70,23,2199.0
11:08.0, ,70-96,T. Herro makes 3-pt jump shot from 27 ft,,4,96,70,26,2212.0
10:56.0,D. Mitchell makes 2-pt jump shot from 18 ft,72-96, ,,4,96,72,24,2224.0
10:56.0,Shooting foul by D. Robinson (drawn by D. Mitchell),72-96, ,,4,96,72,24,2224.0
10:56.0,D. Mitchell makes free throw 1 of 1,73-96, ,,4,96,73,23,2224.0
10:42.0, ,73-96,Turnover by J. Butler (bad pass; steal by D. Mitchell),,4,96,73,23,2238.0
10:36.0,C. Metu makes 2-pt dunk from 1 ft (assist by D. Mitchell),75-96, ,,4,96,75,21,2244.0
10:32.0, ,75-96,Offensive foul by T. Herro (drawn by D. Mitchell),,4,96,75,21,2248.0
10:32.0, ,75-96,Turnover by T. Herro (offensive foul),,4,96,75,21,2248.0
10:23.0,D. Mitchell makes 2-pt layup from 1 ft,77-96, ,,4,96,77,19,2257.0
10:23.0, ,77-96,Violation by Team (def goaltending),,4,96,77,19,2257.0
10:07.0, ,77-98,J. Butler makes 2-pt jump shot from 5 ft,,4,98,77,21,2273.0
10:07.0, ,77-98,Shooting foul by D. DiVincenzo (drawn by J. Butler),,4,98,77,21,2273.0
10:07.0, ,77-99,J. Butler makes free throw 1 of 1,,4,99,77,22,2273.0
9:54.0,Turnover by C. Metu (bad pass; steal by G. Vincent),77-99, ,,4,99,77,22,2286.0
9:49.0, ,77-99,Offensive foul by D. Dedmon (drawn by D. Mitchell),,4,99,77,22,2291.0
9:49.0, ,77-99,Turnover by D. Dedmon (offensive foul),,4,99,77,22,2291.0
9:34.0,J. Holiday misses 3-pt jump shot from 23 ft,77-99, ,,4,99,77,22,2306.0
9:34.0,Offensive rebound by T. Lyles,77-99, ,,4,99,77,22,2306.0
9:34.0,T. Lyles misses 2-pt layup at rim,77-99, ,,4,99,77,22,2306.0
9:34.0,Offensive rebound by Team,77-99, ,,4,99,77,22,2306.0
9:34.0,Shooting foul by D. Dedmon (drawn by T. Lyles),77-99, ,,4,99,77,22,2306.0
9:34.0, ,77-99,Technical foul by D. Dedmon,,4,99,77,22,2306.0
9:34.0,J. Holiday makes technical free throw,78-99, ,,4,99,78,21,2306.0
9:34.0,T. Lyles makes free throw 1 of 2,79-99, ,,4,99,79,20,2306.0
9:34.0,H. Barnes enters the game for J. Holiday,79-99, ,,4,99,79,20,2306.0
9:34.0, ,79-99,B. Adebayo enters the game for D. Dedmon,,4,99,79,20,2306.0
9:34.0,T. Lyles makes free throw 2 of 2,80-99, ,,4,99,80,19,2306.0
9:08.0, ,80-99,J. Butler misses 3-pt jump shot from 24 ft,,4,99,80,19,2332.0
9:05.0,Defensive rebound by C. Metu,80-99, ,,4,99,80,19,2335.0
8:49.0,H. Barnes misses 3-pt jump shot from 24 ft,80-99, ,,4,99,80,19,2351.0
8:49.0, ,80-99,Defensive rebound by Team,,4,99,80,19,2351.0
8:49.0,Loose ball foul by T. Lyles (drawn by J. Butler),80-99, ,,4,99,80,19,2351.0
8:23.0, ,80-99,J. Butler misses 3-pt jump shot from 23 ft,,4,99,80,19,2377.0
8:21.0,Defensive rebound by T. Lyles,80-99, ,,4,99,80,19,2379.0
8:10.0,D. DiVincenzo misses 3-pt jump shot from 24 ft,80-99, ,,4,99,80,19,2390.0
8:08.0, ,80-99,Defensive rebound by B. Adebayo,,4,99,80,19,2392.0
7:57.0, ,80-101,T. Herro makes 2-pt layup from 1 ft,,4,101,80,21,2403.0
7:38.0,Turnover by C. Metu (lost ball; steal by G. Vincent),80-101, ,,4,101,80,21,2422.0
7:33.0, ,80-101,D. Robinson misses 3-pt jump shot from 27 ft,,4,101,80,21,2427.0
7:25.0,Defensive rebound by D. Mitchell,80-101, ,,4,101,80,21,2435.0
7:24.0,H. Barnes makes 2-pt dunk from 1 ft (assist by C. Metu),82-101, ,,4,101,82,19,2436.0
7:04.0, ,82-103,B. Adebayo makes 2-pt jump shot from 13 ft,,4,103,82,21,2456.0
6:53.0,T. Lyles makes 2-pt layup from 1 ft,84-103, ,,4,103,84,19,2467.0
6:53.0,Shooting foul by D. Robinson (drawn by T. Lyles),84-103, ,,4,103,84,19,2467.0
6:53.0, ,84-103,Miami full timeout,,4,103,84,19,2467.0
6:53.0, ,84-103,M. Strus enters the game for G. Vincent,,4,103,84,19,2467.0
6:53.0,T. Lyles makes free throw 1 of 1,85-103, ,,4,103,85,18,2467.0
6:36.0, ,85-103,T. Herro misses 3-pt jump shot from 23 ft,,4,103,85,18,2484.0
6:33.0,Defensive rebound by C. Metu,85-103, ,,4,103,85,18,2487.0
6:19.0,Turnover by T. Lyles (bad pass),85-103, ,,4,103,85,18,2501.0
6:18.0, ,85-103,Personal foul by D. DiVincenzo (drawn by M. Strus),,4,103,85,18,2502.0
5:59.0, ,85-103,Turnover by M. Strus (bad pass; steal by D. DiVincenzo),,4,103,85,18,2521.0
5:53.0,C. Metu makes 2-pt dunk from 1 ft (assist by D. DiVincenzo),87-103, ,,4,103,87,16,2527.0
5:41.0, ,87-105,B. Adebayo makes 2-pt dunk at rim (assist by D. Robinson),,4,105,87,18,2539.0
5:27.0,T. Lyles misses 3-pt jump shot from 26 ft,87-105, ,,4,105,87,18,2553.0
5:24.0, ,87-105,Defensive rebound by D. Robinson,,4,105,87,18,2556.0
5:09.0, ,87-107,J. Butler makes 2-pt layup from 1 ft,,4,107,87,20,2571.0
4:50.0,T. Lyles misses 2-pt hook shot from 5 ft (block by B. Adebayo),87-107, ,,4,107,87,20,2590.0
4:47.0, ,87-107,Defensive rebound by B. Adebayo,,4,107,87,20,2593.0
4:46.0, ,87-109,B. Adebayo makes 2-pt layup from 2 ft,,4,109,87,22,2594.0
4:45.0,Sacramento full timeout,87-109, ,,4,109,87,22,2595.0
4:45.0,N. Queta enters the game for T. Lyles,87-109, ,,4,109,87,22,2595.0
4:27.0,D. Mitchell makes 3-pt jump shot from 27 ft,90-109, ,,4,109,90,19,2613.0
3:59.0, ,90-111,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),,4,111,90,21,2641.0
3:46.0,D. Mitchell misses 3-pt jump shot from 24 ft,90-111, ,,4,111,90,21,2654.0
3:44.0, ,90-111,Defensive rebound by T. Herro,,4,111,90,21,2656.0
3:37.0, ,90-114,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),,4,114,90,24,2663.0
3:21.0,D. Mitchell makes 2-pt jump shot from 18 ft,92-114, ,,4,114,92,22,2679.0
2:58.0, ,92-117,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,4,117,92,25,2702.0
2:44.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Mitchell),95-117, ,,4,117,95,22,2716.0
2:30.0, ,95-119,B. Adebayo makes 2-pt layup from 1 ft,,4,119,95,24,2730.0
2:28.0,Personal take foul by B. Adebayo (drawn by D. Mitchell),95-119, ,,4,119,95,24,2732.0
2:28.0,J. Holiday enters the game for H. Barnes,95-119, ,,4,119,95,24,2732.0
2:28.0, ,95-119,U. Haslem enters the game for B. Adebayo,,4,119,95,24,2732.0
2:28.0, ,95-119,H. Highsmith enters the game for J. Butler,,4,119,95,24,2732.0
2:28.0, ,95-119,O. Yurtseven enters the game for T. Herro,,4,119,95,24,2732.0
2:16.0,D. Mitchell misses 2-pt jump shot from 14 ft,95-119, ,,4,119,95,24,2744.0
2:10.0, ,95-119,Defensive rebound by U. Haslem,,4,119,95,24,2750.0
2:00.0, ,95-119,Turnover by U. Haslem (3 sec),,4,119,95,24,2760.0
1:48.0,C. Metu misses 3-pt jump shot from 26 ft,95-119, ,,4,119,95,24,2772.0
1:45.0, ,95-119,Defensive rebound by O. Yurtseven,,4,119,95,24,2775.0
1:30.0, ,95-119,M. Strus misses 2-pt jump shot from 13 ft,,4,119,95,24,2790.0
1:26.0,Defensive rebound by D. DiVincenzo,95-119, ,,4,119,95,24,2794.0
1:19.0,C. Metu misses 3-pt jump shot from 25 ft,95-119, ,,4,119,95,24,2801.0
1:16.0, ,95-119,Defensive rebound by H. Highsmith,,4,119,95,24,2804.0
1:00.0, ,95-119,U. Haslem misses 3-pt jump shot from 24 ft,,4,119,95,24,2820.0
0:58.0,Defensive rebound by C. Metu,95-119, ,,4,119,95,24,2822.0
0:53.0,D. Mitchell makes 2-pt layup from 2 ft,97-119, ,,4,119,97,22,2827.0
0:39.0, ,97-121,U. Haslem makes 2-pt layup from 1 ft (assist by M. Strus),,4,121,97,24,2841.0
0:31.0,D. DiVincenzo makes 3-pt jump shot from 25 ft,100-121, ,,4,121,100,21,2849.0
0:10.0, ,100-121,O. Yurtseven misses 2-pt layup from 2 ft,,4,121,100,21,2870.0
0:10.0, ,100-121,Offensive rebound by O. Yurtseven,,4,121,100,21,2870.0
0:10.0, ,100-121,D. Robinson misses 3-pt jump shot from 24 ft,,4,121,100,21,2870.0
0:08.0, ,100-121,Offensive rebound by O. Yurtseven,,4,121,100,21,2872.0
0:05.0, ,100-123,O. Yurtseven makes 2-pt layup from 1 ft,,4,123,100,23,2875.0
0:01.0,J. Holiday misses 3-pt jump shot from 24 ft,100-123, ,,4,123,100,23,2879.0
0:01.0,Offensive rebound by Team,100-123, ,,4,123,100,23,2879.0
0:00.0,End of 4th quarter,100-123,,,4,123,100,23,2880.0
