Time,Miami,Score,Milwaukee,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. B. Portis (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:42.0,P. Tucker makes 2-pt layup from 1 ft (assist by G. Vincent),2-0, ,,1,2,0,2,18.0
11:27.0, ,2-3,B. Portis makes 3-pt jump shot from 26 ft (assist by K. Middleton),Lead change,1,2,3,-1,33.0
11:14.0,B. Adebayo misses 2-pt jump shot from 13 ft,2-3, ,,1,2,3,-1,46.0
11:11.0, ,2-3,Defensive rebound by G. Antetokounmpo,,1,2,3,-1,49.0
11:06.0, ,2-3,Personal foul by P. Tucker (drawn by G. Antetokounmpo),,1,2,3,-1,54.0
10:58.0, ,2-3,K. Middleton misses 2-pt jump shot from 10 ft,,1,2,3,-1,62.0
10:56.0, ,2-3,Offensive rebound by G. Antetokounmpo,,1,2,3,-1,64.0
10:56.0, ,2-3,Personal foul by B. Adebayo (drawn by G. Antetokounmpo),,1,2,3,-1,64.0
10:48.0, ,2-3,G. Allen misses 3-pt jump shot from 26 ft,,1,2,3,-1,72.0
10:45.0,Defensive rebound by P. Tucker,2-3, ,,1,2,3,-1,75.0
10:38.0,G. Vincent makes 2-pt jump shot from 11 ft,4-3, ,Lead change,1,4,3,1,82.0
10:29.0, ,4-3,J. Holiday misses 2-pt layup from 4 ft,,1,4,3,1,91.0
10:27.0,Defensive rebound by P. Tucker,4-3, ,,1,4,3,1,93.0
10:22.0,G. Vincent misses 3-pt jump shot from 26 ft,4-3, ,,1,4,3,1,98.0
10:19.0,Offensive rebound by P. Tucker,4-3, ,,1,4,3,1,101.0
10:16.0,G. Vincent misses 2-pt layup from 3 ft,4-3, ,,1,4,3,1,104.0
10:13.0, ,4-3,Defensive rebound by G. Allen,,1,4,3,1,107.0
10:08.0, ,4-6,B. Portis makes 3-pt jump shot from 24 ft (assist by J. Holiday),Lead change,1,4,6,-2,112.0
9:51.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),7-6, ,Lead change,1,7,6,1,129.0
9:39.0, ,7-9,J. Holiday makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),Lead change,1,7,9,-2,141.0
9:23.0,B. Adebayo misses 2-pt jump shot from 12 ft,7-9, ,,1,7,9,-2,157.0
9:21.0, ,7-9,Defensive rebound by J. Holiday,,1,7,9,-2,159.0
9:10.0, ,7-12,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by B. Portis),,1,7,12,-5,170.0
8:49.0,J. Butler misses 3-pt jump shot from 26 ft,7-12, ,,1,7,12,-5,191.0
8:47.0, ,7-12,Defensive rebound by G. Antetokounmpo,,1,7,12,-5,193.0
8:42.0, ,7-12,Shooting foul by G. Vincent (drawn by K. Middleton),,1,7,12,-5,198.0
8:42.0, ,7-13,K. Middleton makes free throw 1 of 2,,1,7,13,-6,198.0
8:42.0, ,7-14,K. Middleton makes free throw 2 of 2,,1,7,14,-7,198.0
8:32.0,Shooting foul by J. Holiday (drawn by J. Butler),7-14, ,,1,7,14,-7,208.0
8:32.0,J. Butler makes free throw 1 of 2,8-14, ,,1,8,14,-6,208.0
8:32.0,J. Butler makes free throw 2 of 2,9-14, ,,1,9,14,-5,208.0
8:21.0, ,9-14,J. Holiday misses 3-pt jump shot from 27 ft,,1,9,14,-5,219.0
8:17.0,Defensive rebound by D. Robinson,9-14, ,,1,9,14,-5,223.0
8:13.0,B. Adebayo misses 2-pt layup from 3 ft (block by B. Portis),9-14, ,,1,9,14,-5,227.0
8:13.0,Offensive rebound by B. Adebayo,9-14, ,,1,9,14,-5,227.0
8:13.0,Shooting foul by G. Antetokounmpo (drawn by B. Adebayo),9-14, ,,1,9,14,-5,227.0
8:13.0,B. Adebayo misses free throw 1 of 2,9-14, ,,1,9,14,-5,227.0
8:13.0,Offensive rebound by Team,9-14, ,,1,9,14,-5,227.0
8:13.0,B. Adebayo makes free throw 2 of 2,10-14, ,,1,10,14,-4,227.0
8:00.0, ,10-16,K. Middleton makes 2-pt jump shot from 16 ft,,1,10,16,-6,240.0
7:48.0,B. Adebayo misses 2-pt dunk from 7 ft,10-16, ,,1,10,16,-6,252.0
7:44.0,Offensive rebound by P. Tucker,10-16, ,,1,10,16,-6,256.0
7:43.0,P. Tucker makes 2-pt layup from 3 ft,12-16, ,,1,12,16,-4,257.0
7:33.0, ,12-19,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Allen),,1,12,19,-7,267.0
7:22.0,Turnover by G. Vincent (bad pass; steal by G. Antetokounmpo),12-19, ,,1,12,19,-7,278.0
7:22.0, ,12-19,W. Matthews enters the game for B. Portis,,1,12,19,-7,278.0
7:15.0, ,12-21,G. Allen makes 2-pt layup from 1 ft (assist by J. Holiday),,1,12,21,-9,285.0
7:06.0,Personal foul by G. Antetokounmpo (drawn by D. Robinson),12-21, ,,1,12,21,-9,294.0
7:06.0, ,12-21,B. Portis enters the game for G. Antetokounmpo,,1,12,21,-9,294.0
6:52.0,G. Vincent misses 3-pt jump shot from 28 ft,12-21, ,,1,12,21,-9,308.0
6:47.0, ,12-21,Defensive rebound by J. Holiday,,1,12,21,-9,313.0
6:44.0, ,12-21,Turnover by J. Holiday (bad pass; steal by B. Adebayo),,1,12,21,-9,316.0
6:42.0,B. Adebayo makes 2-pt layup from 2 ft,14-21, ,,1,14,21,-7,318.0
6:42.0,Shooting foul by W. Matthews (drawn by B. Adebayo),14-21, ,,1,14,21,-7,318.0
6:42.0, ,14-21,Milwaukee full timeout,,1,14,21,-7,318.0
6:42.0,B. Adebayo misses free throw 1 of 1,14-21, ,,1,14,21,-7,318.0
6:39.0, ,14-21,Defensive rebound by B. Portis,,1,14,21,-7,321.0
6:24.0, ,14-21,B. Portis misses 3-pt jump shot from 27 ft,,1,14,21,-7,336.0
6:22.0,Defensive rebound by P. Tucker,14-21, ,,1,14,21,-7,338.0
6:11.0,J. Butler misses 2-pt jump shot from 16 ft,14-21, ,,1,14,21,-7,349.0
6:09.0, ,14-21,Defensive rebound by K. Middleton,,1,14,21,-7,351.0
6:02.0, ,14-24,K. Middleton makes 3-pt jump shot from 26 ft,,1,14,24,-10,358.0
5:39.0,G. Vincent makes 2-pt layup from 2 ft (assist by P. Tucker),16-24, ,,1,16,24,-8,381.0
5:31.0, ,16-24,K. Middleton misses 3-pt jump shot from 27 ft,,1,16,24,-8,389.0
5:28.0,Defensive rebound by D. Robinson,16-24, ,,1,16,24,-8,392.0
5:08.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by G. Vincent),19-24, ,,1,19,24,-5,412.0
4:50.0, ,19-26,B. Portis makes 2-pt dunk from 2 ft (assist by J. Holiday),,1,19,26,-7,430.0
4:31.0,J. Butler misses 2-pt jump shot from 8 ft,19-26, ,,1,19,26,-7,449.0
4:29.0, ,19-26,Defensive rebound by G. Allen,,1,19,26,-7,451.0
4:13.0, ,19-28,J. Holiday makes 2-pt jump shot from 12 ft,,1,19,28,-9,467.0
4:13.0,Miami full timeout,19-28, ,,1,19,28,-9,467.0
4:13.0,D. Dedmon enters the game for B. Adebayo,19-28, ,,1,19,28,-9,467.0
4:13.0,T. Herro enters the game for P. Tucker,19-28, ,,1,19,28,-9,467.0
4:13.0,C. Martin enters the game for G. Vincent,19-28, ,,1,19,28,-9,467.0
4:13.0, ,19-28,J. Carter enters the game for G. Allen,,1,19,28,-9,467.0
4:13.0, ,19-28,S. Ibaka enters the game for J. Holiday,,1,19,28,-9,467.0
3:55.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by D. Dedmon),22-28, ,,1,22,28,-6,485.0
3:37.0, ,22-28,K. Middleton misses 2-pt jump shot from 16 ft,,1,22,28,-6,503.0
3:31.0, ,22-28,Offensive rebound by B. Portis,,1,22,28,-6,509.0
3:31.0, ,22-28,B. Portis misses 2-pt layup at rim,,1,22,28,-6,509.0
3:31.0,Defensive rebound by D. Dedmon,22-28, ,,1,22,28,-6,509.0
3:22.0,Shooting foul by J. Carter (drawn by T. Herro),22-28, ,,1,22,28,-6,518.0
3:22.0,T. Herro makes free throw 1 of 2,23-28, ,,1,23,28,-5,518.0
3:22.0,T. Herro makes free throw 2 of 2,24-28, ,,1,24,28,-4,518.0
3:03.0, ,24-28,W. Matthews misses 3-pt jump shot from 26 ft,,1,24,28,-4,537.0
3:01.0,Defensive rebound by J. Butler,24-28, ,,1,24,28,-4,539.0
2:50.0,T. Herro misses 2-pt jump shot from 6 ft,24-28, ,,1,24,28,-4,550.0
2:47.0, ,24-28,Defensive rebound by S. Ibaka,,1,24,28,-4,553.0
2:43.0, ,24-28,J. Carter misses 2-pt jump shot from 19 ft,,1,24,28,-4,557.0
2:40.0, ,24-28,Offensive rebound by S. Ibaka,,1,24,28,-4,560.0
2:32.0, ,24-30,S. Ibaka makes 2-pt hook shot from 3 ft (assist by K. Middleton),,1,24,30,-6,568.0
2:13.0,J. Butler misses 2-pt jump shot from 14 ft,24-30, ,,1,24,30,-6,587.0
2:10.0, ,24-30,Defensive rebound by S. Ibaka,,1,24,30,-6,590.0
2:06.0, ,24-30,K. Middleton misses 2-pt layup from 4 ft (block by J. Butler),,1,24,30,-6,594.0
2:06.0, ,24-30,Offensive rebound by Team,,1,24,30,-6,594.0
2:06.0,B. Adebayo enters the game for D. Dedmon,24-30, ,,1,24,30,-6,594.0
2:06.0,M. Strus enters the game for D. Robinson,24-30, ,,1,24,30,-6,594.0
2:06.0, ,24-30,G. Antetokounmpo enters the game for K. Middleton,,1,24,30,-6,594.0
2:06.0, ,24-30,J. Nwora enters the game for B. Portis,,1,24,30,-6,594.0
2:00.0, ,24-30,S. Ibaka misses 3-pt jump shot from 23 ft,,1,24,30,-6,600.0
1:57.0,Defensive rebound by T. Herro,24-30, ,,1,24,30,-6,603.0
1:51.0,M. Strus misses 3-pt jump shot from 27 ft,24-30, ,,1,24,30,-6,609.0
1:48.0, ,24-30,Defensive rebound by G. Antetokounmpo,,1,24,30,-6,612.0
1:44.0, ,24-32,G. Antetokounmpo makes 2-pt layup from 3 ft,,1,24,32,-8,616.0
1:29.0,M. Strus misses 2-pt layup from 3 ft,24-32, ,,1,24,32,-8,631.0
1:27.0, ,24-32,Defensive rebound by S. Ibaka,,1,24,32,-8,633.0
1:19.0, ,24-34,S. Ibaka makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),,1,24,34,-10,641.0
0:58.0,T. Herro misses 2-pt jump shot from 10 ft,24-34, ,,1,24,34,-10,662.0
0:55.0, ,24-34,Defensive rebound by J. Carter,,1,24,34,-10,665.0
0:51.0, ,24-34,W. Matthews misses 2-pt layup from 2 ft (block by C. Martin),,1,24,34,-10,669.0
