Time,Milwaukee,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Portis vs. D. Dedmon (J. Holiday gains possession),0-0,,,1,0,0,0,0.0
11:45.0,K. Middleton misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,15.0
11:42.0, ,0-0,Defensive rebound by P. Tucker,,1,0,0,0,18.0
11:37.0, ,0-0,P. Tucker misses 3-pt jump shot from 23 ft,,1,0,0,0,23.0
11:36.0,Defensive rebound by K. Middleton,0-0, ,,1,0,0,0,24.0
11:36.0,Turnover by K. Middleton (out of bounds lost ball),0-0, ,,1,0,0,0,24.0
11:33.0, ,0-0,K. Lowry misses 3-pt jump shot from 23 ft,,1,0,0,0,27.0
11:30.0, ,0-0,Offensive rebound by D. Dedmon,,1,0,0,0,30.0
11:28.0, ,0-2,D. Dedmon makes 2-pt layup from 1 ft,,1,2,0,2,32.0
11:22.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,0-2, ,,1,2,0,2,38.0
11:19.0, ,0-2,Defensive rebound by D. Dedmon,,1,2,0,2,41.0
11:08.0, ,0-2,K. Lowry misses 3-pt jump shot from 26 ft,,1,2,0,2,52.0
11:04.0,Defensive rebound by G. Allen,0-2, ,,1,2,0,2,56.0
10:57.0,J. Holiday misses 3-pt jump shot from 26 ft,0-2, ,,1,2,0,2,63.0
10:54.0,Offensive rebound by B. Portis,0-2, ,,1,2,0,2,66.0
10:47.0,B. Portis misses 2-pt jump shot from 14 ft,0-2, ,,1,2,0,2,73.0
10:43.0, ,0-2,Defensive rebound by D. Robinson,,1,2,0,2,77.0
10:38.0, ,0-2,D. Robinson misses 3-pt jump shot from 29 ft,,1,2,0,2,82.0
10:38.0,Defensive rebound by G. Antetokounmpo,0-2, ,,1,2,0,2,82.0
10:21.0,G. Allen misses 3-pt jump shot from 23 ft (block by C. Martin),0-2, ,,1,2,0,2,99.0
10:14.0,Offensive rebound by K. Middleton,0-2, ,,1,2,0,2,106.0
10:11.0,K. Middleton misses 2-pt jump shot from 22 ft,0-2, ,,1,2,0,2,109.0
10:08.0, ,0-2,Defensive rebound by P. Tucker,,1,2,0,2,112.0
10:02.0, ,0-2,C. Martin misses 2-pt jump shot from 10 ft,,1,2,0,2,118.0
10:00.0,Defensive rebound by J. Holiday,0-2, ,,1,2,0,2,120.0
10:00.0,Turnover by J. Holiday (dbl dribble),0-2, ,,1,2,0,2,120.0
9:42.0, ,0-5,C. Martin makes 3-pt jump shot from 23 ft (assist by P. Tucker),,1,5,0,5,138.0
9:26.0,G. Allen misses 3-pt jump shot from 27 ft,0-5, ,,1,5,0,5,154.0
9:23.0, ,0-5,Defensive rebound by D. Dedmon,,1,5,0,5,157.0
9:10.0, ,0-7,K. Lowry makes 2-pt layup from 3 ft (assist by P. Tucker),,1,7,0,7,170.0
