Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Robinson (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:34.0,D. Robinson misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,26.0
11:31.0, ,0-0,Defensive rebound by J. Randle,,1,0,0,0,29.0
11:12.0, ,0-2,J. Randle makes 2-pt jump shot from 14 ft (assist by R. Barrett),,1,0,2,-2,48.0
11:04.0,Offensive foul by K. Lowry (drawn by J. Randle),0-2, ,,1,0,2,-2,56.0
11:04.0,Turnover by K. Lowry (offensive foul),0-2, ,,1,0,2,-2,56.0
10:52.0, ,0-2,J. Randle misses 3-pt jump shot from 26 ft,,1,0,2,-2,68.0
10:48.0,Defensive rebound by B. Adebayo,0-2, ,,1,0,2,-2,72.0
10:41.0,J. Butler misses 2-pt layup from 2 ft,0-2, ,,1,0,2,-2,79.0
10:39.0, ,0-2,Defensive rebound by M. Robinson,,1,0,2,-2,81.0
10:35.0, ,0-2,E. Fournier misses 3-pt jump shot from 25 ft,,1,0,2,-2,85.0
10:29.0,Defensive rebound by B. Adebayo,0-2, ,,1,0,2,-2,91.0
10:15.0,K. Lowry misses 2-pt layup from 2 ft,0-2, ,,1,0,2,-2,105.0
10:14.0, ,0-2,Defensive rebound by A. Burks,,1,0,2,-2,106.0
10:12.0, ,0-2,Shooting foul by D. Robinson (drawn by R. Barrett),,1,0,2,-2,108.0
10:12.0, ,0-3,R. Barrett makes free throw 1 of 2,,1,0,3,-3,108.0
10:12.0, ,0-4,R. Barrett makes free throw 2 of 2,,1,0,4,-4,108.0
9:56.0,D. Robinson misses 3-pt jump shot from 26 ft,0-4, ,,1,0,4,-4,124.0
9:53.0, ,0-4,Defensive rebound by R. Barrett,,1,0,4,-4,127.0
9:45.0, ,0-4,A. Burks misses 3-pt jump shot from 25 ft,,1,0,4,-4,135.0
9:42.0,Defensive rebound by B. Adebayo,0-4, ,,1,0,4,-4,138.0
9:38.0,D. Robinson misses 3-pt jump shot from 25 ft,0-4, ,,1,0,4,-4,142.0
9:35.0, ,0-4,Defensive rebound by A. Burks,,1,0,4,-4,145.0
9:26.0, ,0-6,E. Fournier makes 2-pt layup from 1 ft,,1,0,6,-6,154.0
9:11.0,Shooting foul by M. Robinson (drawn by B. Adebayo),0-6, ,,1,0,6,-6,169.0
9:11.0,B. Adebayo misses free throw 1 of 2,0-6, ,,1,0,6,-6,169.0
9:11.0,Offensive rebound by Team,0-6, ,,1,0,6,-6,169.0
9:11.0,B. Adebayo misses free throw 2 of 2,0-6, ,,1,0,6,-6,169.0
9:09.0, ,0-6,Defensive rebound by R. Barrett,,1,0,6,-6,171.0
8:54.0, ,0-8,A. Burks makes 2-pt jump shot from 13 ft (assist by J. Randle),,1,0,8,-8,186.0
8:40.0,J. Butler misses 2-pt jump shot from 9 ft,0-8, ,,1,0,8,-8,200.0
8:36.0, ,0-8,Defensive rebound by M. Robinson,,1,0,8,-8,204.0
8:30.0, ,0-10,R. Barrett makes 2-pt layup from 1 ft,,1,0,10,-10,210.0
8:17.0,Personal foul by E. Fournier (drawn by J. Butler),0-10, ,,1,0,10,-10,223.0
8:10.0,J. Butler makes 2-pt jump shot from 10 ft (assist by B. Adebayo),2-10, ,,1,2,10,-8,230.0
8:03.0, ,2-10,J. Randle misses 2-pt layup from 3 ft (block by P. Tucker),,1,2,10,-8,237.0
8:03.0, ,2-10,Offensive rebound by Team,,1,2,10,-8,237.0
7:52.0, ,2-10,J. Randle misses 2-pt jump shot from 6 ft,,1,2,10,-8,248.0
7:49.0,Defensive rebound by B. Adebayo,2-10, ,,1,2,10,-8,251.0
7:39.0,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Robinson),4-10, ,,1,4,10,-6,261.0
7:20.0, ,4-13,E. Fournier makes 3-pt jump shot from 25 ft (assist by J. Randle),,1,4,13,-9,280.0
7:01.0,Shooting foul by J. Randle (drawn by K. Lowry),4-13, ,,1,4,13,-9,299.0
7:01.0,K. Lowry makes free throw 1 of 2,5-13, ,,1,5,13,-8,299.0
7:01.0,K. Lowry makes free throw 2 of 2,6-13, ,,1,6,13,-7,299.0
6:53.0, ,6-13,R. Barrett misses 3-pt jump shot from 26 ft,,1,6,13,-7,307.0
6:50.0,Defensive rebound by D. Robinson,6-13, ,,1,6,13,-7,310.0
6:42.0,K. Lowry makes 2-pt layup from 1 ft,8-13, ,,1,8,13,-5,318.0
6:27.0, ,8-13,Personal foul by D. Robinson (drawn by J. Randle),,1,8,13,-5,333.0
6:27.0, ,8-13,New York full timeout,,1,8,13,-5,333.0
6:12.0, ,8-15,A. Burks makes 2-pt jump shot from 19 ft (assist by E. Fournier),,1,8,15,-7,348.0
5:50.0,J. Butler misses 2-pt layup from 3 ft (block by M. Robinson),8-15, ,,1,8,15,-7,370.0
5:48.0, ,8-15,Defensive rebound by A. Burks,,1,8,15,-7,372.0
5:47.0, ,8-15,Shooting foul by D. Robinson (drawn by R. Barrett),,1,8,15,-7,373.0
5:47.0, ,8-15,R. Barrett misses free throw 1 of 2,,1,8,15,-7,373.0
5:47.0, ,8-15,Offensive rebound by Team,,1,8,15,-7,373.0
5:47.0, ,8-15,R. Barrett misses free throw 2 of 2,,1,8,15,-7,373.0
5:47.0,T. Herro enters the game for D. Robinson,8-15, ,,1,8,15,-7,373.0
5:39.0, ,8-15,J. Randle misses 2-pt jump shot from 11 ft,,1,8,15,-7,381.0
5:37.0,Defensive rebound by B. Adebayo,8-15, ,,1,8,15,-7,383.0
5:35.0,Turnover by K. Lowry (bad pass),8-15, ,,1,8,15,-7,385.0
5:23.0, ,8-15,E. Fournier misses 3-pt jump shot from 26 ft,,1,8,15,-7,397.0
5:21.0,Defensive rebound by B. Adebayo,8-15, ,,1,8,15,-7,399.0
5:17.0,K. Lowry makes 3-pt jump shot from 25 ft,11-15, ,,1,11,15,-4,403.0
5:03.0, ,11-15,E. Fournier misses 3-pt jump shot from 26 ft,,1,11,15,-4,417.0
5:00.0,Defensive rebound by B. Adebayo,11-15, ,,1,11,15,-4,420.0
4:44.0,B. Adebayo misses 2-pt jump shot from 15 ft,11-15, ,,1,11,15,-4,436.0
4:41.0, ,11-15,Defensive rebound by R. Barrett,,1,11,15,-4,439.0
4:30.0, ,11-15,J. Randle misses 2-pt layup from 2 ft (block by B. Adebayo),,1,11,15,-4,450.0
4:29.0, ,11-15,Offensive rebound by Team,,1,11,15,-4,451.0
4:29.0,G. Vincent enters the game for K. Lowry,11-15, ,,1,11,15,-4,451.0
4:26.0, ,11-15,Shooting foul by P. Tucker (drawn by J. Randle),,1,11,15,-4,454.0
4:26.0, ,11-16,J. Randle makes free throw 1 of 2,,1,11,16,-5,454.0
4:26.0, ,11-16,J. Sims enters the game for M. Robinson,,1,11,16,-5,454.0
4:26.0, ,11-17,J. Randle makes free throw 2 of 2,,1,11,17,-6,454.0
4:15.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Herro),13-17, ,,1,13,17,-4,465.0
4:04.0, ,13-17,Shooting foul by T. Herro (drawn by J. Randle),,1,13,17,-4,476.0
4:04.0, ,13-18,J. Randle makes free throw 1 of 2,,1,13,18,-5,476.0
4:04.0,O. Yurtseven enters the game for B. Adebayo,13-18, ,,1,13,18,-5,476.0
4:04.0, ,13-18,I. Quickley enters the game for A. Burks,,1,13,18,-5,476.0
4:04.0, ,13-19,J. Randle makes free throw 2 of 2,,1,13,19,-6,476.0
3:48.0,J. Butler misses 2-pt jump shot from 8 ft,13-19, ,,1,13,19,-6,492.0
3:46.0, ,13-19,Defensive rebound by J. Sims,,1,13,19,-6,494.0
3:34.0, ,13-22,R. Barrett makes 3-pt jump shot from 23 ft (assist by J. Randle),,1,13,22,-9,506.0
3:18.0,J. Butler misses 2-pt jump shot from 3 ft,13-22, ,,1,13,22,-9,522.0
3:16.0, ,13-22,Defensive rebound by J. Sims,,1,13,22,-9,524.0
3:09.0, ,13-22,E. Fournier misses 3-pt jump shot from 25 ft,,1,13,22,-9,531.0
3:07.0,Defensive rebound by T. Herro,13-22, ,,1,13,22,-9,533.0
3:00.0,T. Herro makes 2-pt jump shot from 5 ft,15-22, ,,1,15,22,-7,540.0
2:47.0, ,15-22,I. Quickley misses 3-pt jump shot from 25 ft,,1,15,22,-7,553.0
2:47.0,Defensive rebound by T. Herro,15-22, ,,1,15,22,-7,553.0
2:44.0,Personal take foul by J. Randle (drawn by T. Herro),15-22, ,,1,15,22,-7,556.0
2:44.0,Miami full timeout,15-22, ,,1,15,22,-7,556.0
2:44.0, ,15-22,Q. Grimes enters the game for E. Fournier,,1,15,22,-7,556.0
2:44.0, ,15-22,O. Toppin enters the game for J. Randle,,1,15,22,-7,556.0
2:30.0,O. Yurtseven makes 2-pt layup from 3 ft (assist by P. Tucker),17-22, ,,1,17,22,-5,570.0
2:30.0,Shooting foul by I. Quickley (drawn by O. Yurtseven),17-22, ,,1,17,22,-5,570.0
2:30.0, ,17-22,New York full timeout,,1,17,22,-5,570.0
2:30.0,C. Martin enters the game for P. Tucker,17-22, ,,1,17,22,-5,570.0
2:30.0, ,17-22,C. Reddish enters the game for Q. Grimes,,1,17,22,-5,570.0
2:30.0,O. Yurtseven makes free throw 1 of 1,18-22, ,,1,18,22,-4,570.0
2:21.0, ,18-22,C. Reddish misses 3-pt jump shot from 25 ft,,1,18,22,-4,579.0
2:16.0,Defensive rebound by C. Martin,18-22, ,,1,18,22,-4,584.0
2:10.0,T. Herro misses 2-pt jump shot from 4 ft,18-22, ,,1,18,22,-4,590.0
2:08.0, ,18-22,Defensive rebound by O. Toppin,,1,18,22,-4,592.0
1:47.0, ,18-22,R. Barrett misses 3-pt jump shot from 25 ft,,1,18,22,-4,613.0
1:43.0,Defensive rebound by G. Vincent,18-22, ,,1,18,22,-4,617.0
1:39.0,J. Butler makes 2-pt layup from 1 ft (assist by G. Vincent),20-22, ,,1,20,22,-2,621.0
1:31.0, ,20-25,R. Barrett makes 3-pt jump shot from 26 ft (assist by C. Reddish),,1,20,25,-5,629.0
1:24.0,Shooting foul by C. Reddish (drawn by J. Butler),20-25, ,,1,20,25,-5,636.0
1:24.0,J. Butler makes free throw 1 of 2,21-25, ,,1,21,25,-4,636.0
1:24.0,J. Butler makes free throw 2 of 2,22-25, ,,1,22,25,-3,636.0
1:16.0, ,22-27,R. Barrett makes 2-pt layup from 2 ft,,1,22,27,-5,644.0
1:16.0, ,22-27,Shooting foul by G. Vincent (drawn by R. Barrett),,1,22,27,-5,644.0
1:16.0,K. Lowry enters the game for J. Butler,22-27, ,,1,22,27,-5,644.0
1:16.0, ,22-28,R. Barrett makes free throw 1 of 1,,1,22,28,-6,644.0
1:04.0,T. Herro misses 2-pt jump shot from 15 ft,22-28, ,,1,22,28,-6,656.0
1:00.0,Offensive rebound by C. Martin,22-28, ,,1,22,28,-6,660.0
0:59.0,T. Herro makes 3-pt jump shot from 26 ft (assist by C. Martin),25-28, ,,1,25,28,-3,661.0
0:53.0, ,25-30,I. Quickley makes 2-pt jump shot from 11 ft,,1,25,30,-5,667.0
0:44.0,Personal foul by I. Quickley (drawn by K. Lowry),25-30, ,,1,25,30,-5,676.0
0:44.0,K. Lowry makes free throw 1 of 2,26-30, ,,1,26,30,-4,676.0
0:44.0, ,26-30,A. Burks enters the game for R. Barrett,,1,26,30,-4,676.0
0:44.0,K. Lowry makes free throw 2 of 2,27-30, ,,1,27,30,-3,676.0
0:29.0, ,27-32,I. Quickley makes 2-pt jump shot from 5 ft (assist by A. Burks),,1,27,32,-5,691.0
0:09.0,T. Herro makes 3-pt jump shot from 25 ft,30-32, ,,1,30,32,-2,711.0
0:00.0, ,30-32,I. Quickley misses 3-pt jump shot from 26 ft,,1,30,32,-2,720.0
0:00.0, ,30-32,Offensive rebound by Team,,1,30,32,-2,720.0
0:00.0,End of 1st quarter,30-32,,,1,30,32,-2,720.0
12:00.0,Start of 2nd quarter,30-32,,,2,30,32,-2,720.0
11:35.0, ,30-32,Turnover by A. Burks (lost ball; steal by K. Lowry),,2,30,32,-2,745.0
11:12.0,T. Herro misses 2-pt jump shot from 15 ft,30-32, ,,2,30,32,-2,768.0
11:10.0, ,30-32,Defensive rebound by A. Burks,,2,30,32,-2,770.0
11:05.0, ,30-35,C. Reddish makes 3-pt jump shot from 23 ft (assist by I. Quickley),,2,30,35,-5,775.0
10:43.0,T. Herro makes 2-pt jump shot from 11 ft,32-35, ,,2,32,35,-3,797.0
10:22.0, ,32-35,Shooting foul by O. Yurtseven (drawn by O. Toppin),,2,32,35,-3,818.0
10:22.0, ,32-35,O. Toppin misses free throw 1 of 2,,2,32,35,-3,818.0
10:22.0, ,32-35,Offensive rebound by Team,,2,32,35,-3,818.0
10:22.0, ,32-36,O. Toppin makes free throw 2 of 2,,2,32,36,-4,818.0
10:16.0,Personal foul by A. Burks (drawn by K. Lowry),32-36, ,,2,32,36,-4,824.0
10:10.0,C. Martin makes 2-pt layup from 1 ft (assist by G. Vincent),34-36, ,,2,34,36,-2,830.0
10:10.0,Shooting foul by A. Burks (drawn by C. Martin),34-36, ,,2,34,36,-2,830.0
10:10.0,C. Martin makes free throw 1 of 1,35-36, ,,2,35,36,-1,830.0
10:10.0,Away from play foul by J. Sims (drawn by K. Lowry),35-36, ,,2,35,36,-1,830.0
10:10.0,K. Lowry makes free throw 1 of 1,36-36, ,Tie,2,36,36,0,830.0
9:54.0, ,36-38,O. Toppin makes 2-pt layup from 3 ft,,2,36,38,-2,846.0
9:41.0,C. Martin misses 3-pt jump shot from 25 ft,36-38, ,,2,36,38,-2,859.0
9:39.0, ,36-38,Defensive rebound by A. Burks,,2,36,38,-2,861.0
9:27.0, ,36-38,Turnover by I. Quickley (bad pass; steal by K. Lowry),,2,36,38,-2,873.0
9:25.0,Personal foul by I. Quickley (drawn by C. Martin),36-38, ,,2,36,38,-2,875.0
9:25.0, ,36-38,E. Fournier enters the game for I. Quickley,,2,36,38,-2,875.0
9:14.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by K. Lowry),39-38, ,Lead change,2,39,38,1,886.0
8:49.0, ,39-38,E. Fournier misses 3-pt jump shot from 26 ft,,2,39,38,1,911.0
8:45.0,Defensive rebound by O. Yurtseven,39-38, ,,2,39,38,1,915.0
8:38.0,O. Yurtseven makes 2-pt layup from 1 ft (assist by K. Lowry),41-38, ,,2,41,38,3,922.0
8:32.0, ,41-38,New York full timeout,,2,41,38,3,928.0
8:32.0, ,41-38,M. Robinson enters the game for J. Sims,,2,41,38,3,928.0
8:21.0, ,41-38,A. Burks misses 3-pt jump shot from 25 ft,,2,41,38,3,939.0
8:17.0,Defensive rebound by K. Lowry,41-38, ,,2,41,38,3,943.0
8:14.0,Shooting foul by C. Reddish (drawn by T. Herro),41-38, ,,2,41,38,3,946.0
8:14.0,T. Herro misses free throw 1 of 2,41-38, ,,2,41,38,3,946.0
8:14.0,Offensive rebound by Team,41-38, ,,2,41,38,3,946.0
8:14.0,B. Adebayo enters the game for O. Yurtseven,41-38, ,,2,41,38,3,946.0
8:14.0,T. Herro makes free throw 2 of 2,42-38, ,,2,42,38,4,946.0
8:10.0, ,42-38,Turnover by O. Toppin (bad pass; steal by G. Vincent),,2,42,38,4,950.0
8:04.0,T. Herro makes 3-pt jump shot from 26 ft (assist by G. Vincent),45-38, ,,2,45,38,7,956.0
7:44.0, ,45-38,C. Reddish misses 2-pt dunk from 1 ft,,2,45,38,7,976.0
7:43.0,Defensive rebound by K. Lowry,45-38, ,,2,45,38,7,977.0
7:31.0,G. Vincent misses 3-pt jump shot from 25 ft,45-38, ,,2,45,38,7,989.0
7:29.0, ,45-38,Defensive rebound by A. Burks,,2,45,38,7,991.0
7:22.0, ,45-38,E. Fournier misses 2-pt jump shot from 13 ft,,2,45,38,7,998.0
7:19.0,Defensive rebound by B. Adebayo,45-38, ,,2,45,38,7,1001.0
7:15.0,T. Herro misses 3-pt jump shot from 26 ft,45-38, ,,2,45,38,7,1005.0
7:12.0, ,45-38,Defensive rebound by M. Robinson,,2,45,38,7,1008.0
7:01.0, ,45-38,M. Robinson misses 2-pt layup from 1 ft,,2,45,38,7,1019.0
6:58.0,Defensive rebound by K. Lowry,45-38, ,,2,45,38,7,1022.0
6:53.0,G. Vincent misses 3-pt jump shot from 24 ft,45-38, ,,2,45,38,7,1027.0
6:51.0, ,45-38,Defensive rebound by Team,,2,45,38,7,1029.0
6:51.0,Loose ball foul by C. Martin (drawn by A. Burks),45-38, ,,2,45,38,7,1029.0
6:51.0,J. Butler enters the game for T. Herro,45-38, ,,2,45,38,7,1029.0
6:51.0,M. Strus enters the game for K. Lowry,45-38, ,,2,45,38,7,1029.0
6:51.0,P. Tucker enters the game for C. Martin,45-38, ,,2,45,38,7,1029.0
6:51.0, ,45-38,R. Barrett enters the game for C. Reddish,,2,45,38,7,1029.0
6:51.0, ,45-38,J. Randle enters the game for O. Toppin,,2,45,38,7,1029.0
6:40.0, ,45-38,E. Fournier misses 2-pt jump shot from 12 ft,,2,45,38,7,1040.0
6:38.0,Defensive rebound by B. Adebayo,45-38, ,,2,45,38,7,1042.0
6:33.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by J. Butler),48-38, ,,2,48,38,10,1047.0
6:14.0, ,48-38,Shooting foul by G. Vincent (drawn by R. Barrett),,2,48,38,10,1066.0
6:14.0, ,48-39,R. Barrett makes free throw 1 of 2,,2,48,39,9,1066.0
6:14.0, ,48-40,R. Barrett makes free throw 2 of 2,,2,48,40,8,1066.0
5:53.0,J. Butler misses 2-pt jump shot from 16 ft,48-40, ,,2,48,40,8,1087.0
5:50.0, ,48-40,Defensive rebound by M. Robinson,,2,48,40,8,1090.0
5:37.0, ,48-40,J. Randle misses 2-pt jump shot from 18 ft,,2,48,40,8,1103.0
5:34.0,Defensive rebound by P. Tucker,48-40, ,,2,48,40,8,1106.0
5:29.0,P. Tucker makes 3-pt jump shot from 25 ft,51-40, ,,2,51,40,11,1111.0
5:22.0, ,51-40,New York full timeout,,2,51,40,11,1118.0
5:05.0, ,51-40,Turnover by A. Burks (lost ball; steal by G. Vincent),,2,51,40,11,1135.0
4:57.0,Turnover by G. Vincent (bad pass; steal by M. Robinson),51-40, ,,2,51,40,11,1143.0
4:55.0, ,51-40,Personal foul by P. Tucker (drawn by M. Robinson),,2,51,40,11,1145.0
4:40.0, ,51-40,Personal foul by J. Butler (drawn by R. Barrett),,2,51,40,11,1160.0
4:40.0, ,51-40,R. Barrett misses free throw 1 of 2,,2,51,40,11,1160.0
4:40.0, ,51-40,Offensive rebound by Team,,2,51,40,11,1160.0
4:40.0, ,51-40,R. Barrett misses free throw 2 of 2,,2,51,40,11,1160.0
4:38.0,Defensive rebound by P. Tucker,51-40, ,,2,51,40,11,1162.0
4:25.0,B. Adebayo makes 2-pt hook shot from 5 ft (assist by J. Butler),53-40, ,,2,53,40,13,1175.0
4:25.0,Shooting foul by M. Robinson (drawn by B. Adebayo),53-40, ,,2,53,40,13,1175.0
4:25.0,T. Herro enters the game for G. Vincent,53-40, ,,2,53,40,13,1175.0
4:25.0,B. Adebayo makes free throw 1 of 1,54-40, ,,2,54,40,14,1175.0
4:11.0, ,54-43,R. Barrett makes 3-pt jump shot from 24 ft (assist by J. Randle),,2,54,43,11,1189.0
3:51.0,Offensive foul by J. Butler (drawn by A. Burks),54-43, ,,2,54,43,11,1209.0
3:51.0,Turnover by J. Butler (offensive foul),54-43, ,,2,54,43,11,1209.0
3:30.0, ,54-43,J. Randle misses 2-pt layup from 3 ft (block by B. Adebayo),,2,54,43,11,1230.0
3:28.0,Defensive rebound by J. Butler,54-43, ,,2,54,43,11,1232.0
3:20.0,Shooting foul by E. Fournier (drawn by T. Herro),54-43, ,,2,54,43,11,1240.0
3:20.0,T. Herro misses free throw 1 of 2,54-43, ,,2,54,43,11,1240.0
3:20.0,Offensive rebound by Team,54-43, ,,2,54,43,11,1240.0
3:20.0,T. Herro makes free throw 2 of 2,55-43, ,,2,55,43,12,1240.0
3:08.0, ,55-45,R. Barrett makes 2-pt layup from 1 ft,,2,55,45,10,1252.0
3:08.0, ,55-45,Shooting foul by T. Herro (drawn by R. Barrett),,2,55,45,10,1252.0
3:08.0, ,55-46,R. Barrett makes free throw 1 of 1,,2,55,46,9,1252.0
2:50.0,P. Tucker makes 2-pt layup from 2 ft (assist by M. Strus),57-46, ,,2,57,46,11,1270.0
2:30.0, ,57-46,R. Barrett misses 3-pt jump shot from 25 ft,,2,57,46,11,1290.0
2:27.0,Defensive rebound by B. Adebayo,57-46, ,,2,57,46,11,1293.0
2:16.0,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),60-46, ,,2,60,46,14,1304.0
2:08.0, ,60-46,Offensive foul by M. Robinson (drawn by T. Herro),,2,60,46,14,1312.0
2:08.0, ,60-46,Turnover by M. Robinson (offensive foul),,2,60,46,14,1312.0
2:08.0,K. Lowry enters the game for T. Herro,60-46, ,,2,60,46,14,1312.0
2:08.0, ,60-46,M. McBride enters the game for A. Burks,,2,60,46,14,1312.0
2:08.0, ,60-46,J. Sims enters the game for M. Robinson,,2,60,46,14,1312.0
1:58.0,Shooting foul by J. Sims (drawn by B. Adebayo),60-46, ,,2,60,46,14,1322.0
1:58.0,B. Adebayo makes free throw 1 of 2,61-46, ,,2,61,46,15,1322.0
1:58.0,B. Adebayo makes free throw 2 of 2,62-46, ,,2,62,46,16,1322.0
1:48.0, ,62-49,R. Barrett makes 3-pt jump shot from 25 ft (assist by M. McBride),,2,62,49,13,1332.0
1:34.0,Offensive foul by B. Adebayo (drawn by J. Sims),62-49, ,,2,62,49,13,1346.0
1:34.0,Turnover by B. Adebayo (offensive foul),62-49, ,,2,62,49,13,1346.0
1:16.0, ,62-52,R. Barrett makes 3-pt jump shot from 25 ft (assist by J. Randle),,2,62,52,10,1364.0
1:05.0,M. Strus misses 3-pt jump shot from 26 ft,62-52, ,,2,62,52,10,1375.0
1:03.0, ,62-52,Defensive rebound by J. Randle,,2,62,52,10,1377.0
0:57.0, ,62-52,J. Randle misses 2-pt jump shot from 3 ft,,2,62,52,10,1383.0
0:55.0,Defensive rebound by K. Lowry,62-52, ,,2,62,52,10,1385.0
