Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Looney vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-3,J. Butler makes 3-pt jump shot from 26 ft (assist by D. Robinson),,1,3,0,3,19.0
11:25.0,A. Wiggins misses 3-pt jump shot from 26 ft,0-3, ,,1,3,0,3,35.0
11:23.0, ,0-3,Defensive rebound by J. Butler,,1,3,0,3,37.0
11:16.0, ,0-3,J. Butler misses 2-pt jump shot from 12 ft,,1,3,0,3,44.0
11:16.0,Defensive rebound by K. Looney,0-3, ,,1,3,0,3,44.0
11:01.0,J. Kuminga makes 2-pt layup from 1 ft,2-3, ,,1,3,2,1,59.0
10:45.0, ,2-3,K. Lowry misses 3-pt jump shot from 26 ft,,1,3,2,1,75.0
10:43.0,Defensive rebound by K. Looney,2-3, ,,1,3,2,1,77.0
10:37.0,M. Moody misses 3-pt jump shot from 23 ft,2-3, ,,1,3,2,1,83.0
10:33.0, ,2-3,Defensive rebound by J. Butler,,1,3,2,1,87.0
10:27.0, ,2-3,D. Robinson misses 3-pt jump shot from 24 ft,,1,3,2,1,93.0
10:25.0, ,2-3,Offensive rebound by B. Adebayo,,1,3,2,1,95.0
10:19.0, ,2-3,B. Adebayo misses 2-pt layup from 2 ft (block by M. Moody),,1,3,2,1,101.0
10:16.0, ,2-3,Offensive rebound by B. Adebayo,,1,3,2,1,104.0
10:13.0, ,2-3,Shooting foul by J. Kuminga (drawn by J. Butler),,1,3,2,1,107.0
10:13.0, ,2-4,J. Butler makes free throw 1 of 2,,1,4,2,2,107.0
10:13.0, ,2-5,J. Butler makes free throw 2 of 2,,1,5,2,3,107.0
9:51.0,A. Wiggins misses 2-pt jump shot from 20 ft,2-5, ,,1,5,2,3,129.0
9:49.0,Offensive rebound by Team,2-5, ,,1,5,2,3,131.0
9:49.0,Turnover by Team (shot clock),2-5, ,,1,5,2,3,131.0
9:35.0, ,2-5,Turnover by P. Tucker (traveling),,1,5,2,3,145.0
9:29.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Poole),4-5, ,,1,5,4,1,151.0
9:18.0, ,4-5,J. Butler misses 2-pt layup from 1 ft,,1,5,4,1,162.0
9:15.0,Defensive rebound by K. Looney,4-5, ,,1,5,4,1,165.0
9:09.0,J. Kuminga misses 2-pt jump shot from 6 ft,4-5, ,,1,5,4,1,171.0
9:07.0,Offensive rebound by J. Kuminga,4-5, ,,1,5,4,1,173.0
9:07.0,Shooting foul by J. Butler (drawn by J. Kuminga),4-5, ,,1,5,4,1,173.0
9:07.0,J. Kuminga makes free throw 1 of 2,5-5, ,Tie,1,5,5,0,173.0
9:07.0,J. Kuminga makes free throw 2 of 2,6-5, ,Lead change,1,5,6,-1,173.0
8:51.0, ,6-5,J. Butler misses 2-pt layup from 1 ft,,1,5,6,-1,189.0
8:49.0,Defensive rebound by K. Looney,6-5, ,,1,5,6,-1,191.0
8:41.0,J. Poole makes 2-pt jump shot from 7 ft,8-5, ,,1,5,8,-3,199.0
8:28.0, ,8-7,B. Adebayo makes 2-pt jump shot from 14 ft,,1,7,8,-1,212.0
8:13.0,Turnover by J. Poole (lost ball; steal by B. Adebayo),8-7, ,,1,7,8,-1,227.0
8:07.0, ,8-7,Turnover by B. Adebayo (out of bounds lost ball),,1,7,8,-1,233.0
7:54.0,J. Kuminga misses 3-pt jump shot from 26 ft,8-7, ,,1,7,8,-1,246.0
7:51.0, ,8-7,Defensive rebound by P. Tucker,,1,7,8,-1,249.0
7:39.0, ,8-10,J. Butler makes 3-pt jump shot from 24 ft (assist by D. Robinson),Lead change,1,10,8,2,261.0
7:15.0,J. Kuminga misses 3-pt jump shot from 26 ft,8-10, ,,1,10,8,2,285.0
7:13.0, ,8-10,Defensive rebound by P. Tucker,,1,10,8,2,287.0
7:02.0, ,8-13,K. Lowry makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,13,8,5,298.0
6:38.0,J. Poole misses 3-pt jump shot from 25 ft,8-13, ,,1,13,8,5,322.0
6:36.0, ,8-13,Defensive rebound by P. Tucker,,1,13,8,5,324.0
6:34.0, ,8-13,Shooting foul by M. Moody (drawn by B. Adebayo),,1,13,8,5,326.0
6:34.0, ,8-13,Miami full timeout,,1,13,8,5,326.0
6:34.0,D. Lee enters the game for M. Moody,8-13, ,,1,13,8,5,326.0
6:34.0,G. Payton enters the game for A. Wiggins,8-13, ,,1,13,8,5,326.0
6:34.0, ,8-14,B. Adebayo makes free throw 1 of 2,,1,14,8,6,326.0
6:34.0, ,8-15,B. Adebayo makes free throw 2 of 2,,1,15,8,7,326.0
6:13.0,D. Lee misses 3-pt jump shot from 23 ft,8-15, ,,1,15,8,7,347.0
6:10.0, ,8-15,Defensive rebound by J. Butler,,1,15,8,7,350.0
6:04.0, ,8-18,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,18,8,10,356.0
5:38.0,G. Payton makes 2-pt hook shot from 6 ft (assist by J. Poole),10-18, ,,1,18,10,8,382.0
5:26.0, ,10-18,Personal foul by J. Poole (drawn by D. Robinson),,1,18,10,8,394.0
5:26.0, ,10-18,M. Morris enters the game for B. Adebayo,,1,18,10,8,394.0
