Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:57.0, ,5-11,Miami full timeout,,1,11,5,6,303.0
6:50.0, ,5-11,D. Robinson misses 2-pt jump shot from 20 ft,,1,11,5,6,310.0
6:44.0,Defensive rebound by F. Korkmaz,5-11, ,,1,11,5,6,316.0
6:23.0,T. Maxey misses 2-pt jump shot from 4 ft,5-11, ,,1,11,5,6,337.0
6:23.0,Offensive rebound by J. Embiid,5-11, ,,1,11,5,6,337.0
6:23.0,J. Embiid misses 2-pt layup from 2 ft,5-11, ,,1,11,5,6,337.0
6:23.0, ,5-11,Defensive rebound by Team,,1,11,5,6,337.0
6:12.0, ,5-13,J. Butler makes 2-pt dunk from 1 ft,,1,13,5,8,348.0
5:48.0,J. Embiid misses 2-pt layup from 2 ft,5-13, ,,1,13,5,8,372.0
5:48.0,Offensive rebound by J. Embiid,5-13, ,,1,13,5,8,372.0
5:48.0,Shooting foul by B. Adebayo (drawn by J. Embiid),5-13, ,,1,13,5,8,372.0
5:48.0,J. Embiid makes free throw 1 of 2,6-13, ,,1,13,6,7,372.0
5:48.0,D. Green enters the game for M. Thybulle,6-13, ,,1,13,6,7,372.0
5:48.0,J. Embiid makes free throw 2 of 2,7-13, ,,1,13,7,6,372.0
5:37.0, ,7-13,G. Vincent misses 3-pt jump shot from 26 ft,,1,13,7,6,383.0
5:34.0, ,7-13,Offensive rebound by J. Butler,,1,13,7,6,386.0
5:27.0, ,7-13,Turnover by P. Tucker (bad pass; steal by T. Maxey),,1,13,7,6,393.0
5:23.0,Turnover by T. Maxey (lost ball; steal by B. Adebayo),7-13, ,,1,13,7,6,397.0
5:19.0, ,7-13,Turnover by B. Adebayo (bad pass),,1,13,7,6,401.0
5:19.0, ,7-13,T. Herro enters the game for G. Vincent,,1,13,7,6,401.0
4:57.0,T. Harris makes 2-pt jump shot from 9 ft,9-13, ,,1,13,9,4,423.0
4:34.0, ,9-13,D. Robinson misses 3-pt jump shot from 26 ft,,1,13,9,4,446.0
4:30.0,Defensive rebound by J. Embiid,9-13, ,,1,13,9,4,450.0
4:26.0,J. Embiid misses 3-pt jump shot from 26 ft,9-13, ,,1,13,9,4,454.0
4:21.0, ,9-13,Defensive rebound by J. Butler,,1,13,9,4,459.0
4:21.0, ,9-13,Turnover by J. Butler (lost ball; steal by D. Green),,1,13,9,4,459.0
4:19.0,D. Green misses 3-pt jump shot from 25 ft,9-13, ,,1,13,9,4,461.0
4:19.0, ,9-13,Defensive rebound by Team,,1,13,9,4,461.0
4:19.0,S. Milton enters the game for T. Maxey,9-13, ,,1,13,9,4,461.0
4:03.0, ,9-13,P. Tucker misses 3-pt jump shot from 24 ft,,1,13,9,4,477.0
3:59.0,Defensive rebound by T. Harris,9-13, ,,1,13,9,4,481.0
3:45.0,S. Milton misses 2-pt layup from 1 ft,9-13, ,,1,13,9,4,495.0
3:42.0, ,9-13,Defensive rebound by B. Adebayo,,1,13,9,4,498.0
3:34.0, ,9-15,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Butler),,1,15,9,6,506.0
3:22.0,Personal foul by J. Butler (drawn by T. Harris),9-15, ,,1,15,9,6,518.0
3:22.0,I. Joe enters the game for F. Korkmaz,9-15, ,,1,15,9,6,518.0
3:22.0, ,9-15,D. Dedmon enters the game for B. Adebayo,,1,15,9,6,518.0
3:22.0, ,9-15,M. Strus enters the game for D. Robinson,,1,15,9,6,518.0
3:15.0,T. Harris misses 2-pt jump shot from 17 ft,9-15, ,,1,15,9,6,525.0
3:13.0, ,9-15,Defensive rebound by D. Dedmon,,1,15,9,6,527.0
2:49.0, ,9-17,J. Butler makes 2-pt jump shot from 19 ft,,1,17,9,8,551.0
2:38.0,J. Embiid makes 2-pt layup from 2 ft,11-17, ,,1,17,11,6,562.0
2:12.0, ,11-17,M. Strus misses 3-pt jump shot from 25 ft,,1,17,11,6,588.0
2:06.0,Defensive rebound by J. Embiid,11-17, ,,1,17,11,6,594.0
1:52.0,S. Milton misses 2-pt jump shot from 10 ft,11-17, ,,1,17,11,6,608.0
1:52.0,Turnover by S. Milton (step out of bounds),11-17, ,,1,17,11,6,608.0
1:52.0,Offensive rebound by S. Milton,11-17, ,,1,17,11,6,608.0
1:51.0,Philadelphia full timeout,11-17, ,,1,17,11,6,609.0
