Time,Miami,Score,Detroit,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. I. Stewart (K. Hayes gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-2,H. Diallo makes 2-pt jump shot from 14 ft,,1,0,2,-2,21.0
11:18.0,D. Dedmon misses 2-pt hook shot from 4 ft,0-2, ,,1,0,2,-2,42.0
11:16.0, ,0-2,Defensive rebound by K. Hayes,,1,0,2,-2,44.0
11:08.0, ,0-2,K. Hayes misses 2-pt jump shot from 11 ft,,1,0,2,-2,52.0
11:05.0,Defensive rebound by G. Vincent,0-2, ,,1,0,2,-2,55.0
10:58.0,K. Lowry misses 3-pt jump shot from 26 ft,0-2, ,,1,0,2,-2,62.0
10:55.0, ,0-2,Defensive rebound by H. Diallo,,1,0,2,-2,65.0
10:50.0, ,0-2,Personal foul by K. Lowry (drawn by H. Diallo),,1,0,2,-2,70.0
10:39.0, ,0-2,Personal foul by D. Dedmon (drawn by K. Hayes),,1,0,2,-2,81.0
10:32.0, ,0-2,C. Cunningham misses 3-pt jump shot from 28 ft,,1,0,2,-2,88.0
10:32.0,Defensive rebound by Team,0-2, ,,1,0,2,-2,88.0
10:20.0,D. Robinson misses 2-pt jump shot from 16 ft,0-2, ,,1,0,2,-2,100.0
10:18.0, ,0-2,Defensive rebound by C. Cunningham,,1,0,2,-2,102.0
10:11.0, ,0-2,Shooting foul by G. Vincent (drawn by S. Bey),,1,0,2,-2,109.0
10:11.0, ,0-3,S. Bey makes free throw 1 of 3,,1,0,3,-3,109.0
10:11.0, ,0-4,S. Bey makes free throw 2 of 3,,1,0,4,-4,109.0
10:11.0, ,0-5,S. Bey makes free throw 3 of 3,,1,0,5,-5,109.0
9:58.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),3-5, ,,1,3,5,-2,122.0
9:42.0, ,3-5,K. Hayes misses 3-pt jump shot from 27 ft,,1,3,5,-2,138.0
9:38.0,Defensive rebound by D. Robinson,3-5, ,,1,3,5,-2,142.0
9:33.0,Personal foul by K. Hayes (drawn by P. Tucker),3-5, ,,1,3,5,-2,147.0
9:22.0,G. Vincent misses 3-pt jump shot from 23 ft,3-5, ,,1,3,5,-2,158.0
9:19.0, ,3-5,Defensive rebound by H. Diallo,,1,3,5,-2,161.0
9:15.0, ,3-5,Turnover by C. Cunningham (bad pass; steal by G. Vincent),,1,3,5,-2,165.0
9:13.0,G. Vincent makes 2-pt jump shot from 2 ft,5-5, ,Tie,1,5,5,0,167.0
9:13.0,Shooting foul by K. Hayes (drawn by G. Vincent),5-5, ,,1,5,5,0,167.0
9:13.0, ,5-5,S. Lee enters the game for K. Hayes,,1,5,5,0,167.0
9:13.0,G. Vincent misses free throw 1 of 1,5-5, ,,1,5,5,0,167.0
9:11.0, ,5-5,Defensive rebound by I. Stewart,,1,5,5,0,169.0
8:52.0, ,5-7,H. Diallo makes 2-pt layup from 6 ft (assist by C. Cunningham),,1,5,7,-2,188.0
8:36.0,Turnover by D. Dedmon (bad pass; steal by C. Cunningham),5-7, ,,1,5,7,-2,204.0
8:32.0, ,5-9,S. Bey makes 2-pt dunk from 2 ft (assist by C. Cunningham),,1,5,9,-4,208.0
8:14.0,G. Vincent makes 3-pt jump shot from 28 ft,8-9, ,,1,8,9,-1,226.0
8:01.0, ,8-11,C. Cunningham makes 2-pt hook shot from 6 ft,,1,8,11,-3,239.0
7:47.0,P. Tucker misses 3-pt jump shot from 24 ft,8-11, ,,1,8,11,-3,253.0
7:45.0, ,8-11,Defensive rebound by S. Bey,,1,8,11,-3,255.0
7:36.0, ,8-14,I. Stewart makes 3-pt jump shot from 26 ft (assist by S. Bey),,1,8,14,-6,264.0
7:14.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by D. Dedmon),11-14, ,,1,11,14,-3,286.0
7:02.0, ,11-16,H. Diallo makes 2-pt layup from 4 ft,,1,11,16,-5,298.0
6:51.0,K. Lowry misses 3-pt jump shot from 30 ft,11-16, ,,1,11,16,-5,309.0
6:47.0, ,11-16,Defensive rebound by I. Stewart,,1,11,16,-5,313.0
6:39.0, ,11-16,S. Lee misses 3-pt jump shot from 23 ft,,1,11,16,-5,321.0
6:36.0,Defensive rebound by D. Robinson,11-16, ,,1,11,16,-5,324.0
6:27.0,Turnover by P. Tucker (back court),11-16, ,,1,11,16,-5,333.0
6:26.0, ,11-16,Detroit full timeout,,1,11,16,-5,334.0
6:26.0,K. Okpala enters the game for P. Tucker,11-16, ,,1,11,16,-5,334.0
6:08.0, ,11-16,S. Lee misses 3-pt jump shot from 23 ft,,1,11,16,-5,352.0
6:07.0, ,11-16,Offensive rebound by I. Stewart,,1,11,16,-5,353.0
6:07.0, ,11-16,Shooting foul by D. Dedmon (drawn by I. Stewart),,1,11,16,-5,353.0
6:07.0, ,11-16,I. Stewart misses free throw 1 of 2,,1,11,16,-5,353.0
6:07.0, ,11-16,Offensive rebound by Team,,1,11,16,-5,353.0
6:07.0,O. Yurtseven enters the game for D. Dedmon,11-16, ,,1,11,16,-5,353.0
6:07.0, ,11-16,I. Stewart misses free throw 2 of 2,,1,11,16,-5,353.0
6:04.0,Defensive rebound by O. Yurtseven,11-16, ,,1,11,16,-5,356.0
5:46.0,D. Robinson misses 3-pt jump shot from 25 ft,11-16, ,,1,11,16,-5,374.0
5:44.0,Offensive rebound by K. Lowry,11-16, ,,1,11,16,-5,376.0
5:42.0,D. Robinson misses 3-pt jump shot from 31 ft,11-16, ,,1,11,16,-5,378.0
