Time,Miami,Score,Minnesota,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. K. Towns (J. Vanderbilt gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,P. Beverley misses 3-pt jump shot from 27 ft,,1,0,0,0,19.0
11:38.0, ,0-0,Offensive rebound by J. Vanderbilt,,1,0,0,0,22.0
11:32.0, ,0-0,A. Edwards misses 3-pt jump shot from 23 ft,,1,0,0,0,28.0
11:28.0,Defensive rebound by D. Robinson,0-0, ,,1,0,0,0,32.0
11:13.0,D. Robinson misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,47.0
11:12.0, ,0-0,Defensive rebound by J. Vanderbilt,,1,0,0,0,48.0
11:02.0, ,0-0,D. Russell misses 3-pt jump shot from 27 ft,,1,0,0,0,58.0
11:00.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,60.0
10:45.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by P. Tucker),3-0, ,,1,3,0,3,75.0
10:27.0, ,3-3,A. Edwards makes 3-pt jump shot from 25 ft (assist by J. Vanderbilt),Tie,1,3,3,0,93.0
10:17.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),5-3, ,,1,5,3,2,103.0
10:04.0, ,5-5,A. Edwards makes 2-pt layup from 3 ft (assist by D. Russell),Tie,1,5,5,0,116.0
9:58.0,Personal foul by K. Towns (drawn by B. Adebayo),5-5, ,,1,5,5,0,122.0
9:53.0,Shooting foul by P. Beverley (drawn by B. Adebayo),5-5, ,,1,5,5,0,127.0
9:53.0,B. Adebayo misses free throw 1 of 2,5-5, ,,1,5,5,0,127.0
9:53.0,Offensive rebound by Team,5-5, ,,1,5,5,0,127.0
9:53.0,B. Adebayo misses free throw 2 of 2,5-5, ,,1,5,5,0,127.0
9:51.0,Offensive rebound by K. Lowry,5-5, ,,1,5,5,0,129.0
9:49.0,D. Robinson misses 3-pt jump shot from 25 ft,5-5, ,,1,5,5,0,131.0
9:46.0,Offensive rebound by B. Adebayo,5-5, ,,1,5,5,0,134.0
9:43.0,B. Adebayo makes 2-pt hook shot from 2 ft,7-5, ,,1,7,5,2,137.0
9:24.0, ,7-7,D. Russell makes 2-pt layup from 2 ft,Tie,1,7,7,0,156.0
9:13.0,J. Butler misses 3-pt jump shot from 23 ft,7-7, ,,1,7,7,0,167.0
9:10.0, ,7-7,Defensive rebound by A. Edwards,,1,7,7,0,170.0
8:56.0, ,7-7,A. Edwards misses 3-pt jump shot from 25 ft,,1,7,7,0,184.0
8:53.0, ,7-7,Offensive rebound by J. Vanderbilt,,1,7,7,0,187.0
