Time,Miami,Score,Indiana,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. M. Turner (C. LeVert gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-2,M. Turner makes 2-pt jump shot from 16 ft (assist by M. Brogdon),,1,0,2,-2,21.0
11:21.0,Turnover by K. Lowry (bad pass; steal by T. Craig),0-2, ,,1,0,2,-2,39.0
11:09.0, ,0-4,C. Duarte makes 2-pt jump shot from 19 ft,,1,0,4,-4,51.0
10:45.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by P. Tucker),3-4, ,,1,3,4,-1,75.0
10:30.0, ,3-4,C. Duarte misses 2-pt jump shot from 18 ft,,1,3,4,-1,90.0
10:27.0,Defensive rebound by T. Herro,3-4, ,,1,3,4,-1,93.0
10:13.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by D. Robinson),6-4, ,Lead change,1,6,4,2,107.0
9:55.0, ,6-6,C. LeVert makes 2-pt layup from 2 ft (assist by M. Brogdon),Tie,1,6,6,0,125.0
9:44.0,K. Lowry makes 2-pt jump shot from 19 ft,8-6, ,,1,8,6,2,136.0
9:21.0, ,8-6,T. Craig misses 3-pt jump shot from 23 ft,,1,8,6,2,159.0
9:18.0,Defensive rebound by D. Dedmon,8-6, ,,1,8,6,2,162.0
9:08.0,K. Lowry makes 3-pt jump shot from 26 ft,11-6, ,,1,11,6,5,172.0
8:54.0, ,11-6,Personal foul by D. Dedmon (drawn by M. Brogdon),,1,11,6,5,186.0
8:44.0, ,11-6,Shooting foul by T. Herro (drawn by C. LeVert),,1,11,6,5,196.0
8:44.0, ,11-7,C. LeVert makes free throw 1 of 2,,1,11,7,4,196.0
8:44.0, ,11-7,C. LeVert misses free throw 2 of 2,,1,11,7,4,196.0
8:42.0,Defensive rebound by P. Tucker,11-7, ,,1,11,7,4,198.0
8:26.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),14-7, ,,1,14,7,7,214.0
8:19.0, ,14-7,Indiana full timeout,,1,14,7,7,221.0
8:19.0, ,14-7,D. Sabonis enters the game for T. Craig,,1,14,7,7,221.0
8:01.0, ,14-9,C. LeVert makes 2-pt jump shot from 11 ft (assist by M. Brogdon),,1,14,9,5,239.0
7:42.0,D. Robinson misses 3-pt jump shot from 25 ft,14-9, ,,1,14,9,5,258.0
7:40.0, ,14-9,Defensive rebound by C. LeVert,,1,14,9,5,260.0
7:33.0, ,14-9,M. Turner misses 3-pt jump shot from 27 ft,,1,14,9,5,267.0
7:29.0, ,14-9,Offensive rebound by Team,,1,14,9,5,271.0
7:20.0, ,14-11,C. LeVert makes 2-pt jump shot from 11 ft,,1,14,11,3,280.0
7:04.0,D. Dedmon misses 2-pt jump shot from 7 ft (block by M. Turner),14-11, ,,1,14,11,3,296.0
7:02.0, ,14-11,Defensive rebound by D. Sabonis,,1,14,11,3,298.0
6:56.0, ,14-13,C. LeVert makes 2-pt jump shot from 14 ft,,1,14,13,1,304.0
6:41.0,Shooting foul by C. Duarte (drawn by D. Robinson),14-13, ,,1,14,13,1,319.0
6:41.0,D. Robinson makes free throw 1 of 2,15-13, ,,1,15,13,2,319.0
6:41.0,D. Robinson makes free throw 2 of 2,16-13, ,,1,16,13,3,319.0
6:30.0, ,16-13,Turnover by M. Brogdon (bad pass),,1,16,13,3,330.0
6:25.0,K. Lowry makes 3-pt jump shot from 25 ft,19-13, ,,1,19,13,6,335.0
6:06.0, ,19-15,C. Duarte makes 2-pt layup from 2 ft (assist by D. Sabonis),,1,19,15,4,354.0
5:57.0,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Lowry),22-15, ,,1,22,15,7,363.0
5:43.0, ,22-15,M. Turner misses 2-pt jump shot from 6 ft,,1,22,15,7,377.0
5:40.0,Defensive rebound by D. Dedmon,22-15, ,,1,22,15,7,380.0
5:28.0,T. Herro makes 2-pt jump shot from 14 ft,24-15, ,,1,24,15,9,392.0
5:13.0, ,24-15,Turnover by C. Duarte (lost ball; steal by P. Tucker),,1,24,15,9,407.0
5:07.0,T. Herro misses 3-pt jump shot from 26 ft,24-15, ,,1,24,15,9,413.0
5:03.0,Offensive rebound by P. Tucker,24-15, ,,1,24,15,9,417.0
5:03.0,Miami full timeout,24-15, ,,1,24,15,9,417.0
5:03.0,G. Vincent enters the game for T. Herro,24-15, ,,1,24,15,9,417.0
5:03.0, ,24-15,O. Brissett enters the game for C. LeVert,,1,24,15,9,417.0
5:03.0, ,24-15,K. Martin enters the game for M. Turner,,1,24,15,9,417.0
5:00.0,K. Lowry misses 3-pt jump shot from 29 ft,24-15, ,,1,24,15,9,420.0
4:56.0, ,24-15,Defensive rebound by D. Sabonis,,1,24,15,9,424.0
4:40.0, ,24-15,D. Sabonis misses 2-pt jump shot from 2 ft,,1,24,15,9,440.0
4:37.0, ,24-15,Offensive rebound by K. Martin,,1,24,15,9,443.0
4:36.0, ,24-15,Turnover by M. Brogdon (lost ball; steal by P. Tucker),,1,24,15,9,444.0
4:24.0,P. Tucker makes 2-pt hook shot from 8 ft,26-15, ,,1,26,15,11,456.0
4:09.0, ,26-15,Offensive foul by D. Sabonis (drawn by K. Lowry),,1,26,15,11,471.0
4:09.0, ,26-15,Turnover by D. Sabonis (offensive foul),,1,26,15,11,471.0
4:09.0, ,26-15,J. Lamb enters the game for C. Duarte,,1,26,15,11,471.0
3:54.0,Personal foul by O. Brissett (drawn by G. Vincent),26-15, ,,1,26,15,11,486.0
3:54.0,U. Haslem enters the game for D. Dedmon,26-15, ,,1,26,15,11,486.0
3:54.0,Turnover by G. Vincent (bad pass; steal by D. Sabonis),26-15, ,,1,26,15,11,486.0
3:49.0, ,26-17,D. Sabonis makes 2-pt dunk from 1 ft,,1,26,17,9,491.0
3:30.0,P. Tucker misses 2-pt jump shot from 8 ft,26-17, ,,1,26,17,9,510.0
3:29.0,Offensive rebound by P. Tucker,26-17, ,,1,26,17,9,511.0
3:28.0,Personal foul by J. Lamb (drawn by P. Tucker),26-17, ,,1,26,17,9,512.0
3:19.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Lowry),29-17, ,,1,29,17,12,521.0
3:19.0,Shooting foul by M. Brogdon (drawn by D. Robinson),29-17, ,,1,29,17,12,521.0
3:19.0,D. Robinson makes free throw 1 of 1,30-17, ,,1,30,17,13,521.0
2:59.0, ,30-17,J. Lamb misses 2-pt jump shot from 18 ft,,1,30,17,13,541.0
2:53.0,Defensive rebound by U. Haslem,30-17, ,,1,30,17,13,547.0
2:44.0,K. Lowry misses 3-pt jump shot from 22 ft,30-17, ,,1,30,17,13,556.0
2:41.0, ,30-17,Defensive rebound by D. Sabonis,,1,30,17,13,559.0
2:26.0, ,30-20,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,1,30,20,10,574.0
2:06.0,D. Robinson makes 2-pt layup from 6 ft (assist by G. Vincent),32-20, ,,1,32,20,12,594.0
1:55.0, ,32-23,K. Martin makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,1,32,23,9,605.0
1:40.0,G. Vincent misses 2-pt jump shot from 11 ft,32-23, ,,1,32,23,9,620.0
1:38.0, ,32-23,Defensive rebound by D. Sabonis,,1,32,23,9,622.0
