Time,Houston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:17.0, ,66-78,J. Butler makes 2-pt jump shot from 10 ft,,3,78,66,12,1903.0
4:16.0,Houston full timeout,66-78, ,,3,78,66,12,1904.0
4:16.0,D. Nix enters the game for K. Porter,66-78, ,,3,78,66,12,1904.0
3:56.0,J. Christopher makes 3-pt jump shot from 26 ft (assist by A. Sengun),69-78, ,,3,78,69,9,1924.0
3:31.0, ,69-81,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),,3,81,69,12,1949.0
3:07.0,A. Sengun misses 3-pt jump shot from 25 ft,69-81, ,,3,81,69,12,1973.0
3:02.0, ,69-81,Defensive rebound by P. Tucker,,3,81,69,12,1978.0
2:58.0, ,69-83,T. Herro makes 2-pt layup from 1 ft,,3,83,69,14,1982.0
2:38.0,J. Christopher makes 3-pt jump shot from 23 ft (assist by D. Nix),72-83, ,,3,83,72,11,2002.0
2:33.0, ,72-83,Turnover by T. Herro (bad pass; steal by K. Martin),,3,83,72,11,2007.0
2:33.0,Turnover by K. Martin (out of bounds lost ball),72-83, ,,3,83,72,11,2007.0
2:33.0,D. Nwaba enters the game for J. Green,72-83, ,,3,83,72,11,2007.0
2:33.0,J. Tate enters the game for A. Sengun,72-83, ,,3,83,72,11,2007.0
2:33.0, ,72-83,C. Martin enters the game for P. Tucker,,3,83,72,11,2007.0
2:19.0, ,72-83,T. Herro misses 3-pt jump shot from 27 ft,,3,83,72,11,2021.0
2:12.0, ,72-83,Offensive rebound by D. Dedmon,,3,83,72,11,2028.0
2:06.0, ,72-85,D. Dedmon makes 2-pt layup from 3 ft,,3,85,72,13,2034.0
2:06.0,D. Nwaba misses 3-pt jump shot from 26 ft,72-85, ,,3,85,72,13,2034.0
2:06.0, ,72-85,Defensive rebound by Team,,3,85,72,13,2034.0
2:06.0, ,72-85,V. Oladipo enters the game for D. Robinson,,3,85,72,13,2034.0
1:51.0, ,72-87,D. Dedmon makes 2-pt dunk from 1 ft (assist by V. Oladipo),,3,87,72,15,2049.0
1:35.0,J. Tate makes 2-pt layup from 2 ft (assist by D. Nix),74-87, ,,3,87,74,13,2065.0
1:19.0, ,74-87,Turnover by D. Dedmon (lost ball; steal by D. Nix),,3,87,74,13,2081.0
1:16.0,Offensive foul by D. Nix (drawn by V. Oladipo),74-87, ,,3,87,74,13,2084.0
1:16.0,Turnover by D. Nix (offensive foul),74-87, ,,3,87,74,13,2084.0
1:00.0, ,74-89,V. Oladipo makes 2-pt layup from 3 ft (assist by T. Herro),,3,89,74,15,2100.0
0:45.0,K. Martin makes 2-pt layup from 2 ft (assist by J. Christopher),76-89, ,,3,89,76,13,2115.0
0:32.0, ,76-89,Shooting foul by D. Nwaba (drawn by V. Oladipo),,3,89,76,13,2128.0
0:32.0, ,76-89,V. Oladipo misses free throw 1 of 2,,3,89,76,13,2128.0
0:32.0, ,76-89,Offensive rebound by Team,,3,89,76,13,2128.0
0:32.0, ,76-90,V. Oladipo makes free throw 2 of 2,,3,90,76,14,2128.0
0:32.0, ,76-90,K. Lowry enters the game for J. Butler,,3,90,76,14,2128.0
0:09.0,J. Christopher misses 3-pt jump shot from 26 ft,76-90, ,,3,90,76,14,2151.0
0:07.0,Offensive rebound by J. Tate,76-90, ,,3,90,76,14,2153.0
0:01.0,K. Martin makes 2-pt layup from 3 ft (assist by J. Tate),78-90, ,,3,90,78,12,2159.0
0:00.0, ,78-90,K. Lowry misses 3-pt jump shot from 58 ft,,3,90,78,12,2160.0
0:00.0, ,78-90,Offensive rebound by Team,,3,90,78,12,2160.0
0:00.0,End of 3rd quarter,78-90,,,3,90,78,12,2160.0
12:00.0,Start of 4th quarter,78-90,,,4,90,78,12,2160.0
11:45.0, ,78-90,Personal foul by J. Christopher (drawn by T. Herro),,4,90,78,12,2175.0
11:36.0, ,78-90,Personal foul by D. Nwaba (drawn by B. Adebayo),,4,90,78,12,2184.0
11:21.0, ,78-93,T. Herro makes 3-pt jump shot from 27 ft (assist by V. Oladipo),,4,93,78,15,2199.0
11:01.0,J. Christopher misses 3-pt jump shot from 26 ft,78-93, ,,4,93,78,15,2219.0
10:57.0, ,78-93,Defensive rebound by B. Adebayo,,4,93,78,15,2223.0
10:47.0, ,78-95,B. Adebayo makes 2-pt jump shot from 11 ft,,4,95,78,17,2233.0
10:27.0,J. Christopher misses 2-pt jump shot from 10 ft,78-95, ,,4,95,78,17,2253.0
10:26.0,Offensive rebound by J. Tate,78-95, ,,4,95,78,17,2254.0
10:26.0,J. Tate makes 2-pt layup from 2 ft,80-95, ,,4,95,80,15,2254.0
10:26.0,Shooting foul by K. Lowry (drawn by J. Tate),80-95, ,,4,95,80,15,2254.0
10:26.0, ,80-95,Technical foul by K. Lowry,,4,95,80,15,2254.0
10:26.0,J. Christopher makes technical free throw,81-95, ,,4,95,81,14,2254.0
10:26.0,J. Tate misses free throw 1 of 1,81-95, ,,4,95,81,14,2254.0
10:23.0, ,81-95,Defensive rebound by B. Adebayo,,4,95,81,14,2257.0
10:14.0, ,81-97,V. Oladipo makes 2-pt dunk from 1 ft,,4,97,81,16,2266.0
10:00.0,Offensive foul by D. Nwaba (drawn by C. Martin),81-97, ,,4,97,81,16,2280.0
10:00.0,Turnover by D. Nwaba (offensive foul),81-97, ,,4,97,81,16,2280.0
10:00.0,Houston full timeout,81-97, ,,4,97,81,16,2280.0
10:00.0,Instant Replay (Challenge: Stands),81-97, ,,4,97,81,16,2280.0
10:00.0,G. Mathews enters the game for J. Tate,81-97, ,,4,97,81,16,2280.0
9:43.0, ,81-97,Turnover by K. Lowry (bad pass; steal by J. Christopher),,4,97,81,16,2297.0
9:37.0,Turnover by J. Christopher (bad pass; steal by C. Martin),81-97, ,,4,97,81,16,2303.0
9:24.0, ,81-97,B. Adebayo misses 2-pt hook shot from 4 ft,,4,97,81,16,2316.0
9:21.0,Defensive rebound by D. Nix,81-97, ,,4,97,81,16,2319.0
9:11.0,D. Nix misses 2-pt jump shot from 5 ft,81-97, ,,4,97,81,16,2329.0
9:08.0,Offensive rebound by D. Nwaba,81-97, ,,4,97,81,16,2332.0
9:06.0,D. Nwaba makes 2-pt layup from 4 ft,83-97, ,,4,97,83,14,2334.0
8:47.0, ,83-97,C. Martin misses 2-pt layup from 2 ft (block by J. Christopher),,4,97,83,14,2353.0
8:43.0, ,83-97,Offensive rebound by B. Adebayo,,4,97,83,14,2357.0
8:40.0, ,83-97,Personal foul by G. Mathews (drawn by B. Adebayo),,4,97,83,14,2360.0
8:34.0, ,83-97,T. Herro misses 3-pt jump shot from 25 ft,,4,97,83,14,2366.0
8:29.0, ,83-97,Offensive rebound by C. Martin,,4,97,83,14,2371.0
8:29.0, ,83-99,C. Martin makes 2-pt dunk at rim,,4,99,83,16,2371.0
8:12.0,J. Christopher makes 2-pt layup from 2 ft (assist by G. Mathews),85-99, ,,4,99,85,14,2388.0
7:56.0, ,85-99,C. Martin misses 2-pt dunk from 1 ft (block by K. Martin),,4,99,85,14,2404.0
7:55.0, ,85-99,Offensive rebound by C. Martin,,4,99,85,14,2405.0
7:55.0, ,85-99,Turnover by C. Martin (bad pass),,4,99,85,14,2405.0
7:39.0,D. Nix misses 3-pt jump shot from 26 ft,85-99, ,,4,99,85,14,2421.0
7:36.0, ,85-99,Defensive rebound by B. Adebayo,,4,99,85,14,2424.0
7:34.0, ,85-99,Turnover by B. Adebayo (lost ball; steal by K. Martin),,4,99,85,14,2426.0
7:33.0,Offensive foul by K. Martin (drawn by C. Martin),85-99, ,,4,99,85,14,2427.0
7:33.0,Turnover by K. Martin (offensive foul),85-99, ,,4,99,85,14,2427.0
7:33.0,J. Green enters the game for G. Mathews,85-99, ,,4,99,85,14,2427.0
7:33.0,K. Porter enters the game for D. Nwaba,85-99, ,,4,99,85,14,2427.0
7:17.0, ,85-99,V. Oladipo misses 2-pt jump shot from 20 ft,,4,99,85,14,2443.0
7:11.0,Defensive rebound by K. Porter,85-99, ,,4,99,85,14,2449.0
7:09.0,J. Christopher makes 2-pt jump shot from 10 ft,87-99, ,,4,99,87,12,2451.0
7:09.0, ,87-99,Miami full timeout,,4,99,87,12,2451.0
6:59.0, ,87-101,T. Herro makes 2-pt layup from 1 ft (assist by V. Oladipo),,4,101,87,14,2461.0
6:59.0, ,87-101,Violation by Team (delay of game),,4,101,87,14,2461.0
6:44.0,K. Martin makes 2-pt dunk from 2 ft (assist by J. Green),89-101, ,,4,101,89,12,2476.0
6:23.0, ,89-104,V. Oladipo makes 3-pt jump shot from 24 ft (assist by K. Lowry),,4,104,89,15,2497.0
6:11.0,K. Porter makes 3-pt jump shot from 28 ft (assist by J. Green),92-104, ,,4,104,92,12,2509.0
5:53.0, ,92-106,T. Herro makes 2-pt jump shot from 6 ft,,4,106,92,14,2527.0
5:53.0, ,92-106,Shooting foul by J. Christopher (drawn by T. Herro),,4,106,92,14,2527.0
5:53.0,A. Sengun enters the game for D. Nix,92-106, ,,4,106,92,14,2527.0
5:53.0, ,92-106,D. Robinson enters the game for V. Oladipo,,4,106,92,14,2527.0
5:53.0, ,92-107,T. Herro makes free throw 1 of 1,,4,107,92,15,2527.0
5:43.0,Personal foul by D. Robinson (drawn by J. Green),92-107, ,,4,107,92,15,2537.0
5:29.0,Turnover by Team (shot clock),92-107, ,,4,107,92,15,2551.0
5:17.0, ,92-109,B. Adebayo makes 2-pt hook shot from 2 ft (assist by C. Martin),,4,109,92,17,2563.0
5:17.0, ,92-109,Shooting foul by A. Sengun (drawn by B. Adebayo),,4,109,92,17,2563.0
5:17.0, ,92-110,B. Adebayo makes free throw 1 of 1,,4,110,92,18,2563.0
5:04.0,K. Porter misses 3-pt jump shot from 26 ft,92-110, ,,4,110,92,18,2576.0
5:01.0, ,92-110,Defensive rebound by B. Adebayo,,4,110,92,18,2579.0
4:52.0, ,92-110,B. Adebayo misses 2-pt layup from 1 ft,,4,110,92,18,2588.0
4:49.0,Defensive rebound by A. Sengun,92-110, ,,4,110,92,18,2591.0
4:44.0,J. Christopher makes 2-pt layup from 2 ft,94-110, ,,4,110,94,16,2596.0
4:29.0, ,94-110,B. Adebayo misses 2-pt jump shot from 14 ft,,4,110,94,16,2611.0
4:27.0,Defensive rebound by K. Porter,94-110, ,,4,110,94,16,2613.0
4:18.0,J. Green makes 2-pt layup from 2 ft,96-110, ,,4,110,96,14,2622.0
3:57.0, ,96-112,B. Adebayo makes 2-pt layup from 1 ft (assist by T. Herro),,4,112,96,16,2643.0
3:40.0,J. Christopher misses 3-pt jump shot from 27 ft,96-112, ,,4,112,96,16,2660.0
3:37.0, ,96-112,Defensive rebound by C. Martin,,4,112,96,16,2663.0
3:34.0, ,96-114,B. Adebayo makes 2-pt dunk from 1 ft (assist by C. Martin),,4,114,96,18,2666.0
3:28.0,Personal foul by C. Martin (drawn by A. Sengun),96-114, ,,4,114,96,18,2672.0
3:28.0, ,96-114,M. Strus enters the game for T. Herro,,4,114,96,18,2672.0
3:28.0, ,96-114,G. Vincent enters the game for K. Lowry,,4,114,96,18,2672.0
3:19.0,J. Green misses 3-pt jump shot from 25 ft,96-114, ,,4,114,96,18,2681.0
3:18.0, ,96-114,Defensive rebound by C. Martin,,4,114,96,18,2682.0
3:08.0, ,96-116,B. Adebayo makes 2-pt dunk from 1 ft (assist by C. Martin),,4,116,96,20,2692.0
3:08.0,Houston full timeout,96-116, ,,4,116,96,20,2692.0
3:08.0,B. Fernando enters the game for J. Green,96-116, ,,4,116,96,20,2692.0
3:08.0,D. Nix enters the game for K. Porter,96-116, ,,4,116,96,20,2692.0
3:08.0,T. Queen enters the game for A. Sengun,96-116, ,,4,116,96,20,2692.0
3:08.0, ,96-116,K. Guy enters the game for B. Adebayo,,4,116,96,20,2692.0
3:08.0, ,96-116,H. Highsmith enters the game for C. Martin,,4,116,96,20,2692.0
3:08.0, ,96-116,O. Yurtseven enters the game for D. Robinson,,4,116,96,20,2692.0
2:48.0,K. Martin makes 2-pt layup from 1 ft (assist by T. Queen),98-116, ,,4,116,98,18,2712.0
2:48.0,Shooting foul by O. Yurtseven (drawn by K. Martin),98-116, ,,4,116,98,18,2712.0
2:48.0,K. Martin makes free throw 1 of 1,99-116, ,,4,116,99,17,2712.0
2:35.0, ,99-118,G. Vincent makes 2-pt jump shot from 13 ft,,4,118,99,19,2725.0
2:23.0,K. Martin misses 3-pt jump shot from 26 ft,99-118, ,,4,118,99,19,2737.0
2:23.0, ,99-118,Defensive rebound by Team,,4,118,99,19,2737.0
1:59.0, ,99-118,H. Highsmith misses 2-pt layup from 2 ft (block by J. Christopher),,4,118,99,19,2761.0
1:55.0,Defensive rebound by K. Martin,99-118, ,,4,118,99,19,2765.0
1:53.0,T. Queen misses 3-pt jump shot from 27 ft,99-118, ,,4,118,99,19,2767.0
1:51.0,Offensive rebound by Team,99-118, ,,4,118,99,19,2769.0
1:37.0,J. Christopher misses 2-pt jump shot from 13 ft,99-118, ,,4,118,99,19,2783.0
1:34.0, ,99-118,Defensive rebound by O. Yurtseven,,4,118,99,19,2786.0
1:28.0, ,99-121,G. Vincent makes 3-pt jump shot from 26 ft,,4,121,99,22,2792.0
1:22.0,Personal foul by H. Highsmith (drawn by B. Fernando),99-121, ,,4,121,99,22,2798.0
1:22.0,B. Fernando makes free throw 1 of 2,100-121, ,,4,121,100,21,2798.0
1:22.0,B. Fernando makes free throw 2 of 2,101-121, ,,4,121,101,20,2798.0
1:15.0, ,101-123,G. Vincent makes 2-pt layup from 1 ft,,4,123,101,22,2805.0
1:15.0,Violation by Team (def goaltending),101-123, ,,4,123,101,22,2805.0
1:02.0,B. Fernando misses 2-pt layup from 3 ft,101-123, ,,4,123,101,22,2818.0
0:59.0, ,101-123,Defensive rebound by K. Guy,,4,123,101,22,2821.0
0:55.0, ,101-123,K. Guy misses 3-pt jump shot from 25 ft,,4,123,101,22,2825.0
0:52.0, ,101-123,Offensive rebound by K. Guy,,4,123,101,22,2828.0
0:51.0, ,101-123,O. Yurtseven misses 2-pt layup from 1 ft (block by B. Fernando),,4,123,101,22,2829.0
0:51.0,Defensive rebound by Team,101-123, ,,4,123,101,22,2829.0
0:39.0,D. Nix misses 3-pt jump shot from 24 ft,101-123, ,,4,123,101,22,2841.0
0:37.0,Offensive rebound by T. Queen,101-123, ,,4,123,101,22,2843.0
0:35.0,T. Queen misses 2-pt layup from 2 ft,101-123, ,,4,123,101,22,2845.0
0:35.0,Offensive rebound by B. Fernando,101-123, ,,4,123,101,22,2845.0
0:35.0,B. Fernando makes 2-pt layup from 2 ft,103-123, ,,4,123,103,20,2845.0
0:14.0, ,103-123,G. Vincent misses 3-pt jump shot from 25 ft (block by T. Queen),,4,123,103,20,2866.0
0:12.0, ,103-123,Offensive rebound by G. Vincent,,4,123,103,20,2868.0
0:07.0, ,103-123,G. Vincent misses 3-pt jump shot from 25 ft,,4,123,103,20,2873.0
0:07.0,Defensive rebound by J. Christopher,103-123, ,,4,123,103,20,2873.0
0:01.0,J. Christopher makes 3-pt jump shot from 27 ft,106-123, ,,4,123,106,17,2879.0
0:00.0,End of 4th quarter,106-123,,,4,123,106,17,2880.0
