Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:19.0, ,4-0,Turnover by B. Adebayo (out of bounds lost ball),,1,0,4,-4,161.0
9:02.0,Turnover by R. Jackson (bad pass),4-0, ,,1,0,4,-4,178.0
8:45.0, ,4-0,B. Adebayo misses 2-pt dunk from 2 ft (block by I. Zubac),,1,0,4,-4,195.0
8:43.0,Defensive rebound by R. Jackson,4-0, ,,1,0,4,-4,197.0
8:40.0,T. Mann misses 3-pt jump shot from 22 ft,4-0, ,,1,0,4,-4,200.0
8:36.0, ,4-0,Defensive rebound by D. Robinson,,1,0,4,-4,204.0
8:30.0, ,4-0,Shooting foul by I. Zubac (drawn by J. Butler),,1,0,4,-4,210.0
8:30.0, ,4-1,J. Butler makes free throw 1 of 2,,1,1,4,-3,210.0
8:30.0, ,4-2,J. Butler makes free throw 2 of 2,,1,2,4,-2,210.0
8:15.0,R. Jackson makes 2-pt layup from 2 ft,6-2, ,,1,2,6,-4,225.0
8:07.0, ,6-4,P. Tucker makes 2-pt jump shot from 21 ft (assist by G. Vincent),,1,4,6,-2,233.0
7:44.0,I. Zubac misses 2-pt hook shot from 12 ft,6-4, ,,1,4,6,-2,256.0
7:42.0, ,6-4,Defensive rebound by P. Tucker,,1,4,6,-2,258.0
7:34.0, ,6-7,D. Robinson makes 3-pt jump shot from 25 ft (assist by P. Tucker),Lead change,1,7,6,1,266.0
7:13.0,R. Jackson misses 2-pt layup from 5 ft,6-7, ,,1,7,6,1,287.0
7:10.0, ,6-7,Defensive rebound by G. Vincent,,1,7,6,1,290.0
7:07.0, ,6-7,D. Robinson misses 3-pt jump shot from 26 ft,,1,7,6,1,293.0
7:04.0, ,6-7,Offensive rebound by J. Butler,,1,7,6,1,296.0
6:57.0, ,6-7,P. Tucker misses 3-pt jump shot from 23 ft,,1,7,6,1,303.0
6:53.0,Defensive rebound by I. Zubac,6-7, ,,1,7,6,1,307.0
6:48.0,N. Batum misses 3-pt jump shot from 27 ft,6-7, ,,1,7,6,1,312.0
6:43.0, ,6-7,Defensive rebound by B. Adebayo,,1,7,6,1,317.0
6:32.0, ,6-9,B. Adebayo makes 2-pt hook shot from 3 ft (assist by G. Vincent),,1,9,6,3,328.0
6:32.0,LA Clippers full timeout,6-9, ,,1,9,6,3,328.0
6:22.0,Offensive foul by T. Mann (drawn by G. Vincent),6-9, ,,1,9,6,3,338.0
6:22.0,Turnover by T. Mann (offensive foul),6-9, ,,1,9,6,3,338.0
6:07.0, ,6-9,D. Robinson misses 3-pt jump shot from 26 ft,,1,9,6,3,353.0
6:05.0,Defensive rebound by I. Zubac,6-9, ,,1,9,6,3,355.0
5:43.0,T. Mann misses 3-pt jump shot from 30 ft,6-9, ,,1,9,6,3,377.0
5:42.0,Offensive rebound by Team,6-9, ,,1,9,6,3,378.0
5:42.0,L. Kennard enters the game for T. Mann,6-9, ,,1,9,6,3,378.0
5:39.0,N. Batum makes 3-pt jump shot from 23 ft (assist by L. Kennard),9-9, ,Tie,1,9,9,0,381.0
5:20.0, ,9-11,J. Butler makes 2-pt layup from 2 ft,,1,11,9,2,400.0
5:07.0,Shooting foul by P. Tucker (drawn by R. Jackson),9-11, ,,1,11,9,2,413.0
5:07.0,R. Jackson misses free throw 1 of 2,9-11, ,,1,11,9,2,413.0
5:07.0,Offensive rebound by Team,9-11, ,,1,11,9,2,413.0
5:07.0, ,9-11,T. Herro enters the game for G. Vincent,,1,11,9,2,413.0
5:07.0,R. Jackson makes free throw 2 of 2,10-11, ,,1,11,10,1,413.0
4:51.0, ,10-13,J. Butler makes 2-pt jump shot from 14 ft,,1,13,10,3,429.0
4:37.0,N. Batum makes 3-pt jump shot from 25 ft (assist by R. Jackson),13-13, ,Tie,1,13,13,0,443.0
4:23.0, ,13-15,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Butler),,1,15,13,2,457.0
4:23.0, ,13-15,Shooting foul by N. Batum (drawn by B. Adebayo),,1,15,13,2,457.0
4:23.0, ,13-16,B. Adebayo makes free throw 1 of 1,,1,16,13,3,457.0
4:10.0,Turnover by I. Zubac (lost ball; steal by J. Butler),13-16, ,,1,16,13,3,470.0
4:06.0, ,13-18,J. Butler makes 2-pt dunk from 1 ft,,1,18,13,5,474.0
3:47.0,I. Zubac makes 2-pt layup from 2 ft (assist by L. Kennard),15-18, ,,1,18,15,3,493.0
3:25.0, ,15-20,P. Tucker makes 2-pt layup from 2 ft (assist by J. Butler),,1,20,15,5,515.0
3:10.0,Turnover by L. Kennard (bad pass; steal by P. Tucker),15-20, ,,1,20,15,5,530.0
3:02.0, ,15-22,J. Butler makes 2-pt jump shot from 7 ft (assist by B. Adebayo),,1,22,15,7,538.0
3:02.0,LA Clippers full timeout,15-22, ,,1,22,15,7,538.0
3:02.0,E. Bledsoe enters the game for N. Batum,15-22, ,,1,22,15,7,538.0
3:02.0,B. Boston enters the game for A. Coffey,15-22, ,,1,22,15,7,538.0
3:02.0,I. Hartenstein enters the game for R. Jackson,15-22, ,,1,22,15,7,538.0
3:02.0,J. Winslow enters the game for I. Zubac,15-22, ,,1,22,15,7,538.0
3:02.0, ,15-22,D. Dedmon enters the game for B. Adebayo,,1,22,15,7,538.0
3:02.0, ,15-22,M. Strus enters the game for D. Robinson,,1,22,15,7,538.0
2:46.0,L. Kennard misses 2-pt jump shot from 11 ft (block by J. Butler),15-22, ,,1,22,15,7,554.0
2:46.0,Offensive rebound by Team,15-22, ,,1,22,15,7,554.0
2:43.0,L. Kennard misses 3-pt jump shot from 23 ft,15-22, ,,1,22,15,7,557.0
2:41.0, ,15-22,Defensive rebound by P. Tucker,,1,22,15,7,559.0
2:27.0, ,15-22,Shooting foul by I. Hartenstein (drawn by P. Tucker),,1,22,15,7,573.0
2:27.0, ,15-23,P. Tucker makes free throw 1 of 2,,1,23,15,8,573.0
2:27.0, ,15-24,P. Tucker makes free throw 2 of 2,,1,24,15,9,573.0
2:13.0,Turnover by I. Hartenstein (traveling),15-24, ,,1,24,15,9,587.0
2:13.0, ,15-24,C. Martin enters the game for P. Tucker,,1,24,15,9,587.0
1:56.0, ,15-24,J. Butler misses 2-pt jump shot from 11 ft,,1,24,15,9,604.0
1:53.0,Defensive rebound by B. Boston,15-24, ,,1,24,15,9,607.0
1:48.0,I. Hartenstein makes 2-pt jump shot from 11 ft (assist by E. Bledsoe),17-24, ,,1,24,17,7,612.0
1:48.0,Shooting foul by D. Dedmon (drawn by I. Hartenstein),17-24, ,,1,24,17,7,612.0
1:48.0,I. Hartenstein misses free throw 1 of 1,17-24, ,,1,24,17,7,612.0
1:46.0,Offensive rebound by I. Hartenstein,17-24, ,,1,24,17,7,614.0
1:39.0,I. Hartenstein misses 2-pt hook shot from 9 ft,17-24, ,,1,24,17,7,621.0
1:39.0, ,17-24,Defensive rebound by D. Dedmon,,1,24,17,7,621.0
1:18.0, ,17-24,M. Strus misses 2-pt jump shot from 13 ft,,1,24,17,7,642.0
1:15.0,Defensive rebound by J. Winslow,17-24, ,,1,24,17,7,645.0
1:09.0,J. Winslow misses 2-pt layup from 5 ft,17-24, ,,1,24,17,7,651.0
1:07.0, ,17-24,Defensive rebound by C. Martin,,1,24,17,7,653.0
1:03.0, ,17-24,C. Martin misses 2-pt jump shot from 8 ft,,1,24,17,7,657.0
1:03.0,Defensive rebound by Team,17-24, ,,1,24,17,7,657.0
