Time,Miami,Score,Cleveland,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. J. Allen (L. Markkanen gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,L. Markkanen misses 2-pt layup from 2 ft (block by G. Vincent),,1,0,0,0,15.0
11:45.0, ,0-0,Offensive rebound by Team,,1,0,0,0,15.0
11:44.0, ,0-0,Away from play foul by D. Robinson (drawn by L. Markkanen),,1,0,0,0,16.0
11:44.0, ,0-1,D. Garland makes free throw 1 of 1,,1,0,1,-1,16.0
11:31.0, ,0-1,E. Mobley misses 2-pt jump shot from 21 ft,,1,0,1,-1,29.0
11:30.0, ,0-1,Offensive rebound by Team,,1,0,1,-1,30.0
11:30.0, ,0-1,Turnover by Team (shot clock),,1,0,1,-1,30.0
11:12.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Robinson),3-1, ,Lead change,1,3,1,2,48.0
10:57.0, ,3-1,L. Markkanen misses 3-pt jump shot from 23 ft,,1,3,1,2,63.0
10:52.0,Defensive rebound by D. Robinson,3-1, ,,1,3,1,2,68.0
10:48.0,P. Tucker misses 2-pt jump shot from 20 ft,3-1, ,,1,3,1,2,72.0
10:43.0, ,3-1,Defensive rebound by E. Mobley,,1,3,1,2,77.0
10:36.0, ,3-1,D. Garland misses 3-pt jump shot from 31 ft,,1,3,1,2,84.0
10:31.0,Defensive rebound by P. Tucker,3-1, ,,1,3,1,2,89.0
10:27.0,Turnover by K. Lowry (bad pass; steal by D. Garland),3-1, ,,1,3,1,2,93.0
10:21.0, ,3-3,L. Markkanen makes 2-pt dunk from 1 ft (assist by E. Mobley),Tie,1,3,3,0,99.0
9:58.0,D. Dedmon misses 2-pt jump shot from 14 ft,3-3, ,,1,3,3,0,122.0
9:54.0, ,3-3,Defensive rebound by D. Garland,,1,3,3,0,126.0
9:47.0, ,3-3,L. Markkanen misses 2-pt jump shot from 16 ft (block by K. Lowry),,1,3,3,0,133.0
9:46.0,Defensive rebound by P. Tucker,3-3, ,,1,3,3,0,134.0
9:40.0,Turnover by P. Tucker (lost ball; steal by E. Mobley),3-3, ,,1,3,3,0,140.0
9:32.0, ,3-3,D. Garland misses 2-pt jump shot from 11 ft,,1,3,3,0,148.0
9:30.0,Defensive rebound by P. Tucker,3-3, ,,1,3,3,0,150.0
9:18.0,P. Tucker misses 3-pt jump shot from 25 ft,3-3, ,,1,3,3,0,162.0
9:14.0, ,3-3,Defensive rebound by L. Markkanen,,1,3,3,0,166.0
9:01.0, ,3-3,Shooting foul by D. Dedmon (drawn by J. Allen),,1,3,3,0,179.0
9:01.0, ,3-4,J. Allen makes free throw 1 of 2,Lead change,1,3,4,-1,179.0
9:01.0, ,3-5,J. Allen makes free throw 2 of 2,,1,3,5,-2,179.0
8:44.0,D. Robinson misses 3-pt jump shot from 26 ft,3-5, ,,1,3,5,-2,196.0
8:41.0,Offensive rebound by P. Tucker,3-5, ,,1,3,5,-2,199.0
8:39.0,Turnover by P. Tucker (bad pass; steal by D. Garland),3-5, ,,1,3,5,-2,201.0
8:31.0, ,3-8,I. Okoro makes 3-pt jump shot from 23 ft (assist by L. Markkanen),,1,3,8,-5,209.0
8:22.0,K. Lowry makes 2-pt jump shot from 20 ft,5-8, ,,1,5,8,-3,218.0
8:08.0, ,5-11,L. Markkanen makes 3-pt jump shot from 24 ft (assist by J. Allen),,1,5,11,-6,232.0
7:57.0,P. Tucker misses 3-pt jump shot from 25 ft,5-11, ,,1,5,11,-6,243.0
7:53.0,Offensive rebound by D. Dedmon,5-11, ,,1,5,11,-6,247.0
7:50.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by G. Vincent),8-11, ,,1,8,11,-3,250.0
7:31.0, ,8-14,D. Garland makes 3-pt jump shot from 23 ft (assist by L. Markkanen),,1,8,14,-6,269.0
7:12.0,D. Robinson misses 3-pt jump shot from 25 ft,8-14, ,,1,8,14,-6,288.0
7:09.0, ,8-14,Defensive rebound by E. Mobley,,1,8,14,-6,291.0
7:01.0, ,8-14,Turnover by J. Allen (traveling),,1,8,14,-6,299.0
6:50.0,P. Tucker misses 2-pt jump shot from 12 ft,8-14, ,,1,8,14,-6,310.0
6:46.0,Offensive rebound by P. Tucker,8-14, ,,1,8,14,-6,314.0
6:41.0,P. Tucker makes 2-pt jump shot from 14 ft,10-14, ,,1,10,14,-4,319.0
6:22.0, ,10-14,I. Okoro misses 3-pt jump shot from 24 ft,,1,10,14,-4,338.0
6:17.0,Defensive rebound by G. Vincent,10-14, ,,1,10,14,-4,343.0
6:09.0,K. Lowry misses 3-pt jump shot from 30 ft,10-14, ,,1,10,14,-4,351.0
6:09.0, ,10-14,Defensive rebound by I. Okoro,,1,10,14,-4,351.0
5:56.0, ,10-14,D. Garland misses 2-pt jump shot from 3 ft,,1,10,14,-4,364.0
5:52.0,Defensive rebound by K. Lowry,10-14, ,,1,10,14,-4,368.0
5:44.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Dedmon),13-14, ,,1,13,14,-1,376.0
5:43.0, ,13-14,Cleveland full timeout,,1,13,14,-1,377.0
5:43.0,T. Herro enters the game for P. Tucker,13-14, ,,1,13,14,-1,377.0
5:43.0,K. Okpala enters the game for G. Vincent,13-14, ,,1,13,14,-1,377.0
5:43.0, ,13-14,K. Love enters the game for D. Garland,,1,13,14,-1,377.0
5:43.0, ,13-14,R. Rubio enters the game for E. Mobley,,1,13,14,-1,377.0
5:25.0, ,13-14,Personal foul by D. Dedmon (drawn by J. Allen),,1,13,14,-1,395.0
5:25.0,O. Yurtseven enters the game for D. Dedmon,13-14, ,,1,13,14,-1,395.0
