Time,Portland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:01.0,Defensive rebound by C. Elleby,80-78, ,,3,78,80,-2,2159.0
0:00.0,C. Elleby misses 3-pt jump shot from 44 ft,80-78, ,,3,78,80,-2,2160.0
0:00.0,Offensive rebound by Team,80-78, ,,3,78,80,-2,2160.0
0:00.0,End of 3rd quarter,80-78,,,3,78,80,-2,2160.0
12:00.0,Start of 4th quarter,80-78,,,4,78,80,-2,2160.0
11:47.0,D. Smith makes 2-pt layup from 2 ft,82-78, ,,4,78,82,-4,2173.0
11:23.0, ,82-78,K. Guy misses 2-pt layup from 3 ft (block by T. Watford),,4,78,82,-4,2197.0
11:22.0, ,82-78,Offensive rebound by Team,,4,78,82,-4,2198.0
11:21.0, ,82-78,Turnover by Team (shot clock),,4,78,82,-4,2199.0
11:14.0,B. McLemore misses 3-pt jump shot from 28 ft,82-78, ,,4,78,82,-4,2206.0
11:09.0, ,82-78,Defensive rebound by M. Strus,,4,78,82,-4,2211.0
11:01.0, ,82-80,D. Dedmon makes 2-pt layup from 1 ft (assist by G. Vincent),,4,80,82,-2,2219.0
10:37.0,B. McLemore misses 3-pt jump shot from 26 ft,82-80, ,,4,80,82,-2,2243.0
10:33.0, ,82-80,Defensive rebound by K. Guy,,4,80,82,-2,2247.0
10:26.0, ,82-80,M. Strus misses 3-pt jump shot from 24 ft,,4,80,82,-2,2254.0
10:23.0,Defensive rebound by T. Snell,82-80, ,,4,80,82,-2,2257.0
10:15.0,Shooting foul by D. Dedmon (drawn by D. Smith),82-80, ,,4,80,82,-2,2265.0
10:15.0,D. Smith makes free throw 1 of 2,83-80, ,,4,80,83,-3,2265.0
10:15.0, ,83-80,D. Robinson enters the game for K. Guy,,4,80,83,-3,2265.0
10:15.0,D. Smith misses free throw 2 of 2,83-80, ,,4,80,83,-3,2265.0
10:13.0, ,83-80,Defensive rebound by D. Dedmon,,4,80,83,-3,2267.0
9:53.0, ,83-82,D. Dedmon makes 2-pt layup from 1 ft (assist by G. Vincent),,4,82,83,-1,2287.0
9:35.0,Turnover by D. Smith (lost ball; steal by G. Vincent),83-82, ,,4,82,83,-1,2305.0
9:32.0, ,83-84,D. Dedmon makes 2-pt dunk from 1 ft (assist by P. Tucker),Lead change,4,84,83,1,2308.0
9:14.0,Turnover by B. McLemore (lost ball; steal by G. Vincent),83-84, ,,4,84,83,1,2326.0
9:10.0, ,83-84,G. Vincent misses 2-pt layup from 3 ft (block by D. Smith),,4,84,83,1,2330.0
9:10.0, ,83-84,Offensive rebound by Team,,4,84,83,1,2330.0
9:08.0, ,83-84,D. Robinson misses 3-pt jump shot from 23 ft,,4,84,83,1,2332.0
9:06.0,Defensive rebound by Team,83-84, ,,4,84,83,1,2334.0
8:47.0,C. Elleby misses 3-pt jump shot from 23 ft,83-84, ,,4,84,83,1,2353.0
8:43.0, ,83-84,Defensive rebound by P. Tucker,,4,84,83,1,2357.0
8:39.0, ,83-84,Shooting foul by T. Snell (drawn by M. Strus),,4,84,83,1,2361.0
8:39.0, ,83-84,M. Strus misses free throw 1 of 2,,4,84,83,1,2361.0
8:39.0, ,83-84,Offensive rebound by Team,,4,84,83,1,2361.0
8:39.0,C. McCollum enters the game for T. Snell,83-84, ,,4,84,83,1,2361.0
8:39.0,J. Nurkić enters the game for T. Watford,83-84, ,,4,84,83,1,2361.0
8:39.0, ,83-85,M. Strus makes free throw 2 of 2,,4,85,83,2,2361.0
8:29.0,C. McCollum misses 3-pt jump shot from 23 ft,83-85, ,,4,85,83,2,2371.0
8:25.0, ,83-85,Defensive rebound by D. Dedmon,,4,85,83,2,2375.0
8:16.0, ,83-85,Turnover by G. Vincent (bad pass; steal by B. McLemore),,4,85,83,2,2384.0
8:16.0,Personal foul by M. Strus (drawn by B. McLemore),83-85, ,,4,85,83,2,2384.0
8:02.0,B. McLemore misses 3-pt jump shot from 24 ft,83-85, ,,4,85,83,2,2398.0
7:59.0, ,83-85,Defensive rebound by D. Dedmon,,4,85,83,2,2401.0
7:59.0, ,83-85,Personal foul by D. Smith (drawn by D. Dedmon),,4,85,83,2,2401.0
7:59.0,A. Simons enters the game for D. Smith,83-85, ,,4,85,83,2,2401.0
7:47.0, ,83-85,P. Tucker misses 3-pt jump shot from 26 ft,,4,85,83,2,2413.0
7:42.0,Defensive rebound by C. McCollum,83-85, ,,4,85,83,2,2418.0
7:33.0,J. Nurkić makes 2-pt layup from 1 ft,85-85, ,Tie,4,85,85,0,2427.0
7:17.0, ,85-85,M. Strus misses 2-pt layup from 2 ft,,4,85,85,0,2443.0
7:13.0, ,85-85,Offensive rebound by D. Dedmon,,4,85,85,0,2447.0
7:13.0, ,85-87,D. Dedmon makes 2-pt dunk at rim,,4,87,85,2,2447.0
7:00.0, ,85-87,Loose ball foul by D. Robinson (drawn by J. Nurkić),,4,87,85,2,2460.0
7:00.0,R. Covington enters the game for C. Elleby,85-87, ,,4,87,85,2,2460.0
7:00.0, ,85-87,B. Adebayo enters the game for D. Dedmon,,4,87,85,2,2460.0
7:00.0, ,85-87,C. Martin enters the game for D. Robinson,,4,87,85,2,2460.0
6:57.0,C. McCollum makes 2-pt jump shot from 12 ft (assist by B. McLemore),87-87, ,Tie,4,87,87,0,2463.0
6:46.0, ,87-89,G. Vincent makes 2-pt jump shot from 19 ft,,4,89,87,2,2474.0
6:30.0,Personal foul by G. Vincent (drawn by J. Nurkić),87-89, ,,4,89,87,2,2490.0
6:30.0, ,87-89,Miami full timeout,,4,89,87,2,2490.0
6:24.0,Turnover by C. McCollum (bad pass; steal by B. Adebayo),87-89, ,,4,89,87,2,2496.0
6:13.0, ,87-89,Personal foul by J. Nurkić (drawn by M. Strus),,4,89,87,2,2507.0
6:13.0,T. Watford enters the game for J. Nurkić,87-89, ,,4,89,87,2,2507.0
6:10.0, ,87-89,M. Strus misses 3-pt jump shot from 27 ft,,4,89,87,2,2510.0
6:09.0,Defensive rebound by Team,87-89, ,,4,89,87,2,2511.0
5:46.0,C. McCollum misses 2-pt jump shot from 17 ft,87-89, ,,4,89,87,2,2534.0
5:43.0, ,87-89,Defensive rebound by B. Adebayo,,4,89,87,2,2537.0
5:29.0, ,87-89,Turnover by C. Martin (traveling),,4,89,87,2,2551.0
5:14.0,A. Simons misses 3-pt jump shot from 26 ft,87-89, ,,4,89,87,2,2566.0
5:12.0, ,87-89,Defensive rebound by B. Adebayo,,4,89,87,2,2568.0
5:04.0, ,87-91,B. Adebayo makes 2-pt jump shot from 9 ft,,4,91,87,4,2576.0
4:38.0,R. Covington misses 2-pt jump shot from 9 ft (block by B. Adebayo),87-91, ,,4,91,87,4,2602.0
4:37.0,Offensive rebound by Team,87-91, ,,4,91,87,4,2603.0
4:36.0,Turnover by Team (shot clock),87-91, ,,4,91,87,4,2604.0
4:22.0, ,87-91,Shooting foul by T. Watford (drawn by B. Adebayo),,4,91,87,4,2618.0
4:22.0, ,87-92,B. Adebayo makes free throw 1 of 2,,4,92,87,5,2618.0
4:22.0,J. Nurkić enters the game for T. Watford,87-92, ,,4,92,87,5,2618.0
4:22.0, ,87-93,B. Adebayo makes free throw 2 of 2,,4,93,87,6,2618.0
4:00.0,B. McLemore misses 3-pt jump shot from 27 ft (block by M. Strus),87-93, ,,4,93,87,6,2640.0
3:55.0, ,87-93,Defensive rebound by B. Adebayo,,4,93,87,6,2645.0
3:48.0, ,87-95,B. Adebayo makes 2-pt hook shot from 7 ft (assist by M. Strus),,4,95,87,8,2652.0
3:46.0,Portland full timeout,87-95, ,,4,95,87,8,2654.0
3:46.0,D. Smith enters the game for B. McLemore,87-95, ,,4,95,87,8,2654.0
3:27.0,A. Simons misses 2-pt layup from 7 ft,87-95, ,,4,95,87,8,2673.0
3:26.0,Offensive rebound by J. Nurkić,87-95, ,,4,95,87,8,2674.0
3:25.0,J. Nurkić misses 2-pt jump shot from 6 ft (block by G. Vincent),87-95, ,,4,95,87,8,2675.0
3:24.0, ,87-95,Violation by Team (kicked ball),,4,95,87,8,2676.0
3:14.0,A. Simons misses 2-pt layup from 5 ft (block by B. Adebayo),87-95, ,,4,95,87,8,2686.0
3:12.0,Offensive rebound by J. Nurkić,87-95, ,,4,95,87,8,2688.0
3:12.0,J. Nurkić makes 2-pt dunk from 3 ft,89-95, ,,4,95,89,6,2688.0
2:49.0, ,89-95,B. Adebayo misses 2-pt jump shot from 16 ft,,4,95,89,6,2711.0
2:43.0, ,89-95,Offensive rebound by P. Tucker,,4,95,89,6,2717.0
2:34.0, ,89-97,B. Adebayo makes 2-pt layup from 2 ft (assist by G. Vincent),,4,97,89,8,2726.0
2:34.0, ,89-97,Shooting foul by R. Covington (drawn by B. Adebayo),,4,97,89,8,2726.0
2:34.0, ,89-97,B. Adebayo misses free throw 1 of 1,,4,97,89,8,2726.0
2:31.0,Defensive rebound by R. Covington,89-97, ,,4,97,89,8,2729.0
2:27.0,Personal foul by P. Tucker (drawn by J. Nurkić),89-97, ,,4,97,89,8,2733.0
2:27.0,J. Nurkić makes free throw 1 of 2,90-97, ,,4,97,90,7,2733.0
2:27.0,J. Nurkić misses free throw 2 of 2,90-97, ,,4,97,90,7,2733.0
2:24.0, ,90-97,Defensive rebound by B. Adebayo,,4,97,90,7,2736.0
2:03.0, ,90-100,M. Strus makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,4,100,90,10,2757.0
2:01.0,Portland full timeout,90-100, ,,4,100,90,10,2759.0
1:47.0,R. Covington misses 2-pt layup from 2 ft,90-100, ,,4,100,90,10,2773.0
1:43.0,Offensive rebound by J. Nurkić,90-100, ,,4,100,90,10,2777.0
1:43.0,J. Nurkić misses 2-pt layup at rim,90-100, ,,4,100,90,10,2777.0
1:41.0,J. Nurkić misses 2-pt layup at rim,90-100, ,,4,100,90,10,2779.0
1:41.0,Offensive rebound by R. Covington,90-100, ,,4,100,90,10,2779.0
1:39.0,R. Covington misses 2-pt layup at rim,90-100, ,,4,100,90,10,2781.0
1:37.0, ,90-100,Defensive rebound by G. Vincent,,4,100,90,10,2783.0
1:25.0, ,90-100,Personal foul by D. Smith (drawn by G. Vincent),,4,100,90,10,2795.0
1:25.0, ,90-101,G. Vincent makes free throw 1 of 2,,4,101,90,11,2795.0
1:25.0, ,90-102,G. Vincent makes free throw 2 of 2,,4,102,90,12,2795.0
1:17.0,C. McCollum misses 3-pt jump shot from 26 ft,90-102, ,,4,102,90,12,2803.0
1:14.0, ,90-102,Defensive rebound by M. Strus,,4,102,90,12,2806.0
0:59.0, ,90-104,B. Adebayo makes 2-pt jump shot from 16 ft (assist by G. Vincent),,4,104,90,14,2821.0
0:51.0,A. Simons makes 2-pt jump shot from 19 ft,92-104, ,,4,104,92,12,2829.0
0:40.0, ,92-104,P. Tucker misses 3-pt jump shot from 23 ft,,4,104,92,12,2840.0
0:37.0,Defensive rebound by D. Smith,92-104, ,,4,104,92,12,2843.0
0:32.0,A. Simons misses 3-pt jump shot from 27 ft,92-104, ,,4,104,92,12,2848.0
0:29.0, ,92-104,Defensive rebound by B. Adebayo,,4,104,92,12,2851.0
0:28.0, ,92-104,Miami full timeout,,4,104,92,12,2852.0
0:28.0,G. Brown enters the game for R. Covington,92-104, ,,4,104,92,12,2852.0
0:28.0,C. Elleby enters the game for C. McCollum,92-104, ,,4,104,92,12,2852.0
0:28.0,B. McLemore enters the game for J. Nurkić,92-104, ,,4,104,92,12,2852.0
0:28.0,T. Watford enters the game for A. Simons,92-104, ,,4,104,92,12,2852.0
0:04.0, ,92-104,Turnover by Team (shot clock),,4,104,92,12,2876.0
0:00.0,End of 4th quarter,92-104,,,4,104,92,12,2880.0
