Time,Miami,Score,Toronto,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. S. Barnes (G. Trent gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,G. Trent misses 2-pt jump shot from 8 ft,,1,0,0,0,22.0
11:36.0,Defensive rebound by C. Martin,0-0, ,,1,0,0,0,24.0
11:21.0,M. Morris misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,39.0
11:19.0, ,0-0,Defensive rebound by P. Siakam,,1,0,0,0,41.0
11:10.0, ,0-0,F. VanVleet misses 2-pt jump shot from 17 ft,,1,0,0,0,50.0
11:08.0, ,0-0,Offensive rebound by K. Birch,,1,0,0,0,52.0
11:06.0, ,0-0,K. Birch misses 2-pt layup from 2 ft,,1,0,0,0,54.0
11:05.0, ,0-0,Offensive rebound by S. Barnes,,1,0,0,0,55.0
11:04.0, ,0-2,S. Barnes makes 2-pt layup from 2 ft,,1,0,2,-2,56.0
10:44.0,Shooting foul by K. Birch (drawn by K. Lowry),0-2, ,,1,0,2,-2,76.0
10:44.0,K. Lowry makes free throw 1 of 3,1-2, ,,1,1,2,-1,76.0
10:44.0,K. Lowry makes free throw 2 of 3,2-2, ,Tie,1,2,2,0,76.0
10:44.0,K. Lowry makes free throw 3 of 3,3-2, ,Lead change,1,3,2,1,76.0
10:28.0, ,3-4,P. Siakam makes 2-pt hook shot from 6 ft,Lead change,1,3,4,-1,92.0
10:17.0,M. Morris misses 3-pt jump shot from 23 ft,3-4, ,,1,3,4,-1,103.0
10:14.0, ,3-4,Defensive rebound by P. Siakam,,1,3,4,-1,106.0
10:08.0, ,3-7,F. VanVleet makes 3-pt jump shot from 25 ft (assist by P. Siakam),,1,3,7,-4,112.0
9:56.0,M. Morris makes 2-pt jump shot from 19 ft (assist by K. Lowry),5-7, ,,1,5,7,-2,124.0
9:41.0, ,5-7,S. Barnes misses 2-pt hook shot from 7 ft,,1,5,7,-2,139.0
9:38.0,Defensive rebound by B. Adebayo,5-7, ,,1,5,7,-2,142.0
9:28.0,B. Adebayo misses 2-pt jump shot from 14 ft,5-7, ,,1,5,7,-2,152.0
9:25.0, ,5-7,Defensive rebound by G. Trent,,1,5,7,-2,155.0
9:10.0, ,5-7,K. Birch misses 3-pt jump shot from 22 ft,,1,5,7,-2,170.0
9:08.0,Defensive rebound by M. Strus,5-7, ,,1,5,7,-2,172.0
