Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. D. Dedmon (D. Garland gains possession),0-0,,,1,0,0,0,0.0
11:41.0,Shooting foul by D. Robinson (drawn by L. Markkanen),0-0, ,,1,0,0,0,19.0
11:41.0,L. Markkanen makes free throw 1 of 2,1-0, ,,1,0,1,-1,19.0
11:41.0,L. Markkanen misses free throw 2 of 2,1-0, ,,1,0,1,-1,19.0
11:37.0, ,1-0,Defensive rebound by D. Dedmon,,1,0,1,-1,23.0
11:25.0, ,1-0,K. Lowry misses 2-pt layup from 2 ft,,1,0,1,-1,35.0
11:21.0,Defensive rebound by E. Mobley,1-0, ,,1,0,1,-1,39.0
11:15.0,D. Garland misses 3-pt jump shot from 24 ft,1-0, ,,1,0,1,-1,45.0
11:12.0, ,1-0,Defensive rebound by K. Lowry,,1,0,1,-1,48.0
11:02.0, ,1-0,P. Tucker misses 2-pt jump shot from 5 ft,,1,0,1,-1,58.0
10:59.0,Defensive rebound by E. Mobley,1-0, ,,1,0,1,-1,61.0
10:50.0,E. Mobley misses 3-pt jump shot from 26 ft,1-0, ,,1,0,1,-1,70.0
10:45.0, ,1-0,Defensive rebound by K. Lowry,,1,0,1,-1,75.0
10:25.0, ,1-0,D. Robinson misses 3-pt jump shot from 24 ft,,1,0,1,-1,95.0
10:23.0,Defensive rebound by L. Markkanen,1-0, ,,1,0,1,-1,97.0
10:16.0,L. Markkanen misses 3-pt jump shot from 25 ft,1-0, ,,1,0,1,-1,104.0
10:16.0, ,1-0,Defensive rebound by K. Lowry,,1,0,1,-1,104.0
10:06.0, ,1-2,T. Herro makes 2-pt jump shot from 5 ft,Lead change,1,2,1,1,114.0
10:06.0, ,1-2,Shooting foul by L. Markkanen (drawn by T. Herro),,1,2,1,1,114.0
10:06.0, ,1-3,T. Herro makes free throw 1 of 1,,1,3,1,2,114.0
9:50.0,J. Allen makes 2-pt layup from 2 ft (assist by E. Mobley),3-3, ,Tie,1,3,3,0,130.0
9:43.0, ,3-5,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Herro),,1,5,3,2,137.0
9:22.0,D. Garland makes 3-pt jump shot from 26 ft,6-5, ,Lead change,1,5,6,-1,158.0
9:12.0, ,6-5,Personal foul by L. Markkanen (drawn by T. Herro),,1,5,6,-1,168.0
9:04.0, ,6-5,D. Dedmon misses 2-pt layup from 1 ft (block by J. Allen),,1,5,6,-1,176.0
9:00.0, ,6-5,Offensive rebound by D. Dedmon,,1,5,6,-1,180.0
8:55.0, ,6-5,K. Lowry misses 2-pt layup from 2 ft (block by J. Allen),,1,5,6,-1,185.0
8:55.0, ,6-5,Offensive rebound by Team,,1,5,6,-1,185.0
8:55.0, ,6-5,Turnover by Team (shot clock),,1,5,6,-1,185.0
8:49.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Garland),8-5, ,,1,5,8,-3,191.0
8:36.0, ,8-5,T. Herro misses 2-pt layup from 1 ft (block by E. Mobley),,1,5,8,-3,204.0
8:36.0, ,8-5,Offensive rebound by Team,,1,5,8,-3,204.0
8:34.0, ,8-5,T. Herro misses 3-pt jump shot from 24 ft,,1,5,8,-3,206.0
8:31.0, ,8-5,Offensive rebound by D. Dedmon,,1,5,8,-3,209.0
8:29.0, ,8-7,D. Dedmon makes 2-pt layup from 2 ft,,1,7,8,-1,211.0
8:20.0,D. Garland misses 3-pt jump shot from 26 ft,8-7, ,,1,7,8,-1,220.0
8:18.0, ,8-7,Defensive rebound by D. Dedmon,,1,7,8,-1,222.0
7:58.0, ,8-7,K. Lowry misses 3-pt jump shot from 25 ft,,1,7,8,-1,242.0
7:55.0,Defensive rebound by I. Okoro,8-7, ,,1,7,8,-1,245.0
7:49.0,I. Okoro makes 2-pt layup from 3 ft,10-7, ,,1,7,10,-3,251.0
7:33.0, ,10-7,T. Herro misses 3-pt jump shot from 26 ft (block by E. Mobley),,1,7,10,-3,267.0
7:30.0,Defensive rebound by J. Allen,10-7, ,,1,7,10,-3,270.0
7:29.0,Offensive foul by I. Okoro (drawn by K. Lowry),10-7, ,,1,7,10,-3,271.0
