Time,Memphis,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:12.0, ,88-71,Defensive rebound by G. Vincent,,4,71,88,-17,2328.0
9:07.0, ,88-73,T. Herro makes 2-pt jump shot from 19 ft (assist by G. Vincent),,4,73,88,-15,2333.0
8:40.0,J. Jackson makes 2-pt hook shot from 2 ft,90-73, ,,4,73,90,-17,2360.0
8:19.0, ,90-73,O. Yurtseven misses 2-pt jump shot from 13 ft,,4,73,90,-17,2381.0
8:15.0,Defensive rebound by J. Konchar,90-73, ,,4,73,90,-17,2385.0
8:07.0,J. Jackson misses 2-pt layup from 6 ft (block by O. Yurtseven),90-73, ,,4,73,90,-17,2393.0
8:04.0, ,90-73,Defensive rebound by T. Herro,,4,73,90,-17,2396.0
8:02.0, ,90-76,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Lowry),,4,76,90,-14,2398.0
7:43.0,Turnover by T. Jones (bad pass; steal by O. Yurtseven),90-76, ,,4,76,90,-14,2417.0
7:39.0, ,90-76,Shooting foul by D. Brooks (drawn by C. Martin),,4,76,90,-14,2421.0
7:39.0, ,90-77,C. Martin makes free throw 1 of 2,,4,77,90,-13,2421.0
7:39.0,D. Bane enters the game for T. Jones,90-77, ,,4,77,90,-13,2421.0
7:39.0, ,90-77,C. Martin misses free throw 2 of 2,,4,77,90,-13,2421.0
7:37.0, ,90-77,Offensive rebound by Team,,4,77,90,-13,2423.0
7:35.0, ,90-79,T. Herro makes 2-pt jump shot from 19 ft (assist by G. Vincent),,4,79,90,-11,2425.0
7:33.0,Memphis full timeout,90-79, ,,4,79,90,-11,2427.0
7:33.0,D. Melton enters the game for J. Konchar,90-79, ,,4,79,90,-11,2427.0
7:25.0,Personal foul by G. Vincent (drawn by D. Bane),90-79, ,,4,79,90,-11,2435.0
7:16.0,D. Brooks misses 2-pt layup from 4 ft,90-79, ,,4,79,90,-11,2444.0
7:14.0,Offensive rebound by S. Adams,90-79, ,,4,79,90,-11,2446.0
7:13.0,S. Adams misses 2-pt layup from 3 ft (block by K. Lowry),90-79, ,,4,79,90,-11,2447.0
7:13.0,Offensive rebound by Team,90-79, ,,4,79,90,-11,2447.0
7:11.0,D. Bane misses 3-pt jump shot from 25 ft,90-79, ,,4,79,90,-11,2449.0
7:09.0, ,90-79,Defensive rebound by Team,,4,79,90,-11,2451.0
6:46.0, ,90-79,K. Lowry misses 2-pt jump shot from 15 ft,,4,79,90,-11,2474.0
6:43.0, ,90-79,Offensive rebound by G. Vincent,,4,79,90,-11,2477.0
6:36.0, ,90-79,Turnover by K. Lowry (bad pass; steal by D. Melton),,4,79,90,-11,2484.0
6:29.0,D. Melton makes 3-pt jump shot from 27 ft (assist by D. Brooks),93-79, ,,4,79,93,-14,2491.0
6:11.0, ,93-79,O. Yurtseven misses 3-pt jump shot from 26 ft,,4,79,93,-14,2509.0
6:08.0,Defensive rebound by D. Brooks,93-79, ,,4,79,93,-14,2512.0
5:52.0,D. Brooks makes 2-pt jump shot from 13 ft,95-79, ,,4,79,95,-16,2528.0
5:39.0, ,95-79,Turnover by G. Vincent (lost ball; steal by D. Brooks),,4,79,95,-16,2541.0
5:37.0,D. Bane makes 2-pt dunk from 2 ft (assist by D. Brooks),97-79, ,,4,79,97,-18,2543.0
5:36.0, ,97-79,Miami full timeout,,4,79,97,-18,2544.0
5:22.0, ,97-79,O. Yurtseven misses 2-pt hook shot from 6 ft,,4,79,97,-18,2558.0
5:19.0,Defensive rebound by S. Adams,97-79, ,,4,79,97,-18,2561.0
5:05.0,D. Melton misses 2-pt layup from 5 ft,97-79, ,,4,79,97,-18,2575.0
5:00.0, ,97-79,Defensive rebound by C. Martin,,4,79,97,-18,2580.0
4:56.0, ,97-81,C. Martin makes 2-pt dunk from 2 ft (assist by T. Herro),,4,81,97,-16,2584.0
4:41.0,D. Brooks misses 2-pt jump shot from 13 ft,97-81, ,,4,81,97,-16,2599.0
4:36.0,Offensive rebound by S. Adams,97-81, ,,4,81,97,-16,2604.0
4:30.0,D. Brooks misses 2-pt jump shot from 16 ft,97-81, ,,4,81,97,-16,2610.0
4:28.0,Offensive rebound by S. Adams,97-81, ,,4,81,97,-16,2612.0
4:28.0,Shooting foul by C. Martin (drawn by S. Adams),97-81, ,,4,81,97,-16,2612.0
4:28.0,S. Adams misses free throw 1 of 2,97-81, ,,4,81,97,-16,2612.0
4:28.0,Offensive rebound by Team,97-81, ,,4,81,97,-16,2612.0
4:28.0,S. Adams makes free throw 2 of 2,98-81, ,,4,81,98,-17,2612.0
4:10.0, ,98-81,T. Herro misses 2-pt layup from 2 ft,,4,81,98,-17,2630.0
4:07.0, ,98-81,Offensive rebound by O. Yurtseven,,4,81,98,-17,2633.0
4:07.0, ,98-83,O. Yurtseven makes 2-pt dunk at rim,,4,83,98,-15,2633.0
3:48.0,D. Melton misses 2-pt jump shot from 9 ft,98-83, ,,4,83,98,-15,2652.0
3:44.0,Offensive rebound by S. Adams,98-83, ,,4,83,98,-15,2656.0
3:35.0,J. Jackson makes 2-pt jump shot from 11 ft (assist by D. Brooks),100-83, ,,4,83,100,-17,2665.0
3:16.0, ,100-85,G. Vincent makes 2-pt jump shot from 15 ft (assist by K. Lowry),,4,85,100,-15,2684.0
3:01.0,Turnover by S. Adams (bad pass),100-85, ,,4,85,100,-15,2699.0
3:01.0,T. Jones enters the game for D. Melton,100-85, ,,4,85,100,-15,2699.0
3:01.0, ,100-85,M. Strus enters the game for K. Lowry,,4,85,100,-15,2699.0
2:52.0, ,100-85,Offensive foul by G. Vincent (drawn by D. Bane),,4,85,100,-15,2708.0
2:52.0, ,100-85,Turnover by G. Vincent (offensive foul),,4,85,100,-15,2708.0
2:37.0,J. Jackson misses 2-pt jump shot from 10 ft,100-85, ,,4,85,100,-15,2723.0
2:37.0, ,100-85,Defensive rebound by Team,,4,85,100,-15,2723.0
2:24.0, ,100-85,Shooting foul by S. Adams (drawn by C. Martin),,4,85,100,-15,2736.0
2:24.0, ,100-86,C. Martin makes free throw 1 of 2,,4,86,100,-14,2736.0
2:24.0, ,100-86,C. Martin misses free throw 2 of 2,,4,86,100,-14,2736.0
2:21.0,Defensive rebound by D. Bane,100-86, ,,4,86,100,-14,2739.0
2:10.0,D. Brooks makes 3-pt jump shot from 27 ft (assist by T. Jones),103-86, ,,4,86,103,-17,2750.0
1:57.0, ,103-86,C. Martin misses 2-pt jump shot from 15 ft (block by J. Jackson),,4,86,103,-17,2763.0
1:52.0,Defensive rebound by D. Bane,103-86, ,,4,86,103,-17,2768.0
1:32.0,T. Jones misses 2-pt jump shot from 12 ft,103-86, ,,4,86,103,-17,2788.0
1:28.0, ,103-86,Defensive rebound by G. Vincent,,4,86,103,-17,2792.0
1:18.0, ,103-86,T. Herro misses 2-pt jump shot from 9 ft,,4,86,103,-17,2802.0
1:16.0, ,103-86,Offensive rebound by T. Herro,,4,86,103,-17,2804.0
1:16.0, ,103-86,Personal foul by J. Jackson (drawn by T. Herro),,4,86,103,-17,2804.0
1:16.0,J. Culver enters the game for S. Adams,103-86, ,,4,86,103,-17,2804.0
1:16.0,J. Konchar enters the game for D. Bane,103-86, ,,4,86,103,-17,2804.0
1:16.0,Y. Pons enters the game for D. Brooks,103-86, ,,4,86,103,-17,2804.0
1:16.0,K. Tillie enters the game for J. Jackson,103-86, ,,4,86,103,-17,2804.0
1:16.0,X. Tillman enters the game for T. Jones,103-86, ,,4,86,103,-17,2804.0
1:16.0, ,103-86,K. Okpala enters the game for T. Herro,,4,86,103,-17,2804.0
1:07.0, ,103-88,O. Yurtseven makes 2-pt hook shot from 5 ft (assist by G. Vincent),,4,88,103,-15,2813.0
0:46.0,J. Culver makes 2-pt jump shot from 11 ft,105-88, ,,4,88,105,-17,2834.0
0:34.0, ,105-90,O. Yurtseven makes 2-pt layup from 3 ft (assist by G. Vincent),,4,90,105,-15,2846.0
0:16.0,Turnover by J. Konchar (bad pass),105-90, ,,4,90,105,-15,2864.0
0:02.0, ,105-90,G. Vincent misses 3-pt jump shot from 25 ft,,4,90,105,-15,2878.0
0:00.0, ,105-90,Offensive rebound by Team,,4,90,105,-15,2880.0
0:00.0,End of 4th quarter,105-90,,,4,90,105,-15,2880.0
