Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. I. Zubac (N. Batum gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,E. Bledsoe misses 2-pt jump shot from 4 ft,,1,0,0,0,14.0
11:43.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,17.0
11:24.0,T. Herro misses 3-pt jump shot from 25 ft (block by N. Batum),0-0, ,,1,0,0,0,36.0
11:24.0,Offensive rebound by Team,0-0, ,,1,0,0,0,36.0
11:24.0, ,0-0,Loose ball foul by E. Bledsoe (drawn by T. Herro),,1,0,0,0,36.0
11:11.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by K. Lowry),2-0, ,,1,2,0,2,49.0
10:56.0, ,2-0,P. George misses 2-pt jump shot from 7 ft,,1,2,0,2,64.0
10:54.0,Defensive rebound by T. Herro,2-0, ,,1,2,0,2,66.0
10:49.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Lowry),5-0, ,,1,5,0,5,71.0
10:32.0, ,5-0,Turnover by P. George (bad pass; steal by K. Lowry),,1,5,0,5,88.0
10:19.0,Turnover by P. Tucker (out of bounds lost ball),5-0, ,,1,5,0,5,101.0
10:05.0, ,5-0,P. George misses 2-pt jump shot from 16 ft,,1,5,0,5,115.0
10:01.0,Defensive rebound by P. Tucker,5-0, ,,1,5,0,5,119.0
9:53.0,B. Adebayo misses 2-pt jump shot from 12 ft,5-0, ,,1,5,0,5,127.0
9:50.0, ,5-0,Defensive rebound by I. Zubac,,1,5,0,5,130.0
9:45.0, ,5-0,Shooting foul by P. Tucker (drawn by P. George),,1,5,0,5,135.0
9:45.0, ,5-1,P. George makes free throw 1 of 2,,1,5,1,4,135.0
9:45.0, ,5-2,P. George makes free throw 2 of 2,,1,5,2,3,135.0
9:27.0,B. Adebayo makes 2-pt jump shot from 8 ft,7-2, ,,1,7,2,5,153.0
9:20.0, ,7-2,P. George misses 2-pt layup from 3 ft,,1,7,2,5,160.0
9:18.0,Defensive rebound by B. Adebayo,7-2, ,,1,7,2,5,162.0
9:12.0,T. Herro makes 2-pt layup from 2 ft,9-2, ,,1,9,2,7,168.0
8:58.0, ,9-2,Shooting foul by B. Adebayo (drawn by I. Zubac),,1,9,2,7,182.0
8:58.0, ,9-2,I. Zubac misses free throw 1 of 2,,1,9,2,7,182.0
8:58.0, ,9-2,Offensive rebound by Team,,1,9,2,7,182.0
8:58.0, ,9-3,I. Zubac makes free throw 2 of 2,,1,9,3,6,182.0
8:41.0,K. Lowry misses 3-pt jump shot from 24 ft,9-3, ,,1,9,3,6,199.0
8:39.0, ,9-3,Defensive rebound by I. Zubac,,1,9,3,6,201.0
8:29.0, ,9-6,N. Batum makes 3-pt jump shot from 23 ft (assist by P. George),,1,9,6,3,211.0
8:16.0,D. Robinson misses 3-pt jump shot from 23 ft,9-6, ,,1,9,6,3,224.0
8:14.0,Offensive rebound by P. Tucker,9-6, ,,1,9,6,3,226.0
8:13.0,P. Tucker misses 2-pt layup from 2 ft,9-6, ,,1,9,6,3,227.0
8:11.0,Offensive rebound by B. Adebayo,9-6, ,,1,9,6,3,229.0
8:00.0,B. Adebayo makes 2-pt layup from 1 ft (assist by T. Herro),11-6, ,,1,11,6,5,240.0
7:52.0, ,11-6,Personal foul by P. Tucker (drawn by P. George),,1,11,6,5,248.0
7:52.0,C. Martin enters the game for P. Tucker,11-6, ,,1,11,6,5,248.0
7:38.0, ,11-6,R. Jackson misses 3-pt jump shot from 24 ft,,1,11,6,5,262.0
7:36.0,Defensive rebound by B. Adebayo,11-6, ,,1,11,6,5,264.0
7:33.0,Shooting foul by I. Zubac (drawn by B. Adebayo),11-6, ,,1,11,6,5,267.0
7:33.0,B. Adebayo makes free throw 1 of 2,12-6, ,,1,12,6,6,267.0
7:33.0,B. Adebayo makes free throw 2 of 2,13-6, ,,1,13,6,7,267.0
7:19.0, ,13-6,I. Zubac misses 2-pt layup from 3 ft,,1,13,6,7,281.0
7:14.0,Defensive rebound by T. Herro,13-6, ,,1,13,6,7,286.0
7:06.0,T. Herro makes 2-pt layup from 3 ft,15-6, ,,1,15,6,9,294.0
7:06.0, ,15-6,LA Clippers full timeout,,1,15,6,9,294.0
6:51.0, ,15-8,I. Zubac makes 2-pt dunk from 2 ft (assist by P. George),,1,15,8,7,309.0
6:36.0,B. Adebayo makes 2-pt jump shot from 5 ft (assist by T. Herro),17-8, ,,1,17,8,9,324.0
6:36.0,Shooting foul by R. Jackson (drawn by B. Adebayo),17-8, ,,1,17,8,9,324.0
6:36.0,B. Adebayo makes free throw 1 of 1,18-8, ,,1,18,8,10,324.0
6:21.0, ,18-10,I. Zubac makes 2-pt hook shot from 3 ft (assist by R. Jackson),,1,18,10,8,339.0
6:00.0,B. Adebayo makes 2-pt jump shot from 11 ft,20-10, ,,1,20,10,10,360.0
6:00.0,G. Vincent enters the game for K. Lowry,20-10, ,,1,20,10,10,360.0
5:45.0, ,20-10,E. Bledsoe misses 2-pt jump shot from 2 ft,,1,20,10,10,375.0
5:42.0, ,20-10,Offensive rebound by I. Zubac,,1,20,10,10,378.0
5:42.0, ,20-12,I. Zubac makes 2-pt layup at rim,,1,20,12,8,378.0
5:34.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by G. Vincent),22-12, ,,1,22,12,10,386.0
5:15.0, ,22-14,P. George makes 2-pt jump shot from 10 ft,,1,22,14,8,405.0
5:12.0,Turnover by B. Adebayo (bad pass; steal by N. Batum),22-14, ,,1,22,14,8,408.0
5:08.0, ,22-14,N. Batum misses 3-pt jump shot from 27 ft,,1,22,14,8,412.0
5:06.0,Defensive rebound by T. Herro,22-14, ,,1,22,14,8,414.0
5:01.0,B. Adebayo makes 2-pt layup from 3 ft (assist by D. Robinson),24-14, ,,1,24,14,10,419.0
4:46.0, ,24-16,P. George makes 2-pt jump shot from 11 ft (assist by N. Batum),,1,24,16,8,434.0
4:34.0,B. Adebayo makes 2-pt jump shot from 19 ft (assist by G. Vincent),26-16, ,,1,26,16,10,446.0
4:21.0, ,26-16,Turnover by N. Batum (bad pass),,1,26,16,10,459.0
4:21.0, ,26-16,I. Hartenstein enters the game for E. Bledsoe,,1,26,16,10,459.0
4:21.0, ,26-16,T. Mann enters the game for I. Zubac,,1,26,16,10,459.0
4:08.0,T. Herro makes 2-pt jump shot from 6 ft,28-16, ,,1,28,16,12,472.0
4:02.0, ,28-16,Personal foul by D. Robinson (drawn by T. Mann),,1,28,16,12,478.0
3:55.0, ,28-16,Personal foul by D. Robinson (drawn by I. Hartenstein),,1,28,16,12,485.0
3:55.0, ,28-17,I. Hartenstein makes free throw 1 of 2,,1,28,17,11,485.0
3:55.0,M. Strus enters the game for D. Robinson,28-17, ,,1,28,17,11,485.0
3:55.0, ,28-17,L. Kennard enters the game for N. Batum,,1,28,17,11,485.0
3:55.0, ,28-18,I. Hartenstein makes free throw 2 of 2,,1,28,18,10,485.0
3:43.0,T. Herro makes 2-pt jump shot from 3 ft,30-18, ,,1,30,18,12,497.0
3:32.0, ,30-21,P. George makes 3-pt jump shot from 26 ft,,1,30,21,9,508.0
3:19.0,Turnover by M. Strus (bad pass; steal by L. Kennard),30-21, ,,1,30,21,9,521.0
3:15.0, ,30-21,Turnover by I. Hartenstein (bad pass),,1,30,21,9,525.0
3:00.0,T. Herro misses 2-pt jump shot from 13 ft,30-21, ,,1,30,21,9,540.0
2:57.0,Offensive rebound by M. Strus,30-21, ,,1,30,21,9,543.0
2:55.0,T. Herro misses 3-pt jump shot from 27 ft,30-21, ,,1,30,21,9,545.0
2:53.0, ,30-21,Defensive rebound by Team,,1,30,21,9,547.0
2:53.0,Miami full timeout,30-21, ,,1,30,21,9,547.0
2:53.0,D. Dedmon enters the game for B. Adebayo,30-21, ,,1,30,21,9,547.0
2:53.0, ,30-21,J. Winslow enters the game for R. Jackson,,1,30,21,9,547.0
2:39.0, ,30-21,Turnover by P. George (bad pass; steal by C. Martin),,1,30,21,9,561.0
2:21.0,M. Strus makes 3-pt jump shot from 24 ft (assist by G. Vincent),33-21, ,,1,33,21,12,579.0
2:05.0, ,33-21,L. Kennard misses 3-pt jump shot from 26 ft,,1,33,21,12,595.0
2:02.0,Defensive rebound by C. Martin,33-21, ,,1,33,21,12,598.0
1:49.0,M. Strus makes 3-pt jump shot from 24 ft (assist by C. Martin),36-21, ,,1,36,21,15,611.0
1:35.0, ,36-21,L. Kennard misses 3-pt jump shot from 26 ft,,1,36,21,15,625.0
1:32.0,Defensive rebound by D. Dedmon,36-21, ,,1,36,21,15,628.0
1:25.0,T. Herro makes 2-pt jump shot from 11 ft,38-21, ,,1,38,21,17,635.0
1:08.0, ,38-23,P. George makes 2-pt layup from 2 ft,,1,38,23,15,652.0
0:57.0,M. Strus misses 3-pt jump shot from 26 ft,38-23, ,,1,38,23,15,663.0
0:55.0, ,38-23,Defensive rebound by J. Winslow,,1,38,23,15,665.0
0:49.0, ,38-23,L. Kennard misses 3-pt jump shot from 25 ft,,1,38,23,15,671.0
0:46.0,Defensive rebound by D. Dedmon,38-23, ,,1,38,23,15,674.0
0:31.0,C. Martin makes 2-pt layup from 2 ft,40-23, ,,1,40,23,17,689.0
0:05.0, ,40-23,Turnover by J. Winslow (bad pass; steal by C. Martin),,1,40,23,17,715.0
0:02.0,Turnover by C. Martin (bad pass; steal by J. Winslow),40-23, ,,1,40,23,17,718.0
