Time,Atlanta,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: G. Dieng vs. O. Yurtseven (D. Hunter gains possession),0-0,,,1,0,0,0,0.0
11:53.0,Personal foul by M. Strus (drawn by D. Hunter),0-0, ,,1,0,0,0,7.0
11:42.0,D. Hunter misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,18.0
11:40.0, ,0-0,Defensive rebound by O. Yurtseven,,1,0,0,0,20.0
11:21.0, ,0-2,O. Yurtseven makes 2-pt dunk from 4 ft (assist by M. Strus),,1,2,0,2,39.0
11:11.0,T. Young makes 2-pt jump shot from 16 ft,2-2, ,Tie,1,2,2,0,49.0
10:52.0, ,2-5,M. Strus makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,5,2,3,68.0
10:39.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),4-5, ,,1,5,4,1,81.0
10:24.0, ,4-5,P. Tucker misses 2-pt jump shot from 12 ft,,1,5,4,1,96.0
10:18.0, ,4-5,Offensive rebound by O. Yurtseven,,1,5,4,1,102.0
10:16.0, ,4-8,M. Strus makes 3-pt jump shot from 26 ft (assist by P. Tucker),,1,8,4,4,104.0
9:58.0,Turnover by B. Bogdanović (bad pass),4-8, ,,1,8,4,4,122.0
9:50.0, ,4-8,Turnover by K. Lowry (bad pass),,1,8,4,4,130.0
9:41.0,T. Young makes 2-pt jump shot from 20 ft,6-8, ,,1,8,6,2,139.0
9:36.0, ,6-8,Turnover by K. Lowry (bad pass),,1,8,6,2,144.0
9:25.0,G. Dieng misses 3-pt jump shot from 26 ft,6-8, ,,1,8,6,2,155.0
9:22.0, ,6-8,Defensive rebound by K. Lowry,,1,8,6,2,158.0
9:20.0, ,6-8,Turnover by K. Lowry (bad pass; steal by G. Dieng),,1,8,6,2,160.0
9:13.0,J. Collins misses 2-pt layup from 4 ft,6-8, ,,1,8,6,2,167.0
9:10.0, ,6-8,Defensive rebound by O. Yurtseven,,1,8,6,2,170.0
9:02.0, ,6-11,P. Tucker makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,11,6,5,178.0
8:45.0,B. Bogdanović misses 3-pt jump shot from 26 ft,6-11, ,,1,11,6,5,195.0
8:41.0, ,6-11,Defensive rebound by P. Tucker,,1,11,6,5,199.0
8:34.0, ,6-13,J. Butler makes 2-pt jump shot from 8 ft,,1,13,6,7,206.0
