Time,Toronto,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: P. Achiuwa vs. B. Adebayo (G. Vincent gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,G. Vincent misses 2-pt jump shot from 9 ft,,1,0,0,0,22.0
11:34.0,Defensive rebound by P. Achiuwa,0-0, ,,1,0,0,0,26.0
11:31.0,P. Siakam misses 2-pt layup from 5 ft,0-0, ,,1,0,0,0,29.0
11:31.0, ,0-0,Defensive rebound by J. Butler,,1,0,0,0,29.0
11:19.0, ,0-0,J. Butler misses 3-pt jump shot from 25 ft,,1,0,0,0,41.0
11:16.0,Defensive rebound by S. Barnes,0-0, ,,1,0,0,0,44.0
10:58.0,P. Achiuwa misses 2-pt jump shot from 11 ft,0-0, ,,1,0,0,0,62.0
10:54.0, ,0-0,Defensive rebound by P. Tucker,,1,0,0,0,66.0
10:41.0, ,0-0,B. Adebayo misses 2-pt hook shot from 6 ft,,1,0,0,0,79.0
10:37.0, ,0-0,Offensive rebound by J. Butler,,1,0,0,0,83.0
10:37.0, ,0-2,J. Butler makes 2-pt layup from 1 ft,,1,2,0,2,83.0
10:13.0,S. Barnes makes 2-pt hook shot from 10 ft,2-2, ,Tie,1,2,2,0,107.0
10:02.0, ,2-2,B. Adebayo misses 2-pt layup from 5 ft (block by P. Achiuwa),,1,2,2,0,118.0
10:01.0,Defensive rebound by Team,2-2, ,,1,2,2,0,119.0
9:45.0,F. VanVleet makes 3-pt jump shot from 27 ft (assist by O. Anunoby),5-2, ,Lead change,1,2,5,-3,135.0
9:28.0, ,5-2,Turnover by G. Vincent (bad pass; steal by P. Siakam),,1,2,5,-3,152.0
9:26.0,Personal take foul by P. Tucker (drawn by P. Siakam),5-2, ,,1,2,5,-3,154.0
9:26.0,Instant Replay (Request: Ruling Stands),5-2, ,,1,2,5,-3,154.0
9:16.0,F. VanVleet misses 3-pt jump shot from 26 ft,5-2, ,,1,2,5,-3,164.0
9:11.0, ,5-2,Defensive rebound by B. Adebayo,,1,2,5,-3,169.0
9:05.0, ,5-5,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),Tie,1,5,5,0,175.0
8:50.0,S. Barnes misses 2-pt jump shot from 8 ft,5-5, ,,1,5,5,0,190.0
8:46.0, ,5-5,Defensive rebound by B. Adebayo,,1,5,5,0,194.0
8:34.0, ,5-7,D. Robinson makes 2-pt layup from 1 ft (assist by J. Butler),Lead change,1,7,5,2,206.0
8:34.0,Violation by Team (def goaltending),5-7, ,,1,7,5,2,206.0
8:20.0,O. Anunoby misses 3-pt jump shot from 26 ft,5-7, ,,1,7,5,2,220.0
8:15.0, ,5-7,Defensive rebound by B. Adebayo,,1,7,5,2,225.0
8:03.0, ,5-7,Turnover by J. Butler (bad pass),,1,7,5,2,237.0
7:43.0,P. Siakam misses 2-pt jump shot from 12 ft,5-7, ,,1,7,5,2,257.0
7:36.0, ,5-7,Defensive rebound by J. Butler,,1,7,5,2,264.0
7:31.0, ,5-7,Turnover by G. Vincent (bad pass; steal by P. Achiuwa),,1,7,5,2,269.0
7:24.0,S. Barnes misses 2-pt jump shot from 19 ft,5-7, ,,1,7,5,2,276.0
7:19.0, ,5-7,Defensive rebound by J. Butler,,1,7,5,2,281.0
7:14.0, ,5-10,G. Vincent makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,10,5,5,286.0
6:59.0,F. VanVleet misses 3-pt jump shot from 27 ft,5-10, ,,1,10,5,5,301.0
6:59.0, ,5-10,Defensive rebound by J. Butler,,1,10,5,5,301.0
6:55.0, ,5-10,Personal foul by F. VanVleet (drawn by P. Tucker),,1,10,5,5,305.0
6:55.0,Toronto full timeout,5-10, ,,1,10,5,5,305.0
6:47.0, ,5-12,J. Butler makes 2-pt layup from 7 ft,,1,12,5,7,313.0
6:47.0, ,5-12,Shooting foul by P. Achiuwa (drawn by J. Butler),,1,12,5,7,313.0
6:47.0, ,5-12,J. Butler misses free throw 1 of 1,,1,12,5,7,313.0
6:44.0,Defensive rebound by P. Achiuwa,5-12, ,,1,12,5,7,316.0
6:28.0,Shooting foul by P. Tucker (drawn by S. Barnes),5-12, ,,1,12,5,7,332.0
6:28.0,S. Barnes makes free throw 1 of 2,6-12, ,,1,12,6,6,332.0
6:28.0,C. Boucher enters the game for P. Achiuwa,6-12, ,,1,12,6,6,332.0
6:28.0, ,6-12,C. Martin enters the game for P. Tucker,,1,12,6,6,332.0
6:28.0,S. Barnes makes free throw 2 of 2,7-12, ,,1,12,7,5,332.0
6:22.0, ,7-12,Offensive foul by D. Robinson (drawn by F. VanVleet),,1,12,7,5,338.0
6:22.0, ,7-12,Turnover by D. Robinson (offensive foul),,1,12,7,5,338.0
6:07.0,Turnover by F. VanVleet (bad pass; steal by J. Butler),7-12, ,,1,12,7,5,353.0
6:03.0, ,7-12,D. Robinson misses 3-pt jump shot from 24 ft,,1,12,7,5,357.0
5:58.0,Defensive rebound by C. Boucher,7-12, ,,1,12,7,5,362.0
5:52.0,Turnover by O. Anunoby (bad pass; steal by D. Robinson),7-12, ,,1,12,7,5,368.0
5:46.0, ,7-12,Personal foul by O. Anunoby (drawn by J. Butler),,1,12,7,5,374.0
5:46.0,P. Achiuwa enters the game for O. Anunoby,7-12, ,,1,12,7,5,374.0
5:46.0, ,7-12,T. Herro enters the game for G. Vincent,,1,12,7,5,374.0
5:37.0, ,7-12,Turnover by C. Martin (bad pass; steal by P. Siakam),,1,12,7,5,383.0
5:33.0,P. Siakam makes 2-pt layup from 3 ft (assist by S. Barnes),9-12, ,,1,12,9,3,387.0
5:27.0, ,9-14,J. Butler makes 2-pt layup from 3 ft (assist by T. Herro),,1,14,9,5,393.0
5:27.0, ,9-14,Shooting foul by C. Boucher (drawn by J. Butler),,1,14,9,5,393.0
5:27.0, ,9-15,J. Butler makes free throw 1 of 1,,1,15,9,6,393.0
5:10.0,P. Siakam makes 2-pt hook shot from 5 ft,11-15, ,,1,15,11,4,410.0
4:56.0, ,11-15,Turnover by T. Herro (lost ball; steal by P. Siakam),,1,15,11,4,424.0
4:53.0,Shooting foul by C. Martin (drawn by C. Boucher),11-15, ,,1,15,11,4,427.0
4:53.0,C. Boucher misses free throw 1 of 2,11-15, ,,1,15,11,4,427.0
