Time,San Antonio,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: Z. Collins vs. B. Adebayo (T. Jones gains possession),0-0,,,1,0,0,0,0.0
11:40.0,Z. Collins misses 2-pt hook shot from 10 ft,0-0, ,,1,0,0,0,20.0
11:39.0,Offensive rebound by Team,0-0, ,,1,0,0,0,21.0
11:35.0,K. Bates-Diop makes 2-pt layup from 8 ft (assist by T. Jones),2-0, ,,1,0,2,-2,25.0
11:18.0, ,2-0,K. Lowry misses 2-pt jump shot from 12 ft,,1,0,2,-2,42.0
11:18.0,Defensive rebound by T. Jones,2-0, ,,1,0,2,-2,42.0
11:11.0,D. McDermott misses 3-pt jump shot from 24 ft,2-0, ,,1,0,2,-2,49.0
11:11.0,Offensive rebound by Z. Collins,2-0, ,,1,0,2,-2,49.0
11:05.0,D. McDermott makes 2-pt layup from 2 ft (assist by Z. Collins),4-0, ,,1,0,4,-4,55.0
10:43.0, ,4-0,B. Adebayo misses 2-pt jump shot from 16 ft,,1,0,4,-4,77.0
10:40.0,Defensive rebound by D. McDermott,4-0, ,,1,0,4,-4,80.0
10:31.0,D. McDermott misses 2-pt layup from 3 ft,4-0, ,,1,0,4,-4,89.0
10:28.0,Offensive rebound by Z. Collins,4-0, ,,1,0,4,-4,92.0
10:27.0,Z. Collins makes 2-pt layup from 2 ft,6-0, ,,1,0,6,-6,93.0
10:14.0, ,6-2,J. Butler makes 2-pt layup from 4 ft,,1,2,6,-4,106.0
10:01.0,D. Vassell makes 2-pt jump shot from 6 ft,8-2, ,,1,2,8,-6,119.0
9:48.0, ,8-2,B. Adebayo misses 2-pt layup from 4 ft,,1,2,8,-6,132.0
9:45.0,Defensive rebound by Z. Collins,8-2, ,,1,2,8,-6,135.0
9:39.0,T. Jones makes 2-pt layup from 2 ft,10-2, ,,1,2,10,-8,141.0
9:21.0, ,10-2,P. Tucker misses 3-pt jump shot from 24 ft,,1,2,10,-8,159.0
9:18.0,Defensive rebound by K. Bates-Diop,10-2, ,,1,2,10,-8,162.0
9:17.0,D. Vassell makes 2-pt dunk from 2 ft (assist by T. Jones),12-2, ,,1,2,12,-10,163.0
9:06.0, ,12-5,K. Lowry makes 3-pt jump shot from 27 ft (assist by P. Tucker),,1,5,12,-7,174.0
8:44.0,T. Jones makes 2-pt layup from 4 ft,14-5, ,,1,5,14,-9,196.0
8:17.0, ,14-5,P. Tucker misses 2-pt jump shot from 12 ft,,1,5,14,-9,223.0
8:14.0,Defensive rebound by K. Bates-Diop,14-5, ,,1,5,14,-9,226.0
8:06.0,K. Bates-Diop makes 2-pt dunk from 2 ft (assist by D. McDermott),16-5, ,,1,5,16,-11,234.0
8:04.0, ,16-5,Miami full timeout,,1,5,16,-11,236.0
7:43.0, ,16-5,B. Adebayo misses 2-pt jump shot from 9 ft,,1,5,16,-11,257.0
7:40.0,Defensive rebound by Z. Collins,16-5, ,,1,5,16,-11,260.0
7:32.0,D. Vassell makes 2-pt layup from 3 ft (assist by T. Jones),18-5, ,,1,5,18,-13,268.0
7:18.0, ,18-5,K. Lowry misses 2-pt jump shot from 22 ft,,1,5,18,-13,282.0
7:18.0,Defensive rebound by K. Bates-Diop,18-5, ,,1,5,18,-13,282.0
7:09.0,T. Jones misses 3-pt jump shot from 24 ft,18-5, ,,1,5,18,-13,291.0
7:05.0, ,18-5,Defensive rebound by K. Lowry,,1,5,18,-13,295.0
7:03.0, ,18-7,J. Butler makes 2-pt layup from 4 ft (assist by K. Lowry),,1,7,18,-11,297.0
7:03.0,Violation by Team (def goaltending),18-7, ,,1,7,18,-11,297.0
6:51.0,Turnover by D. Vassell (out of bounds lost ball),18-7, ,,1,7,18,-11,309.0
6:51.0,J. Richardson enters the game for D. McDermott,18-7, ,,1,7,18,-11,309.0
6:51.0,L. Walker enters the game for D. Vassell,18-7, ,,1,7,18,-11,309.0
6:40.0, ,18-7,D. Robinson misses 3-pt jump shot from 27 ft,,1,7,18,-11,320.0
6:37.0,Defensive rebound by K. Bates-Diop,18-7, ,,1,7,18,-11,323.0
6:28.0,Personal foul by P. Tucker (drawn by Z. Collins),18-7, ,,1,7,18,-11,332.0
6:28.0,J. Landale enters the game for Z. Collins,18-7, ,,1,7,18,-11,332.0
6:16.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Bates-Diop),21-7, ,,1,7,21,-14,344.0
6:01.0, ,21-7,Personal foul by T. Jones (drawn by K. Lowry),,1,7,21,-14,359.0
6:01.0,J. Primo enters the game for T. Jones,21-7, ,,1,7,21,-14,359.0
6:01.0, ,21-7,T. Herro enters the game for K. Lowry,,1,7,21,-14,359.0
6:01.0, ,21-7,G. Vincent enters the game for D. Robinson,,1,7,21,-14,359.0
5:50.0, ,21-7,Shooting foul by J. Landale (drawn by J. Butler),,1,7,21,-14,370.0
5:50.0, ,21-8,J. Butler makes free throw 1 of 2,,1,8,21,-13,370.0
5:50.0, ,21-9,J. Butler makes free throw 2 of 2,,1,9,21,-12,370.0
5:29.0,L. Walker misses 2-pt jump shot from 19 ft,21-9, ,,1,9,21,-12,391.0
5:27.0,Offensive rebound by J. Landale,21-9, ,,1,9,21,-12,393.0
5:21.0,J. Richardson makes 2-pt layup from 2 ft,23-9, ,,1,9,23,-14,399.0
5:12.0, ,23-9,Shooting foul by J. Primo (drawn by J. Butler),,1,9,23,-14,408.0
5:12.0, ,23-10,J. Butler makes free throw 1 of 2,,1,10,23,-13,408.0
5:12.0,D. Cacok enters the game for K. Bates-Diop,23-10, ,,1,10,23,-13,408.0
5:12.0, ,23-11,J. Butler makes free throw 2 of 2,,1,11,23,-12,408.0
4:48.0,L. Walker makes 3-pt jump shot from 26 ft (assist by J. Landale),26-11, ,,1,11,26,-15,432.0
4:33.0, ,26-11,Shooting foul by J. Richardson (drawn by T. Herro),,1,11,26,-15,447.0
4:33.0, ,26-11,T. Herro misses free throw 1 of 2,,1,11,26,-15,447.0
4:33.0, ,26-11,Offensive rebound by Team,,1,11,26,-15,447.0
4:33.0, ,26-11,D. Dedmon enters the game for B. Adebayo,,1,11,26,-15,447.0
4:33.0, ,26-11,C. Martin enters the game for P. Tucker,,1,11,26,-15,447.0
4:33.0, ,26-12,T. Herro makes free throw 2 of 2,,1,12,26,-14,447.0
4:16.0,J. Landale misses 3-pt jump shot from 27 ft,26-12, ,,1,12,26,-14,464.0
4:12.0, ,26-12,Defensive rebound by T. Herro,,1,12,26,-14,468.0
4:06.0, ,26-12,Turnover by J. Butler (lost ball; steal by D. Cacok),,1,12,26,-14,474.0
4:02.0,L. Walker makes 2-pt dunk from 1 ft (assist by D. Cacok),28-12, ,,1,12,28,-16,478.0
3:47.0, ,28-15,T. Herro makes 3-pt jump shot from 27 ft,,1,15,28,-13,493.0
3:32.0,L. Walker misses 2-pt jump shot from 17 ft,28-15, ,,1,15,28,-13,508.0
3:29.0, ,28-15,Defensive rebound by C. Martin,,1,15,28,-13,511.0
