Time,Orlando,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Carter vs. O. Yurtseven (H. Gravett gains possession),0-0,,,1,0,0,0,0.0
11:41.0,F. Wagner misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,19.0
11:40.0,Offensive rebound by W. Carter,0-0, ,,1,0,0,0,20.0
11:37.0,G. Harris misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,23.0
11:34.0,Offensive rebound by F. Wagner,0-0, ,,1,0,0,0,26.0
11:28.0,F. Wagner makes 2-pt hook shot from 2 ft,2-0, ,,1,0,2,-2,32.0
11:10.0, ,2-2,M. Strus makes 2-pt layup from 3 ft (assist by O. Yurtseven),Tie,1,2,2,0,50.0
10:52.0,W. Carter misses 2-pt jump shot from 11 ft,2-2, ,,1,2,2,0,68.0
10:49.0, ,2-2,Defensive rebound by O. Yurtseven,,1,2,2,0,71.0
10:40.0, ,2-2,D. Robinson misses 3-pt jump shot from 25 ft,,1,2,2,0,80.0
10:37.0,Defensive rebound by A. Schofield,2-2, ,,1,2,2,0,83.0
10:24.0,H. Gravett makes 2-pt jump shot from 12 ft (assist by W. Carter),4-2, ,,1,2,4,-2,96.0
10:03.0, ,4-4,O. Yurtseven makes 2-pt hook shot from 7 ft (assist by G. Vincent),Tie,1,4,4,0,117.0
10:03.0, ,4-4,Shooting foul by A. Schofield (drawn by O. Yurtseven),,1,4,4,0,117.0
10:03.0, ,4-4,O. Yurtseven misses free throw 1 of 1,,1,4,4,0,117.0
10:01.0,Defensive rebound by A. Schofield,4-4, ,,1,4,4,0,119.0
9:52.0,Shooting foul by D. Robinson (drawn by G. Harris),4-4, ,,1,4,4,0,128.0
9:52.0,G. Harris makes free throw 1 of 2,5-4, ,,1,4,5,-1,128.0
9:52.0,G. Harris makes free throw 2 of 2,6-4, ,,1,4,6,-2,128.0
9:41.0, ,6-4,D. Robinson misses 3-pt jump shot from 26 ft,,1,4,6,-2,139.0
9:37.0,Defensive rebound by W. Carter,6-4, ,,1,4,6,-2,143.0
9:18.0,H. Gravett makes 3-pt jump shot from 28 ft (assist by F. Wagner),9-4, ,,1,4,9,-5,162.0
9:03.0, ,9-4,Offensive foul by G. Vincent (drawn by G. Harris),,1,4,9,-5,177.0
9:03.0, ,9-4,Turnover by G. Vincent (offensive foul),,1,4,9,-5,177.0
8:49.0,A. Schofield makes 2-pt jump shot from 3 ft (assist by W. Carter),11-4, ,,1,4,11,-7,191.0
8:36.0, ,11-4,Shooting foul by A. Schofield (drawn by J. Butler),,1,4,11,-7,204.0
8:36.0, ,11-5,J. Butler makes free throw 1 of 2,,1,5,11,-6,204.0
8:36.0, ,11-5,J. Butler misses free throw 2 of 2,,1,5,11,-6,204.0
8:34.0,Defensive rebound by W. Carter,11-5, ,,1,5,11,-6,206.0
8:17.0,Turnover by W. Carter (out of bounds lost ball),11-5, ,,1,5,11,-6,223.0
8:07.0, ,11-5,G. Vincent misses 3-pt jump shot from 27 ft,,1,5,11,-6,233.0
8:05.0,Defensive rebound by W. Carter,11-5, ,,1,5,11,-6,235.0
7:56.0,Turnover by F. Wagner (bad pass; steal by J. Butler),11-5, ,,1,5,11,-6,244.0
7:47.0, ,11-5,Shooting foul by H. Gravett (drawn by J. Butler),,1,5,11,-6,253.0
7:47.0, ,11-6,J. Butler makes free throw 1 of 2,,1,6,11,-5,253.0
7:47.0, ,11-7,J. Butler makes free throw 2 of 2,,1,7,11,-4,253.0
7:22.0,G. Harris makes 2-pt jump shot from 19 ft,13-7, ,,1,7,13,-6,278.0
7:06.0, ,13-7,M. Strus misses 3-pt jump shot from 26 ft,,1,7,13,-6,294.0
7:04.0, ,13-7,Offensive rebound by J. Butler,,1,7,13,-6,296.0
6:57.0, ,13-9,J. Butler makes 2-pt jump shot from 14 ft (assist by M. Strus),,1,9,13,-4,303.0
6:57.0, ,13-9,Shooting foul by A. Schofield (drawn by J. Butler),,1,9,13,-4,303.0
6:57.0, ,13-9,Miami full timeout,,1,9,13,-4,303.0
6:57.0,A. Ford enters the game for W. Carter,13-9, ,,1,9,13,-4,303.0
6:57.0,R. Lopez enters the game for A. Schofield,13-9, ,,1,9,13,-4,303.0
6:57.0, ,13-10,J. Butler makes free throw 1 of 1,,1,10,13,-3,303.0
6:43.0,G. Harris makes 2-pt layup from 2 ft,15-10, ,,1,10,15,-5,317.0
6:24.0, ,15-12,O. Yurtseven makes 2-pt dunk from 1 ft (assist by D. Robinson),,1,12,15,-3,336.0
5:58.0,Turnover by F. Wagner (bad pass; steal by J. Butler),15-12, ,,1,12,15,-3,362.0
5:49.0, ,15-12,J. Butler misses 2-pt jump shot from 15 ft,,1,12,15,-3,371.0
5:46.0,Defensive rebound by G. Harris,15-12, ,,1,12,15,-3,374.0
5:38.0,Shooting foul by O. Yurtseven (drawn by H. Gravett),15-12, ,,1,12,15,-3,382.0
5:38.0,H. Gravett misses free throw 1 of 2,15-12, ,,1,12,15,-3,382.0
5:38.0,Offensive rebound by Team,15-12, ,,1,12,15,-3,382.0
5:38.0, ,15-12,T. Herro enters the game for G. Vincent,,1,12,15,-3,382.0
5:38.0,H. Gravett makes free throw 2 of 2,16-12, ,,1,12,16,-4,382.0
5:38.0,R. Hampton enters the game for H. Gravett,16-12, ,,1,12,16,-4,382.0
5:20.0, ,16-12,J. Butler misses 3-pt jump shot from 24 ft,,1,12,16,-4,400.0
5:15.0,Defensive rebound by R. Hampton,16-12, ,,1,12,16,-4,405.0
5:06.0,G. Harris makes 3-pt jump shot from 24 ft (assist by R. Hampton),19-12, ,,1,12,19,-7,414.0
4:49.0, ,19-12,J. Butler misses 2-pt layup from 1 ft,,1,12,19,-7,431.0
4:47.0,Defensive rebound by A. Ford,19-12, ,,1,12,19,-7,433.0
4:42.0,R. Hampton makes 2-pt jump shot from 2 ft,21-12, ,,1,12,21,-9,438.0
4:42.0, ,21-12,Miami full timeout,,1,12,21,-9,438.0
4:42.0, ,21-12,U. Haslem enters the game for D. Robinson,,1,12,21,-9,438.0
4:42.0, ,21-12,C. Martin enters the game for O. Yurtseven,,1,12,21,-9,438.0
4:17.0, ,21-12,J. Butler misses 2-pt jump shot from 16 ft,,1,12,21,-9,463.0
4:15.0,Defensive rebound by A. Ford,21-12, ,,1,12,21,-9,465.0
4:08.0,A. Ford misses 3-pt jump shot from 26 ft,21-12, ,,1,12,21,-9,472.0
4:05.0, ,21-12,Defensive rebound by U. Haslem,,1,12,21,-9,475.0
3:57.0, ,21-14,J. Butler makes 2-pt dunk from 1 ft (assist by M. Strus),,1,14,21,-7,483.0
3:41.0,Turnover by R. Lopez (traveling),21-14, ,,1,14,21,-7,499.0
3:29.0, ,21-16,T. Herro makes 2-pt jump shot from 16 ft (assist by J. Butler),,1,16,21,-5,511.0
3:11.0,R. Hampton misses 2-pt jump shot from 15 ft,21-16, ,,1,16,21,-5,529.0
3:06.0,Offensive rebound by R. Lopez,21-16, ,,1,16,21,-5,534.0
3:06.0,R. Lopez misses 2-pt layup at rim,21-16, ,,1,16,21,-5,534.0
3:06.0, ,21-16,Defensive rebound by J. Butler,,1,16,21,-5,534.0
3:01.0, ,21-16,U. Haslem misses 2-pt jump shot from 15 ft,,1,16,21,-5,539.0
2:58.0,Defensive rebound by A. Ford,21-16, ,,1,16,21,-5,542.0
2:36.0,F. Wagner misses 2-pt jump shot from 17 ft,21-16, ,,1,16,21,-5,564.0
