Time,Denver,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Jokić vs. B. Adebayo (A. Gordon gains possession),0-0,,,1,0,0,0,0.0
11:37.0,Shooting foul by P. Tucker (drawn by N. Jokić),0-0, ,,1,0,0,0,23.0
11:37.0,N. Jokić makes free throw 1 of 3,1-0, ,,1,0,1,-1,23.0
11:37.0,N. Jokić makes free throw 2 of 3,2-0, ,,1,0,2,-2,23.0
11:37.0,N. Jokić makes free throw 3 of 3,3-0, ,,1,0,3,-3,23.0
11:25.0, ,3-0,Turnover by B. Adebayo (bad pass),,1,0,3,-3,35.0
11:05.0,Turnover by N. Jokić (lost ball; steal by P. Tucker),3-0, ,,1,0,3,-3,55.0
11:00.0, ,3-0,P. Tucker misses 3-pt jump shot from 23 ft,,1,0,3,-3,60.0
10:56.0,Defensive rebound by M. Morris,3-0, ,,1,0,3,-3,64.0
10:50.0,A. Gordon misses 2-pt jump shot from 16 ft,3-0, ,,1,0,3,-3,70.0
10:46.0, ,3-0,Defensive rebound by D. Robinson,,1,0,3,-3,74.0
10:27.0, ,3-2,P. Tucker makes 2-pt jump shot from 5 ft (assist by K. Lowry),,1,2,3,-1,93.0
10:09.0,Turnover by J. Green (bad pass),3-2, ,,1,2,3,-1,111.0
10:01.0, ,3-2,B. Adebayo misses 2-pt jump shot from 12 ft,,1,2,3,-1,119.0
9:56.0,Defensive rebound by W. Barton,3-2, ,,1,2,3,-1,124.0
9:55.0,Denver full timeout,3-2, ,,1,2,3,-1,125.0
9:55.0,Instant Replay (Challenge: Ruling Stands),3-2, ,,1,2,3,-1,125.0
9:55.0,Shooting foul by B. Adebayo (drawn by W. Barton),3-2, ,,1,2,3,-1,125.0
9:55.0,W. Barton makes free throw 1 of 2,4-2, ,,1,2,4,-2,125.0
9:55.0,W. Barton makes free throw 2 of 2,5-2, ,,1,2,5,-3,125.0
9:45.0, ,5-5,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Lowry),Tie,1,5,5,0,135.0
9:24.0,Shooting foul by K. Lowry (drawn by J. Green),5-5, ,,1,5,5,0,156.0
9:24.0,J. Green misses free throw 1 of 2,5-5, ,,1,5,5,0,156.0
9:24.0,Offensive rebound by Team,5-5, ,,1,5,5,0,156.0
9:24.0,J. Green makes free throw 2 of 2,6-5, ,,1,5,6,-1,156.0
9:06.0, ,6-7,P. Tucker makes 2-pt layup from 2 ft (assist by B. Adebayo),Lead change,1,7,6,1,174.0
8:52.0,M. Morris makes 2-pt jump shot from 12 ft,8-7, ,Lead change,1,7,8,-1,188.0
8:46.0, ,8-9,C. Martin makes 2-pt dunk from 2 ft (assist by K. Lowry),Lead change,1,9,8,1,194.0
8:34.0,W. Barton misses 2-pt jump shot from 8 ft,8-9, ,,1,9,8,1,206.0
8:28.0,Offensive rebound by N. Jokić,8-9, ,,1,9,8,1,212.0
8:28.0,N. Jokić makes 2-pt layup from 2 ft,10-9, ,Lead change,1,9,10,-1,212.0
8:24.0, ,10-9,K. Lowry misses 3-pt jump shot from 28 ft,,1,9,10,-1,216.0
8:24.0, ,10-9,Offensive rebound by B. Adebayo,,1,9,10,-1,216.0
8:13.0, ,10-9,K. Lowry misses 2-pt jump shot from 6 ft,,1,9,10,-1,227.0
8:10.0,Defensive rebound by N. Jokić,10-9, ,,1,9,10,-1,230.0
8:04.0,M. Morris misses 3-pt jump shot from 24 ft,10-9, ,,1,9,10,-1,236.0
8:00.0, ,10-9,Defensive rebound by C. Martin,,1,9,10,-1,240.0
7:56.0, ,10-11,K. Lowry makes 2-pt layup from 2 ft,Lead change,1,11,10,1,244.0
7:49.0,J. Green makes 2-pt layup from 1 ft,12-11, ,Lead change,1,11,12,-1,251.0
7:30.0, ,12-11,Personal foul by M. Morris (drawn by K. Lowry),,1,11,12,-1,270.0
7:22.0, ,12-14,K. Lowry makes 3-pt jump shot from 24 ft (assist by B. Adebayo),Lead change,1,14,12,2,278.0
7:07.0,A. Gordon misses 2-pt layup from 5 ft,12-14, ,,1,14,12,2,293.0
7:05.0, ,12-14,Defensive rebound by B. Adebayo,,1,14,12,2,295.0
7:01.0, ,12-14,B. Adebayo misses 2-pt jump shot from 11 ft,,1,14,12,2,299.0
7:00.0,Defensive rebound by Team,12-14, ,,1,14,12,2,300.0
7:00.0, ,12-14,Loose ball foul by C. Martin (drawn by J. Green),,1,14,12,2,300.0
6:49.0,N. Jokić makes 2-pt layup from 5 ft (assist by M. Morris),14-14, ,Tie,1,14,14,0,311.0
6:21.0, ,14-14,P. Tucker misses 2-pt jump shot from 10 ft,,1,14,14,0,339.0
6:17.0,Defensive rebound by W. Barton,14-14, ,,1,14,14,0,343.0
6:16.0,W. Barton makes 3-pt jump shot from 26 ft,17-14, ,Lead change,1,14,17,-3,344.0
6:05.0, ,17-17,C. Martin makes 3-pt jump shot from 23 ft (assist by K. Lowry),Tie,1,17,17,0,355.0
5:42.0,M. Morris makes 2-pt jump shot from 13 ft,19-17, ,,1,17,19,-2,378.0
5:30.0, ,19-17,D. Robinson misses 3-pt jump shot from 24 ft,,1,17,19,-2,390.0
5:27.0,Defensive rebound by N. Jokić,19-17, ,,1,17,19,-2,393.0
5:22.0,J. Green misses 3-pt jump shot from 23 ft,19-17, ,,1,17,19,-2,398.0
5:20.0,Offensive rebound by N. Jokić,19-17, ,,1,17,19,-2,400.0
5:19.0,N. Jokić makes 2-pt layup from 2 ft,21-17, ,,1,17,21,-4,401.0
5:19.0, ,21-17,Miami full timeout,,1,17,21,-4,401.0
5:19.0,A. Rivers enters the game for W. Barton,21-17, ,,1,17,21,-4,401.0
5:19.0, ,21-17,M. Strus enters the game for K. Lowry,,1,17,21,-4,401.0
5:19.0, ,21-17,G. Vincent enters the game for C. Martin,,1,17,21,-4,401.0
5:03.0, ,21-20,M. Strus makes 3-pt jump shot from 26 ft (assist by D. Robinson),,1,20,21,-1,417.0
4:48.0,Shooting foul by M. Strus (drawn by A. Gordon),21-20, ,,1,20,21,-1,432.0
4:48.0,A. Gordon makes free throw 1 of 2,22-20, ,,1,20,22,-2,432.0
4:48.0,F. Campazzo enters the game for J. Green,22-20, ,,1,20,22,-2,432.0
4:48.0,Z. Nnaji enters the game for M. Morris,22-20, ,,1,20,22,-2,432.0
4:48.0,A. Gordon makes free throw 2 of 2,23-20, ,,1,20,23,-3,432.0
4:38.0, ,23-20,Personal foul by Z. Nnaji (drawn by P. Tucker),,1,20,23,-3,442.0
4:33.0, ,23-20,B. Adebayo misses 2-pt jump shot from 13 ft,,1,20,23,-3,447.0
4:29.0,Defensive rebound by N. Jokić,23-20, ,,1,20,23,-3,451.0
4:07.0,F. Campazzo misses 3-pt jump shot from 25 ft,23-20, ,,1,20,23,-3,473.0
4:07.0, ,23-20,Defensive rebound by Team,,1,20,23,-3,473.0
4:07.0,Loose ball foul by A. Gordon (drawn by B. Adebayo),23-20, ,,1,20,23,-3,473.0
4:07.0,B. Hyland enters the game for A. Gordon,23-20, ,,1,20,23,-3,473.0
4:07.0, ,23-20,D. Dedmon enters the game for B. Adebayo,,1,20,23,-3,473.0
3:44.0, ,23-20,D. Robinson misses 3-pt jump shot from 26 ft,,1,20,23,-3,496.0
3:42.0, ,23-20,Offensive rebound by D. Dedmon,,1,20,23,-3,498.0
3:41.0, ,23-20,M. Strus misses 3-pt jump shot from 27 ft,,1,20,23,-3,499.0
3:39.0, ,23-20,Offensive rebound by Team,,1,20,23,-3,501.0
3:37.0, ,23-20,P. Tucker misses 3-pt jump shot from 23 ft,,1,20,23,-3,503.0
3:33.0,Defensive rebound by N. Jokić,23-20, ,,1,20,23,-3,507.0
3:31.0,F. Campazzo makes 2-pt layup from 2 ft (assist by Z. Nnaji),25-20, ,,1,20,25,-5,509.0
3:31.0,Shooting foul by D. Robinson (drawn by F. Campazzo),25-20, ,,1,20,25,-5,509.0
3:31.0,F. Campazzo misses free throw 1 of 1,25-20, ,,1,20,25,-5,509.0
3:29.0, ,25-20,Defensive rebound by D. Dedmon,,1,20,25,-5,511.0
3:13.0, ,25-20,G. Vincent misses 2-pt layup from 2 ft,,1,20,25,-5,527.0
3:12.0,Defensive rebound by N. Jokić,25-20, ,,1,20,25,-5,528.0
3:12.0,W. Barton enters the game for N. Jokić,25-20, ,,1,20,25,-5,528.0
2:53.0,A. Rivers makes 2-pt layup from 4 ft,27-20, ,,1,20,27,-7,547.0
2:53.0, ,27-20,K. Lowry enters the game for D. Robinson,,1,20,27,-7,547.0
2:53.0, ,27-20,C. Martin enters the game for P. Tucker,,1,20,27,-7,547.0
2:29.0, ,27-20,C. Martin misses 2-pt jump shot from 20 ft,,1,20,27,-7,571.0
2:25.0,Defensive rebound by Z. Nnaji,27-20, ,,1,20,27,-7,575.0
2:20.0,Turnover by W. Barton (bad pass),27-20, ,,1,20,27,-7,580.0
2:05.0, ,27-20,G. Vincent misses 3-pt jump shot from 26 ft,,1,20,27,-7,595.0
2:04.0,Defensive rebound by Team,27-20, ,,1,20,27,-7,596.0
1:48.0,B. Hyland makes 2-pt jump shot from 12 ft (assist by F. Campazzo),29-20, ,,1,20,29,-9,612.0
1:36.0, ,29-20,Shooting foul by Z. Nnaji (drawn by K. Lowry),,1,20,29,-9,624.0
1:36.0, ,29-20,K. Lowry misses free throw 1 of 2,,1,20,29,-9,624.0
1:36.0, ,29-20,Offensive rebound by Team,,1,20,29,-9,624.0
1:36.0, ,29-21,K. Lowry makes free throw 2 of 2,,1,21,29,-8,624.0
1:08.0,W. Barton misses 3-pt jump shot from 26 ft,29-21, ,,1,21,29,-8,652.0
1:06.0, ,29-21,Defensive rebound by K. Lowry,,1,21,29,-8,654.0
0:55.0, ,29-21,Turnover by K. Lowry (bad pass; steal by B. Hyland),,1,21,29,-8,665.0
0:43.0,Z. Nnaji misses 2-pt layup from 3 ft,29-21, ,,1,21,29,-8,677.0
0:40.0, ,29-21,Defensive rebound by C. Martin,,1,21,29,-8,680.0
0:37.0, ,29-23,D. Dedmon makes 2-pt dunk from 2 ft (assist by K. Lowry),,1,23,29,-6,683.0
0:21.0,A. Rivers makes 3-pt jump shot from 24 ft (assist by W. Barton),32-23, ,,1,23,32,-9,699.0
0:01.0, ,32-23,G. Vincent misses 3-pt jump shot from 25 ft (block by F. Campazzo),,1,23,32,-9,719.0
0:00.0, ,32-23,Offensive rebound by Team,,1,23,32,-9,720.0
0:00.0,End of 1st quarter,32-23,,,1,23,32,-9,720.0
12:00.0,Start of 2nd quarter,32-23,,,2,23,32,-9,720.0
11:49.0, ,32-23,Shooting foul by V. Čančar (drawn by D. Dedmon),,2,23,32,-9,731.0
11:49.0, ,32-23,D. Dedmon misses free throw 1 of 2,,2,23,32,-9,731.0
11:49.0, ,32-23,Offensive rebound by Team,,2,23,32,-9,731.0
11:49.0, ,32-23,D. Dedmon misses free throw 2 of 2,,2,23,32,-9,731.0
11:47.0,Defensive rebound by W. Barton,32-23, ,,2,23,32,-9,733.0
11:32.0,B. Hyland misses 3-pt jump shot from 26 ft,32-23, ,,2,23,32,-9,748.0
11:27.0, ,32-23,Defensive rebound by D. Dedmon,,2,23,32,-9,753.0
11:15.0, ,32-23,Turnover by G. Vincent (bad pass),,2,23,32,-9,765.0
11:08.0,Offensive foul by V. Čančar (drawn by G. Vincent),32-23, ,,2,23,32,-9,772.0
11:08.0,Turnover by V. Čančar (offensive foul),32-23, ,,2,23,32,-9,772.0
10:53.0, ,32-23,K. Lowry misses 3-pt jump shot from 26 ft,,2,23,32,-9,787.0
10:49.0, ,32-23,Offensive rebound by D. Dedmon,,2,23,32,-9,791.0
10:49.0, ,32-25,D. Dedmon makes 2-pt layup from 2 ft,,2,25,32,-7,791.0
10:42.0,Personal foul by D. Dedmon (drawn by V. Čančar),32-25, ,,2,25,32,-7,798.0
10:34.0,A. Rivers misses 3-pt jump shot from 27 ft,32-25, ,,2,25,32,-7,806.0
10:31.0,Offensive rebound by F. Campazzo,32-25, ,,2,25,32,-7,809.0
10:21.0,B. Hyland makes 3-pt jump shot from 29 ft (assist by F. Campazzo),35-25, ,,2,25,35,-10,819.0
10:06.0, ,35-25,C. Martin misses 2-pt layup from 2 ft,,2,25,35,-10,834.0
10:04.0, ,35-25,Offensive rebound by D. Dedmon,,2,25,35,-10,836.0
10:03.0, ,35-27,D. Dedmon makes 2-pt layup from 2 ft,,2,27,35,-8,837.0
9:56.0,Turnover by W. Barton (out of bounds lost ball),35-27, ,,2,27,35,-8,844.0
9:56.0, ,35-27,B. Adebayo enters the game for D. Dedmon,,2,27,35,-8,844.0
9:48.0, ,35-29,B. Adebayo makes 2-pt dunk from 3 ft (assist by M. Strus),,2,29,35,-6,852.0
9:26.0,Turnover by W. Barton (bad pass),35-29, ,,2,29,35,-6,874.0
9:19.0, ,35-32,M. Strus makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,2,32,35,-3,881.0
9:19.0,Denver full timeout,35-32, ,,2,32,35,-3,881.0
9:19.0,A. Gordon enters the game for W. Barton,35-32, ,,2,32,35,-3,881.0
9:19.0,J. Green enters the game for V. Čančar,35-32, ,,2,32,35,-3,881.0
9:03.0,B. Hyland makes 3-pt jump shot from 30 ft (assist by F. Campazzo),38-32, ,,2,32,38,-6,897.0
8:46.0, ,38-35,M. Strus makes 3-pt jump shot from 27 ft (assist by K. Lowry),,2,35,38,-3,914.0
8:33.0,B. Hyland makes 3-pt jump shot from 26 ft (assist by A. Gordon),41-35, ,,2,35,41,-6,927.0
8:21.0, ,41-35,Turnover by B. Adebayo (bad pass),,2,35,41,-6,939.0
8:21.0, ,41-35,D. Robinson enters the game for G. Vincent,,2,35,41,-6,939.0
8:13.0,Shooting foul by D. Robinson (drawn by A. Gordon),41-35, ,,2,35,41,-6,947.0
8:13.0,A. Gordon makes free throw 1 of 2,42-35, ,,2,35,42,-7,947.0
8:13.0,A. Gordon misses free throw 2 of 2,42-35, ,,2,35,42,-7,947.0
8:11.0, ,42-35,Defensive rebound by C. Martin,,2,35,42,-7,949.0
7:54.0, ,42-35,D. Robinson misses 3-pt jump shot from 26 ft,,2,35,42,-7,966.0
