Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:22.0, ,58-57,Personal foul by K. Lowry (drawn by B. Griffin),,3,58,57,1,1658.0
8:22.0, ,58-57,P. Mills enters the game for B. Brown,,3,58,57,1,1658.0
8:17.0, ,58-57,Personal foul by B. Adebayo (drawn by K. Durant),,3,58,57,1,1663.0
8:02.0, ,58-57,B. Griffin misses 3-pt jump shot from 25 ft,,3,58,57,1,1678.0
7:59.0,Defensive rebound by P. Tucker,58-57, ,,3,58,57,1,1681.0
7:54.0,K. Lowry makes 2-pt layup at rim,60-57, ,,3,60,57,3,1686.0
7:44.0, ,60-57,Turnover by K. Durant (bad pass; steal by J. Butler),,3,60,57,3,1696.0
7:38.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),63-57, ,,3,63,57,6,1702.0
7:38.0, ,63-57,Brooklyn full timeout,,3,63,57,6,1702.0
7:22.0, ,63-59,K. Durant makes 2-pt jump shot from 10 ft,,3,63,59,4,1718.0
7:03.0,D. Robinson misses 3-pt jump shot from 25 ft,63-59, ,,3,63,59,4,1737.0
7:00.0, ,63-59,Defensive rebound by J. Harris,,3,63,59,4,1740.0
6:38.0, ,63-59,J. Harris misses 3-pt jump shot from 23 ft,,3,63,59,4,1762.0
6:34.0,Defensive rebound by P. Tucker,63-59, ,,3,63,59,4,1766.0
6:20.0,D. Robinson misses 3-pt jump shot from 23 ft,63-59, ,,3,63,59,4,1780.0
6:18.0, ,63-59,Defensive rebound by K. Durant,,3,63,59,4,1782.0
6:00.0, ,63-62,J. Harris makes 3-pt jump shot from 25 ft (assist by P. Mills),,3,63,62,1,1800.0
