Time,Miami,Score,Milwaukee,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. B. Portis (P. Connaughton gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-0,P. Connaughton misses 3-pt jump shot from 25 ft,,1,0,0,0,17.0
11:39.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,21.0
11:29.0,Personal foul by S. Mamukelashvili (drawn by K. Lowry),0-0, ,,1,0,0,0,31.0
11:16.0,K. Lowry misses 2-pt jump shot from 17 ft,0-0, ,,1,0,0,0,44.0
11:13.0, ,0-0,Defensive rebound by B. Portis,,1,0,0,0,47.0
11:04.0, ,0-0,B. Portis misses 3-pt jump shot from 26 ft,,1,0,0,0,56.0
11:04.0, ,0-0,Offensive rebound by Team,,1,0,0,0,56.0
11:04.0,Loose ball foul by P. Tucker (drawn by S. Mamukelashvili),0-0, ,,1,0,0,0,56.0
10:55.0, ,0-0,B. Portis misses 2-pt jump shot from 8 ft,,1,0,0,0,65.0
10:54.0, ,0-0,Offensive rebound by B. Portis,,1,0,0,0,66.0
10:54.0, ,0-0,Turnover by B. Portis (step out of bounds),,1,0,0,0,66.0
10:48.0,D. Robinson misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,72.0
10:44.0,Offensive rebound by D. Dedmon,0-0, ,,1,0,0,0,76.0
10:37.0,D. Robinson misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,83.0
10:35.0, ,0-0,Defensive rebound by B. Portis,,1,0,0,0,85.0
10:26.0, ,0-0,S. Mamukelashvili misses 3-pt jump shot from 25 ft,,1,0,0,0,94.0
10:23.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,97.0
10:10.0,K. Lowry misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,110.0
10:05.0, ,0-0,Defensive rebound by K. Middleton,,1,0,0,0,115.0
9:57.0, ,0-2,J. Holiday makes 2-pt layup from 2 ft (assist by K. Middleton),,1,0,2,-2,123.0
9:47.0,T. Herro misses 3-pt jump shot from 26 ft,0-2, ,,1,0,2,-2,133.0
9:43.0, ,0-2,Defensive rebound by B. Portis,,1,0,2,-2,137.0
9:36.0, ,0-4,K. Middleton makes 2-pt jump shot from 13 ft,,1,0,4,-4,144.0
9:36.0, ,0-4,Shooting foul by T. Herro (drawn by K. Middleton),,1,0,4,-4,144.0
9:36.0, ,0-5,K. Middleton makes free throw 1 of 1,,1,0,5,-5,144.0
9:20.0,Turnover by D. Dedmon (3 sec),0-5, ,,1,0,5,-5,160.0
9:09.0, ,0-5,K. Middleton misses 2-pt jump shot from 14 ft,,1,0,5,-5,171.0
9:06.0,Defensive rebound by D. Dedmon,0-5, ,,1,0,5,-5,174.0
8:48.0,T. Herro misses 2-pt jump shot from 16 ft,0-5, ,,1,0,5,-5,192.0
8:45.0, ,0-5,Defensive rebound by P. Connaughton,,1,0,5,-5,195.0
8:22.0, ,0-5,J. Holiday misses 3-pt jump shot from 24 ft,,1,0,5,-5,218.0
8:19.0,Defensive rebound by D. Dedmon,0-5, ,,1,0,5,-5,221.0
8:13.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by K. Lowry),3-5, ,,1,3,5,-2,227.0
8:00.0, ,3-7,S. Mamukelashvili makes 2-pt dunk from 1 ft (assist by B. Portis),,1,3,7,-4,240.0
7:43.0,K. Lowry misses 3-pt jump shot from 25 ft,3-7, ,,1,3,7,-4,257.0
7:38.0,Offensive rebound by P. Tucker,3-7, ,,1,3,7,-4,262.0
7:30.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Herro),6-7, ,,1,6,7,-1,270.0
7:16.0, ,6-10,P. Connaughton makes 3-pt jump shot from 26 ft (assist by K. Middleton),,1,6,10,-4,284.0
7:07.0,Personal foul by P. Connaughton (drawn by K. Lowry),6-10, ,,1,6,10,-4,293.0
7:07.0, ,6-10,R. Hood enters the game for S. Mamukelashvili,,1,6,10,-4,293.0
6:58.0,T. Herro misses 2-pt jump shot from 7 ft (block by R. Hood),6-10, ,,1,6,10,-4,302.0
6:54.0, ,6-10,Defensive rebound by K. Middleton,,1,6,10,-4,306.0
6:53.0, ,6-10,P. Connaughton misses 2-pt dunk from 5 ft,,1,6,10,-4,307.0
6:53.0,Defensive rebound by D. Dedmon,6-10, ,,1,6,10,-4,307.0
6:53.0,Personal take foul by K. Middleton (drawn by D. Dedmon),6-10, ,,1,6,10,-4,307.0
6:53.0, ,6-10,Milwaukee full timeout,,1,6,10,-4,307.0
6:33.0,T. Herro misses 3-pt jump shot from 23 ft,6-10, ,,1,6,10,-4,327.0
6:30.0,Offensive rebound by T. Herro,6-10, ,,1,6,10,-4,330.0
6:28.0,D. Robinson misses 3-pt jump shot from 25 ft,6-10, ,,1,6,10,-4,332.0
6:28.0,Offensive rebound by T. Herro,6-10, ,,1,6,10,-4,332.0
6:21.0,T. Herro makes 2-pt layup at rim,8-10, ,,1,8,10,-2,339.0
6:15.0, ,8-10,K. Middleton misses 3-pt jump shot from 26 ft,,1,8,10,-2,345.0
6:13.0, ,8-10,Offensive rebound by P. Connaughton,,1,8,10,-2,347.0
6:07.0, ,8-12,K. Middleton makes 2-pt layup from 3 ft (assist by B. Portis),,1,8,12,-4,353.0
5:53.0,P. Tucker makes 2-pt hook shot from 3 ft (assist by K. Lowry),10-12, ,,1,10,12,-2,367.0
5:30.0, ,10-14,J. Holiday makes 2-pt hook shot from 6 ft,,1,10,14,-4,390.0
5:10.0,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Herro),12-14, ,,1,12,14,-2,410.0
4:58.0, ,12-17,J. Holiday makes 3-pt jump shot from 27 ft,,1,12,17,-5,422.0
4:38.0,T. Herro makes 2-pt layup from 1 ft (assist by K. Lowry),14-17, ,,1,14,17,-3,442.0
4:19.0, ,14-19,R. Hood makes 2-pt jump shot from 11 ft (assist by J. Holiday),,1,14,19,-5,461.0
4:14.0,Miami full timeout,14-19, ,,1,14,19,-5,466.0
4:14.0,G. Vincent enters the game for D. Dedmon,14-19, ,,1,14,19,-5,466.0
4:14.0,O. Yurtseven enters the game for K. Lowry,14-19, ,,1,14,19,-5,466.0
4:14.0, ,14-19,T. Antetokounmpo enters the game for P. Connaughton,,1,14,19,-5,466.0
4:14.0, ,14-19,D. Cousins enters the game for K. Middleton,,1,14,19,-5,466.0
4:14.0, ,14-19,J. Smart enters the game for B. Portis,,1,14,19,-5,466.0
4:06.0,Turnover by T. Herro (step out of bounds),14-19, ,,1,14,19,-5,474.0
3:50.0, ,14-19,Shooting foul by P. Tucker (drawn by J. Holiday),,1,14,19,-5,490.0
3:50.0, ,14-20,J. Holiday makes free throw 1 of 2,,1,14,20,-6,490.0
3:50.0,C. Martin enters the game for P. Tucker,14-20, ,,1,14,20,-6,490.0
3:50.0, ,14-21,J. Holiday makes free throw 2 of 2,,1,14,21,-7,490.0
3:35.0,G. Vincent misses 2-pt jump shot from 15 ft,14-21, ,,1,14,21,-7,505.0
3:35.0,Offensive rebound by Team,14-21, ,,1,14,21,-7,505.0
3:32.0,G. Vincent makes 2-pt layup from 1 ft (assist by D. Robinson),16-21, ,,1,16,21,-5,508.0
3:12.0, ,16-24,J. Holiday makes 3-pt jump shot from 29 ft,,1,16,24,-8,528.0
3:05.0,Turnover by C. Martin (step out of bounds),16-24, ,,1,16,24,-8,535.0
2:53.0, ,16-26,D. Cousins makes 2-pt layup from 2 ft (assist by J. Holiday),,1,16,26,-10,547.0
2:36.0,C. Martin makes 2-pt dunk at rim (assist by T. Herro),18-26, ,,1,18,26,-8,564.0
2:18.0, ,18-26,Turnover by J. Smart (bad pass; steal by C. Martin),,1,18,26,-8,582.0
2:15.0,C. Martin misses 2-pt layup from 1 ft,18-26, ,,1,18,26,-8,585.0
2:12.0, ,18-26,Defensive rebound by R. Hood,,1,18,26,-8,588.0
2:08.0, ,18-26,D. Cousins misses 2-pt layup from 6 ft,,1,18,26,-8,592.0
