Time,Miami,Score,Boston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. A. Horford (G. Williams gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,J. Tatum misses 3-pt jump shot from 27 ft,,1,0,0,0,16.0
11:41.0, ,0-0,Offensive rebound by A. Horford,,1,0,0,0,19.0
11:36.0, ,0-0,J. Brown misses 3-pt jump shot from 27 ft,,1,0,0,0,24.0
11:33.0,Defensive rebound by P. Tucker,0-0, ,,1,0,0,0,27.0
11:17.0,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),2-0, ,,1,2,0,2,43.0
11:05.0, ,2-3,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),Lead change,1,2,3,-1,55.0
10:56.0,M. Strus makes 3-pt jump shot from 23 ft (assist by B. Adebayo),5-3, ,Lead change,1,5,3,2,64.0
10:52.0, ,5-3,Boston full timeout,,1,5,3,2,68.0
10:26.0, ,5-3,M. Smart misses 3-pt jump shot from 24 ft,,1,5,3,2,94.0
10:24.0,Defensive rebound by P. Tucker,5-3, ,,1,5,3,2,96.0
10:20.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Tucker),8-3, ,,1,8,3,5,100.0
10:10.0, ,8-3,Offensive foul by J. Brown (drawn by M. Strus),,1,8,3,5,110.0
10:10.0, ,8-3,Turnover by J. Brown (offensive foul),,1,8,3,5,110.0
9:50.0,K. Lowry misses 2-pt jump shot from 11 ft,8-3, ,,1,8,3,5,130.0
9:48.0, ,8-3,Defensive rebound by A. Horford,,1,8,3,5,132.0
9:33.0, ,8-3,Shooting foul by B. Adebayo (drawn by J. Brown),,1,8,3,5,147.0
9:33.0, ,8-4,J. Brown makes free throw 1 of 2,,1,8,4,4,147.0
9:33.0, ,8-5,J. Brown makes free throw 2 of 2,,1,8,5,3,147.0
9:19.0,B. Adebayo misses 2-pt layup from 4 ft,8-5, ,,1,8,5,3,161.0
9:17.0, ,8-5,Defensive rebound by M. Smart,,1,8,5,3,163.0
9:01.0, ,8-5,A. Horford misses 3-pt jump shot from 26 ft,,1,8,5,3,179.0
8:59.0,Defensive rebound by B. Adebayo,8-5, ,,1,8,5,3,181.0
8:52.0,J. Butler makes 2-pt layup from 5 ft (assist by K. Lowry),10-5, ,,1,10,5,5,188.0
8:44.0, ,10-5,J. Brown misses 2-pt jump shot from 4 ft (block by P. Tucker),,1,10,5,5,196.0
8:43.0,Defensive rebound by P. Tucker,10-5, ,,1,10,5,5,197.0
8:27.0,Turnover by J. Butler (bad pass; steal by A. Horford),10-5, ,,1,10,5,5,213.0
8:25.0, ,10-5,Personal foul by M. Strus (drawn by M. Smart),,1,10,5,5,215.0
8:13.0, ,10-8,J. Brown makes 3-pt jump shot from 24 ft (assist by M. Smart),,1,10,8,2,227.0
7:46.0,J. Butler misses 3-pt jump shot from 25 ft,10-8, ,,1,10,8,2,254.0
7:43.0, ,10-8,Defensive rebound by J. Brown,,1,10,8,2,257.0
7:36.0, ,10-11,J. Brown makes 3-pt jump shot from 29 ft,Lead change,1,10,11,-1,264.0
7:12.0,M. Strus makes 3-pt jump shot from 25 ft (assist by P. Tucker),13-11, ,Lead change,1,13,11,2,288.0
6:57.0, ,13-14,M. Smart makes 3-pt jump shot from 27 ft (assist by J. Brown),Lead change,1,13,14,-1,303.0
6:38.0,M. Strus misses 3-pt jump shot from 26 ft,13-14, ,,1,13,14,-1,322.0
6:36.0, ,13-14,Defensive rebound by J. Brown,,1,13,14,-1,324.0
6:24.0, ,13-14,Turnover by J. Brown (bad pass; steal by P. Tucker),,1,13,14,-1,336.0
6:17.0,J. Butler misses 3-pt jump shot from 25 ft,13-14, ,,1,13,14,-1,343.0
6:14.0, ,13-14,Defensive rebound by J. Brown,,1,13,14,-1,346.0
6:06.0, ,13-14,G. Williams misses 3-pt jump shot from 24 ft,,1,13,14,-1,354.0
6:03.0,Defensive rebound by M. Strus,13-14, ,,1,13,14,-1,357.0
5:59.0,P. Tucker misses 2-pt hook shot from 2 ft,13-14, ,,1,13,14,-1,361.0
5:57.0,Offensive rebound by J. Butler,13-14, ,,1,13,14,-1,363.0
5:56.0,J. Butler makes 2-pt layup at rim,15-14, ,Lead change,1,15,14,1,364.0
5:28.0, ,15-14,M. Smart misses 2-pt layup from 3 ft,,1,15,14,1,392.0
5:26.0,Defensive rebound by Team,15-14, ,,1,15,14,1,394.0
5:26.0,T. Herro enters the game for J. Butler,15-14, ,,1,15,14,1,394.0
5:26.0, ,15-14,D. Theis enters the game for J. Tatum,,1,15,14,1,394.0
5:26.0, ,15-14,D. White enters the game for G. Williams,,1,15,14,1,394.0
