Time,Brooklyn,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Drummond vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,Turnover by J. Butler (lost ball; steal by A. Drummond),,1,0,0,0,22.0
11:33.0,S. Curry makes 3-pt jump shot from 25 ft (assist by B. Brown),3-0, ,,1,0,3,-3,27.0
11:23.0, ,3-0,Def 3 sec tech foul by Team,,1,0,3,-3,37.0
11:23.0, ,3-1,J. Butler makes technical free throw,,1,1,3,-2,37.0
11:16.0, ,3-4,K. Lowry makes 3-pt jump shot from 27 ft (assist by J. Butler),Lead change,1,4,3,1,44.0
10:57.0,S. Curry misses 2-pt jump shot from 14 ft,3-4, ,,1,4,3,1,63.0
10:51.0,Offensive rebound by A. Drummond,3-4, ,,1,4,3,1,69.0
10:51.0,A. Drummond misses 2-pt layup at rim,3-4, ,,1,4,3,1,69.0
10:50.0, ,3-4,Defensive rebound by D. Robinson,,1,4,3,1,70.0
10:46.0, ,3-6,B. Adebayo makes 2-pt jump shot from 10 ft (assist by J. Butler),,1,6,3,3,74.0
10:26.0,K. Durant misses 3-pt jump shot from 25 ft,3-6, ,,1,6,3,3,94.0
10:23.0,Offensive rebound by A. Drummond,3-6, ,,1,6,3,3,97.0
10:20.0,A. Drummond makes 2-pt hook shot from 6 ft,5-6, ,,1,6,5,1,100.0
9:56.0, ,5-6,B. Adebayo misses 2-pt jump shot from 17 ft,,1,6,5,1,124.0
9:55.0,Defensive rebound by B. Brown,5-6, ,,1,6,5,1,125.0
9:43.0, ,5-6,Violation by Team (kicked ball),,1,6,5,1,137.0
9:30.0,K. Durant makes 2-pt jump shot from 12 ft,7-6, ,Lead change,1,6,7,-1,150.0
9:26.0, ,7-6,Shooting foul by B. Brown (drawn by J. Butler),,1,6,7,-1,154.0
9:26.0, ,7-7,J. Butler makes free throw 1 of 2,Tie,1,7,7,0,154.0
9:26.0, ,7-8,J. Butler makes free throw 2 of 2,Lead change,1,8,7,1,154.0
9:13.0,K. Irving misses 3-pt jump shot from 27 ft,7-8, ,,1,8,7,1,167.0
9:10.0, ,7-8,Defensive rebound by B. Adebayo,,1,8,7,1,170.0
8:52.0, ,7-10,K. Lowry makes 2-pt jump shot from 11 ft (assist by B. Adebayo),,1,10,7,3,188.0
8:35.0,Turnover by K. Durant (bad pass; steal by K. Lowry),7-10, ,,1,10,7,3,205.0
8:28.0, ,7-10,D. Robinson misses 3-pt jump shot from 27 ft,,1,10,7,3,212.0
8:20.0, ,7-10,Offensive rebound by B. Adebayo,,1,10,7,3,220.0
8:18.0, ,7-12,P. Tucker makes 2-pt layup from 2 ft (assist by J. Butler),,1,12,7,5,222.0
8:08.0,K. Durant misses 2-pt layup from 3 ft,7-12, ,,1,12,7,5,232.0
8:08.0, ,7-12,Defensive rebound by J. Butler,,1,12,7,5,232.0
8:01.0, ,7-15,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,15,7,8,239.0
7:57.0,Brooklyn full timeout,7-15, ,,1,15,7,8,243.0
7:37.0,K. Durant makes 2-pt jump shot from 8 ft,9-15, ,,1,15,9,6,263.0
7:11.0, ,9-15,B. Adebayo misses 3-pt jump shot from 28 ft,,1,15,9,6,289.0
7:10.0, ,9-15,Offensive rebound by Team,,1,15,9,6,290.0
7:10.0, ,9-15,Turnover by Team (shot clock),,1,15,9,6,290.0
6:52.0,K. Durant makes 2-pt jump shot from 15 ft (assist by K. Irving),11-15, ,,1,15,11,4,308.0
6:40.0, ,11-17,J. Butler makes 2-pt jump shot from 16 ft,,1,17,11,6,320.0
6:27.0,A. Drummond makes 2-pt hook shot from 4 ft,13-17, ,,1,17,13,4,333.0
6:14.0, ,13-19,J. Butler makes 2-pt jump shot from 5 ft,,1,19,13,6,346.0
5:56.0,A. Drummond makes 2-pt layup from 4 ft (assist by K. Durant),15-19, ,,1,19,15,4,364.0
5:56.0,Shooting foul by K. Lowry (drawn by A. Drummond),15-19, ,,1,19,15,4,364.0
5:56.0, ,15-19,T. Herro enters the game for D. Robinson,,1,19,15,4,364.0
5:56.0,A. Drummond misses free throw 1 of 1,15-19, ,,1,19,15,4,364.0
5:54.0, ,15-19,Defensive rebound by K. Lowry,,1,19,15,4,366.0
5:42.0, ,15-21,K. Lowry makes 2-pt jump shot from 17 ft,,1,21,15,6,378.0
5:28.0,B. Brown misses 3-pt jump shot from 23 ft,15-21, ,,1,21,15,6,392.0
5:25.0, ,15-21,Defensive rebound by T. Herro,,1,21,15,6,395.0
5:25.0,N. Claxton enters the game for A. Drummond,15-21, ,,1,21,15,6,395.0
5:21.0, ,15-21,J. Butler misses 2-pt jump shot from 17 ft,,1,21,15,6,399.0
5:17.0, ,15-21,Offensive rebound by P. Tucker,,1,21,15,6,403.0
5:15.0, ,15-21,J. Butler misses 2-pt layup from 2 ft,,1,21,15,6,405.0
5:13.0,Defensive rebound by K. Durant,15-21, ,,1,21,15,6,407.0
5:05.0,Personal foul by K. Lowry (drawn by B. Brown),15-21, ,,1,21,15,6,415.0
5:05.0,G. Dragić enters the game for S. Curry,15-21, ,,1,21,15,6,415.0
