Time,Dallas,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Powell vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-2,J. Butler makes 2-pt jump shot from 8 ft (assist by B. Adebayo),,1,2,0,2,17.0
11:18.0,D. Powell makes 2-pt jump shot from 19 ft (assist by J. Green),2-2, ,Tie,1,2,2,0,42.0
10:56.0, ,2-4,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Robinson),,1,4,2,2,64.0
10:38.0,J. Brunson misses 2-pt layup from 6 ft,2-4, ,,1,4,2,2,82.0
10:34.0, ,2-4,Defensive rebound by K. Lowry,,1,4,2,2,86.0
10:27.0, ,2-4,Turnover by J. Butler (traveling),,1,4,2,2,93.0
10:05.0,J. Brunson makes 2-pt jump shot from 14 ft (assist by J. Green),4-4, ,Tie,1,4,4,0,115.0
9:53.0, ,4-4,Personal foul by D. Finney-Smith (drawn by B. Adebayo),,1,4,4,0,127.0
9:51.0, ,4-4,Offensive foul by P. Tucker (drawn by J. Green),,1,4,4,0,129.0
9:51.0, ,4-4,Turnover by P. Tucker (offensive foul),,1,4,4,0,129.0
9:44.0,L. Dončić makes 3-pt jump shot from 28 ft,7-4, ,Lead change,1,4,7,-3,136.0
9:31.0, ,7-6,K. Lowry makes 2-pt jump shot from 8 ft,,1,6,7,-1,149.0
9:12.0,L. Dončić misses 3-pt jump shot from 30 ft,7-6, ,,1,6,7,-1,168.0
9:10.0, ,7-6,Defensive rebound by Team,,1,6,7,-1,170.0
8:48.0, ,7-6,J. Butler misses 2-pt jump shot from 8 ft,,1,6,7,-1,192.0
8:45.0, ,7-6,Offensive rebound by B. Adebayo,,1,6,7,-1,195.0
8:44.0, ,7-8,B. Adebayo makes 2-pt dunk from 2 ft,Lead change,1,8,7,1,196.0
8:36.0,D. Finney-Smith misses 3-pt jump shot from 27 ft,7-8, ,,1,8,7,1,204.0
8:32.0, ,7-8,Defensive rebound by J. Butler,,1,8,7,1,208.0
8:12.0, ,7-8,J. Butler misses 2-pt jump shot from 14 ft,,1,8,7,1,228.0
8:06.0,Defensive rebound by J. Green,7-8, ,,1,8,7,1,234.0
7:56.0,J. Green makes 2-pt layup from 2 ft (assist by L. Dončić),9-8, ,Lead change,1,8,9,-1,244.0
7:52.0, ,9-8,J. Butler misses 2-pt layup from 1 ft (block by D. Finney-Smith),,1,8,9,-1,248.0
7:52.0, ,9-8,Offensive rebound by Team,,1,8,9,-1,248.0
7:44.0, ,9-8,P. Tucker misses 2-pt layup from 2 ft,,1,8,9,-1,256.0
7:44.0, ,9-8,Offensive rebound by Team,,1,8,9,-1,256.0
7:44.0,Loose ball foul by J. Brunson (drawn by B. Adebayo),9-8, ,,1,8,9,-1,256.0
7:35.0, ,9-8,J. Butler misses 2-pt jump shot from 8 ft,,1,8,9,-1,265.0
7:31.0,Defensive rebound by D. Powell,9-8, ,,1,8,9,-1,269.0
7:13.0,J. Green makes 3-pt jump shot from 27 ft (assist by J. Brunson),12-8, ,,1,8,12,-4,287.0
7:00.0, ,12-8,B. Adebayo misses 2-pt jump shot from 11 ft,,1,8,12,-4,300.0
6:55.0,Defensive rebound by L. Dončić,12-8, ,,1,8,12,-4,305.0
6:48.0,L. Dončić misses 2-pt jump shot from 8 ft (block by B. Adebayo),12-8, ,,1,8,12,-4,312.0
6:48.0, ,12-8,Defensive rebound by B. Adebayo,,1,8,12,-4,312.0
6:48.0, ,12-8,Personal foul by L. Dončić (drawn by B. Adebayo),,1,8,12,-4,312.0
6:48.0, ,12-8,Miami full timeout,,1,8,12,-4,312.0
6:48.0,S. Dinwiddie enters the game for J. Green,12-8, ,,1,8,12,-4,312.0
6:38.0, ,12-8,Personal foul by S. Dinwiddie (drawn by K. Lowry),,1,8,12,-4,322.0
6:32.0, ,12-8,Offensive foul by P. Tucker (drawn by S. Dinwiddie),,1,8,12,-4,328.0
6:32.0, ,12-8,Turnover by P. Tucker (offensive foul),,1,8,12,-4,328.0
6:32.0, ,12-8,H. Highsmith enters the game for P. Tucker,,1,8,12,-4,328.0
6:20.0,J. Brunson makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),15-8, ,,1,8,15,-7,340.0
6:07.0, ,15-10,K. Lowry makes 2-pt jump shot from 18 ft,,1,10,15,-5,353.0
5:47.0,S. Dinwiddie misses 2-pt layup from 5 ft (block by B. Adebayo),15-10, ,,1,10,15,-5,373.0
5:44.0, ,15-10,Defensive rebound by B. Adebayo,,1,10,15,-5,376.0
5:43.0, ,15-13,D. Robinson makes 3-pt jump shot from 27 ft (assist by K. Lowry),,1,13,15,-2,377.0
5:20.0,D. Powell misses 2-pt jump shot from 13 ft,15-13, ,,1,13,15,-2,400.0
5:17.0, ,15-13,Defensive rebound by B. Adebayo,,1,13,15,-2,403.0
5:03.0, ,15-15,B. Adebayo makes 2-pt hook shot from 7 ft (assist by J. Butler),Tie,1,15,15,0,417.0
4:52.0,L. Dončić misses 2-pt jump shot from 9 ft,15-15, ,,1,15,15,0,428.0
4:49.0, ,15-15,Defensive rebound by H. Highsmith,,1,15,15,0,431.0
4:42.0, ,15-15,H. Highsmith misses 3-pt jump shot from 23 ft,,1,15,15,0,438.0
4:42.0,Defensive rebound by D. Finney-Smith,15-15, ,,1,15,15,0,438.0
4:26.0,Shooting foul by B. Adebayo (drawn by D. Powell),15-15, ,,1,15,15,0,454.0
4:26.0,D. Powell misses free throw 1 of 2,15-15, ,,1,15,15,0,454.0
4:26.0,Offensive rebound by Team,15-15, ,,1,15,15,0,454.0
4:26.0, ,15-15,G. Vincent enters the game for B. Adebayo,,1,15,15,0,454.0
4:26.0, ,15-15,O. Yurtseven enters the game for K. Lowry,,1,15,15,0,454.0
4:26.0,D. Powell makes free throw 2 of 2,16-15, ,,1,15,16,-1,454.0
4:13.0, ,16-18,H. Highsmith makes 3-pt jump shot from 23 ft (assist by G. Vincent),Lead change,1,18,16,2,467.0
3:48.0,J. Brunson misses 2-pt jump shot from 8 ft,16-18, ,,1,18,16,2,492.0
3:43.0, ,16-18,Defensive rebound by O. Yurtseven,,1,18,16,2,497.0
3:43.0,M. Kleber enters the game for D. Powell,16-18, ,,1,18,16,2,497.0
3:29.0, ,16-20,O. Yurtseven makes 2-pt dunk from 2 ft (assist by G. Vincent),,1,20,16,4,511.0
3:18.0,L. Dončić misses 2-pt jump shot from 14 ft,16-20, ,,1,20,16,4,522.0
3:14.0, ,16-20,Defensive rebound by J. Butler,,1,20,16,4,526.0
3:08.0, ,16-20,D. Robinson misses 3-pt jump shot from 30 ft,,1,20,16,4,532.0
3:04.0,Defensive rebound by M. Kleber,16-20, ,,1,20,16,4,536.0
2:48.0,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),19-20, ,,1,20,19,1,552.0
2:25.0, ,19-20,Turnover by G. Vincent (bad pass; steal by S. Dinwiddie),,1,20,19,1,575.0
2:16.0,M. Kleber misses 3-pt jump shot from 27 ft,19-20, ,,1,20,19,1,584.0
2:13.0, ,19-20,Defensive rebound by G. Vincent,,1,20,19,1,587.0
2:06.0, ,19-20,Personal foul by S. Dinwiddie (drawn by J. Butler),,1,20,19,1,594.0
2:06.0,Dallas full timeout,19-20, ,,1,20,19,1,594.0
2:06.0,D. Bertāns enters the game for J. Brunson,19-20, ,,1,20,19,1,594.0
2:06.0,J. Green enters the game for S. Dinwiddie,19-20, ,,1,20,19,1,594.0
2:06.0, ,19-20,M. Strus enters the game for D. Robinson,,1,20,19,1,594.0
2:06.0, ,19-21,J. Butler makes free throw 1 of 2,,1,21,19,2,594.0
2:06.0, ,19-22,J. Butler makes free throw 2 of 2,,1,22,19,3,594.0
1:53.0,Shooting foul by O. Yurtseven (drawn by L. Dončić),19-22, ,,1,22,19,3,607.0
1:53.0,L. Dončić misses free throw 1 of 2,19-22, ,,1,22,19,3,607.0
1:53.0,Offensive rebound by Team,19-22, ,,1,22,19,3,607.0
1:53.0,L. Dončić makes free throw 2 of 2,20-22, ,,1,22,20,2,607.0
1:34.0, ,20-24,O. Yurtseven makes 2-pt dunk from 1 ft (assist by G. Vincent),,1,24,20,4,626.0
1:20.0,Turnover by L. Dončić (bad pass),20-24, ,,1,24,20,4,640.0
1:03.0, ,20-26,O. Yurtseven makes 2-pt jump shot from 5 ft (assist by J. Butler),,1,26,20,6,657.0
0:56.0, ,20-26,Violation by Team (kicked ball),,1,26,20,6,664.0
0:56.0,F. Ntilikina enters the game for D. Finney-Smith,20-26, ,,1,26,20,6,664.0
0:56.0, ,20-26,K. Lowry enters the game for J. Butler,,1,26,20,6,664.0
0:47.0,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by D. Bertāns),23-26, ,,1,26,23,3,673.0
0:33.0, ,23-26,G. Vincent misses 2-pt jump shot from 13 ft,,1,26,23,3,687.0
0:25.0,Defensive rebound by L. Dončić,23-26, ,,1,26,23,3,695.0
0:09.0,D. Bertāns misses 3-pt jump shot from 27 ft,23-26, ,,1,26,23,3,711.0
0:05.0, ,23-26,Defensive rebound by K. Lowry,,1,26,23,3,715.0
0:00.0, ,23-28,O. Yurtseven makes 2-pt jump shot from 8 ft (assist by K. Lowry),,1,28,23,5,720.0
0:00.0, ,23-28,Instant Replay (Request: Ruling Stands),,1,28,23,5,720.0
0:00.0,End of 1st quarter,23-28,,,1,28,23,5,720.0
12:00.0,Start of 2nd quarter,23-28,,,2,28,23,5,720.0
11:52.0,D. Bertāns misses 3-pt jump shot from 23 ft,23-28, ,,2,28,23,5,728.0
11:47.0,Offensive rebound by D. Bertāns,23-28, ,,2,28,23,5,733.0
11:45.0,F. Ntilikina misses 3-pt jump shot from 23 ft,23-28, ,,2,28,23,5,735.0
11:42.0, ,23-28,Defensive rebound by O. Yurtseven,,2,28,23,5,738.0
11:24.0, ,23-28,G. Vincent misses 3-pt jump shot from 26 ft,,2,28,23,5,756.0
11:19.0, ,23-28,Offensive rebound by O. Yurtseven,,2,28,23,5,761.0
11:19.0, ,23-28,H. Highsmith misses 3-pt jump shot from 26 ft,,2,28,23,5,761.0
11:19.0,Defensive rebound by D. Bertāns,23-28, ,,2,28,23,5,761.0
11:07.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by S. Brown),26-28, ,,2,28,26,2,773.0
10:54.0, ,26-28,G. Vincent misses 3-pt jump shot from 27 ft,,2,28,26,2,786.0
10:52.0, ,26-28,Offensive rebound by Team,,2,28,26,2,788.0
10:47.0, ,26-31,H. Highsmith makes 3-pt jump shot from 23 ft (assist by K. Lowry),,2,31,26,5,793.0
10:33.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by F. Ntilikina),29-31, ,,2,31,29,2,807.0
10:11.0, ,29-31,O. Yurtseven misses 2-pt hook shot from 6 ft (block by M. Kleber),,2,31,29,2,829.0
10:07.0,Defensive rebound by J. Brunson,29-31, ,,2,31,29,2,833.0
