Time,Utah,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: R. Gobert vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-2,B. Adebayo makes 2-pt jump shot from 18 ft (assist by D. Robinson),,1,2,0,2,19.0
11:19.0,D. Mitchell makes 2-pt layup from 3 ft (assist by M. Conley),2-2, ,Tie,1,2,2,0,41.0
11:07.0, ,2-2,Turnover by B. Adebayo (bad pass; steal by R. O'Neale),,1,2,2,0,53.0
11:01.0,D. Mitchell makes 3-pt jump shot from 29 ft,5-2, ,Lead change,1,2,5,-3,59.0
10:38.0, ,5-2,B. Adebayo misses 2-pt jump shot from 14 ft,,1,2,5,-3,82.0
10:34.0,Defensive rebound by R. O'Neale,5-2, ,,1,2,5,-3,86.0
10:22.0,Personal foul by D. Robinson (drawn by R. Gobert),5-2, ,,1,2,5,-3,98.0
10:07.0,R. O'Neale makes 2-pt jump shot from 9 ft,7-2, ,,1,2,7,-5,113.0
9:58.0, ,7-5,K. Lowry makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,1,5,7,-2,122.0
9:40.0,B. Bogdanović misses 3-pt jump shot from 23 ft,7-5, ,,1,5,7,-2,140.0
9:36.0, ,7-5,Defensive rebound by J. Butler,,1,5,7,-2,144.0
9:25.0, ,7-7,K. Lowry makes 2-pt jump shot from 17 ft,Tie,1,7,7,0,155.0
8:58.0,D. Mitchell misses 3-pt jump shot from 27 ft,7-7, ,,1,7,7,0,182.0
8:56.0, ,7-7,Defensive rebound by P. Tucker,,1,7,7,0,184.0
8:40.0, ,7-9,J. Butler makes 2-pt layup from 4 ft (assist by P. Tucker),Lead change,1,9,7,2,200.0
8:30.0,Shooting foul by D. Robinson (drawn by R. O'Neale),7-9, ,,1,9,7,2,210.0
8:30.0,R. O'Neale makes free throw 1 of 2,8-9, ,,1,9,8,1,210.0
8:30.0,R. O'Neale makes free throw 2 of 2,9-9, ,Tie,1,9,9,0,210.0
8:17.0, ,9-9,B. Adebayo misses 2-pt jump shot from 17 ft,,1,9,9,0,223.0
8:14.0,Defensive rebound by R. Gobert,9-9, ,,1,9,9,0,226.0
8:09.0,B. Bogdanović misses 2-pt layup from 11 ft,9-9, ,,1,9,9,0,231.0
8:09.0, ,9-9,Defensive rebound by D. Robinson,,1,9,9,0,231.0
7:51.0, ,9-12,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,12,9,3,249.0
7:23.0,M. Conley misses 3-pt jump shot from 27 ft,9-12, ,,1,12,9,3,277.0
7:18.0, ,9-12,Defensive rebound by B. Adebayo,,1,12,9,3,282.0
7:13.0, ,9-12,K. Lowry misses 3-pt jump shot from 26 ft,,1,12,9,3,287.0
7:07.0,Defensive rebound by R. Gobert,9-12, ,,1,12,9,3,293.0
6:57.0,B. Bogdanović misses 2-pt jump shot from 14 ft,9-12, ,,1,12,9,3,303.0
6:57.0,Offensive rebound by R. Gobert,9-12, ,,1,12,9,3,303.0
6:55.0, ,9-12,Miami full timeout,,1,12,9,3,305.0
6:55.0,J. Ingles enters the game for M. Conley,9-12, ,,1,12,9,3,305.0
