Time,Miami,Score,Oklahoma City,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Dedmon vs. J. Robinson-Earl (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:39.0,K. Lowry misses 2-pt jump shot from 18 ft,0-0, ,,1,0,0,0,21.0
11:37.0, ,0-0,Defensive rebound by J. Giddey,,1,0,0,0,23.0
11:27.0, ,0-0,J. Robinson-Earl misses 2-pt jump shot from 11 ft,,1,0,0,0,33.0
11:23.0,Defensive rebound by P. Tucker,0-0, ,,1,0,0,0,37.0
11:12.0,P. Tucker misses 2-pt hook shot from 9 ft,0-0, ,,1,0,0,0,48.0
11:10.0, ,0-0,Defensive rebound by J. Robinson-Earl,,1,0,0,0,50.0
10:55.0, ,0-0,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,,1,0,0,0,65.0
10:53.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,67.0
10:34.0,D. Robinson misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,86.0
10:31.0, ,0-0,Defensive rebound by J. Giddey,,1,0,0,0,89.0
10:29.0, ,0-2,L. Dort makes 2-pt dunk from 1 ft,,1,0,2,-2,91.0
10:13.0,T. Herro makes 3-pt jump shot from 26 ft,3-2, ,Lead change,1,3,2,1,107.0
9:59.0, ,3-2,L. Dort misses 3-pt jump shot from 26 ft,,1,3,2,1,121.0
9:54.0,Defensive rebound by P. Tucker,3-2, ,,1,3,2,1,126.0
9:36.0,D. Dedmon misses 2-pt layup from 3 ft,3-2, ,,1,3,2,1,144.0
9:33.0, ,3-2,Defensive rebound by J. Giddey,,1,3,2,1,147.0
9:25.0, ,3-5,L. Dort makes 3-pt jump shot from 23 ft (assist by J. Robinson-Earl),Lead change,1,3,5,-2,155.0
9:12.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Lowry),6-5, ,Lead change,1,6,5,1,168.0
9:05.0, ,6-5,D. Bazley misses 2-pt layup from 5 ft (block by D. Dedmon),,1,6,5,1,175.0
9:03.0, ,6-5,Offensive rebound by D. Bazley,,1,6,5,1,177.0
9:03.0, ,6-5,D. Bazley misses 2-pt layup from 2 ft,,1,6,5,1,177.0
9:02.0, ,6-5,Offensive rebound by Team,,1,6,5,1,178.0
8:57.0, ,6-5,S. Gilgeous-Alexander misses 2-pt jump shot from 5 ft,,1,6,5,1,183.0
8:54.0,Defensive rebound by D. Dedmon,6-5, ,,1,6,5,1,186.0
8:48.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by K. Lowry),9-5, ,,1,9,5,4,192.0
8:37.0, ,9-5,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Dedmon),,1,9,5,4,203.0
8:29.0,P. Tucker misses 3-pt jump shot from 23 ft,9-5, ,,1,9,5,4,211.0
8:26.0, ,9-5,Defensive rebound by L. Dort,,1,9,5,4,214.0
8:15.0, ,9-5,J. Robinson-Earl misses 3-pt jump shot from 23 ft,,1,9,5,4,225.0
8:11.0,Defensive rebound by P. Tucker,9-5, ,,1,9,5,4,229.0
7:56.0,T. Herro misses 2-pt jump shot from 7 ft,9-5, ,,1,9,5,4,244.0
7:54.0, ,9-5,Defensive rebound by D. Bazley,,1,9,5,4,246.0
7:45.0, ,9-5,L. Dort misses 3-pt jump shot from 25 ft,,1,9,5,4,255.0
7:43.0,Defensive rebound by D. Dedmon,9-5, ,,1,9,5,4,257.0
7:23.0,T. Herro misses 2-pt layup from 6 ft,9-5, ,,1,9,5,4,277.0
7:21.0, ,9-5,Defensive rebound by J. Giddey,,1,9,5,4,279.0
7:15.0, ,9-5,J. Giddey misses 2-pt layup from 5 ft,,1,9,5,4,285.0
7:13.0,Defensive rebound by T. Herro,9-5, ,,1,9,5,4,287.0
7:05.0,D. Robinson misses 3-pt jump shot from 23 ft (block by D. Bazley),9-5, ,,1,9,5,4,295.0
7:00.0, ,9-5,Defensive rebound by J. Giddey,,1,9,5,4,300.0
6:56.0, ,9-8,L. Dort makes 3-pt jump shot from 25 ft (assist by J. Giddey),,1,9,8,1,304.0
6:48.0,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Lowry),12-8, ,,1,12,8,4,312.0
6:45.0, ,12-8,Oklahoma City full timeout,,1,12,8,4,315.0
6:45.0,O. Yurtseven enters the game for D. Dedmon,12-8, ,,1,12,8,4,315.0
6:23.0, ,12-8,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,,1,12,8,4,337.0
6:19.0,Defensive rebound by K. Lowry,12-8, ,,1,12,8,4,341.0
6:10.0,K. Lowry makes 2-pt jump shot from 4 ft,14-8, ,,1,14,8,6,350.0
5:49.0, ,14-8,D. Bazley misses 2-pt layup from 2 ft (block by O. Yurtseven),,1,14,8,6,371.0
5:46.0,Defensive rebound by T. Herro,14-8, ,,1,14,8,6,374.0
5:43.0,Turnover by T. Herro (bad pass),14-8, ,,1,14,8,6,377.0
5:30.0, ,14-10,J. Giddey makes 2-pt jump shot from 6 ft,,1,14,10,4,390.0
5:15.0,Turnover by K. Lowry (bad pass),14-10, ,,1,14,10,4,405.0
5:15.0,M. Strus enters the game for T. Herro,14-10, ,,1,14,10,4,405.0
5:15.0, ,14-10,A. Wiggins enters the game for D. Bazley,,1,14,10,4,405.0
5:04.0, ,14-13,J. Robinson-Earl makes 3-pt jump shot from 25 ft (assist by J. Giddey),,1,14,13,1,416.0
4:52.0,O. Yurtseven misses 2-pt jump shot from 16 ft,14-13, ,,1,14,13,1,428.0
4:49.0, ,14-13,Defensive rebound by J. Giddey,,1,14,13,1,431.0
4:44.0, ,14-15,L. Dort makes 2-pt layup from 2 ft (assist by J. Robinson-Earl),Lead change,1,14,15,-1,436.0
4:39.0,D. Robinson misses 3-pt jump shot from 26 ft,14-15, ,,1,14,15,-1,441.0
4:36.0, ,14-15,Defensive rebound by A. Wiggins,,1,14,15,-1,444.0
4:30.0, ,14-17,S. Gilgeous-Alexander makes 2-pt layup from 5 ft,,1,14,17,-3,450.0
4:12.0,Offensive foul by K. Lowry (drawn by J. Robinson-Earl),14-17, ,,1,14,17,-3,468.0
4:12.0,Turnover by K. Lowry (offensive foul),14-17, ,,1,14,17,-3,468.0
3:48.0, ,14-17,Shooting foul by D. Robinson (drawn by S. Gilgeous-Alexander),,1,14,17,-3,492.0
3:48.0, ,14-17,S. Gilgeous-Alexander misses free throw 1 of 2,,1,14,17,-3,492.0
3:48.0, ,14-17,Offensive rebound by Team,,1,14,17,-3,492.0
3:48.0, ,14-17,A. Pokusevski enters the game for J. Giddey,,1,14,17,-3,492.0
3:48.0, ,14-18,S. Gilgeous-Alexander makes free throw 2 of 2,,1,14,18,-4,492.0
3:40.0,M. Strus misses 3-pt jump shot from 26 ft,14-18, ,,1,14,18,-4,500.0
3:36.0, ,14-18,Defensive rebound by J. Robinson-Earl,,1,14,18,-4,504.0
3:30.0, ,14-21,A. Wiggins makes 3-pt jump shot from 24 ft (assist by L. Dort),,1,14,21,-7,510.0
3:29.0,Miami full timeout,14-21, ,,1,14,21,-7,511.0
3:29.0,C. Martin enters the game for P. Tucker,14-21, ,,1,14,21,-7,511.0
3:12.0,Offensive foul by O. Yurtseven (drawn by J. Robinson-Earl),14-21, ,,1,14,21,-7,528.0
3:12.0,Turnover by O. Yurtseven (offensive foul),14-21, ,,1,14,21,-7,528.0
3:12.0,D. Dedmon enters the game for O. Yurtseven,14-21, ,,1,14,21,-7,528.0
2:54.0, ,14-21,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,,1,14,21,-7,546.0
2:50.0,Defensive rebound by C. Martin,14-21, ,,1,14,21,-7,550.0
2:41.0,Offensive foul by C. Martin (drawn by L. Dort),14-21, ,,1,14,21,-7,559.0
2:41.0,Turnover by C. Martin (offensive foul),14-21, ,,1,14,21,-7,559.0
2:41.0,T. Herro enters the game for K. Lowry,14-21, ,,1,14,21,-7,559.0
2:41.0,G. Vincent enters the game for D. Robinson,14-21, ,,1,14,21,-7,559.0
2:41.0, ,14-21,T. Jerome enters the game for S. Gilgeous-Alexander,,1,14,21,-7,559.0
2:41.0, ,14-21,I. Roby enters the game for J. Robinson-Earl,,1,14,21,-7,559.0
2:31.0, ,14-21,L. Dort misses 2-pt layup from 3 ft (block by D. Dedmon),,1,14,21,-7,569.0
2:28.0, ,14-21,Offensive rebound by L. Dort,,1,14,21,-7,572.0
2:27.0, ,14-21,T. Jerome misses 3-pt jump shot from 25 ft,,1,14,21,-7,573.0
2:23.0,Defensive rebound by D. Dedmon,14-21, ,,1,14,21,-7,577.0
2:14.0,Turnover by T. Herro (step out of bounds),14-21, ,,1,14,21,-7,586.0
2:10.0, ,14-21,Turnover by A. Wiggins (out of bounds lost ball),,1,14,21,-7,590.0
1:55.0,Shooting foul by A. Wiggins (drawn by C. Martin),14-21, ,,1,14,21,-7,605.0
1:55.0,C. Martin misses free throw 1 of 2,14-21, ,,1,14,21,-7,605.0
1:55.0,Offensive rebound by Team,14-21, ,,1,14,21,-7,605.0
1:55.0, ,14-21,K. Williams enters the game for L. Dort,,1,14,21,-7,605.0
1:55.0,C. Martin makes free throw 2 of 2,15-21, ,,1,15,21,-6,605.0
1:32.0, ,15-21,I. Roby misses 2-pt jump shot from 8 ft,,1,15,21,-6,628.0
1:26.0,Defensive rebound by D. Dedmon,15-21, ,,1,15,21,-6,634.0
1:17.0,T. Herro makes 3-pt jump shot from 26 ft,18-21, ,,1,18,21,-3,643.0
0:59.0, ,18-24,A. Wiggins makes 3-pt jump shot from 23 ft (assist by A. Pokusevski),,1,18,24,-6,661.0
0:45.0,Shooting foul by A. Pokusevski (drawn by C. Martin),18-24, ,,1,18,24,-6,675.0
0:45.0,C. Martin makes free throw 1 of 2,19-24, ,,1,19,24,-5,675.0
0:45.0, ,19-24,M. Muscala enters the game for I. Roby,,1,19,24,-5,675.0
0:45.0,C. Martin makes free throw 2 of 2,20-24, ,,1,20,24,-4,675.0
0:40.0, ,20-24,Turnover by A. Pokusevski (bad pass; steal by C. Martin),,1,20,24,-4,680.0
0:35.0,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),23-24, ,,1,23,24,-1,685.0
0:25.0, ,23-24,M. Muscala misses 3-pt jump shot from 23 ft,,1,23,24,-1,695.0
0:22.0, ,23-24,Offensive rebound by A. Pokusevski,,1,23,24,-1,698.0
0:14.0, ,23-24,T. Jerome misses 3-pt jump shot from 26 ft,,1,23,24,-1,706.0
0:10.0,Defensive rebound by C. Martin,23-24, ,,1,23,24,-1,710.0
0:00.0,End of 1st quarter,23-24,,,1,23,24,-1,720.0
12:00.0,Start of 2nd quarter,23-24,,,2,23,24,-1,720.0
11:44.0, ,23-24,T. Mann misses 2-pt jump shot from 8 ft,,2,23,24,-1,736.0
11:42.0,Defensive rebound by M. Strus,23-24, ,,2,23,24,-1,738.0
11:31.0,Turnover by T. Herro (bad pass; steal by K. Williams),23-24, ,,2,23,24,-1,749.0
11:27.0, ,23-24,Turnover by A. Wiggins (bad pass),,2,23,24,-1,753.0
11:08.0,G. Vincent misses 3-pt jump shot from 24 ft,23-24, ,,2,23,24,-1,772.0
11:06.0, ,23-24,Defensive rebound by K. Williams,,2,23,24,-1,774.0
10:59.0, ,23-24,A. Wiggins misses 3-pt jump shot from 26 ft,,2,23,24,-1,781.0
10:56.0, ,23-24,Offensive rebound by M. Muscala,,2,23,24,-1,784.0
10:55.0, ,23-24,Shooting foul by C. Martin (drawn by K. Williams),,2,23,24,-1,785.0
10:55.0, ,23-24,K. Williams misses free throw 1 of 2,,2,23,24,-1,785.0
