Time,Miami,Score,Orlando,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. M. Bamba (R. Hampton gains possession),0-0,,,1,0,0,0,0.0
11:36.0, ,0-0,M. Fultz misses 2-pt jump shot from 15 ft,,1,0,0,0,24.0
11:33.0,Defensive rebound by D. Robinson,0-0, ,,1,0,0,0,27.0
11:19.0,V. Oladipo makes 2-pt jump shot from 14 ft,2-0, ,,1,2,0,2,41.0
11:09.0, ,2-0,Turnover by M. Fultz (lost ball; steal by D. Robinson),,1,2,0,2,51.0
10:58.0,V. Oladipo makes 2-pt layup from 1 ft,4-0, ,,1,4,0,4,62.0
10:48.0, ,4-3,R. Hampton makes 3-pt jump shot from 26 ft (assist by M. Fultz),,1,4,3,1,72.0
10:36.0,D. Robinson misses 3-pt jump shot from 28 ft,4-3, ,,1,4,3,1,84.0
10:36.0, ,4-3,Defensive rebound by M. Fultz,,1,4,3,1,84.0
10:21.0, ,4-5,M. Wagner makes 2-pt layup from 1 ft (assist by M. Fultz),Lead change,1,4,5,-1,99.0
10:12.0,M. Mulder misses 3-pt jump shot from 27 ft,4-5, ,,1,4,5,-1,108.0
10:08.0, ,4-5,Defensive rebound by M. Wagner,,1,4,5,-1,112.0
9:56.0, ,4-8,M. Bamba makes 3-pt jump shot from 22 ft (assist by M. Fultz),,1,4,8,-4,124.0
9:43.0,M. Mulder misses 2-pt layup from 3 ft (block by M. Bamba),4-8, ,,1,4,8,-4,137.0
9:40.0, ,4-8,Defensive rebound by C. Okeke,,1,4,8,-4,140.0
9:31.0, ,4-8,M. Wagner misses 3-pt jump shot from 23 ft,,1,4,8,-4,149.0
9:25.0,Defensive rebound by D. Robinson,4-8, ,,1,4,8,-4,155.0
9:22.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Robinson),7-8, ,,1,7,8,-1,158.0
9:04.0, ,7-8,M. Fultz misses 2-pt jump shot from 18 ft,,1,7,8,-1,176.0
9:01.0,Defensive rebound by O. Yurtseven,7-8, ,,1,7,8,-1,179.0
8:57.0,H. Highsmith makes 2-pt jump shot from 19 ft (assist by D. Robinson),9-8, ,Lead change,1,9,8,1,183.0
8:40.0, ,9-8,Offensive foul by M. Wagner (drawn by V. Oladipo),,1,9,8,1,200.0
8:40.0, ,9-8,Turnover by M. Wagner (offensive foul),,1,9,8,1,200.0
8:29.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by V. Oladipo),12-8, ,,1,12,8,4,211.0
8:11.0, ,12-8,M. Fultz misses 3-pt jump shot from 25 ft,,1,12,8,4,229.0
8:07.0,Defensive rebound by V. Oladipo,12-8, ,,1,12,8,4,233.0
8:03.0,M. Mulder misses 3-pt jump shot from 23 ft,12-8, ,,1,12,8,4,237.0
7:58.0, ,12-8,Defensive rebound by M. Wagner,,1,12,8,4,242.0
7:49.0, ,12-10,M. Wagner makes 2-pt dunk from 1 ft (assist by R. Hampton),,1,12,10,2,251.0
7:37.0,H. Highsmith misses 3-pt jump shot from 25 ft,12-10, ,,1,12,10,2,263.0
7:32.0, ,12-10,Defensive rebound by M. Bamba,,1,12,10,2,268.0
7:22.0, ,12-10,Turnover by M. Fultz (bad pass; steal by V. Oladipo),,1,12,10,2,278.0
7:17.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by V. Oladipo),15-10, ,,1,15,10,5,283.0
6:58.0, ,15-13,M. Wagner makes 3-pt jump shot from 24 ft (assist by M. Fultz),,1,15,13,2,302.0
6:46.0,H. Highsmith misses 3-pt jump shot from 25 ft,15-13, ,,1,15,13,2,314.0
6:42.0, ,15-13,Defensive rebound by R. Hampton,,1,15,13,2,318.0
6:35.0, ,15-13,M. Bamba misses 3-pt jump shot from 26 ft,,1,15,13,2,325.0
6:32.0,Defensive rebound by D. Robinson,15-13, ,,1,15,13,2,328.0
6:25.0,V. Oladipo makes 2-pt layup from 2 ft,17-13, ,,1,17,13,4,335.0
6:00.0, ,17-13,M. Fultz misses 2-pt jump shot from 16 ft,,1,17,13,4,360.0
5:57.0, ,17-13,Offensive rebound by M. Bamba,,1,17,13,4,363.0
5:51.0, ,17-15,R. Hampton makes 2-pt layup from 5 ft,,1,17,15,2,369.0
5:40.0,O. Yurtseven misses 3-pt jump shot from 29 ft,17-15, ,,1,17,15,2,380.0
5:38.0, ,17-15,Defensive rebound by Team,,1,17,15,2,382.0
5:38.0, ,17-15,Orlando full timeout,,1,17,15,2,382.0
5:38.0, ,17-15,D. Cannady enters the game for R. Hampton,,1,17,15,2,382.0
5:26.0, ,17-15,Personal foul by V. Oladipo (drawn by M. Fultz),,1,17,15,2,394.0
5:13.0, ,17-17,M. Fultz makes 2-pt jump shot from 13 ft,Tie,1,17,17,0,407.0
5:02.0,O. Yurtseven misses 2-pt jump shot from 4 ft,17-17, ,,1,17,17,0,418.0
