Time,New Orleans,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Valančiūnas vs. D. Dedmon (D. Robinson gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Offensive foul by P. Tucker (drawn by N. Alexander-Walker),,1,0,0,0,15.0
11:45.0, ,0-0,Turnover by P. Tucker (offensive foul),,1,0,0,0,15.0
11:21.0,D. Graham makes 3-pt jump shot from 24 ft (assist by J. Hart),3-0, ,,1,0,3,-3,39.0
11:03.0, ,3-3,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Butler),Tie,1,3,3,0,57.0
10:55.0,Personal foul by P. Tucker (drawn by B. Ingram),3-3, ,,1,3,3,0,65.0
10:55.0, ,3-3,K. Okpala enters the game for P. Tucker,,1,3,3,0,65.0
10:52.0,J. Hart makes 3-pt jump shot from 24 ft (assist by N. Alexander-Walker),6-3, ,,1,3,6,-3,68.0
10:29.0, ,6-5,D. Dedmon makes 2-pt hook shot from 2 ft (assist by J. Butler),,1,5,6,-1,91.0
10:18.0,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by J. Hart),9-5, ,,1,5,9,-4,102.0
10:08.0, ,9-5,K. Okpala misses 3-pt jump shot from 25 ft,,1,5,9,-4,112.0
10:04.0,Defensive rebound by D. Graham,9-5, ,,1,5,9,-4,116.0
9:51.0,Shooting foul by D. Dedmon (drawn by J. Valančiūnas),9-5, ,,1,5,9,-4,129.0
9:51.0,J. Valančiūnas makes free throw 1 of 2,10-5, ,,1,5,10,-5,129.0
9:51.0,J. Valančiūnas makes free throw 2 of 2,11-5, ,,1,5,11,-6,129.0
9:38.0, ,11-5,Shooting foul by J. Hart (drawn by J. Butler),,1,5,11,-6,142.0
9:38.0, ,11-5,J. Butler misses free throw 1 of 2,,1,5,11,-6,142.0
9:38.0, ,11-5,Offensive rebound by Team,,1,5,11,-6,142.0
9:38.0, ,11-6,J. Butler makes free throw 2 of 2,,1,6,11,-5,142.0
9:24.0,B. Ingram misses 3-pt jump shot from 26 ft,11-6, ,,1,6,11,-5,156.0
9:20.0,Offensive rebound by J. Hart,11-6, ,,1,6,11,-5,160.0
9:09.0,N. Alexander-Walker makes 3-pt jump shot from 26 ft (assist by B. Ingram),14-6, ,,1,6,14,-8,171.0
8:54.0, ,14-6,J. Butler misses 2-pt layup from 2 ft,,1,6,14,-8,186.0
8:51.0,Defensive rebound by J. Valančiūnas,14-6, ,,1,6,14,-8,189.0
8:31.0,J. Hart misses 3-pt jump shot from 23 ft,14-6, ,,1,6,14,-8,209.0
8:30.0,Offensive rebound by Team,14-6, ,,1,6,14,-8,210.0
8:30.0,Turnover by Team (shot clock),14-6, ,,1,6,14,-8,210.0
8:20.0, ,14-6,T. Herro misses 3-pt jump shot from 26 ft,,1,6,14,-8,220.0
8:16.0, ,14-6,Offensive rebound by D. Dedmon,,1,6,14,-8,224.0
8:13.0, ,14-6,T. Herro misses 3-pt jump shot from 25 ft,,1,6,14,-8,227.0
8:13.0,Defensive rebound by J. Valančiūnas,14-6, ,,1,6,14,-8,227.0
7:58.0,N. Alexander-Walker makes 3-pt jump shot from 22 ft (assist by J. Hart),17-6, ,,1,6,17,-11,242.0
