Time,Indiana,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. D. Dedmon (D. Sabonis gains possession),0-0,,,1,0,0,0,0.0
11:38.0,M. Turner makes 2-pt layup from 2 ft,2-0, ,,1,0,2,-2,22.0
11:20.0, ,2-0,G. Vincent misses 3-pt jump shot from 28 ft,,1,0,2,-2,40.0
11:16.0,Defensive rebound by M. Turner,2-0, ,,1,0,2,-2,44.0
11:07.0,D. Sabonis makes 2-pt jump shot from 5 ft (assist by J. Holiday),4-0, ,,1,0,4,-4,53.0
10:46.0, ,4-0,D. Robinson misses 3-pt jump shot from 27 ft,,1,0,4,-4,74.0
10:41.0, ,4-0,Offensive rebound by G. Vincent,,1,0,4,-4,79.0
10:40.0, ,4-0,Turnover by K. Lowry (step out of bounds),,1,0,4,-4,80.0
10:28.0,C. LeVert misses 2-pt jump shot from 9 ft,4-0, ,,1,0,4,-4,92.0
10:28.0,Offensive rebound by Team,4-0, ,,1,0,4,-4,92.0
10:23.0,J. Holiday misses 3-pt jump shot from 27 ft,4-0, ,,1,0,4,-4,97.0
10:21.0,Offensive rebound by M. Brogdon,4-0, ,,1,0,4,-4,99.0
10:14.0,D. Sabonis misses 2-pt hook shot from 7 ft,4-0, ,,1,0,4,-4,106.0
10:10.0, ,4-0,Defensive rebound by D. Dedmon,,1,0,4,-4,110.0
9:58.0, ,4-3,G. Vincent makes 3-pt jump shot from 24 ft (assist by K. Lowry),,1,3,4,-1,122.0
9:45.0,J. Holiday misses 3-pt jump shot from 26 ft,4-3, ,,1,3,4,-1,135.0
9:42.0, ,4-3,Defensive rebound by D. Dedmon,,1,3,4,-1,138.0
9:35.0, ,4-6,M. Strus makes 3-pt jump shot from 29 ft (assist by K. Lowry),Lead change,1,6,4,2,145.0
9:22.0,Personal foul by M. Strus (drawn by M. Brogdon),4-6, ,,1,6,4,2,158.0
9:07.0,C. LeVert makes 3-pt jump shot from 23 ft (assist by M. Brogdon),7-6, ,Lead change,1,6,7,-1,173.0
8:44.0, ,7-6,Turnover by D. Dedmon (traveling),,1,6,7,-1,196.0
8:33.0,D. Sabonis makes 2-pt layup from 1 ft (assist by J. Holiday),9-6, ,,1,6,9,-3,207.0
8:21.0, ,9-6,D. Robinson misses 3-pt jump shot from 23 ft,,1,6,9,-3,219.0
8:15.0,Defensive rebound by C. LeVert,9-6, ,,1,6,9,-3,225.0
8:07.0,J. Holiday makes 2-pt jump shot from 16 ft (assist by M. Brogdon),11-6, ,,1,6,11,-5,233.0
7:56.0, ,11-9,D. Robinson makes 3-pt jump shot from 24 ft (assist by M. Strus),,1,9,11,-2,244.0
7:42.0,Shooting foul by M. Strus (drawn by D. Sabonis),11-9, ,,1,9,11,-2,258.0
7:42.0,D. Sabonis makes free throw 1 of 2,12-9, ,,1,9,12,-3,258.0
7:42.0, ,12-9,K. Okpala enters the game for M. Strus,,1,9,12,-3,258.0
7:42.0,D. Sabonis makes free throw 2 of 2,13-9, ,,1,9,13,-4,258.0
7:31.0,Violation by Team (kicked ball),13-9, ,,1,9,13,-4,269.0
7:25.0, ,13-12,D. Robinson makes 3-pt jump shot from 26 ft (assist by D. Dedmon),,1,12,13,-1,275.0
7:11.0,D. Sabonis misses 3-pt jump shot from 26 ft,13-12, ,,1,12,13,-1,289.0
7:08.0, ,13-12,Defensive rebound by K. Lowry,,1,12,13,-1,292.0
7:04.0, ,13-12,K. Lowry misses 3-pt jump shot from 27 ft,,1,12,13,-1,296.0
7:00.0, ,13-12,Offensive rebound by D. Dedmon,,1,12,13,-1,300.0
6:56.0, ,13-12,G. Vincent misses 2-pt layup from 2 ft (block by M. Turner),,1,12,13,-1,304.0
6:52.0,Defensive rebound by M. Turner,13-12, ,,1,12,13,-1,308.0
6:48.0,C. LeVert misses 2-pt jump shot from 9 ft,13-12, ,,1,12,13,-1,312.0
6:45.0, ,13-12,Defensive rebound by K. Lowry,,1,12,13,-1,315.0
6:41.0, ,13-15,D. Dedmon makes 3-pt jump shot from 27 ft (assist by K. Lowry),Lead change,1,15,13,2,319.0
6:25.0,M. Turner makes 3-pt jump shot from 23 ft (assist by D. Sabonis),16-15, ,Lead change,1,15,16,-1,335.0
6:18.0, ,16-17,K. Okpala makes 2-pt layup from 3 ft (assist by K. Lowry),Lead change,1,17,16,1,342.0
6:11.0,M. Brogdon misses 2-pt layup from 2 ft,16-17, ,,1,17,16,1,349.0
6:08.0,Offensive rebound by J. Holiday,16-17, ,,1,17,16,1,352.0
6:02.0,J. Holiday misses 3-pt jump shot from 24 ft,16-17, ,,1,17,16,1,358.0
6:01.0, ,16-17,Defensive rebound by K. Lowry,,1,17,16,1,359.0
6:00.0, ,16-19,K. Lowry makes 2-pt layup from 2 ft,,1,19,16,3,360.0
6:00.0,Violation by Team (def goaltending),16-19, ,,1,19,16,3,360.0
5:58.0, ,16-19,Miami full timeout,,1,19,16,3,362.0
5:58.0, ,16-19,Shooting foul by J. Holiday (drawn by K. Lowry),,1,19,16,3,362.0
5:58.0,O. Brissett enters the game for J. Holiday,16-19, ,,1,19,16,3,362.0
5:58.0,C. Duarte enters the game for D. Sabonis,16-19, ,,1,19,16,3,362.0
5:58.0, ,16-19,T. Herro enters the game for D. Dedmon,,1,19,16,3,362.0
5:58.0, ,16-19,O. Yurtseven enters the game for G. Vincent,,1,19,16,3,362.0
5:58.0, ,16-19,K. Lowry misses free throw 1 of 1,,1,19,16,3,362.0
5:58.0,Defensive rebound by M. Turner,16-19, ,,1,19,16,3,362.0
5:35.0,M. Turner misses 2-pt layup from 2 ft,16-19, ,,1,19,16,3,385.0
5:32.0, ,16-19,Defensive rebound by K. Lowry,,1,19,16,3,388.0
5:14.0, ,16-19,D. Robinson misses 2-pt jump shot from 6 ft,,1,19,16,3,406.0
5:11.0,Defensive rebound by M. Turner,16-19, ,,1,19,16,3,409.0
5:01.0,Shooting foul by K. Okpala (drawn by M. Brogdon),16-19, ,,1,19,16,3,419.0
5:01.0,M. Brogdon misses free throw 1 of 2,16-19, ,,1,19,16,3,419.0
5:01.0,Offensive rebound by Team,16-19, ,,1,19,16,3,419.0
5:01.0,M. Brogdon makes free throw 2 of 2,17-19, ,,1,19,17,2,419.0
4:36.0, ,17-21,D. Robinson makes 2-pt jump shot from 16 ft (assist by T. Herro),,1,21,17,4,444.0
4:17.0,M. Brogdon misses 3-pt jump shot from 27 ft,17-21, ,,1,21,17,4,463.0
4:14.0, ,17-21,Defensive rebound by D. Robinson,,1,21,17,4,466.0
4:03.0, ,17-24,K. Okpala makes 3-pt jump shot from 24 ft (assist by T. Herro),,1,24,17,7,477.0
4:02.0,Indiana full timeout,17-24, ,,1,24,17,7,478.0
4:02.0,D. Sabonis enters the game for M. Brogdon,17-24, ,,1,24,17,7,478.0
4:02.0,B. Wanamaker enters the game for M. Turner,17-24, ,,1,24,17,7,478.0
3:49.0,Turnover by B. Wanamaker (bad pass),17-24, ,,1,24,17,7,491.0
3:35.0, ,17-24,Turnover by O. Yurtseven (traveling),,1,24,17,7,505.0
3:11.0,Turnover by C. LeVert (bad pass; steal by K. Lowry),17-24, ,,1,24,17,7,529.0
2:55.0, ,17-24,T. Herro misses 2-pt layup from 3 ft,,1,24,17,7,545.0
2:53.0, ,17-24,Offensive rebound by O. Yurtseven,,1,24,17,7,547.0
2:51.0, ,17-26,O. Yurtseven makes 2-pt layup from 2 ft,,1,26,17,9,549.0
2:32.0,Turnover by D. Sabonis (lost ball; steal by K. Lowry),17-26, ,,1,26,17,9,568.0
2:28.0, ,17-26,Turnover by K. Lowry (bad pass; steal by O. Brissett),,1,26,17,9,572.0
2:24.0,Shooting foul by O. Yurtseven (drawn by C. Duarte),17-26, ,,1,26,17,9,576.0
2:24.0,C. Duarte misses free throw 1 of 2,17-26, ,,1,26,17,9,576.0
2:24.0,Offensive rebound by Team,17-26, ,,1,26,17,9,576.0
2:24.0,C. Duarte makes free throw 2 of 2,18-26, ,,1,26,18,8,576.0
1:59.0, ,18-28,K. Okpala makes 2-pt layup from 6 ft (assist by D. Robinson),,1,28,18,10,601.0
1:48.0,O. Brissett makes 2-pt layup from 1 ft (assist by B. Wanamaker),20-28, ,,1,28,20,8,612.0
1:41.0, ,20-28,Shooting foul by O. Brissett (drawn by T. Herro),,1,28,20,8,619.0
1:41.0, ,20-29,T. Herro makes free throw 1 of 2,,1,29,20,9,619.0
1:41.0,J. Lamb enters the game for C. LeVert,20-29, ,,1,29,20,9,619.0
1:41.0, ,20-29,D. Dedmon enters the game for K. Lowry,,1,29,20,9,619.0
1:41.0, ,20-29,G. Vincent enters the game for O. Yurtseven,,1,29,20,9,619.0
1:41.0, ,20-30,T. Herro makes free throw 2 of 2,,1,30,20,10,619.0
1:28.0,C. Duarte misses 3-pt jump shot from 23 ft,20-30, ,,1,30,20,10,632.0
1:26.0, ,20-30,Defensive rebound by T. Herro,,1,30,20,10,634.0
1:20.0, ,20-30,T. Herro misses 2-pt layup from 2 ft (block by O. Brissett),,1,30,20,10,640.0
1:17.0, ,20-30,Offensive rebound by D. Dedmon,,1,30,20,10,643.0
1:16.0, ,20-30,D. Dedmon misses 2-pt hook shot from 4 ft,,1,30,20,10,644.0
1:13.0,Defensive rebound by D. Sabonis,20-30, ,,1,30,20,10,647.0
1:00.0,D. Sabonis misses 3-pt jump shot from 26 ft,20-30, ,,1,30,20,10,660.0
0:56.0, ,20-30,Defensive rebound by K. Okpala,,1,30,20,10,664.0
0:45.0, ,20-30,G. Vincent misses 3-pt jump shot from 24 ft,,1,30,20,10,675.0
0:41.0,Defensive rebound by D. Sabonis,20-30, ,,1,30,20,10,679.0
0:34.0,B. Wanamaker misses 2-pt layup from 2 ft (block by D. Dedmon),20-30, ,,1,30,20,10,686.0
0:30.0,Offensive rebound by J. Lamb,20-30, ,,1,30,20,10,690.0
0:20.0,D. Sabonis misses 2-pt layup from 2 ft,20-30, ,,1,30,20,10,700.0
0:19.0,Offensive rebound by Team,20-30, ,,1,30,20,10,701.0
0:19.0, ,20-30,Loose ball foul by D. Robinson (drawn by D. Sabonis),,1,30,20,10,701.0
0:19.0,D. Sabonis misses free throw 1 of 2,20-30, ,,1,30,20,10,701.0
0:19.0, ,20-30,M. Strus enters the game for K. Okpala,,1,30,20,10,701.0
0:19.0,D. Sabonis makes free throw 2 of 2,21-30, ,,1,30,21,9,701.0
0:03.0, ,21-33,M. Strus makes 3-pt jump shot from 27 ft (assist by T. Herro),,1,33,21,12,717.0
0:00.0,Turnover by C. Duarte (step out of bounds),21-33, ,,1,33,21,12,720.0
0:00.0,End of 1st quarter,21-33,,,1,33,21,12,720.0
12:00.0,Start of 2nd quarter,21-33,,,2,33,21,12,720.0
11:34.0, ,21-33,T. Herro misses 2-pt jump shot from 18 ft,,2,33,21,12,746.0
11:30.0, ,21-33,Offensive rebound by D. Dedmon,,2,33,21,12,750.0
11:29.0, ,21-33,T. Herro misses 3-pt jump shot from 26 ft,,2,33,21,12,751.0
11:23.0, ,21-33,Offensive rebound by M. Strus,,2,33,21,12,757.0
11:23.0, ,21-35,M. Strus makes 2-pt layup at rim,,2,35,21,14,757.0
11:02.0,Shooting foul by T. Herro (drawn by C. Duarte),21-35, ,,2,35,21,14,778.0
11:02.0,C. Duarte makes free throw 1 of 3,22-35, ,,2,35,22,13,778.0
11:02.0,C. Duarte makes free throw 2 of 3,23-35, ,,2,35,23,12,778.0
11:02.0,C. Duarte makes free throw 3 of 3,24-35, ,,2,35,24,11,778.0
10:46.0, ,24-37,T. Herro makes 2-pt dunk from 1 ft,,2,37,24,13,794.0
10:33.0,C. Duarte misses 2-pt jump shot from 14 ft,24-37, ,,2,37,24,13,807.0
10:30.0, ,24-37,Defensive rebound by D. Dedmon,,2,37,24,13,810.0
10:20.0, ,24-39,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Herro),,2,39,24,15,820.0
10:20.0,Indiana full timeout,24-39, ,,2,39,24,15,820.0
10:20.0,K. Martin enters the game for C. Duarte,24-39, ,,2,39,24,15,820.0
10:05.0,J. Lamb makes 2-pt jump shot from 10 ft (assist by B. Wanamaker),26-39, ,,2,39,26,13,835.0
9:48.0, ,26-39,T. Herro misses 2-pt jump shot from 11 ft,,2,39,26,13,852.0
9:44.0, ,26-39,Offensive rebound by M. Garrett,,2,39,26,13,856.0
9:43.0, ,26-39,Personal foul by B. Wanamaker (drawn by G. Vincent),,2,39,26,13,857.0
9:28.0, ,26-41,G. Vincent makes 2-pt jump shot from 11 ft,,2,41,26,15,872.0
9:09.0,J. Lamb misses 2-pt layup from 2 ft (block by D. Dedmon),26-41, ,,2,41,26,15,891.0
9:06.0, ,26-41,Defensive rebound by M. Strus,,2,41,26,15,894.0
9:02.0, ,26-44,T. Herro makes 3-pt jump shot from 24 ft (assist by G. Vincent),,2,44,26,18,898.0
9:02.0,J. Holiday enters the game for J. Lamb,26-44, ,,2,44,26,18,898.0
9:02.0,C. LeVert enters the game for D. Sabonis,26-44, ,,2,44,26,18,898.0
9:02.0,M. Turner enters the game for B. Wanamaker,26-44, ,,2,44,26,18,898.0
8:47.0,T. Craig makes 2-pt layup from 2 ft (assist by K. Martin),28-44, ,,2,44,28,16,913.0
8:47.0, ,28-44,Violation by Team (def goaltending),,2,44,28,16,913.0
8:23.0, ,28-44,G. Vincent misses 3-pt jump shot from 27 ft,,2,44,28,16,937.0
8:19.0,Defensive rebound by K. Martin,28-44, ,,2,44,28,16,941.0
8:10.0,K. Martin misses 2-pt layup from 3 ft,28-44, ,,2,44,28,16,950.0
8:07.0, ,28-44,Defensive rebound by M. Garrett,,2,44,28,16,953.0
7:52.0, ,28-44,T. Herro misses 2-pt layup from 2 ft,,2,44,28,16,968.0
7:52.0, ,28-44,Offensive rebound by Team,,2,44,28,16,968.0
7:52.0, ,28-44,O. Yurtseven enters the game for D. Dedmon,,2,44,28,16,968.0
7:50.0, ,28-44,M. Strus misses 3-pt jump shot from 26 ft,,2,44,28,16,970.0
7:42.0,Defensive rebound by J. Holiday,28-44, ,,2,44,28,16,978.0
7:34.0,K. Martin misses 2-pt layup from 2 ft (block by O. Yurtseven),28-44, ,,2,44,28,16,986.0
7:30.0,Offensive rebound by K. Martin,28-44, ,,2,44,28,16,990.0
7:28.0,J. Holiday misses 3-pt jump shot from 23 ft,28-44, ,,2,44,28,16,992.0
7:25.0, ,28-44,Defensive rebound by M. Strus,,2,44,28,16,995.0
7:22.0, ,28-47,T. Herro makes 3-pt jump shot from 27 ft,,2,47,28,19,998.0
7:20.0,Indiana full timeout,28-47, ,,2,47,28,19,1000.0
7:12.0,Shooting foul by O. Yurtseven (drawn by C. LeVert),28-47, ,,2,47,28,19,1008.0
7:12.0,C. LeVert makes free throw 1 of 2,29-47, ,,2,47,29,18,1008.0
7:12.0,C. LeVert makes free throw 2 of 2,30-47, ,,2,47,30,17,1008.0
6:55.0, ,30-47,Shooting foul by T. Craig (drawn by T. Herro),,2,47,30,17,1025.0
6:55.0, ,30-48,T. Herro makes free throw 1 of 2,,2,48,30,18,1025.0
6:55.0, ,30-48,T. Herro misses free throw 2 of 2,,2,48,30,18,1025.0
6:52.0,Defensive rebound by K. Martin,30-48, ,,2,48,30,18,1028.0
6:30.0,C. LeVert misses 2-pt layup from 2 ft,30-48, ,,2,48,30,18,1050.0
6:27.0, ,30-48,Defensive rebound by O. Yurtseven,,2,48,30,18,1053.0
6:06.0, ,30-48,T. Herro misses 3-pt jump shot from 26 ft,,2,48,30,18,1074.0
6:03.0, ,30-48,Offensive rebound by O. Yurtseven,,2,48,30,18,1077.0
6:03.0, ,30-48,Shooting foul by T. Craig (drawn by O. Yurtseven),,2,48,30,18,1077.0
6:03.0, ,30-49,O. Yurtseven makes free throw 1 of 2,,2,49,30,19,1077.0
6:03.0,C. Duarte enters the game for K. Martin,30-49, ,,2,49,30,19,1077.0
