Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:10.0, ,13-9,Defensive rebound by T. Herro,,1,9,13,-4,350.0
6:01.0, ,13-9,B. Adebayo misses 2-pt jump shot from 12 ft,,1,9,13,-4,359.0
5:58.0,Defensive rebound by K. Looney,13-9, ,,1,9,13,-4,362.0
5:52.0,K. Thompson misses 3-pt jump shot from 26 ft,13-9, ,,1,9,13,-4,368.0
5:49.0, ,13-9,Defensive rebound by C. Martin,,1,9,13,-4,371.0
5:38.0, ,13-9,T. Herro misses 2-pt jump shot from 17 ft,,1,9,13,-4,382.0
5:35.0,Defensive rebound by D. Green,13-9, ,,1,9,13,-4,385.0
5:31.0,Personal foul by B. Adebayo (drawn by K. Looney),13-9, ,,1,9,13,-4,389.0
5:31.0,J. Poole enters the game for K. Looney,13-9, ,,1,9,13,-4,389.0
5:31.0,J. Wiseman enters the game for K. Thompson,13-9, ,,1,9,13,-4,389.0
5:31.0, ,13-9,D. Dedmon enters the game for B. Adebayo,,1,9,13,-4,389.0
5:31.0, ,13-9,M. Strus enters the game for C. Martin,,1,9,13,-4,389.0
5:17.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),16-9, ,,1,9,16,-7,403.0
5:06.0, ,16-9,Shooting foul by J. Wiseman (drawn by D. Dedmon),,1,9,16,-7,414.0
5:06.0, ,16-10,D. Dedmon makes free throw 1 of 2,,1,10,16,-6,414.0
5:06.0, ,16-11,D. Dedmon makes free throw 2 of 2,,1,11,16,-5,414.0
4:44.0,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Wiggins),19-11, ,,1,11,19,-8,436.0
4:29.0, ,19-13,D. Dedmon makes 2-pt layup from 3 ft (assist by K. Lowry),,1,13,19,-6,451.0
4:16.0,A. Wiggins makes 2-pt layup from 2 ft,21-13, ,,1,13,21,-8,464.0
4:05.0, ,21-13,Shooting foul by J. Wiseman (drawn by J. Butler),,1,13,21,-8,475.0
4:05.0, ,21-14,J. Butler makes free throw 1 of 2,,1,14,21,-7,475.0
4:05.0,J. Green enters the game for D. Green,21-14, ,,1,14,21,-7,475.0
4:05.0,M. Moody enters the game for A. Wiggins,21-14, ,,1,14,21,-7,475.0
4:05.0, ,21-14,G. Vincent enters the game for K. Lowry,,1,14,21,-7,475.0
4:05.0, ,21-15,J. Butler makes free throw 2 of 2,,1,15,21,-6,475.0
3:51.0,J. Wiseman misses 2-pt dunk from 2 ft,21-15, ,,1,15,21,-6,489.0
3:47.0, ,21-15,Defensive rebound by D. Dedmon,,1,15,21,-6,493.0
3:39.0, ,21-17,T. Herro makes 2-pt layup from 2 ft (assist by M. Strus),,1,17,21,-4,501.0
3:35.0,Golden State full timeout,21-17, ,,1,17,21,-4,505.0
3:21.0,J. Green misses 2-pt jump shot from 17 ft,21-17, ,,1,17,21,-4,519.0
3:17.0, ,21-17,Defensive rebound by D. Dedmon,,1,17,21,-4,523.0
3:17.0, ,21-17,D. Robinson enters the game for T. Herro,,1,17,21,-4,523.0
2:57.0, ,21-20,M. Strus makes 3-pt jump shot from 25 ft,,1,20,21,-1,543.0
2:46.0,J. Wiseman misses 2-pt jump shot from 12 ft,21-20, ,,1,20,21,-1,554.0
2:43.0, ,21-20,Defensive rebound by D. Dedmon,,1,20,21,-1,557.0
2:34.0, ,21-20,J. Butler misses 2-pt jump shot from 1 ft (block by J. Wiseman),,1,20,21,-1,566.0
2:33.0, ,21-20,Offensive rebound by Team,,1,20,21,-1,567.0
2:33.0,T. Jerome enters the game for S. Curry,21-20, ,,1,20,21,-1,567.0
2:27.0, ,21-20,D. Robinson misses 2-pt jump shot from 9 ft (block by J. Green),,1,20,21,-1,573.0
2:26.0, ,21-20,Offensive rebound by Team,,1,20,21,-1,574.0
2:23.0, ,21-23,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),Lead change,1,23,21,2,577.0
1:59.0,J. Green misses 2-pt layup from 1 ft,21-23, ,,1,23,21,2,601.0
1:53.0,Offensive rebound by J. Green,21-23, ,,1,23,21,2,607.0
1:53.0,J. Green misses 2-pt layup at rim,21-23, ,,1,23,21,2,607.0
1:52.0, ,21-23,Defensive rebound by D. Dedmon,,1,23,21,2,608.0
1:49.0, ,21-23,M. Strus misses 3-pt jump shot from 26 ft,,1,23,21,2,611.0
1:46.0, ,21-23,Offensive rebound by J. Butler,,1,23,21,2,614.0
1:44.0, ,21-25,J. Butler makes 2-pt layup from 2 ft,,1,25,21,4,616.0
1:30.0,Shooting foul by D. Robinson (drawn by J. Wiseman),21-25, ,,1,25,21,4,630.0
1:30.0,J. Wiseman makes free throw 1 of 2,22-25, ,,1,25,22,3,630.0
1:30.0,J. Wiseman misses free throw 2 of 2,22-25, ,,1,25,22,3,630.0
1:23.0,Offensive rebound by J. Green,22-25, ,,1,25,22,3,637.0
1:23.0,J. Green misses 2-pt layup at rim,22-25, ,,1,25,22,3,637.0
1:22.0,Offensive rebound by J. Green,22-25, ,,1,25,22,3,638.0
1:19.0,J. Green makes 2-pt layup from 1 ft,24-25, ,,1,25,24,1,641.0
1:12.0, ,24-28,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,28,24,4,648.0
1:03.0,Turnover by M. Moody (bad pass),24-28, ,,1,28,24,4,657.0
0:48.0, ,24-28,D. Dedmon misses 3-pt jump shot from 23 ft,,1,28,24,4,672.0
0:45.0,Defensive rebound by J. Green,24-28, ,,1,28,24,4,675.0
0:40.0,Offensive foul by J. Wiseman (drawn by D. Robinson),24-28, ,,1,28,24,4,680.0
0:40.0,Turnover by J. Wiseman (offensive foul),24-28, ,,1,28,24,4,680.0
0:40.0, ,24-28,B. Adebayo enters the game for J. Butler,,1,28,24,4,680.0
0:40.0, ,24-28,C. Martin enters the game for D. Dedmon,,1,28,24,4,680.0
0:34.0, ,24-30,B. Adebayo makes 2-pt dunk from 3 ft (assist by D. Robinson),,1,30,24,6,686.0
0:34.0,S. Curry enters the game for J. Wiseman,24-30, ,,1,30,24,6,686.0
0:12.0,Turnover by S. Curry (traveling),24-30, ,,1,30,24,6,708.0
0:12.0,D. Green enters the game for S. Curry,24-30, ,,1,30,24,6,708.0
0:00.0, ,24-33,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),,1,33,24,9,720.0
0:00.0, ,24-33,Instant Replay (Request: Ruling Stands),,1,33,24,9,720.0
0:00.0,End of 1st quarter,24-33,,,1,33,24,9,720.0
12:00.0,Start of 2nd quarter,24-33,,,2,33,24,9,720.0
12:00.0,Violation by Team (delay of game),24-33, ,,2,33,24,9,720.0
11:39.0,K. Looney makes 2-pt layup from 1 ft (assist by J. Green),26-33, ,,2,33,26,7,741.0
11:24.0, ,26-35,D. Robinson makes 2-pt layup from 3 ft (assist by B. Adebayo),,2,35,26,9,756.0
11:04.0,J. Green makes 2-pt dunk from 1 ft (assist by A. Wiggins),28-35, ,,2,35,28,7,776.0
10:47.0, ,28-35,M. Strus misses 3-pt jump shot from 23 ft,,2,35,28,7,793.0
10:43.0,Defensive rebound by K. Looney,28-35, ,,2,35,28,7,797.0
10:38.0,T. Jerome makes 3-pt jump shot from 27 ft (assist by J. Poole),31-35, ,,2,35,31,4,802.0
10:24.0, ,31-35,B. Adebayo misses 2-pt jump shot from 11 ft,,2,35,31,4,816.0
10:21.0,Defensive rebound by T. Jerome,31-35, ,,2,35,31,4,819.0
10:16.0,J. Poole misses 3-pt jump shot from 27 ft,31-35, ,,2,35,31,4,824.0
10:13.0,Offensive rebound by J. Green,31-35, ,,2,35,31,4,827.0
10:13.0,J. Green makes 2-pt layup from 3 ft,33-35, ,,2,35,33,2,827.0
10:13.0,Shooting foul by M. Strus (drawn by J. Green),33-35, ,,2,35,33,2,827.0
10:13.0,J. Green makes free throw 1 of 1,34-35, ,,2,35,34,1,827.0
10:00.0, ,34-35,Personal foul by T. Jerome (drawn by D. Robinson),,2,35,34,1,840.0
9:46.0, ,34-35,Shooting foul by A. Wiggins (drawn by M. Strus),,2,35,34,1,854.0
9:46.0, ,34-36,M. Strus makes free throw 1 of 3,,2,36,34,2,854.0
9:46.0, ,34-37,M. Strus makes free throw 2 of 3,,2,37,34,3,854.0
9:46.0, ,34-38,M. Strus makes free throw 3 of 3,,2,38,34,4,854.0
9:35.0,J. Poole misses 3-pt jump shot from 24 ft,34-38, ,,2,38,34,4,865.0
9:30.0, ,34-38,Defensive rebound by C. Martin,,2,38,34,4,870.0
