Time,Atlanta,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. B. Adebayo (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:36.0,J. Collins misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,24.0
11:34.0,Offensive rebound by D. Murray,0-0, ,,1,0,0,0,26.0
11:32.0,Turnover by T. Young (bad pass; steal by B. Adebayo),0-0, ,,1,0,0,0,28.0
11:24.0, ,0-2,J. Butler makes 2-pt layup from 6 ft,,1,2,0,2,36.0
11:19.0,Personal foul by G. Vincent (drawn by J. Collins),0-2, ,,1,2,0,2,41.0
11:11.0,D. Murray misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,49.0
11:09.0,Offensive rebound by Team,0-2, ,,1,2,0,2,51.0
11:09.0, ,0-2,Loose ball foul by T. Herro (drawn by D. Hunter),,1,2,0,2,51.0
11:05.0,D. Hunter misses 2-pt jump shot from 15 ft,0-2, ,,1,2,0,2,55.0
11:01.0, ,0-2,Defensive rebound by T. Herro,,1,2,0,2,59.0
10:59.0, ,0-2,T. Herro misses 3-pt jump shot from 26 ft,,1,2,0,2,61.0
10:54.0,Defensive rebound by C. Capela,0-2, ,,1,2,0,2,66.0
10:43.0,D. Murray misses 2-pt jump shot from 6 ft,0-2, ,,1,2,0,2,77.0
10:40.0, ,0-2,Defensive rebound by J. Butler,,1,2,0,2,80.0
10:28.0, ,0-2,J. Butler misses 2-pt jump shot from 17 ft,,1,2,0,2,92.0
10:25.0,Defensive rebound by T. Young,0-2, ,,1,2,0,2,95.0
10:19.0,J. Collins makes 3-pt jump shot from 26 ft (assist by T. Young),3-2, ,Lead change,1,2,3,-1,101.0
9:53.0, ,3-2,J. Butler misses 2-pt jump shot from 4 ft,,1,2,3,-1,127.0
9:53.0, ,3-2,Offensive rebound by Team,,1,2,3,-1,127.0
9:53.0,Loose ball foul by J. Collins (drawn by J. Butler),3-2, ,,1,2,3,-1,127.0
9:43.0, ,3-2,M. Strus misses 3-pt jump shot from 24 ft,,1,2,3,-1,137.0
9:40.0,Defensive rebound by T. Young,3-2, ,,1,2,3,-1,140.0
9:33.0,D. Hunter makes 2-pt jump shot from 13 ft,5-2, ,,1,2,5,-3,147.0
9:20.0, ,5-4,J. Butler makes 2-pt layup from 5 ft (assist by G. Vincent),,1,4,5,-1,160.0
9:03.0,Shooting foul by M. Strus (drawn by J. Collins),5-4, ,,1,4,5,-1,177.0
9:03.0,J. Collins makes free throw 1 of 2,6-4, ,,1,4,6,-2,177.0
9:03.0,J. Collins misses free throw 2 of 2,6-4, ,,1,4,6,-2,177.0
9:01.0, ,6-4,Defensive rebound by M. Strus,,1,4,6,-2,179.0
8:56.0, ,6-4,Turnover by T. Herro (out of bounds lost ball),,1,4,6,-2,184.0
8:45.0,T. Young makes 2-pt jump shot from 9 ft,8-4, ,,1,4,8,-4,195.0
8:30.0, ,8-4,B. Adebayo misses 2-pt hook shot from 8 ft,,1,4,8,-4,210.0
8:26.0,Defensive rebound by C. Capela,8-4, ,,1,4,8,-4,214.0
8:19.0,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),11-4, ,,1,4,11,-7,221.0
7:55.0, ,11-4,Shooting foul by C. Capela (drawn by J. Butler),,1,4,11,-7,245.0
7:55.0, ,11-5,J. Butler makes free throw 1 of 2,,1,5,11,-6,245.0
7:55.0, ,11-6,J. Butler makes free throw 2 of 2,,1,6,11,-5,245.0
7:43.0,T. Young misses 2-pt jump shot from 7 ft,11-6, ,,1,6,11,-5,257.0
7:40.0, ,11-6,Defensive rebound by G. Vincent,,1,6,11,-5,260.0
7:36.0, ,11-9,T. Herro makes 3-pt jump shot from 24 ft (assist by M. Strus),,1,9,11,-2,264.0
7:19.0,D. Hunter makes 2-pt jump shot from 12 ft (assist by D. Murray),13-9, ,,1,9,13,-4,281.0
7:19.0,Shooting foul by T. Herro (drawn by D. Hunter),13-9, ,,1,9,13,-4,281.0
7:19.0,D. Hunter misses free throw 1 of 1,13-9, ,,1,9,13,-4,281.0
7:17.0, ,13-9,Defensive rebound by M. Strus,,1,9,13,-4,283.0
6:57.0, ,13-9,T. Herro misses 2-pt jump shot from 6 ft,,1,9,13,-4,303.0
6:54.0,Defensive rebound by C. Capela,13-9, ,,1,9,13,-4,306.0
6:51.0,T. Young makes 2-pt jump shot from 11 ft (assist by D. Murray),15-9, ,,1,9,15,-6,309.0
6:51.0,Shooting foul by M. Strus (drawn by T. Young),15-9, ,,1,9,15,-6,309.0
6:51.0, ,15-9,Miami full timeout,,1,9,15,-6,309.0
6:51.0, ,15-9,K. Lowry enters the game for T. Herro,,1,9,15,-6,309.0
6:51.0,T. Young makes free throw 1 of 1,16-9, ,,1,9,16,-7,309.0
6:33.0, ,16-11,K. Lowry makes 2-pt layup from 6 ft,,1,11,16,-5,327.0
6:16.0,D. Murray makes 3-pt jump shot from 24 ft (assist by T. Young),19-11, ,,1,11,19,-8,344.0
6:08.0, ,19-11,G. Vincent misses 3-pt jump shot from 24 ft,,1,11,19,-8,352.0
6:06.0,Defensive rebound by T. Young,19-11, ,,1,11,19,-8,354.0
6:02.0,D. Murray misses 3-pt jump shot from 26 ft,19-11, ,,1,11,19,-8,358.0
5:58.0, ,19-11,Defensive rebound by G. Vincent,,1,11,19,-8,362.0
5:46.0, ,19-11,K. Lowry misses 3-pt jump shot from 27 ft,,1,11,19,-8,374.0
5:43.0,Defensive rebound by C. Capela,19-11, ,,1,11,19,-8,377.0
5:40.0,Offensive foul by D. Hunter (drawn by G. Vincent),19-11, ,,1,11,19,-8,380.0
5:40.0,Turnover by D. Hunter (offensive foul),19-11, ,,1,11,19,-8,380.0
5:40.0,B. Bogdanović enters the game for T. Young,19-11, ,,1,11,19,-8,380.0
5:40.0, ,19-11,C. Martin enters the game for G. Vincent,,1,11,19,-8,380.0
5:15.0, ,19-11,J. Butler misses 2-pt jump shot from 11 ft,,1,11,19,-8,405.0
5:14.0, ,19-11,Offensive rebound by B. Adebayo,,1,11,19,-8,406.0
5:11.0, ,19-11,B. Adebayo misses 2-pt hook shot from 3 ft,,1,11,19,-8,409.0
5:09.0,Defensive rebound by C. Capela,19-11, ,,1,11,19,-8,411.0
5:06.0,Offensive foul by D. Murray (drawn by K. Lowry),19-11, ,,1,11,19,-8,414.0
5:06.0,Turnover by D. Murray (offensive foul),19-11, ,,1,11,19,-8,414.0
4:59.0, ,19-11,Shooting foul by J. Collins (drawn by J. Butler),,1,11,19,-8,421.0
4:59.0, ,19-12,J. Butler makes free throw 1 of 2,,1,12,19,-7,421.0
4:59.0,S. Bey enters the game for J. Collins,19-12, ,,1,12,19,-7,421.0
4:59.0, ,19-13,J. Butler makes free throw 2 of 2,,1,13,19,-6,421.0
4:59.0,O. Okongwu enters the game for C. Capela,19-13, ,,1,13,19,-6,421.0
4:59.0, ,19-13,K. Love enters the game for B. Adebayo,,1,13,19,-6,421.0
4:41.0,B. Bogdanović misses 3-pt jump shot from 27 ft,19-13, ,,1,13,19,-6,439.0
