Time,Miami,Score,Toronto,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Jović vs. S. Barnes (D. Banton gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-0,D. Banton misses 2-pt jump shot from 12 ft,,1,0,0,0,23.0
11:34.0,Defensive rebound by C. Martin,0-0, ,,1,0,0,0,26.0
11:32.0,K. Lowry makes 3-pt jump shot from 25 ft,3-0, ,,1,3,0,3,28.0
11:20.0, ,3-2,S. Barnes makes 2-pt jump shot from 17 ft,,1,3,2,1,40.0
10:54.0,N. Jović makes 2-pt layup from 4 ft (assist by J. Butler),5-2, ,,1,5,2,3,66.0
10:43.0, ,5-4,S. Barnes makes 2-pt jump shot from 19 ft,,1,5,4,1,77.0
10:32.0,C. Martin misses 2-pt jump shot from 8 ft,5-4, ,,1,5,4,1,88.0
10:30.0,Offensive rebound by C. Martin,5-4, ,,1,5,4,1,90.0
10:29.0,C. Martin makes 2-pt layup from 4 ft,7-4, ,,1,7,4,3,91.0
10:10.0, ,7-4,Turnover by S. Barnes (traveling),,1,7,4,3,110.0
9:58.0,N. Jović makes 3-pt jump shot from 27 ft (assist by C. Martin),10-4, ,,1,10,4,6,122.0
9:43.0, ,10-4,T. Young misses 2-pt hook shot from 5 ft,,1,10,4,6,137.0
9:41.0,Defensive rebound by N. Jović,10-4, ,,1,10,4,6,139.0
9:28.0,N. Jović makes 2-pt layup from 4 ft (assist by J. Butler),12-4, ,,1,12,4,8,152.0
9:14.0, ,12-4,F. VanVleet misses 3-pt jump shot from 26 ft,,1,12,4,8,166.0
9:12.0,Defensive rebound by Team,12-4, ,,1,12,4,8,168.0
9:00.0,M. Strus misses 3-pt jump shot from 27 ft,12-4, ,,1,12,4,8,180.0
8:57.0, ,12-4,Defensive rebound by O. Anunoby,,1,12,4,8,183.0
8:48.0, ,12-4,Turnover by O. Anunoby (traveling),,1,12,4,8,192.0
8:32.0,K. Lowry misses 3-pt jump shot from 27 ft,12-4, ,,1,12,4,8,208.0
8:29.0, ,12-4,Defensive rebound by O. Anunoby,,1,12,4,8,211.0
8:21.0, ,12-6,O. Anunoby makes 2-pt jump shot from 5 ft (assist by S. Barnes),,1,12,6,6,219.0
8:01.0,N. Jović misses 3-pt jump shot from 26 ft,12-6, ,,1,12,6,6,239.0
7:59.0, ,12-6,Defensive rebound by T. Young,,1,12,6,6,241.0
7:51.0, ,12-8,T. Young makes 2-pt hook shot from 4 ft (assist by O. Anunoby),,1,12,8,4,249.0
7:39.0,Def 3 sec tech foul by Team,12-8, ,,1,12,8,4,261.0
7:39.0,J. Butler makes technical free throw,13-8, ,,1,13,8,5,261.0
7:33.0,N. Jović makes 2-pt layup from 5 ft (assist by K. Lowry),15-8, ,,1,15,8,7,267.0
7:12.0, ,15-11,D. Banton makes 3-pt jump shot from 25 ft (assist by T. Young),,1,15,11,4,288.0
6:54.0,Turnover by J. Butler (bad pass; steal by S. Barnes),15-11, ,,1,15,11,4,306.0
6:50.0, ,15-11,S. Barnes misses 2-pt jump shot from 3 ft,,1,15,11,4,310.0
