Time,Boston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Horford vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,Personal foul by J. Tatum (drawn by K. Lowry),,1,0,0,0,16.0
11:40.0, ,0-0,Turnover by B. Adebayo (bad pass; steal by J. Brown),,1,0,0,0,20.0
11:36.0,J. Brown makes 2-pt layup from 1 ft,2-0, ,,1,0,2,-2,24.0
11:25.0, ,2-0,K. Lowry misses 3-pt jump shot from 27 ft,,1,0,2,-2,35.0
11:25.0,Defensive rebound by J. Brown,2-0, ,,1,0,2,-2,35.0
11:15.0,J. Brown misses 3-pt jump shot from 28 ft,2-0, ,,1,0,2,-2,45.0
11:12.0,Offensive rebound by M. Smart,2-0, ,,1,0,2,-2,48.0
11:10.0,A. Horford misses 3-pt jump shot from 26 ft,2-0, ,,1,0,2,-2,50.0
11:07.0, ,2-0,Defensive rebound by J. Butler,,1,0,2,-2,53.0
10:57.0, ,2-0,J. Butler misses 2-pt layup from 2 ft,,1,0,2,-2,63.0
10:54.0,Defensive rebound by D. White,2-0, ,,1,0,2,-2,66.0
10:48.0,Turnover by J. Tatum (lost ball; steal by B. Adebayo),2-0, ,,1,0,2,-2,72.0
10:41.0, ,2-2,C. Martin makes 2-pt layup from 2 ft (assist by T. Herro),Tie,1,2,2,0,79.0
10:30.0,Turnover by M. Smart (step out of bounds),2-2, ,,1,2,2,0,90.0
10:18.0, ,2-4,T. Herro makes 2-pt layup from 3 ft,Lead change,1,4,2,2,102.0
10:01.0,J. Tatum misses 2-pt layup from 3 ft,2-4, ,,1,4,2,2,119.0
9:59.0, ,2-4,Defensive rebound by K. Lowry,,1,4,2,2,121.0
9:54.0, ,2-4,K. Lowry misses 2-pt layup from 2 ft,,1,4,2,2,126.0
9:54.0, ,2-4,Offensive rebound by Team,,1,4,2,2,126.0
9:54.0, ,2-4,Turnover by B. Adebayo (off goaltending),,1,4,2,2,126.0
9:43.0,Shooting foul by T. Herro (drawn by J. Tatum),2-4, ,,1,4,2,2,137.0
9:43.0,J. Tatum makes free throw 1 of 2,3-4, ,,1,4,3,1,137.0
9:43.0,J. Tatum makes free throw 2 of 2,4-4, ,Tie,1,4,4,0,137.0
9:32.0, ,4-4,T. Herro misses 2-pt jump shot from 8 ft,,1,4,4,0,148.0
9:30.0, ,4-4,Offensive rebound by C. Martin,,1,4,4,0,150.0
9:30.0, ,4-4,Personal foul by J. Brown (drawn by C. Martin),,1,4,4,0,150.0
9:20.0, ,4-6,B. Adebayo makes 2-pt jump shot from 17 ft (assist by J. Butler),,1,6,4,2,160.0
9:03.0,J. Tatum misses 3-pt jump shot from 27 ft,4-6, ,,1,6,4,2,177.0
9:03.0, ,4-6,Defensive rebound by C. Martin,,1,6,4,2,177.0
8:39.0, ,4-9,K. Lowry makes 3-pt jump shot from 26 ft (assist by T. Herro),,1,9,4,5,201.0
8:20.0,M. Smart misses 2-pt layup from 1 ft,4-9, ,,1,9,4,5,220.0
8:20.0, ,4-9,Defensive rebound by T. Herro,,1,9,4,5,220.0
8:11.0, ,4-9,T. Herro misses 2-pt layup from 2 ft (block by D. White),,1,9,4,5,229.0
8:06.0,Defensive rebound by D. White,4-9, ,,1,9,4,5,234.0
8:03.0,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Brown),6-9, ,,1,9,6,3,237.0
7:38.0, ,6-9,J. Butler misses 2-pt jump shot from 7 ft,,1,9,6,3,262.0
7:36.0,Defensive rebound by J. Brown,6-9, ,,1,9,6,3,264.0
7:32.0,J. Brown makes 2-pt layup from 2 ft,8-9, ,,1,9,8,1,268.0
7:11.0, ,8-11,B. Adebayo makes 2-pt jump shot from 18 ft (assist by K. Lowry),,1,11,8,3,289.0
6:58.0,M. Smart misses 3-pt jump shot from 25 ft,8-11, ,,1,11,8,3,302.0
6:55.0, ,8-11,Defensive rebound by T. Herro,,1,11,8,3,305.0
6:44.0, ,8-13,B. Adebayo makes 2-pt jump shot from 4 ft,,1,13,8,5,316.0
6:38.0,Personal foul by B. Adebayo (drawn by A. Horford),8-13, ,,1,13,8,5,322.0
6:38.0,Boston full timeout,8-13, ,,1,13,8,5,322.0
6:28.0,J. Tatum misses 3-pt jump shot from 26 ft,8-13, ,,1,13,8,5,332.0
6:24.0,Offensive rebound by A. Horford,8-13, ,,1,13,8,5,336.0
6:18.0,M. Smart misses 3-pt jump shot from 24 ft,8-13, ,,1,13,8,5,342.0
6:16.0,Offensive rebound by Team,8-13, ,,1,13,8,5,344.0
6:16.0, ,8-13,Loose ball foul by B. Adebayo (drawn by A. Horford),,1,13,8,5,344.0
6:16.0, ,8-13,D. Dedmon enters the game for B. Adebayo,,1,13,8,5,344.0
6:09.0,D. White makes 3-pt jump shot from 23 ft (assist by J. Tatum),11-13, ,,1,13,11,2,351.0
5:42.0, ,11-13,J. Butler misses 2-pt layup from 5 ft,,1,13,11,2,378.0
5:41.0,Defensive rebound by D. White,11-13, ,,1,13,11,2,379.0
5:41.0,Personal foul by D. Dedmon (drawn by D. White),11-13, ,,1,13,11,2,379.0
5:41.0,G. Williams enters the game for J. Tatum,11-13, ,,1,13,11,2,379.0
5:41.0, ,11-13,M. Strus enters the game for J. Butler,,1,13,11,2,379.0
5:25.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Brown),14-13, ,Lead change,1,13,14,-1,395.0
5:14.0, ,14-15,K. Lowry makes 2-pt layup from 2 ft (assist by M. Strus),Lead change,1,15,14,1,406.0
4:51.0,M. Smart makes 2-pt jump shot from 4 ft,16-15, ,Lead change,1,15,16,-1,429.0
4:28.0, ,16-15,K. Lowry misses 2-pt jump shot from 9 ft (block by J. Brown),,1,15,16,-1,452.0
4:23.0, ,16-15,Offensive rebound by C. Martin,,1,15,16,-1,457.0
4:23.0, ,16-15,C. Martin misses 3-pt jump shot from 25 ft,,1,15,16,-1,457.0
4:20.0,Defensive rebound by D. White,16-15, ,,1,15,16,-1,460.0
4:09.0,M. Smart misses 3-pt jump shot from 27 ft,16-15, ,,1,15,16,-1,471.0
4:06.0, ,16-15,Defensive rebound by T. Herro,,1,15,16,-1,474.0
3:56.0, ,16-15,T. Herro misses 2-pt jump shot from 18 ft (block by D. White),,1,15,16,-1,484.0
3:53.0,Defensive rebound by G. Williams,16-15, ,,1,15,16,-1,487.0
