Time,Miami,Score,Sacramento,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Sabonis (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:33.0,T. Herro misses 2-pt jump shot from 21 ft,0-0, ,,1,0,0,0,27.0
11:33.0,Offensive rebound by Team,0-0, ,,1,0,0,0,27.0
11:33.0,Turnover by Team (shot clock),0-0, ,,1,0,0,0,27.0
11:14.0, ,0-3,K. Huerter makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,1,0,3,-3,46.0
10:54.0,C. Martin misses 2-pt jump shot from 21 ft,0-3, ,,1,0,3,-3,66.0
10:51.0, ,0-3,Defensive rebound by K. Huerter,,1,0,3,-3,69.0
10:48.0, ,0-3,D. Fox misses 3-pt jump shot from 26 ft,,1,0,3,-3,72.0
10:44.0, ,0-3,Offensive rebound by D. Sabonis,,1,0,3,-3,76.0
10:43.0, ,0-5,D. Sabonis makes 2-pt dunk from 2 ft,,1,0,5,-5,77.0
10:17.0,J. Butler misses 2-pt jump shot from 19 ft,0-5, ,,1,0,5,-5,103.0
10:13.0, ,0-5,Defensive rebound by D. Fox,,1,0,5,-5,107.0
10:08.0, ,0-5,H. Barnes misses 2-pt layup from 5 ft (block by K. Lowry),,1,0,5,-5,112.0
10:04.0, ,0-5,Offensive rebound by H. Barnes,,1,0,5,-5,116.0
10:03.0, ,0-5,Offensive foul by D. Fox (drawn by T. Herro),,1,0,5,-5,117.0
10:03.0, ,0-5,Turnover by D. Fox (offensive foul),,1,0,5,-5,117.0
9:45.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by J. Butler),2-5, ,,1,2,5,-3,135.0
9:21.0, ,2-5,K. Murray misses 3-pt jump shot from 25 ft,,1,2,5,-3,159.0
9:17.0,Defensive rebound by B. Adebayo,2-5, ,,1,2,5,-3,163.0
9:11.0,B. Adebayo makes 2-pt layup from 7 ft,4-5, ,,1,4,5,-1,169.0
9:01.0, ,4-7,D. Fox makes 2-pt layup from 3 ft,,1,4,7,-3,179.0
8:40.0,C. Martin misses 2-pt jump shot from 5 ft,4-7, ,,1,4,7,-3,200.0
8:39.0,Offensive rebound by C. Martin,4-7, ,,1,4,7,-3,201.0
8:38.0,C. Martin makes 2-pt layup from 2 ft,6-7, ,,1,6,7,-1,202.0
8:26.0, ,6-7,Personal foul by B. Adebayo (drawn by D. Sabonis),,1,6,7,-1,214.0
8:20.0, ,6-7,Offensive foul by D. Sabonis (drawn by C. Martin),,1,6,7,-1,220.0
8:20.0, ,6-7,Turnover by D. Sabonis (offensive foul),,1,6,7,-1,220.0
7:58.0,C. Martin misses 2-pt jump shot from 20 ft,6-7, ,,1,6,7,-1,242.0
7:54.0, ,6-7,Defensive rebound by D. Fox,,1,6,7,-1,246.0
7:50.0, ,6-7,D. Fox misses 2-pt layup from 4 ft,,1,6,7,-1,250.0
7:46.0,Defensive rebound by C. Martin,6-7, ,,1,6,7,-1,254.0
7:44.0,Offensive foul by K. Lowry (drawn by K. Huerter),6-7, ,,1,6,7,-1,256.0
7:44.0,Turnover by K. Lowry (offensive foul),6-7, ,,1,6,7,-1,256.0
7:30.0, ,6-9,D. Sabonis makes 2-pt dunk from 1 ft (assist by K. Huerter),,1,6,9,-3,270.0
7:18.0,T. Herro misses 2-pt jump shot from 5 ft,6-9, ,,1,6,9,-3,282.0
7:15.0, ,6-9,Defensive rebound by D. Sabonis,,1,6,9,-3,285.0
7:08.0, ,6-9,H. Barnes misses 3-pt jump shot from 26 ft,,1,6,9,-3,292.0
7:04.0,Defensive rebound by J. Butler,6-9, ,,1,6,9,-3,296.0
6:58.0,B. Adebayo makes 2-pt jump shot from 16 ft,8-9, ,,1,8,9,-1,302.0
6:42.0, ,8-12,K. Huerter makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,1,8,12,-4,318.0
6:24.0,Offensive foul by B. Adebayo (drawn by D. Sabonis),8-12, ,,1,8,12,-4,336.0
6:24.0,Turnover by B. Adebayo (offensive foul),8-12, ,,1,8,12,-4,336.0
6:24.0, ,8-12,Sacramento full timeout,,1,8,12,-4,336.0
6:24.0, ,8-12,Instant Replay (Challenge: Ruling Stands),,1,8,12,-4,336.0
6:24.0,U. Haslem enters the game for B. Adebayo,8-12, ,,1,8,12,-4,336.0
6:11.0, ,8-14,K. Murray makes 2-pt layup from 2 ft (assist by H. Barnes),,1,8,14,-6,349.0
6:11.0, ,8-14,Shooting foul by C. Martin (drawn by K. Murray),,1,8,14,-6,349.0
6:11.0, ,8-14,K. Murray misses free throw 1 of 1,,1,8,14,-6,349.0
6:10.0,Defensive rebound by Team,8-14, ,,1,8,14,-6,350.0
6:10.0, ,8-14,Loose ball foul by H. Barnes (drawn by C. Martin),,1,8,14,-6,350.0
6:10.0, ,8-14,T. Lyles enters the game for H. Barnes,,1,8,14,-6,350.0
6:10.0, ,8-14,D. Mitchell enters the game for D. Fox,,1,8,14,-6,350.0
5:55.0,Shooting foul by D. Sabonis (drawn by T. Herro),8-14, ,,1,8,14,-6,365.0
5:55.0,T. Herro misses free throw 1 of 2,8-14, ,,1,8,14,-6,365.0
5:55.0,Offensive rebound by Team,8-14, ,,1,8,14,-6,365.0
5:55.0,M. Strus enters the game for C. Martin,8-14, ,,1,8,14,-6,365.0
5:55.0,T. Herro makes free throw 2 of 2,9-14, ,,1,9,14,-5,365.0
5:38.0, ,9-17,K. Murray makes 3-pt jump shot from 25 ft,,1,9,17,-8,382.0
5:18.0,Shooting foul by K. Huerter (drawn by J. Butler),9-17, ,,1,9,17,-8,402.0
5:18.0,J. Butler misses free throw 1 of 2,9-17, ,,1,9,17,-8,402.0
5:18.0,Offensive rebound by Team,9-17, ,,1,9,17,-8,402.0
5:18.0,J. Butler makes free throw 2 of 2,10-17, ,,1,10,17,-7,402.0
5:01.0, ,10-19,K. Murray makes 2-pt layup from 2 ft,,1,10,19,-9,419.0
4:54.0,Shooting foul by K. Murray (drawn by U. Haslem),10-19, ,,1,10,19,-9,426.0
4:54.0,U. Haslem makes free throw 1 of 2,11-19, ,,1,11,19,-8,426.0
4:54.0,G. Vincent enters the game for T. Herro,11-19, ,,1,11,19,-8,426.0
4:54.0,U. Haslem misses free throw 2 of 2,11-19, ,,1,11,19,-8,426.0
4:51.0, ,11-19,Defensive rebound by T. Lyles,,1,11,19,-8,429.0
4:41.0, ,11-21,D. Mitchell makes 2-pt layup from 2 ft,,1,11,21,-10,439.0
4:41.0, ,11-21,Shooting foul by G. Vincent (drawn by D. Mitchell),,1,11,21,-10,439.0
4:41.0, ,11-21,D. Mitchell misses free throw 1 of 1,,1,11,21,-10,439.0
4:38.0,Defensive rebound by J. Butler,11-21, ,,1,11,21,-10,442.0
