Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. B. Adebayo (E. Mobley gains possession),0-0,,,1,0,0,0,0.0
11:38.0,D. Garland makes 3-pt jump shot from 29 ft (assist by E. Mobley),3-0, ,,1,0,3,-3,22.0
11:21.0, ,3-2,K. Love makes 2-pt layup from 2 ft (assist by B. Adebayo),,1,2,3,-1,39.0
11:07.0,Personal foul by B. Adebayo (drawn by D. Mitchell),3-2, ,,1,2,3,-1,53.0
10:57.0,D. Mitchell misses 2-pt jump shot from 16 ft (block by B. Adebayo),3-2, ,,1,2,3,-1,63.0
10:57.0, ,3-2,Defensive rebound by Team,,1,2,3,-1,63.0
10:57.0,Loose ball foul by D. Mitchell (drawn by B. Adebayo),3-2, ,,1,2,3,-1,63.0
10:45.0, ,3-4,K. Love makes 2-pt jump shot from 16 ft (assist by G. Vincent),Lead change,1,4,3,1,75.0
10:20.0,E. Mobley misses 3-pt jump shot from 24 ft,3-4, ,,1,4,3,1,100.0
10:17.0, ,3-4,Defensive rebound by J. Butler,,1,4,3,1,103.0
10:01.0, ,3-4,Turnover by J. Butler (bad pass; steal by D. Garland),,1,4,3,1,119.0
9:58.0,Offensive foul by I. Okoro (drawn by K. Love),3-4, ,,1,4,3,1,122.0
9:58.0,Turnover by I. Okoro (offensive foul),3-4, ,,1,4,3,1,122.0
9:46.0, ,3-4,J. Butler misses 3-pt jump shot from 24 ft,,1,4,3,1,134.0
9:41.0,Defensive rebound by D. Mitchell,3-4, ,,1,4,3,1,139.0
9:31.0,Turnover by J. Allen (lost ball; steal by G. Vincent),3-4, ,,1,4,3,1,149.0
9:24.0, ,3-4,T. Herro misses 2-pt layup from 6 ft,,1,4,3,1,156.0
9:21.0,Defensive rebound by E. Mobley,3-4, ,,1,4,3,1,159.0
9:18.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Mitchell),5-4, ,Lead change,1,4,5,-1,162.0
9:04.0, ,5-4,Turnover by B. Adebayo (lost ball; steal by J. Allen),,1,4,5,-1,176.0
9:01.0,D. Mitchell misses 3-pt jump shot from 27 ft,5-4, ,,1,4,5,-1,179.0
8:57.0, ,5-4,Defensive rebound by K. Love,,1,4,5,-1,183.0
8:52.0, ,5-6,B. Adebayo makes 2-pt dunk from 2 ft,Lead change,1,6,5,1,188.0
8:35.0,I. Okoro makes 3-pt jump shot from 24 ft (assist by E. Mobley),8-6, ,Lead change,1,6,8,-2,205.0
8:25.0, ,8-8,J. Butler makes 2-pt layup from 1 ft (assist by T. Herro),Tie,1,8,8,0,215.0
8:07.0,Offensive foul by E. Mobley (drawn by K. Love),8-8, ,,1,8,8,0,233.0
8:07.0,Turnover by E. Mobley (offensive foul),8-8, ,,1,8,8,0,233.0
8:02.0, ,8-8,J. Butler misses 2-pt dunk from 2 ft (block by J. Allen),,1,8,8,0,238.0
8:00.0, ,8-8,Offensive rebound by J. Butler,,1,8,8,0,240.0
7:59.0, ,8-8,Shooting foul by E. Mobley (drawn by J. Butler),,1,8,8,0,241.0
7:59.0, ,8-9,J. Butler makes free throw 1 of 2,Lead change,1,9,8,1,241.0
7:59.0,L. Stevens enters the game for E. Mobley,8-9, ,,1,9,8,1,241.0
7:59.0, ,8-10,J. Butler makes free throw 2 of 2,,1,10,8,2,241.0
7:44.0,I. Okoro misses 3-pt jump shot from 23 ft,8-10, ,,1,10,8,2,256.0
7:40.0, ,8-10,Defensive rebound by K. Love,,1,10,8,2,260.0
7:36.0, ,8-10,Turnover by K. Love (bad pass; steal by L. Stevens),,1,10,8,2,264.0
7:31.0,D. Garland makes 2-pt layup from 6 ft,10-10, ,Tie,1,10,10,0,269.0
7:23.0, ,10-12,B. Adebayo makes 2-pt jump shot from 5 ft (assist by J. Butler),,1,12,10,2,277.0
7:23.0, ,10-12,Shooting foul by L. Stevens (drawn by B. Adebayo),,1,12,10,2,277.0
7:23.0, ,10-12,B. Adebayo misses free throw 1 of 1,,1,12,10,2,277.0
7:21.0,Defensive rebound by J. Allen,10-12, ,,1,12,10,2,279.0
7:08.0,L. Stevens misses 3-pt jump shot from 24 ft,10-12, ,,1,12,10,2,292.0
7:04.0, ,10-12,Defensive rebound by K. Love,,1,12,10,2,296.0
6:49.0, ,10-14,T. Herro makes 2-pt jump shot from 6 ft,,1,14,10,4,311.0
6:36.0, ,10-14,Miami full timeout,,1,14,10,4,324.0
6:30.0,Turnover by D. Mitchell (bad pass),10-14, ,,1,14,10,4,330.0
6:11.0, ,10-16,B. Adebayo makes 2-pt dunk from 5 ft (assist by G. Vincent),,1,16,10,6,349.0
5:53.0,D. Garland makes 2-pt jump shot from 7 ft,12-16, ,,1,16,12,4,367.0
5:28.0, ,12-16,Turnover by T. Herro (lost ball; steal by L. Stevens),,1,16,12,4,392.0
5:17.0,I. Okoro makes 2-pt layup from 3 ft (assist by J. Allen),14-16, ,,1,16,14,2,403.0
5:04.0, ,14-18,T. Herro makes 2-pt layup from 2 ft (assist by J. Butler),,1,18,14,4,416.0
4:51.0,Flagrant foul type 1 by B. Adebayo (drawn by D. Mitchell),14-18, ,,1,18,14,4,429.0
4:51.0,Instant Replay (Request: Ruling Stands),14-18, ,,1,18,14,4,429.0
4:51.0,D. Mitchell makes flagrant free throw 1 of 3,15-18, ,,1,18,15,3,429.0
